date,ADH
2006-07-06,31.51
2006-07-10,34.548
2006-07-11,34.842
2006-07-12,36.214
2006-07-13,36.459
2006-07-14,36.312
2006-07-17,36.263
2006-07-18,35.332
2006-07-19,35.773
2006-07-20,35.724
2006-07-21,35.773
2006-07-24,35.675
2006-07-25,35.332
2006-07-26,35.43
2006-07-27,35.528
2006-07-28,35.773
2006-07-31,35.969
2006-08-01,35.773
2006-08-02,36.116
2006-08-03,36.165
2006-08-04,36.263
2006-08-07,36.753
2006-08-08,38.223
2006-08-09,39.203
2006-08-10,38.713
2006-08-11,39.448
2006-08-15,41.261
2006-08-16,43.712
2006-08-17,44.055
2006-08-18,44.104
2006-08-22,43.908
2006-08-23,44.839
2006-08-24,45.133
2006-08-25,45.329
2006-08-28,45.574
2006-08-29,45.623
2006-08-30,46.505
2006-08-31,46.75
2006-09-01,46.75
2006-09-04,47.044
2006-09-05,48.024
2006-09-06,49.004
2006-09-07,48.857
2006-09-08,50.474
2006-09-11,53.463
2006-09-13,57.188
2006-09-14,55.62
2006-09-15,55.62
2006-09-18,54.786
2006-09-19,53.904
2006-09-20,54.639
2006-09-21,55.374
2006-09-22,56.257
2006-09-25,55.963
2006-09-26,55.865
2006-09-27,55.816
2006-09-28,58.805
2006-09-29,59.785
2006-10-02,60.03
2006-10-03,60.03
2006-10-04,61.5
2006-10-05,59.54
2006-10-06,60.03
2006-10-09,60.275
2006-10-10,60.569
2006-10-11,59.834
2006-10-12,59.932
2006-10-13,59.785
2006-10-16,60.275
2006-10-17,60.275
2006-10-18,60.52
2006-10-19,61.745
2006-10-20,63.705
2006-10-23,63.705
2006-10-26,66.988
2006-10-27,71.007
2006-10-30,75.221
2006-10-31,79.729
2006-11-01,82.327
2006-11-02,84.287
2006-11-03,89.334
2006-11-07,94.676
2006-11-08,95.558
2006-11-09,90.657
2006-11-10,98.694
2006-11-16,108.299
2006-11-17,109.328
2006-11-20,105.359
2006-11-21,111.239
2006-11-22,116.384
2006-11-23,123.0
2006-11-24,130.351
2006-11-27,137.554
2006-11-28,136.133
2006-11-29,136.133
2006-11-30,137.113
2006-12-01,137.211
2006-12-04,137.211
2006-12-05,137.162
2006-12-06,138.681
2006-12-07,145.542
2006-12-08,151.912
2006-12-11,152.892
2006-12-12,152.892
2006-12-13,156.323
2006-12-14,156.813
2006-12-15,150.883
2006-12-18,145.787
2006-12-19,137.113
2006-12-20,137.211
2006-12-21,141.425
2006-12-22,142.112
2006-12-26,141.621
2006-12-27,139.612
2006-12-28,139.318
2006-12-29,139.661
2007-01-02,137.701
2007-01-03,137.701
2007-01-04,137.701
2007-01-05,137.701
2007-01-08,141.523
2007-01-09,139.906
2007-01-10,138.926
2007-01-12,132.311
2007-01-15,135.055
2007-01-16,138.632
2007-01-17,138.191
2007-01-18,132.311
2007-01-19,135.3
2007-01-22,137.26
2007-01-23,138.534
2007-01-24,136.231
2007-01-25,136.231
2007-01-26,134.663
2007-01-29,135.3
2007-01-30,137.211
2007-01-31,135.986
2007-02-01,136.231
2007-02-02,136.133
2007-02-05,138.093
2007-02-06,137.946
2007-02-07,137.211
2007-02-08,137.162
2007-02-09,137.211
2007-02-12,135.986
2007-02-13,136.231
2007-02-14,136.231
2007-02-15,138.436
2007-02-16,138.681
2007-02-19,142.112
