date,ADI
2008-07-16,685.0
2008-07-17,753.0
2008-07-18,828.0
2008-07-21,910.0
2008-07-22,1001.0
2008-07-23,1101.0
2008-07-24,1167.0
2008-07-25,1237.0
2008-07-28,1242.0
2008-07-29,1168.0
2008-07-31,1112.0
2008-08-01,1178.0
2008-08-04,1248.0
2008-08-05,1235.0
2008-08-06,1200.0
2008-08-07,1190.0
2008-08-08,1175.0
2008-08-11,1160.0
2008-08-12,1160.0
2008-08-13,1152.0
2008-08-15,1152.0
2008-08-18,1151.0
2008-08-19,1151.0
2008-08-22,1189.0
2008-08-25,1200.0
2008-08-26,1201.0
2008-08-27,1205.0
2008-08-28,1205.0
2008-08-29,1205.0
2008-09-02,1220.0
2008-09-03,1187.0
2008-09-04,1160.0
2008-09-05,1136.0
2008-09-08,1080.0
2008-09-09,1065.0
2008-09-10,1025.0
2008-09-11,990.0
2008-09-12,960.0
2008-09-15,903.0
2008-09-16,849.0
2008-09-17,799.0
2008-09-18,800.0
2008-09-19,848.0
2008-09-22,898.0
2008-09-23,929.0
2008-09-24,905.0
2008-09-25,890.0
2008-09-26,898.0
2008-09-29,875.0
2008-09-30,823.0
2008-10-03,855.0
2008-10-06,825.0
2008-10-07,837.0
2008-10-08,811.0
2008-10-09,780.0
2008-10-10,780.0
2008-10-13,826.0
2008-10-14,835.0
2008-10-15,819.0
2008-10-16,800.0
2008-10-17,814.0
2008-10-20,800.0
2008-10-21,800.0
2008-10-22,760.0
2008-10-23,745.0
2008-10-24,718.0
2008-10-27,675.0
2008-10-28,710.0
2008-10-29,718.0
2008-10-30,718.0
2008-10-31,717.0
2008-11-03,725.0
2008-11-04,735.0
2008-11-05,712.0
2008-11-07,719.0
2008-11-10,714.0
2008-11-11,709.0
2008-11-12,709.0
2008-11-13,699.0
2008-11-14,694.0
2008-11-17,690.0
2008-11-19,670.0
2008-11-20,665.0
2008-11-21,645.0
2008-11-24,639.0
2008-11-25,635.0
2008-11-26,635.0
2008-11-27,635.0
2008-11-28,621.0
2008-12-01,618.0
2008-12-02,610.0
2008-12-03,595.0
2008-12-04,560.0
2008-12-05,559.0
2008-12-08,571.0
2008-12-11,605.0
2008-12-12,582.0
2008-12-15,598.0
2008-12-16,619.0
2008-12-17,616.0
2008-12-18,639.0
2008-12-19,650.0
2008-12-22,689.0
2008-12-23,697.0
2008-12-24,656.0
2008-12-25,695.0
2008-12-26,700.0
2008-12-30,695.0
2008-12-31,689.0
2009-01-02,648.0
2009-01-05,610.0
2009-01-06,574.0
2009-01-07,560.0
2009-01-08,589.0
2009-01-09,605.0
2009-01-12,600.0
2009-01-13,605.0
2009-01-14,590.0
2009-01-15,592.0
2009-01-16,595.0
2009-01-19,595.0
2009-01-20,609.0
2009-01-21,609.0
2009-01-22,595.0
2009-01-23,615.0
2009-01-26,608.0
2009-01-27,609.0
2009-01-28,601.0
2009-01-29,601.0
2009-01-30,610.0
2009-02-02,600.0
2009-02-03,617.0
2009-02-04,604.0
2009-02-05,590.0
2009-02-06,600.0
2009-02-09,600.0
2009-02-10,596.0
2009-02-11,604.0
2009-02-12,610.0
2009-02-13,604.0
2009-02-16,620.0
2009-02-17,639.0
2009-02-18,621.0
2009-02-19,632.0
2009-02-20,650.0
2009-02-23,689.0
2009-02-24,692.0
2009-02-25,690.0
2009-02-26,665.0
2009-02-27,665.0
2009-03-02,665.0
2009-03-03,666.0
2009-03-04,658.0
2009-03-05,632.0
2009-03-06,639.0
2009-03-09,643.0
2009-03-12,631.0
2009-03-13,630.0
2009-03-16,625.0
2009-03-17,625.0
2009-03-18,620.0
2009-03-19,592.0
2009-03-20,612.0
2009-03-23,591.0
2009-03-24,565.0
2009-03-25,590.0
2009-03-26,586.0
2009-03-27,561.0
2009-03-30,575.0
2009-03-31,595.0
2009-04-01,594.0
2009-04-02,591.0
2009-04-03,593.0
2009-04-06,587.0
2009-04-07,579.0
2009-04-08,585.0
2009-04-09,573.0
2009-04-10,560.0
2009-04-13,556.0
2009-04-14,575.0
2009-04-15,553.0
2009-04-16,559.0
2009-04-17,545.0
2009-04-20,550.0
2009-04-21,542.0
2009-04-22,540.0
2009-04-23,540.0
2009-04-24,540.0
2009-04-27,525.0
2009-04-28,530.0
2009-04-29,520.0
2009-04-30,525.0
2009-05-04,527.0
2009-05-05,525.0
2009-05-06,519.0
2009-05-07,519.0
2009-05-08,510.0
2009-05-11,540.0
2009-05-12,572.0
2009-05-13,606.0
2009-05-14,608.0
2009-05-15,599.0
2009-05-18,600.0
2009-05-19,600.0
2009-05-20,609.0
2009-05-21,638.0
2009-05-22,640.0
2009-05-25,640.0
2009-05-26,640.0
2009-05-27,640.0
2009-05-28,678.0
2009-05-29,651.0
2009-06-01,675.0
2009-06-02,703.0
2009-06-03,717.0
2009-06-04,708.0
2009-06-05,705.0
2009-06-08,717.0
2009-06-09,706.0
2009-06-10,700.0
2009-06-11,692.0
2009-06-12,709.0
2009-06-15,711.0
