date,AFI
2012-01-04,240.0
2012-01-05,264.0
2012-01-06,266.1
2012-01-09,265.0
2012-01-10,260.0
2012-01-12,260.1
2012-01-13,265.0
2012-01-16,262.0
2012-01-17,260.0
2012-01-18,258.0
2012-01-19,256.1
2012-01-20,256.0
2012-01-23,257.0
2012-01-24,260.0
2012-01-25,260.0
2012-01-26,266.0
2012-01-27,266.0
2012-01-30,270.0
2012-01-31,260.05
2012-02-01,269.8
2012-02-02,269.0
2012-02-03,269.0
2012-02-07,267.0
2012-02-08,269.0
2012-02-09,268.5
2012-02-10,261.0
2012-02-13,261.0
2012-02-14,268.45
2012-02-15,269.85
2012-02-16,269.0
2012-02-17,266.0
2012-02-20,269.0
2012-02-21,265.0
2012-02-22,268.95
2012-02-23,268.0
2012-02-24,279.0
2012-02-27,289.0
2012-02-28,287.0
2012-02-29,293.0
2012-03-01,292.0
2012-03-02,285.0
2012-03-05,286.0
2012-03-06,286.0
2012-03-07,285.5
2012-03-08,292.9
2012-03-09,292.0
2012-03-12,293.9
2012-03-13,291.9
2012-03-14,287.0
2012-03-15,289.5
2012-03-16,286.85
2012-03-19,285.0
2012-03-20,281.2
2012-03-21,288.0
2012-03-22,285.05
2012-03-23,281.0
2012-03-26,287.0
2012-03-27,284.85
2012-03-28,279.0
2012-03-29,279.0
2012-03-30,278.9
2012-04-02,280.0
2012-04-03,276.0
2012-04-04,266.1
2012-04-05,276.0
2012-04-06,275.9
2012-04-09,274.85
2012-04-10,267.0
2012-04-11,275.0
2012-04-12,275.0
2012-04-13,279.0
2012-04-16,276.0
2012-04-17,276.0
2012-04-18,275.0
2012-04-19,278.0
2012-04-20,278.8
2012-04-23,279.3
2012-04-24,275.05
2012-04-25,279.5
2012-04-26,279.8
2012-04-27,279.0
2012-04-30,279.8
2012-05-02,279.9
2012-05-03,275.0
2012-05-04,278.7
2012-05-07,279.85
2012-05-08,279.85
2012-05-09,279.9
2012-05-10,281.0
2012-05-11,285.0
2012-05-14,282.0
2012-05-15,282.9
2012-05-16,283.0
2012-05-17,283.0
2012-05-18,283.0
2012-05-21,275.15
2012-05-22,275.0
2012-05-23,281.0
2012-05-24,281.0
2012-05-25,285.0
2012-05-28,288.0
2012-05-29,287.0
2012-05-30,293.9
2012-05-31,296.5
2012-06-01,295.0
2012-06-04,296.0
2012-06-05,290.0
2012-06-06,285.0
2012-06-07,282.05
2012-06-08,289.0
2012-06-11,289.1
2012-06-12,294.0
2012-06-13,265.0
2012-06-14,264.95
2012-06-15,280.0
2012-06-18,276.0
2012-06-19,280.0
2012-06-20,287.0
2012-06-21,283.0
2012-06-22,283.0
2012-06-25,285.0
2012-06-26,288.0
2012-06-27,288.0
2012-06-28,288.0
2012-06-29,290.0
2012-07-02,294.0
2012-07-03,290.0
2012-07-04,279.0
2012-07-05,279.0
2012-07-06,282.0
2012-07-09,280.0
2012-07-10,284.0
2012-07-11,275.0
2012-07-12,275.0
2012-07-13,275.0
2012-07-16,280.9
2012-07-17,275.0
2012-07-18,278.0
2012-07-19,278.0
2012-07-20,279.0
2012-07-23,279.0
2012-07-24,278.0
2012-07-25,279.0
2012-07-26,278.0
2012-07-27,278.05
2012-07-31,285.0
2012-08-01,285.0
2012-08-02,285.0
2012-08-03,285.0
2012-08-06,285.0
2012-08-07,284.0
2012-08-08,283.0
2012-08-09,280.0
2012-08-10,280.0
2012-08-13,279.0
2012-08-15,280.0
2012-08-16,279.0
2012-08-17,283.0
2012-08-22,278.0
2012-08-23,282.0
2012-08-24,284.0
2012-08-27,275.0
2012-08-28,280.05
2012-08-29,280.05
2012-08-30,284.0
2012-08-31,294.0
2012-09-03,281.0
2012-09-04,283.0
2012-09-05,283.0
2012-09-06,284.0
2012-09-07,284.0
2012-09-10,281.05
2012-09-11,283.0
2012-09-12,284.0
2012-09-13,284.0
2012-09-14,281.0
2012-09-17,284.0
2012-09-18,275.1
2012-09-19,284.0
2012-09-20,280.0
2012-09-21,283.0
2012-09-24,283.0
2012-09-25,283.0
2012-09-26,283.0
2012-09-27,283.0
2012-09-28,280.0
2012-10-01,284.0
2012-10-02,280.05
2012-10-03,284.0
2012-10-04,284.0
2012-10-05,284.0
2012-10-08,284.0
2012-10-09,284.0
2012-10-10,284.0
2012-10-11,284.0
2012-10-12,284.0
2012-10-15,284.0
2012-10-16,283.0
2012-10-17,282.0
2012-10-18,265.25
2012-10-19,278.9
2012-10-22,280.0
2012-10-23,278.0
2012-10-24,280.0
2012-10-25,269.05
2012-10-29,270.0
2012-10-30,280.0
2012-10-31,280.0
2012-11-01,275.0
2012-11-02,275.0
2012-11-05,279.0
2012-11-07,279.8
2012-11-08,275.0
2012-11-09,265.2
2012-11-12,266.0
2012-11-13,266.35
2012-11-14,270.0
2012-11-15,266.2
2012-11-19,279.95
2012-11-20,278.95
2012-11-21,273.0
2012-11-22,279.0
2012-11-23,279.0
2012-11-26,279.5
2012-11-27,279.0
2012-11-28,279.0
2012-11-29,279.0
2012-11-30,279.0
2012-12-03,279.0
2012-12-04,275.1
2012-12-05,278.95
2012-12-06,270.0
2012-12-07,278.95
2012-12-10,277.95
2012-12-11,277.95
2012-12-12,278.5
2012-12-13,276.0
2012-12-14,276.0
2012-12-17,269.0
2012-12-18,269.0
2012-12-19,270.0
2012-12-20,270.0
2012-12-21,270.0
2012-12-24,272.0
2012-12-25,270.0
2012-12-26,270.0
2012-12-27,269.0
2012-12-28,272.0
2012-12-31,279.0
2013-01-02,279.0
2013-01-03,270.0
2013-01-04,270.0
2013-01-07,256.0
2013-01-08,270.0
2013-01-09,274.0
2013-01-10,274.0
2013-01-14,274.0
2013-01-15,274.0
2013-01-16,270.0
2013-01-17,274.0
2013-01-18,274.0
2013-01-21,270.0
2013-01-22,274.0
2013-01-23,270.0
2013-01-28,274.0
2013-01-29,270.0
2013-01-30,274.0
2013-01-31,274.0
2013-02-01,274.0
2013-02-04,275.0
2013-02-05,270.0
2013-02-06,269.7
2013-02-07,269.7
2013-02-08,270.0
2013-02-11,270.0
2013-02-12,270.0
2013-02-13,270.0
2013-02-14,270.0
2013-02-15,265.0
2013-02-18,270.0
2013-02-19,270.0
2013-02-20,275.0
2013-02-21,280.0
2013-02-22,280.0
2013-02-25,280.0
2013-02-26,275.0
2013-02-27,275.0
2013-02-28,270.5
2013-03-01,275.0
2013-03-04,275.0
2013-03-05,280.0
2013-03-06,285.0
2013-03-07,285.0
2013-03-08,285.0
2013-03-11,280.0
2013-03-12,280.0
2013-03-13,280.0
2013-03-14,280.0
2013-03-15,280.0
2013-03-18,275.05
2013-03-19,275.0
2013-03-20,275.0
2013-03-21,270.05
2013-03-22,275.0
2013-03-25,275.0
2013-03-26,280.0
2013-03-27,275.0
2013-03-28,275.0
2013-03-29,275.0
2013-04-01,275.0
2013-04-02,275.0
2013-04-03,275.0
2013-04-04,274.95
2013-04-05,270.0
2013-04-08,270.0
2013-04-09,286.0
2013-04-10,275.0
2013-04-11,274.9
2013-04-12,270.0
2013-04-15,270.5
2013-04-16,274.95
2013-04-17,270.0
2013-04-18,274.95
2013-04-19,270.0
2013-04-22,270.0
2013-04-23,270.0
2013-04-24,270.0
2013-04-25,274.95
2013-04-26,273.0
2013-04-29,275.0
2013-04-30,275.0
2013-05-02,275.0
2013-05-03,274.0
2013-05-06,275.0
2013-05-07,270.0
2013-05-08,275.0
2013-05-09,275.0
2013-05-10,275.0
2013-05-13,277.95
2013-05-14,276.0
2013-05-15,275.0
2013-05-16,275.0
2013-05-17,275.0
2013-05-20,270.0
2013-05-21,270.0
2013-05-22,270.0
2013-05-23,270.0
2013-05-24,265.0
2013-05-27,270.0
2013-05-28,270.0
2013-05-29,270.0
2013-05-30,270.0
2013-05-31,270.0
2013-06-03,270.0
2013-06-04,270.0
2013-06-05,270.0
2013-06-06,265.0
2013-06-07,266.0
2013-06-10,266.0
2013-06-11,271.0
2013-06-12,271.0
2013-06-13,268.0
2013-06-14,268.0
2013-06-17,266.0
2013-06-18,270.0
2013-06-19,270.0
2013-06-20,272.0
2013-06-21,267.0
2013-06-24,270.0
2013-06-25,265.05
2013-06-26,270.0
2013-06-27,265.0
2013-06-28,270.0
2013-07-01,269.95
2013-07-02,269.95
2013-07-03,269.0
2013-07-04,269.0
2013-07-05,269.0
2013-07-08,269.0
2013-07-09,269.0
2013-07-10,270.0
2013-07-11,269.0
2013-07-12,269.0
2013-07-15,270.0
