date,AFM
2015-12-14,720.0
2015-12-15,756.0
2015-12-16,732.0
2015-12-17,739.0
2015-12-18,730.3
2015-12-21,739.0
2015-12-22,730.0
2015-12-23,750.0
2015-12-28,740.0
2015-12-29,726.1
2015-12-30,730.0
2015-12-31,734.8
2016-01-04,730.0
2016-01-05,730.0
2016-01-06,730.0
2016-01-07,720.1
2016-01-08,728.0
2016-01-12,720.0
2016-01-13,720.0
2016-01-14,712.0
2016-01-15,712.0
2016-01-18,712.0
2016-01-19,712.0
2016-01-20,712.2
2016-01-21,712.0
2016-01-22,712.0
2016-01-25,712.4
2016-01-26,712.5
2016-01-27,720.0
2016-01-28,720.0
2016-01-29,720.0
2016-02-01,720.0
2016-02-02,715.0
2016-02-03,724.9
2016-02-04,715.3
2016-02-05,720.0
2016-02-08,712.2
2016-02-09,712.2
2016-02-10,720.0
2016-02-11,713.2
2016-02-12,727.7
2016-02-15,714.1
2016-02-16,720.0
2016-02-17,720.0
2016-02-18,720.0
2016-02-19,720.0
2016-02-22,720.0
2016-02-23,720.0
2016-02-24,725.9
2016-02-25,726.0
2016-02-26,726.0
2016-02-29,726.0
2016-03-01,726.0
2016-03-02,726.0
2016-03-03,726.0
2016-03-04,729.5
2016-03-07,729.5
2016-03-08,729.5
2016-03-09,729.9
2016-03-10,729.8
2016-03-11,729.8
2016-03-14,729.8
2016-03-15,730.0
2016-03-16,733.0
2016-03-17,731.0
2016-03-18,744.0
2016-03-21,728.0
2016-03-22,742.0
2016-03-23,740.0
2016-03-24,736.0
2016-03-25,739.8
2016-03-28,736.0
2016-03-29,749.0
2016-03-30,745.0
2016-03-31,741.0
2016-04-01,744.0
2016-04-04,740.0
2016-04-05,743.0
2016-04-06,743.0
2016-04-07,739.0
2016-04-08,742.0
2016-04-11,739.9
2016-04-12,745.0
2016-04-13,741.0
2016-04-14,750.0
2016-04-15,765.0
2016-04-18,760.0
2016-04-19,760.0
2016-04-20,792.0
2016-04-21,786.0
2016-04-22,782.0
2016-04-25,785.0
2016-04-26,784.0
2016-04-27,785.0
2016-04-28,784.0
2016-04-29,785.0
2016-05-02,784.0
2016-05-03,784.0
2016-05-04,785.0
2016-05-05,815.0
2016-05-06,770.0
2016-05-09,773.0
2016-05-10,812.0
2016-05-11,800.0
2016-05-12,804.0
2016-05-13,804.0
2016-05-16,800.0
2016-05-17,797.0
2016-05-18,800.0
2016-05-19,799.0
2016-05-20,804.0
2016-05-23,800.0
2016-05-24,785.0
2016-05-25,785.0
2016-05-26,800.0
2016-05-27,785.0
2016-05-30,785.0
2016-05-31,785.0
2016-06-01,785.0
2016-06-02,800.0
2016-06-03,805.0
2016-06-06,796.0
2016-06-07,796.0
2016-06-08,796.0
2016-06-09,796.0
2016-06-10,800.0
2016-06-13,800.0
2016-06-14,800.0
2016-06-15,796.0
2016-06-16,800.0
2016-06-17,810.0
2016-06-20,806.0
2016-06-21,790.0
