date,AKT
2022-12-13,300.0
2022-12-14,302.0
2022-12-15,303.0
2022-12-16,300.0
2022-12-19,301.4
2022-12-20,300.0
2022-12-21,290.0
2022-12-22,290.0
2022-12-23,291.0
2022-12-26,280.2
2022-12-27,284.0
2022-12-28,275.0
2022-12-29,275.1
2022-12-30,276.0
2023-01-02,276.0
2023-01-03,277.0
2023-01-04,280.0
2023-01-05,275.0
2023-01-06,272.15
2023-01-09,270.5
2023-01-10,270.6
2023-01-12,271.0
2023-01-13,274.0
2023-01-16,275.05
2023-01-17,285.6
2023-01-18,291.1
2023-01-19,295.0
2023-01-20,299.9
2023-01-23,290.0
2023-01-24,284.0
2023-01-25,285.1
2023-01-26,289.0
2023-01-27,290.0
2023-01-30,302.0
2023-01-31,294.1
2023-02-01,295.0
2023-02-02,293.0
2023-02-03,295.0
2023-02-06,301.95
2023-02-07,302.0
2023-02-08,303.05
2023-02-09,295.4
2023-02-10,298.0
2023-02-13,297.0
2023-02-14,295.0
2023-02-15,296.95
2023-02-16,292.5
2023-02-17,299.95
2023-02-20,294.5
2023-02-21,294.95
2023-02-22,293.0
2023-02-23,294.8
2023-02-24,294.9
2023-02-27,294.9
2023-02-28,293.9
2023-03-01,295.0
2023-03-02,290.05
2023-03-03,290.0
2023-03-06,290.0
2023-03-07,290.1
2023-03-08,288.05
2023-03-09,288.05
2023-03-10,292.0
2023-03-13,290.0
2023-03-14,288.5
2023-03-15,287.1
2023-03-16,292.0
2023-03-17,292.5
2023-03-20,292.0
2023-03-21,285.3
2023-03-22,291.0
2023-03-23,292.0
2023-03-24,287.0
2023-03-27,287.05
2023-03-28,290.0
2023-03-29,290.0
2023-03-30,287.05
2023-03-31,287.0
2023-04-03,290.0
2023-04-04,290.0
2023-04-05,296.0
2023-04-06,297.0
2023-04-07,297.7
2023-04-10,297.0
2023-04-11,299.65
2023-04-12,304.8
2023-04-13,304.95
2023-04-14,302.5
2023-04-17,302.0
2023-04-18,303.1
2023-04-19,302.0
2023-04-20,302.0
2023-04-21,301.5
2023-04-25,302.0
2023-04-26,300.55
2023-04-27,302.0
2023-04-28,300.65
2023-05-02,298.0
2023-05-03,300.0
2023-05-04,300.0
2023-05-05,300.0
2023-05-08,300.0
2023-05-09,300.0
2023-05-10,306.0
2023-05-11,305.0
2023-05-12,310.0
2023-05-15,312.5
2023-05-16,312.5
2023-05-17,312.1
2023-05-18,316.85
2023-05-19,315.95
2023-05-22,312.0
2023-05-23,310.05
2023-05-24,309.55
2023-05-25,309.05
2023-05-26,312.0
2023-05-29,310.1
2023-05-30,320.25
2023-05-31,320.0
2023-06-01,315.1
2023-06-02,320.0
2023-06-05,320.0
2023-06-06,316.55
2023-06-07,315.9
2023-06-08,317.0
2023-06-09,317.5
2023-06-12,317.5
2023-06-13,315.4
2023-06-14,319.75
2023-06-15,324.5
2023-06-16,320.0
2023-06-19,321.8
2023-06-20,327.5
2023-06-21,327.0
2023-06-22,340.0
2023-06-23,346.0
2023-06-26,340.0
2023-06-27,345.0
2023-06-28,347.5
2023-07-03,356.95
2023-07-04,365.0
2023-07-05,375.0
2023-07-06,377.0
2023-07-07,373.95
2023-07-10,361.15
2023-07-11,365.0
2023-07-12,371.5
2023-07-13,371.0
2023-07-14,374.0
2023-07-17,376.55
2023-07-18,384.05
2023-07-20,384.05
2023-07-21,383.9
2023-07-24,386.1
2023-07-25,387.0
2023-07-26,391.0
2023-07-27,400.0
2023-07-28,398.0
2023-07-31,400.0
2023-08-01,404.9
2023-08-02,407.0
2023-08-03,402.55
2023-08-04,403.0
2023-08-07,403.95
2023-08-08,403.0
2023-08-09,404.0
2023-08-10,404.5
2023-08-11,402.1
2023-08-15,405.0
2023-08-16,405.85
2023-08-17,408.5
2023-08-18,407.0
2023-08-22,404.0
2023-08-23,404.95
2023-08-24,403.15
2023-08-25,400.0
2023-08-28,390.5
2023-08-29,400.0
2023-08-30,409.9
2023-08-31,414.0
2023-09-01,415.1
2023-09-04,417.0
2023-09-05,415.95
2023-09-06,409.1
2023-09-07,412.95
2023-09-08,405.0
2023-09-11,400.0
2023-09-12,400.0
2023-09-13,399.0
2023-09-14,397.6
2023-09-15,405.0
2023-09-18,403.95
2023-09-19,403.0
2023-09-20,413.5
2023-09-21,421.0
2023-09-22,429.0
2023-09-25,445.05
2023-09-26,471.75
2023-09-27,479.0
2023-10-02,483.0
2023-10-03,476.1
2023-10-04,468.0
2023-10-05,485.0
2023-10-06,480.0
2023-10-09,479.5
2023-10-10,481.0
2023-10-11,505.0
2023-10-12,510.0
2023-10-13,514.5
2023-10-16,528.0
2023-10-17,530.0
2023-10-18,520.0
2023-10-19,514.9
2023-10-20,505.0
2023-10-23,504.0
2023-10-24,500.1
2023-10-25,499.0
2023-10-26,490.0
2023-10-27,500.0
2023-10-30,489.9
2023-10-31,505.0
2023-11-01,505.0
2023-11-02,502.9
2023-11-03,499.45
2023-11-07,495.0
2023-11-08,490.0
2023-11-09,488.0
2023-11-10,494.8
2023-11-13,493.0
2023-11-14,490.0
2023-11-15,485.3
2023-11-16,486.0
2023-11-17,486.5
2023-11-20,489.0
2023-11-21,490.0
2023-11-22,492.0
2023-11-23,487.7
2023-11-24,488.0
2023-11-27,488.0
2023-11-28,485.0
2023-11-29,484.0
2023-11-30,492.5
2023-12-01,492.0
2023-12-04,489.9
2023-12-05,488.0
2023-12-06,482.1
2023-12-07,489.0
2023-12-08,490.0
2023-12-11,485.5
2023-12-12,487.4
2023-12-13,490.1
2023-12-14,495.0
2023-12-15,496.0
2023-12-18,499.0
2023-12-19,503.0
2023-12-20,505.0
2023-12-21,496.5
2023-12-22,499.9
2023-12-25,498.9
2023-12-26,498.0
2023-12-27,496.0
2023-12-28,498.0
2023-12-29,496.0
2024-01-02,498.0
2024-01-03,496.1
2024-01-04,498.0
2024-01-05,510.0
2024-01-08,512.1
2024-01-09,520.1
2024-01-10,540.0
2024-01-12,550.0
2024-01-15,545.0
2024-01-16,551.0
2024-01-17,570.0
2024-01-18,567.0
2024-01-19,567.1
2024-01-22,569.0
2024-01-23,561.1
2024-01-24,560.0
2024-01-25,568.0
2024-01-26,567.9
2024-01-29,567.9
2024-01-30,590.0
2024-01-31,610.0
2024-02-01,608.0
2024-02-02,605.0
2024-02-05,606.0
2024-02-06,605.0
2024-02-07,615.0
2024-02-08,625.2
2024-02-09,635.0
2024-02-12,650.0
2024-02-13,683.0
2024-02-14,697.3
2024-02-15,692.0
2024-02-16,690.0
2024-02-19,700.0
2024-02-20,694.1
2024-02-21,695.0
2024-02-22,695.0
2024-02-23,698.0
2024-02-26,699.0
2024-02-27,708.1
2024-02-28,705.0
2024-02-29,698.0
2024-03-01,690.0
2024-03-04,685.0
2024-03-05,675.5
2024-03-06,679.6
2024-03-07,680.3
2024-03-08,680.0
2024-03-11,677.1
2024-03-12,677.2
2024-03-13,674.0
2024-03-14,677.0
2024-03-15,680.0
2024-03-18,680.0
2024-03-19,678.1
2024-03-20,680.0
2024-03-21,677.0
2024-03-22,680.0
2024-03-25,679.0
2024-03-26,675.0
2024-03-27,676.0
2024-03-28,675.0
2024-03-29,680.0
2024-04-01,676.0
2024-04-02,675.0
2024-04-03,674.0
2024-04-04,672.0
2024-04-05,680.0
2024-04-08,700.0
2024-04-09,740.5
2024-04-15,743.0
2024-04-16,753.0
2024-04-17,738.0
2024-04-18,745.0
2024-04-19,740.0
2024-04-22,730.0
2024-04-23,720.0
2024-04-24,722.2
2024-04-25,730.0
2024-04-26,721.0
2024-04-29,732.0
2024-04-30,720.2
2024-05-02,720.0
2024-05-03,718.0
2024-05-06,708.5
2024-05-07,715.0
2024-05-08,715.0
2024-05-09,717.0
2024-05-10,715.0
2024-05-13,730.0
2024-05-14,671.2
2024-05-15,664.9
2024-05-16,678.0
2024-05-17,671.5
2024-05-20,671.0
2024-05-21,671.4
2024-05-22,670.0
2024-05-23,670.0
2024-05-24,670.0
2024-05-27,672.0
2024-05-28,670.0
2024-05-29,675.0
2024-05-30,674.0
2024-05-31,674.0
2024-06-03,670.0
2024-06-04,672.0
2024-06-05,670.0
2024-06-06,669.5
2024-06-07,670.1
2024-06-10,670.2
2024-06-11,671.0
2024-06-12,673.0
2024-06-13,677.8
2024-06-14,680.0
2024-06-19,688.0
2024-06-20,688.4
2024-06-21,690.0
2024-06-24,685.0
2024-06-25,680.0
2024-06-26,682.0
2024-06-27,682.3
2024-06-28,691.0
2024-07-01,710.5
2024-07-02,771.0
2024-07-03,799.9
2024-07-04,790.0
2024-07-05,770.0
2024-07-08,780.0
2024-07-09,780.4
2024-07-10,810.0
2024-07-11,880.1
2024-07-12,888.0
2024-07-15,887.0
2024-07-16,865.0
2024-07-17,882.0
2024-07-18,882.0
2024-07-19,907.1
2024-07-22,906.6
2024-07-23,900.0
2024-07-24,905.1
2024-07-25,907.0
2024-07-26,923.0
2024-07-29,932.0
2024-07-31,942.0
2024-08-01,936.0
2024-08-02,938.1
2024-08-05,900.0
2024-08-06,907.0
2024-08-07,919.9
2024-08-08,910.0
2024-08-09,913.0
2024-08-12,917.0
2024-08-13,920.0
2024-08-15,920.2
2024-08-16,920.0
2024-08-19,921.0
2024-08-22,925.0
2024-08-23,934.0
2024-08-26,932.0
2024-08-27,931.2
2024-08-28,949.0
2024-08-29,967.0
2024-08-30,971.9
2024-09-02,970.0
2024-09-03,950.0
2024-09-04,953.0
2024-09-05,960.0
2024-09-06,965.0
2024-09-09,975.0
2024-09-10,983.0
2024-09-11,982.0
2024-09-12,982.0
2024-09-13,983.0
2024-09-18,1006.0
2024-09-19,1002.0
2024-09-20,1005.0
2024-09-23,1025.0
2024-09-24,1016.0
2024-09-25,1062.0
2024-09-26,1105.0
2024-09-27,1110.0
2024-09-30,1071.0
2024-10-01,1048.0
2024-10-02,999.0
2024-10-03,1025.0
2024-10-04,1027.0
2024-10-07,1005.0
2024-10-08,1010.0
2024-10-09,1012.0
2024-10-10,1009.0
2024-10-11,1010.0
2024-10-14,996.1
2024-10-15,995.0
2024-10-16,985.0
2024-10-17,1011.0
2024-10-18,1025.0
2024-10-21,1022.0
2024-10-22,1018.0
2024-10-23,1020.0
2024-10-24,1037.0
2024-10-25,1035.0
