date,ALM
2000-01-14,605.0
2000-01-19,590.0
2000-01-21,595.0
2000-01-24,630.0
2000-01-27,638.0
2000-02-01,603.0
2000-02-02,600.0
2000-02-03,602.0
2000-02-29,594.0
2000-03-01,596.0
2000-03-02,590.0
2000-03-08,592.0
2000-03-09,596.0
2000-03-10,600.0
2000-03-16,630.0
2000-03-20,630.0
2000-03-23,630.0
2000-03-28,620.0
2000-03-29,630.0
2000-03-31,660.0
2000-04-04,621.0
2000-04-05,622.0
2000-04-11,657.0
2000-04-13,637.0
2000-04-14,637.0
2000-04-17,635.0
2000-04-18,631.0
2000-04-20,642.0
2000-04-21,630.0
2000-04-25,630.0
2000-04-28,625.0
2000-05-03,621.0
2000-05-04,610.0
2000-05-11,646.0
2000-05-12,650.0
2000-05-15,641.0
2000-05-16,679.0
2000-05-19,660.0
2000-05-22,650.0
2000-05-24,650.0
2000-05-25,642.0
2000-05-26,650.0
2000-05-29,650.0
2000-06-01,650.0
2000-06-13,630.0
2000-06-14,623.0
2000-06-20,620.0
2000-06-22,611.0
2000-06-23,620.0
2000-06-26,615.0
2000-06-28,617.0
2000-07-04,625.0
2000-07-06,630.0
2000-07-07,630.0
2000-07-17,626.0
2000-07-19,630.0
2000-07-24,610.0
2000-07-25,565.0
2000-07-26,565.0
2000-08-01,579.0
2000-08-03,568.0
2000-08-09,578.0
2000-08-15,565.0
2000-08-22,580.0
2000-08-24,610.0
2000-08-28,609.0
2000-08-30,610.0
2000-09-04,580.0
2000-09-06,584.0
2000-09-07,590.0
2000-09-12,623.0
2000-09-13,600.0
2000-09-18,605.0
2000-09-19,605.0
2000-09-20,606.0
2000-09-21,620.0
2000-09-22,625.0
2000-09-25,620.0
2000-09-26,611.0
2000-09-27,632.0
2000-09-29,635.0
2000-10-05,650.0
2000-10-06,635.0
2000-10-09,630.0
2000-10-10,622.0
2000-10-13,625.0
2000-10-17,625.0
2000-10-18,621.0
2000-10-26,631.0
2000-11-02,631.0
2000-11-03,622.0
2000-11-07,600.0
2000-11-09,601.0
2000-11-14,615.0
2000-11-16,615.0
2000-11-20,601.0
2000-11-22,595.0
2000-11-23,590.0
2000-11-24,582.0
2000-11-29,580.0
2000-11-30,558.0
2000-12-01,560.0
2000-12-04,580.0
2000-12-05,550.0
2000-12-06,530.0
2000-12-07,541.0
2000-12-08,555.0
2000-12-12,560.0
2000-12-18,580.0
2000-12-19,599.0
2000-12-20,595.0
2000-12-21,595.0
2000-12-22,580.0
2000-12-25,599.0
2000-12-26,634.0
2000-12-29,633.0
2001-01-04,565.0
2001-01-05,560.0
2001-01-08,561.0
2001-01-12,570.0
2001-01-16,570.0
2001-01-17,561.0
2001-01-18,561.0
2001-01-19,561.0
2001-01-22,566.0
2001-01-23,566.0
2001-01-24,568.0
2001-01-25,561.0
2001-01-26,561.0
2001-01-29,563.0
2001-01-30,590.0
2001-01-31,590.0
2001-02-01,590.0
2001-02-02,590.0
2001-02-05,624.0
2001-02-06,624.0
2001-02-07,587.0
2001-02-08,592.0
2001-02-09,592.0
2001-02-12,600.0
2001-02-13,615.0
2001-02-15,621.0
2001-02-16,621.0
2001-02-19,620.0
2001-02-20,620.0
2001-02-21,630.0
2001-02-22,630.0
2001-02-23,645.0
2001-02-26,645.0
2001-02-28,640.0
2001-03-01,640.0
2001-03-02,640.0
2001-03-05,668.0
2001-03-08,668.0
2001-03-09,668.0
2001-03-12,661.0
2001-03-13,675.0
2001-03-14,666.0
2001-03-15,668.0
2001-03-16,672.0
2001-03-19,668.0
2001-03-20,666.0
2001-03-21,680.0
2001-03-22,700.0
2001-03-23,701.0
2001-03-26,720.0
2001-03-28,721.0
2001-03-29,716.0
2001-03-30,718.0
2001-04-02,718.0
2001-04-03,714.0
2001-04-04,716.0
2001-04-05,718.0
2001-04-06,718.0
2001-04-09,720.0
2001-04-10,701.0
2001-04-11,720.0
2001-04-12,720.0
2001-04-13,720.0
2001-04-16,720.0
2001-04-17,719.0
2001-04-18,695.0
2001-04-19,695.0
2001-04-20,695.0
2001-04-23,695.0
2001-04-24,671.0
2001-04-25,671.0
2001-04-26,640.0
2001-04-27,640.0
2001-04-30,635.0
2001-05-02,635.0
2001-05-03,673.0
2001-05-04,639.0
2001-05-07,639.0
2001-05-08,677.0
2001-05-09,677.0
2001-05-10,677.0
2001-05-11,677.0
2001-05-14,677.0
2001-05-15,677.0
2001-05-16,677.0
2001-05-17,677.0
2001-05-18,677.0
2001-05-21,648.0
2001-05-22,648.0
2001-05-23,648.0
2001-05-24,648.0
2001-05-25,648.0
2001-05-28,648.0
2001-05-29,648.0
2001-05-30,648.0
2001-05-31,648.0
2001-06-01,648.0
2001-06-04,648.0
2001-06-07,648.0
2001-06-08,648.0
2001-06-11,648.0
2001-06-12,648.0
2001-06-13,648.0
2001-06-14,648.0
2001-06-15,648.0
2001-06-18,648.0
2001-06-19,648.0
2001-06-20,615.0
2001-06-21,615.0
2001-06-22,580.0
2001-06-25,580.0
2001-06-26,580.0
2001-06-27,580.0
2001-06-28,590.0
2001-06-29,590.0
2001-07-02,580.0
2001-07-03,580.0
2001-07-04,584.0
2001-07-05,584.0
2001-07-06,551.0
2001-07-09,522.0
2001-07-10,520.0
2001-07-11,522.0
2001-07-12,553.0
2001-07-13,580.0
2001-07-16,580.0
2001-07-17,575.0
2001-07-18,570.0
2001-07-19,551.0
2001-07-20,555.0
2001-07-23,555.0
2001-07-24,555.0
2001-07-25,555.0
2001-07-26,555.0
2001-07-27,555.0
2001-07-31,555.0
2001-08-01,560.0
2001-08-02,560.0
2001-08-03,560.0
2001-08-06,560.0
2001-08-07,560.0
2001-08-08,570.0
2001-08-09,570.0
