date,ARD
2020-12-11,400.0
2020-12-14,405.0
2020-12-15,403.9
2020-12-16,403.6
2020-12-17,404.0
2020-12-18,405.0
2020-12-21,400.0
2020-12-22,400.0
2020-12-23,400.0
2020-12-24,404.2
2020-12-25,401.0
2020-12-28,400.0
2020-12-29,400.0
2020-12-30,400.0
2020-12-31,400.0
2021-01-04,397.0
2021-01-05,400.0
2021-01-06,398.9
2021-01-07,398.3
2021-01-08,396.05
2021-01-12,396.0
2021-01-13,397.9
2021-01-14,396.0
2021-01-15,398.0
2021-01-18,398.0
2021-01-19,398.0
2021-01-20,395.0
2021-01-21,394.9
2021-01-22,394.9
2021-01-25,394.9
2021-01-26,393.8
2021-01-27,385.0
2021-01-28,389.75
2021-01-29,385.1
2021-02-01,382.15
2021-02-02,382.15
2021-02-03,392.5
2021-02-04,394.8
2021-02-05,394.8
2021-02-08,393.95
2021-02-09,394.0
2021-02-10,390.0
2021-02-11,390.0
2021-02-12,391.5
2021-02-15,391.0
2021-02-16,390.0
2021-02-17,392.0
2021-02-18,392.0
2021-02-19,393.0
2021-02-22,393.0
2021-02-23,393.0
2021-02-24,393.0
2021-02-25,393.0
2021-02-26,393.0
2021-03-01,393.0
2021-03-02,391.0
2021-03-03,392.0
2021-03-04,398.0
2021-03-05,398.0
2021-03-08,398.0
2021-03-09,398.0
2021-03-10,398.0
2021-03-11,397.5
2021-03-12,398.0
2021-03-15,398.0
2021-03-16,398.0
2021-03-17,400.0
2021-03-18,398.0
2021-03-19,398.0
2021-03-22,401.9
2021-03-23,397.0
2021-03-24,397.0
2021-03-25,398.0
2021-03-26,398.0
2021-03-29,398.0
2021-03-30,400.0
2021-03-31,399.0
2021-04-01,398.05
2021-04-02,398.5
2021-04-05,397.0
2021-04-06,398.0
2021-04-07,398.0
2021-04-08,398.0
2021-04-09,398.0
2021-04-12,398.0
2021-04-13,398.5
2021-04-14,398.5
2021-04-15,398.5
2021-04-16,398.0
2021-04-19,399.0
2021-04-20,391.1
2021-04-21,391.1
2021-04-22,391.1
2021-04-23,394.0
2021-04-26,392.0
2021-04-27,392.0
2021-04-28,394.5
2021-04-29,394.5
2021-04-30,395.0
2021-05-03,394.0
2021-05-04,394.0
2021-05-05,394.0
2021-05-06,400.0
2021-05-07,394.0
2021-05-10,393.5
2021-05-11,392.5
2021-05-12,392.0
2021-05-17,392.0
2021-05-18,395.0
2021-05-19,393.0
2021-05-20,394.5
2021-05-21,393.45
2021-05-24,395.0
2021-05-25,395.0
2021-05-26,394.95
2021-05-27,393.55
2021-05-28,396.5
2021-05-31,393.5
2021-06-01,394.15
2021-06-02,397.95
2021-06-03,392.95
2021-06-04,390.9
2021-06-07,388.1
2021-06-08,388.0
2021-06-09,387.5
2021-06-10,387.0
2021-06-11,392.5
2021-06-14,392.0
2021-06-15,386.0
2021-06-16,389.9
2021-06-17,383.0
2021-06-18,390.0
2021-06-21,382.75
2021-06-22,390.0
2021-06-23,390.0
2021-06-24,383.0
2021-06-25,388.0
2021-06-28,388.95
2021-06-29,384.0
2021-06-30,388.0
2021-07-01,383.25
2021-07-02,383.25
2021-07-05,384.0
2021-07-06,384.0
2021-07-07,384.0
2021-07-08,383.0
2021-07-09,385.0
2021-07-12,385.0
2021-07-13,384.8
2021-07-14,381.0
2021-07-15,380.0
2021-07-16,387.25
2021-07-19,378.55
2021-07-20,387.0
2021-07-23,387.0
2021-07-26,379.3
2021-07-27,379.1
2021-07-28,384.95
2021-07-29,380.0
2021-08-02,379.9
2021-08-03,380.0
2021-08-04,382.0
2021-08-05,382.0
2021-08-06,375.05
2021-08-09,380.1
2021-08-11,380.1
2021-08-12,381.0
2021-08-13,380.0
2021-08-16,380.0
2021-08-17,378.0
2021-08-18,378.0
2021-08-19,377.2
2021-08-23,379.0
2021-08-24,378.0
2021-08-25,377.1
2021-08-26,382.5
2021-08-27,380.0
2021-08-30,380.0
2021-08-31,379.1
2021-09-01,380.0
2021-09-02,377.0
2021-09-03,382.0
2021-09-06,384.5
2021-09-07,384.9
2021-09-08,380.5
2021-09-09,379.0
2021-09-10,379.0
2021-09-13,380.0
2021-09-14,380.0
2021-09-15,380.0
2021-09-16,380.0
2021-09-17,380.0
2021-09-20,380.0
2021-09-21,377.0
2021-09-22,380.0
2021-09-23,382.0
2021-09-24,380.0
2021-09-27,381.9
2021-09-28,382.0
2021-09-29,382.0
2021-09-30,389.0
2021-10-01,375.1
2021-10-04,378.0
2021-10-05,389.0
2021-10-06,387.0
2021-10-07,389.0
2021-10-08,393.0
2021-10-11,390.0
2021-10-12,390.0
2021-10-13,395.0
2021-10-14,395.0
2021-10-15,390.05
2021-10-18,402.9
2021-10-21,409.4
2021-10-22,402.0
2021-10-25,402.0
2021-10-26,402.0
2021-10-27,400.0
2021-10-28,399.5
2021-10-29,403.0
2021-11-01,394.1
2021-11-02,405.0
2021-11-03,405.0
2021-11-04,405.0
2021-11-05,405.0
2021-11-08,405.0
2021-11-09,405.0
2021-11-10,402.05
2021-11-11,408.0
2021-11-12,404.25
2021-11-15,404.0
2021-11-16,404.5
2021-11-17,410.0
2021-11-19,410.6
2021-11-22,408.0
2021-11-23,408.0
2021-11-24,405.0
2021-11-25,405.0
2021-11-26,410.0
2021-11-29,405.0
2021-11-30,403.35
2021-12-01,407.0
2021-12-02,407.0
2021-12-03,410.0
2021-12-06,405.0
2021-12-07,404.1
2021-12-08,404.1
2021-12-09,404.3
2021-12-10,405.15
2021-12-13,405.15
2021-12-14,405.15
2021-12-15,409.0
2021-12-16,409.9
2021-12-17,409.0
2021-12-20,409.0
2021-12-21,401.0
2021-12-22,405.0
2021-12-23,410.0
2021-12-24,400.05
2021-12-27,409.0
2021-12-28,409.0
2021-12-29,410.0
2021-12-30,413.0
2021-12-31,415.0
2022-01-03,403.0
2022-01-04,414.8
2022-01-05,403.25
2022-01-06,404.0
2022-01-07,403.2
2022-01-10,405.0
2022-01-12,415.0
2022-01-13,419.95
2022-01-14,420.0
2022-01-17,422.1
2022-01-18,440.0
2022-01-19,430.0
2022-01-20,435.1
2022-01-21,450.0
2022-01-24,450.1
2022-01-25,450.5
2022-01-26,450.5
2022-01-27,450.65
2022-01-28,450.7
2022-01-31,451.0
2022-02-01,453.0
2022-02-02,447.0
2022-02-03,450.0
