date,ATH
2000-01-06,19.875
2000-01-07,21.0
2000-01-13,20.915
2000-01-19,19.7
2000-01-21,18.55
2000-01-24,18.55
2000-01-31,19.65
2000-02-02,19.5
2000-02-07,19.0
2000-02-29,17.5
2000-03-02,18.3
2000-03-08,18.6
2000-03-10,18.5
2000-03-13,18.3
2000-03-14,18.503
2000-03-16,18.5
2000-03-20,18.5
2000-03-21,18.5
2000-03-22,18.3
2000-03-27,18.95
2000-03-30,17.825
2000-03-31,18.45
2000-04-18,17.625
2000-04-21,17.1
2000-04-26,17.1
2000-04-27,17.05
2000-05-05,17.35
2000-05-15,19.45
2000-05-16,18.3
2000-05-23,18.3
2000-05-26,17.25
2000-06-07,17.3
2000-06-22,18.0
2000-06-26,18.0
2000-06-27,17.75
2000-06-28,17.3
2000-06-29,17.5
2000-07-13,17.5
2000-07-17,17.25
2000-07-21,16.75
2000-07-26,15.75
2000-07-28,15.5
2000-08-01,15.0
2000-08-16,17.2
2000-08-28,16.0
2000-09-05,15.75
2000-09-07,15.75
2000-09-11,15.65
2000-09-13,15.75
2000-09-14,15.747
2000-09-19,15.55
2000-09-20,15.55
2000-10-02,15.55
2000-10-03,16.45
2000-10-19,15.465
2000-11-13,15.255
2000-11-21,15.05
2000-11-22,14.25
2000-12-07,14.945
2000-12-08,14.25
2000-12-15,15.105
2000-12-21,15.0
2000-12-22,15.0
2001-01-05,14.25
2001-01-10,15.0
2001-01-16,15.0
2001-01-17,15.0
2001-01-18,15.0
2001-01-19,14.1
2001-01-22,14.1
2001-01-23,14.1
2001-01-24,14.1
2001-01-25,14.1
2001-01-26,14.1
2001-01-29,14.1
2001-01-30,14.1
2001-01-31,14.1
2001-02-01,14.1
2001-02-02,14.1
2001-02-05,14.1
2001-02-06,13.75
2001-02-07,13.75
2001-02-08,13.75
2001-02-09,14.997
2001-02-12,14.997
2001-02-13,15.0
2001-02-15,15.0
2001-02-16,15.0
2001-02-19,15.0
2001-02-20,15.0
2001-02-21,15.0
2001-02-22,14.997
2001-02-23,14.95
2001-02-26,14.1
2001-02-28,14.1
2001-03-01,14.1
2001-03-02,14.85
2001-03-05,14.85
2001-03-08,14.85
2001-03-09,14.85
2001-03-12,13.85
