date,ATL
2007-10-18,159.7
2007-10-22,193.1
2007-10-24,216.8
2007-10-25,204.0
2007-10-26,207.8
2007-10-29,209.5
2007-10-30,204.1
2007-10-31,198.0
2007-11-01,197.0
2007-11-02,201.0
2007-11-05,196.5
2007-11-07,200.0
2007-11-08,193.1
2007-11-09,192.5
2007-11-12,194.5
2007-11-13,185.3
2007-11-14,184.5
2007-11-15,189.0
2007-11-16,191.0
2007-11-19,188.0
2007-11-20,183.5
2007-11-21,180.0
2007-11-22,181.9
2007-11-23,180.0
2007-11-26,173.6
2007-11-27,182.2
2007-11-28,189.0
2007-11-29,186.0
2007-11-30,186.9
2007-12-03,180.8
2007-12-04,177.8
2007-12-05,176.0
2007-12-06,175.0
2007-12-07,173.5
2007-12-10,170.8
2007-12-11,180.0
2007-12-12,180.9
2007-12-13,182.0
2007-12-14,179.3
2007-12-17,174.5
2007-12-18,173.0
2007-12-19,170.0
2007-12-20,170.1
2007-12-24,170.0
2007-12-25,167.6
2007-12-26,165.1
2007-12-27,165.1
2007-12-28,166.7
2007-12-31,166.1
2008-01-02,167.4
2008-01-03,170.3
2008-01-04,171.9
2008-01-07,171.5
2008-01-08,169.9
2008-01-09,169.0
2008-01-14,165.1
2008-01-15,165.7
2008-01-16,167.5
2008-01-17,165.2
2008-01-18,164.0
2008-01-21,162.8
2008-01-22,164.9
2008-01-23,163.0
2008-01-24,161.5
2008-01-25,163.0
2008-01-28,160.0
2008-01-29,158.5
2008-01-30,158.0
2008-01-31,154.5
2008-02-01,153.8
2008-02-04,156.0
2008-02-05,159.5
2008-02-06,159.0
2008-02-07,157.3
2008-02-08,156.6
2008-02-11,155.0
2008-02-12,156.0
2008-02-13,154.0
2008-02-14,153.0
2008-02-15,152.0
2008-02-18,150.5
2008-02-19,150.0
2008-02-20,148.0
2008-02-21,140.0
2008-02-22,133.3
2008-02-25,138.0
2008-02-26,146.2
2008-02-27,147.9
2008-02-28,147.9
2008-02-29,146.3
2008-03-03,139.0
2008-03-04,138.0
2008-03-05,137.9
2008-03-06,137.0
2008-03-07,137.7
2008-03-10,139.5
2008-03-11,139.2
2008-03-12,139.8
2008-03-13,138.0
2008-03-14,136.0
2008-03-17,134.3
2008-03-18,132.0
2008-03-19,135.0
2008-03-24,132.0
2008-03-25,132.0
2008-03-26,134.9
2008-03-27,135.0
2008-03-28,135.1
2008-03-31,135.5
2008-04-01,135.5
2008-04-02,132.0
2008-04-03,135.0
2008-04-04,134.0
2008-04-07,133.5
2008-04-08,134.9
2008-04-09,135.0
2008-04-10,135.0
2008-04-11,134.9
2008-04-14,133.1
2008-04-15,133.9
2008-04-16,133.5
2008-04-17,132.0
2008-04-18,132.8
2008-04-21,131.6
2008-04-22,131.5
2008-04-23,131.4
2008-04-24,131.3
2008-04-25,131.3
2008-04-28,131.2
2008-04-29,131.3
2008-04-30,131.5
2008-05-02,131.5
2008-05-05,131.5
2008-05-06,131.5
2008-05-07,131.2
2008-05-08,131.9
2008-05-09,129.5
2008-05-12,131.6
2008-05-13,130.5
2008-05-14,130.5
2008-05-15,130.1
2008-05-16,132.0
2008-05-19,129.5
2008-05-20,130.2
2008-05-21,130.3
2008-05-22,130.1
2008-05-23,130.6
2008-05-26,130.0
2008-05-27,129.4
2008-05-28,130.0
2008-05-29,131.0
2008-05-30,130.0
2008-06-02,134.0
2008-06-03,133.7
2008-06-04,133.0
2008-06-05,131.1
2008-06-06,131.1
2008-06-09,131.1
2008-06-10,132.2
2008-06-11,131.0
2008-06-12,131.5
2008-06-13,130.7
2008-06-16,131.8
2008-06-17,129.3
2008-06-18,129.5
2008-06-19,127.5
2008-06-20,127.7
2008-06-23,128.8
2008-06-24,126.2
2008-06-25,125.5
2008-06-26,125.4
2008-06-27,122.2
2008-06-30,120.0
2008-07-01,117.6
2008-07-02,119.0
2008-07-03,118.0
2008-07-04,117.0
2008-07-07,114.0
2008-07-08,117.5
2008-07-09,120.0
2008-07-10,120.6
2008-07-11,121.2
2008-07-14,121.0
2008-07-15,122.0
2008-07-16,120.1
2008-07-17,121.6
2008-07-18,121.2
2008-07-21,120.2
2008-07-22,118.6
2008-07-23,119.6
2008-07-24,125.1
2008-07-25,124.2
2008-07-28,124.3
2008-07-29,125.0
2008-07-31,122.1
2008-08-01,124.0
2008-08-04,121.0
2008-08-05,121.3
2008-08-06,118.0
2008-08-07,116.6
2008-08-08,116.6
2008-08-11,116.3
2008-08-12,117.0
2008-08-13,119.1
2008-08-15,121.0
2008-08-18,122.6
2008-08-19,122.7
2008-08-22,122.0
2008-08-25,122.4
2008-08-26,123.5
2008-08-27,123.8
2008-08-28,123.6
2008-08-29,125.0
2008-09-01,127.1
2008-09-02,126.7
2008-09-03,129.8
2008-09-04,130.0
2008-09-05,126.1
2008-09-08,125.6
2008-09-09,124.2
2008-09-10,125.0
2008-09-11,131.0
2008-09-12,132.0
2008-09-15,125.0
2008-09-16,125.0
2008-09-17,126.0
2008-09-18,130.5
2008-09-19,136.0
2008-09-22,138.0
2008-09-23,142.0
2008-09-24,140.0
2008-09-25,139.0
2008-09-26,139.0
2008-09-29,139.9
2008-09-30,140.0
2008-10-03,140.0
2008-10-06,139.0
2008-10-07,139.0
2008-10-08,139.0
2008-10-09,133.0
2008-10-10,133.0
2008-10-13,135.0
2008-10-14,135.0
2008-10-15,135.0
2008-10-16,135.0
2008-10-17,133.9
2008-10-20,134.0
2008-10-21,134.0
2008-10-22,135.0
2008-10-23,135.0
2008-10-24,131.7
2008-10-27,126.5
2008-10-28,129.9
2008-10-29,129.8
2008-10-30,130.0
2008-10-31,130.0
2008-11-03,129.9
2008-11-04,129.8
2008-11-05,128.8
2008-11-07,129.5
2008-11-10,129.0
2008-11-11,129.5
2008-11-12,129.5
2008-11-13,129.0
2008-11-14,126.65
2008-11-17,128.0
2008-11-19,128.7
2008-11-20,128.7
2008-11-21,127.0
2008-11-24,126.0
2008-11-25,125.0
2008-11-26,125.0
2008-11-27,126.9
2008-11-28,125.5
2008-12-01,127.35
2008-12-02,127.4
2008-12-03,125.0
2008-12-04,125.0
2008-12-05,123.9
2008-12-08,124.0
2008-12-11,127.0
2008-12-12,125.0
2008-12-15,123.0
2008-12-16,121.0
2008-12-17,122.0
2008-12-18,121.0
2008-12-19,119.1
2008-12-22,122.0
2008-12-23,121.9
2008-12-24,120.5
2008-12-25,125.0
2008-12-26,118.5
2008-12-30,117.0
2008-12-31,118.0
2009-01-02,110.95
2009-01-05,104.3
2009-01-06,98.06
2009-01-07,98.0
2009-01-08,98.0
2009-01-09,99.1
2009-01-12,99.0
2009-01-13,96.0
2009-01-14,98.9
2009-01-15,98.0
