date,ATW
2000-01-05,100.0
2000-01-06,100.0
2000-01-07,100.0
2000-01-12,99.8
2000-01-13,99.8
2000-01-14,100.5
2000-01-17,99.8
2000-01-20,99.8
2000-01-24,100.5
2000-01-26,100.0
2000-01-27,100.0
2000-01-28,99.8
2000-01-31,99.9
2000-02-02,99.0
2000-02-04,99.4
2000-02-07,98.0
2000-02-17,97.8
2000-02-23,95.7
2000-02-24,95.0
2000-02-25,92.5
2000-02-28,93.5
2000-02-29,93.5
2000-03-01,93.5
2000-03-02,93.3
2000-03-03,93.0
2000-03-06,92.5
2000-03-07,92.5
2000-03-08,92.5
2000-03-09,93.0
2000-03-10,94.0
2000-03-13,95.0
2000-03-14,94.9
2000-03-15,95.0
2000-03-16,94.0
2000-03-20,94.9
2000-03-21,94.4
2000-03-22,94.0
2000-03-27,94.0
2000-03-28,95.0
2000-03-29,94.8
2000-03-30,94.7
2000-03-31,94.0
2000-04-04,94.0
2000-04-07,93.5
2000-04-11,92.5
2000-04-12,92.0
2000-04-13,92.9
2000-04-14,91.0
2000-04-17,91.0
2000-04-18,90.0
2000-04-20,93.9
2000-04-21,93.4
2000-04-24,92.0
2000-04-25,91.0
2000-04-26,91.0
2000-04-27,91.0
2000-04-28,90.7
2000-05-02,90.7
2000-05-03,88.0
2000-05-04,90.8
2000-05-05,90.1
2000-05-11,94.0
2000-05-12,94.5
2000-05-15,94.5
2000-05-16,94.5
2000-05-17,94.5
2000-05-19,91.1
2000-05-22,91.0
2000-05-23,90.6
2000-05-24,92.0
2000-05-25,92.0
2000-05-29,90.9
2000-05-31,90.6
2000-06-01,90.8
2000-06-02,90.9
2000-06-05,90.7
2000-06-06,91.0
2000-06-07,91.0
2000-06-08,91.0
2000-06-09,91.5
2000-06-13,91.0
2000-06-14,90.9
2000-06-19,90.2
2000-06-20,90.2
2000-06-21,90.2
2000-06-22,90.2
2000-06-23,90.1
2000-06-26,90.1
2000-06-27,90.0
2000-06-28,90.0
2000-06-29,90.0
2000-07-03,90.1
2000-07-04,90.1
2000-07-06,90.5
2000-07-10,90.2
2000-07-11,92.0
2000-07-12,90.2
2000-07-13,90.4
2000-07-14,90.5
2000-07-17,90.0
2000-07-18,90.2
2000-07-19,90.5
2000-07-20,90.3
2000-07-21,90.3
2000-07-24,90.0
2000-07-25,90.0
2000-07-26,90.0
2000-07-27,88.2
