date,BCI
2000-01-03,408.369
2000-01-04,408.369
2000-01-05,408.369
2000-01-06,404.373
2000-01-07,407.569
2000-01-12,407.569
2000-01-13,407.569
2000-01-14,408.369
2000-01-17,407.569
2000-01-18,407.569
2000-01-20,408.369
2000-01-21,409.168
2000-01-24,409.967
2000-01-25,411.565
2000-01-26,410.766
2000-01-27,407.569
2000-01-28,407.569
2000-01-31,410.766
2000-02-02,407.569
2000-02-03,408.369
2000-02-04,407.569
2000-02-07,407.569
2000-02-17,405.172
2000-02-23,399.578
2000-02-24,375.603
2000-02-25,381.237
2000-02-28,379.599
2000-02-29,398.779
2000-03-01,399.578
2000-03-02,403.574
2000-03-03,402.775
2000-03-06,399.578
2000-03-07,399.578
2000-03-08,399.578
2000-03-10,387.591
2000-03-13,387.591
2000-03-15,387.591
2000-03-16,399.578
2000-03-21,387.591
2000-03-22,387.591
2000-03-28,391.586
2000-03-29,399.578
2000-03-30,398.779
2000-03-31,398.779
2000-04-04,391.586
2000-04-12,383.595
2000-04-13,375.603
2000-04-14,375.603
2000-04-17,359.62
2000-04-18,340.44
2000-04-20,337.244
2000-04-21,337.244
2000-04-24,351.629
2000-04-25,342.838
2000-04-26,343.797
2000-04-28,347.633
2000-05-04,344.436
2000-05-05,343.717
2000-05-11,382.036
2000-05-12,402.775
2000-05-15,402.775
2000-05-16,398.779
2000-05-17,389.988
2000-05-22,367.612
2000-05-23,377.202
2000-05-24,384.394
2000-05-25,383.555
2000-05-26,383.595
2000-05-29,387.511
2000-05-31,383.555
2000-06-01,383.595
2000-06-02,383.595
2000-06-05,387.591
2000-06-06,399.578
2000-06-07,399.418
2000-06-08,381.197
2000-06-09,381.197
2000-06-14,379.599
2000-06-21,389.988
2000-06-22,379.599
2000-06-26,381.197
2000-06-27,381.197
2000-06-28,383.595
2000-06-29,399.578
2000-07-05,398.779
2000-07-06,398.779
2000-07-07,397.18
2000-07-10,386.791
2000-07-11,370.808
2000-07-13,384.394
2000-07-14,384.394
2000-07-18,387.591
2000-07-19,387.591
2000-07-20,383.595
2000-07-21,375.603
2000-07-24,367.612
2000-07-25,369.21
2000-07-26,370.009
2000-07-27,378.4
2000-07-28,381.996
2000-07-31,387.591
2000-08-01,375.603
2000-08-02,377.202
2000-08-03,377.202
2000-08-07,376.402
2000-08-08,378.001
2000-08-09,379.599
2000-08-10,383.595
2000-08-11,375.603
2000-08-15,383.595
2000-08-16,383.595
2000-08-17,390.787
2000-08-18,389.988
2000-08-23,399.578
2000-08-24,415.561
2000-08-28,407.569
2000-08-29,399.578
2000-08-30,403.574
2000-08-31,403.574
2000-09-01,399.578
2000-09-04,403.574
2000-09-05,406.77
2000-09-06,402.775
2000-09-07,397.18
2000-09-08,400.377
2000-09-11,403.574
2000-09-12,399.578
2000-09-13,395.582
2000-09-14,391.586
2000-09-19,397.98
2000-09-20,391.586
2000-09-21,395.582
2000-09-22,395.582
2000-09-25,391.586
2000-09-26,394.783
2000-09-29,395.582
2000-10-02,394.743
2000-10-03,394.783
2000-10-04,385.233
2000-10-05,383.595
2000-10-06,391.586
2000-10-12,383.755
2000-10-13,383.675
2000-10-17,383.595
2000-10-18,383.595
2000-10-19,382.796
2000-10-20,383.595
2000-10-26,381.996
2000-10-30,382.796
2000-10-31,382.796
2000-11-03,382.796
2000-11-07,369.21
2000-11-08,382.796
2000-11-09,382.796
2000-11-10,381.996
2000-11-13,379.559
2000-11-14,375.603
2000-11-15,375.603
2000-11-17,367.612
2000-11-20,351.629
2000-11-21,367.612
2000-11-22,375.603
2000-11-23,375.603
2000-11-24,381.996
2000-11-27,381.197
2000-11-28,375.603
2000-11-29,397.98
2000-11-30,393.984
2000-12-01,391.506
2000-12-04,375.603
2000-12-05,367.612
2000-12-06,382.796
2000-12-07,363.616
2000-12-08,372.407
2000-12-11,371.607
2000-12-12,367.612
2000-12-13,368.411
2000-12-14,372.407
2000-12-15,372.407
2000-12-19,381.996
2000-12-20,372.407
2000-12-21,381.197
2000-12-26,368.411
2000-12-29,374.724
2001-01-04,363.616
2001-01-05,355.624
2001-01-08,363.616
2001-01-09,355.624
2001-01-10,355.624
2001-01-12,363.616
2001-01-15,359.62
2001-01-16,363.616
2001-01-17,372.407
2001-01-18,372.407
2001-01-19,350.829
2001-01-22,343.637
2001-01-23,354.825
2001-01-24,360.419
2001-01-25,360.419
2001-01-26,362.817
2001-01-29,370.009
2001-01-30,377.202
2001-01-31,377.202
2001-02-01,375.603
2001-02-02,375.603
2001-02-05,383.195
2001-02-06,375.603
2001-02-07,375.603
2001-02-08,368.491
2001-02-09,368.491
2001-02-12,368.491
2001-02-13,367.612
2001-02-14,375.603
2001-02-15,383.595
2001-02-16,383.595
2001-02-19,389.988
2001-02-20,379.599
2001-02-21,375.603
2001-02-22,383.595
2001-02-23,384.394
2001-02-26,392.386
2001-02-27,404.373
2001-02-28,404.373
2001-03-01,406.77
2001-03-02,404.373
2001-03-05,399.578
2001-03-08,400.377
2001-03-09,399.578
2001-03-12,393.984
2001-03-13,395.582
2001-03-14,395.582
2001-03-15,399.578
2001-03-16,393.984
2001-03-19,393.584
2001-03-20,387.591
2001-03-21,387.591
2001-03-22,389.189
2001-03-23,389.189
2001-03-26,390.827
2001-03-28,393.185
2001-03-29,393.185
2001-03-30,393.185
2001-04-02,390.787
2001-04-03,387.591
2001-04-04,387.591
2001-04-05,387.631
2001-04-06,387.83
2001-04-09,384.394
2001-04-10,384.394
2001-04-11,384.434
2001-04-12,383.595
2001-04-13,387.591
2001-04-16,391.586
2001-04-17,387.591
2001-04-18,375.763
2001-04-19,367.612
2001-04-20,367.612
2001-04-23,367.612
2001-04-24,367.612
2001-04-25,360.419
2001-04-26,355.624
2001-04-27,359.62
2001-04-30,366.813
2001-05-02,366.813
2001-05-03,367.612
2001-05-04,367.612
2001-05-07,367.612
2001-05-08,367.612
2001-05-09,367.612
2001-05-10,367.612
2001-05-11,367.612
2001-05-14,367.612
2001-05-15,367.612
2001-05-16,367.612
2001-05-17,367.612
2001-05-18,368.171
2001-05-21,368.171
2001-05-22,367.612
2001-05-23,368.411
2001-05-24,367.692
2001-05-25,367.692
2001-05-28,367.692
2001-05-29,368.411
2001-05-30,367.612
2001-05-31,367.612
2001-06-01,370.808
2001-06-04,371.607
2001-06-07,369.21
2001-06-08,369.21
2001-06-11,367.612
2001-06-12,367.612
2001-06-13,367.612
2001-06-14,367.612
2001-06-15,356.424
2001-06-18,356.424
2001-06-19,375.603
2001-06-20,375.603
2001-06-21,375.603
2001-06-22,375.603
2001-06-25,375.603
2001-06-26,375.603
2001-06-27,375.603
2001-06-28,375.603
2001-06-29,367.612
2001-07-02,367.612
2001-07-03,367.612
2001-07-04,367.612
2001-07-05,352.428
2001-07-06,353.227
2001-07-09,363.616
2001-07-10,367.612
2001-07-11,375.603
2001-07-12,367.612
2001-07-13,367.612
2001-07-16,367.612
2001-07-17,367.612
2001-07-18,367.612
2001-07-19,367.612
2001-07-20,367.612
2001-07-23,367.612
2001-07-24,367.612
2001-07-25,367.612
2001-07-26,367.612
2001-07-27,367.612
2001-07-31,367.612
2001-08-01,367.612
2001-08-02,367.612
2001-08-03,367.612
2001-08-06,383.595
2001-08-07,383.595
2001-08-08,372.407
2001-08-09,374.045
2001-08-10,374.045
2001-08-13,371.607
2001-08-15,371.607
2001-08-16,371.607
2001-08-17,371.607
2001-08-22,367.612
2001-08-23,368.451
2001-08-24,368.451
2001-08-27,370.009
2001-08-28,368.411
2001-08-29,368.411
2001-08-30,371.607
2001-08-31,371.607
2001-09-03,371.607
2001-09-04,374.005
2001-09-05,375.603
2001-09-06,375.603
2001-09-07,395.582
2001-09-10,395.582
2001-09-11,380.398
2001-09-12,378.001
2001-09-13,377.202
2001-09-14,377.202
2001-09-17,368.411
2001-09-18,367.612
2001-09-19,375.603
2001-09-20,372.407
2001-09-21,371.607
2001-09-24,371.607
2001-09-25,371.607
2001-09-26,371.607
2001-09-27,371.607
2001-09-28,369.21
2001-10-01,369.21
2001-10-02,369.21
2001-10-03,369.21
2001-10-04,369.21
2001-10-05,369.21
2001-10-08,368.411
2001-10-09,368.411
2001-10-10,368.411
2001-10-11,371.607
2001-10-12,371.647
2001-10-15,371.647
2001-10-16,368.411
2001-10-17,368.411
2001-10-18,375.603
2001-10-19,367.692
2001-10-22,367.612
2001-10-23,367.652
2001-10-24,367.612
2001-10-25,367.612
2001-10-26,367.612
2001-10-29,375.603
2001-10-30,367.612
2001-10-31,367.612
2001-11-01,367.612
2001-11-02,367.612
2001-11-05,367.612
2001-11-07,367.612
2001-11-08,358.022
2001-11-09,367.612
2001-11-12,367.612
2001-11-13,367.612
2001-11-14,367.612
2001-11-15,367.612
2001-11-16,367.612
2001-11-19,367.612
2001-11-20,367.612
2001-11-21,367.612
2001-11-22,367.612
2001-11-23,367.612
2001-11-26,369.25
2001-11-27,369.25
2001-11-28,369.25
2001-11-29,369.25
2001-11-30,371.607
2001-12-03,371.607
2001-12-04,371.647
2001-12-05,369.37
2001-12-06,369.37
2001-12-07,369.45
2001-12-10,369.45
2001-12-11,370.848
2001-12-12,370.808
2001-12-13,375.603
2001-12-14,375.603
2001-12-19,375.603
2001-12-20,371.687
2001-12-21,370.808
2001-12-24,370.808
2001-12-25,375.603
2001-12-26,379.599
2001-12-27,379.599
2001-12-28,379.599
2001-12-31,382.796
2002-01-04,382.796
2002-01-09,382.796
2002-01-10,381.157
2002-01-14,381.157
2002-01-15,372.407
2002-01-16,372.407
2002-01-17,372.407
2002-01-18,375.603
2002-01-21,375.603
2002-01-22,369.45
2002-01-23,369.45
2002-01-24,369.45
2002-01-25,369.45
2002-01-28,369.45
2002-01-29,369.45
2002-01-30,369.45
2002-01-31,370.808
2002-02-01,371.607
2002-02-04,371.607
2002-02-05,372.407
2002-02-06,372.487
2002-02-07,372.407
2002-02-08,372.407
2002-02-11,372.407
2002-02-12,372.407
2002-02-13,372.487
2002-02-14,372.487
2002-02-15,372.487
2002-02-18,372.487
2002-02-19,360.419
2002-02-20,366.013
2002-02-21,366.813
2002-02-22,366.013
2002-02-26,366.013
2002-02-27,370.009
2002-02-28,375.603
2002-03-01,375.603
2002-03-04,379.599
2002-03-05,379.599
2002-03-06,379.599
2002-03-07,379.599
2002-03-08,379.599
2002-03-11,382.796
2002-03-12,379.599
2002-03-13,380.398
2002-03-14,380.398
2002-03-18,379.599
2002-03-19,379.599
2002-03-20,379.599
2002-03-21,379.599
2002-03-22,380.398
2002-03-25,380.398
2002-03-26,381.277
2002-03-27,381.277
2002-03-28,381.996
2002-03-29,381.996
2002-04-01,382.036
2002-04-02,381.996
2002-04-03,382.796
2002-04-05,382.836
2002-04-08,381.996
2002-04-09,383.595
2002-04-10,383.595
2002-04-11,387.591
2002-04-12,391.586
2002-04-15,391.586
2002-04-17,399.578
2002-04-18,399.578
2002-04-22,399.578
2002-04-23,401.176
2002-04-24,399.578
2002-04-26,401.975
2002-04-29,401.975
2002-04-30,407.569
2002-05-02,407.569
2002-05-03,399.578
2002-05-06,399.578
2002-05-07,399.578
2002-05-10,381.197
2002-05-14,384.394
2002-05-15,383.595
2002-05-16,383.595
2002-05-17,385.193
2002-05-20,385.193
2002-05-21,383.595
2002-05-22,383.595
2002-05-23,383.595
2002-05-24,384.394
2002-05-27,383.595
2002-05-28,383.595
2002-05-29,383.595
2002-05-30,383.635
2002-05-31,385.593
2002-06-06,387.631
2002-06-10,387.631
2002-06-11,385.992
2002-06-12,385.992
2002-06-13,384.474
2002-06-14,391.586
2002-06-17,391.586
2002-06-18,372.407
2002-06-21,372.646
2002-06-24,373.206
2002-06-25,374.005
2002-06-26,374.085
2002-06-28,374.085
2002-07-02,375.643
2002-07-03,377.361
2002-07-05,377.202
2002-07-08,371.607
2002-07-09,373.206
2002-07-12,373.206
2002-07-15,373.206
2002-07-16,372.407
2002-07-17,379.599
2002-07-18,379.599
2002-07-19,379.599
2002-07-22,371.687
2002-07-23,375.603
2002-07-24,379.439
2002-07-25,379.599
2002-07-26,379.599
2002-07-29,379.599
2002-08-05,380.398
2002-08-06,379.599
2002-08-07,383.595
2002-08-08,379.599
2002-08-13,379.599
2002-08-22,379.599
2002-08-23,381.197
2002-08-28,383.595
2002-08-30,384.394
2002-09-02,399.578
2002-09-03,391.586
2002-09-09,371.607
2002-09-10,383.675
2002-09-13,391.586
2002-09-17,379.599
2002-09-18,381.996
2002-09-19,378.001
2002-09-20,391.586
2002-09-23,376.402
2002-09-24,379.639
2002-09-25,379.599
2002-09-27,391.586
2002-10-01,380.398
2002-10-03,377.202
2002-10-04,381.237
2002-10-07,389.988
2002-10-08,395.582
2002-10-14,391.586
2002-10-15,383.635
2002-10-16,383.595
2002-10-17,391.586
2002-10-21,391.586
2002-10-23,391.586
2002-10-24,391.586
2002-10-29,385.193
2002-11-01,388.39
2002-11-05,388.39
2002-11-07,388.39
2002-11-08,388.39
2002-11-11,391.586
2002-11-13,391.586
2002-11-14,391.586
2002-11-15,388.39
2002-11-20,383.595
2002-11-21,391.586
2002-11-22,391.586
2002-11-25,395.582
2002-11-27,395.582
2002-11-28,391.746
2002-11-29,395.582
2002-12-02,395.582
2002-12-04,393.185
2002-12-05,395.582
2002-12-09,395.582
2002-12-11,395.662
2002-12-13,395.662
2002-12-16,395.582
2002-12-17,396.381
2002-12-19,397.18
2002-12-20,398.06
2002-12-24,398.06
2002-12-25,398.06
2002-12-26,398.779
2002-12-27,397.98
2002-12-30,398.779
2002-12-31,397.18
2003-01-06,398.02
2003-01-07,387.591
2003-01-10,387.591
2003-01-16,395.582
2003-01-21,393.185
2003-01-23,392.386
2003-01-24,391.586
2003-01-27,392.425
2003-02-04,393.185
2003-02-14,393.185
2003-02-18,395.582
2003-02-19,399.578
2003-02-21,401.975
2003-02-25,408.369
2003-02-26,410.766
2003-02-27,411.565
2003-03-03,412.364
2003-03-04,408.369
2003-03-06,409.168
2003-03-07,407.569
2003-03-12,407.569
2003-03-13,408.369
2003-03-14,408.369
2003-03-17,408.369
2003-03-18,411.565
2003-03-19,403.574
2003-03-20,409.967
2003-03-21,409.967
2003-03-24,403.574
2003-03-26,404.373
2003-04-01,404.373
2003-04-02,405.971
2003-04-03,423.553
2003-04-04,406.77
2003-04-15,411.565
2003-04-16,411.565
2003-04-17,411.565
2003-04-18,419.557
2003-04-22,419.557
2003-04-24,419.557
2003-04-29,413.164
2003-05-02,411.565
2003-05-05,411.565
2003-05-07,410.766
2003-05-08,412.364
2003-05-09,412.364
2003-05-13,412.364
2003-05-16,407.569
2003-05-20,408.369
2003-05-21,412.364
2003-05-22,415.561
2003-05-26,408.369
2003-05-27,415.561
2003-05-29,415.561
2003-06-02,419.557
2003-06-03,444.331
2003-06-05,423.553
2003-06-06,431.544
2003-06-09,447.527
2003-06-12,435.54
2003-06-13,435.54
2003-06-16,435.54
2003-06-17,435.54
2003-06-19,439.536
2003-06-24,447.527
2003-06-25,439.536
2003-06-26,439.536
2003-07-03,415.561
2003-07-04,415.561
2003-07-07,419.557
2003-07-08,419.557
2003-07-10,419.557
2003-07-11,419.557
2003-07-14,419.557
2003-07-15,419.557
2003-07-16,419.557
2003-07-17,419.557
2003-07-23,414.762
2003-07-25,417.959
2003-08-01,419.557
2003-08-04,419.557
2003-08-05,420.356
2003-08-15,420.356
2003-08-25,423.553
2003-08-26,423.553
2003-08-28,453.121
2003-08-29,457.117
2003-09-02,457.117
2003-09-03,463.51
2003-09-04,460.314
2003-09-05,463.51
2003-09-08,463.51
2003-09-10,460.314
2003-09-12,458.715
2003-09-16,447.527
2003-09-18,450.724
2003-09-19,451.523
2003-09-23,443.531
2003-09-24,441.134
2003-09-26,442.732
2003-09-30,442.732
2003-10-02,439.536
2003-10-03,442.732
2003-10-07,437.937
2003-10-08,439.536
2003-10-16,459.515
2003-10-20,457.916
2003-10-22,457.916
2003-10-24,457.916
2003-10-27,457.916
2003-10-30,457.916
2003-10-31,455.519
2003-11-03,455.519
2003-11-04,456.318
2003-11-05,463.51
2003-11-07,462.711
2003-11-12,465.109
2003-11-13,467.506
2003-11-14,467.506
2003-11-19,465.109
2003-11-20,464.31
2003-11-21,467.506
2003-11-24,467.506
2003-11-25,467.506
2003-12-01,468.305
2003-12-04,470.703
2003-12-05,471.502
2003-12-08,475.498
2003-12-10,480.293
2003-12-11,480.293
2003-12-12,491.481
2003-12-15,499.472
2003-12-16,499.472
2003-12-17,499.472
2003-12-18,499.472
2003-12-19,497.874
2003-12-23,499.472
2003-12-25,480.293
2003-12-26,487.485
2003-12-29,499.472
2003-12-30,499.472
2003-12-31,493.878
2004-01-07,493.878
2004-01-08,493.878
2004-01-14,499.472
2004-01-15,500.272
2004-01-16,499.472
2004-01-19,500.272
2004-01-20,503.468
2004-01-21,503.468
2004-01-22,507.464
2004-01-27,519.451
2004-01-28,521.05
2004-01-29,508.263
2004-01-30,531.439
2004-02-03,531.439
2004-02-05,543.426
2004-02-06,519.451
2004-02-09,507.464
2004-02-11,519.451
2004-02-12,519.451
2004-02-13,519.451
2004-02-17,520.25
2004-02-18,521.05
2004-02-19,527.443
2004-02-20,538.631
2004-02-24,531.439
2004-02-26,533.037
2004-03-03,535.434
2004-03-04,543.426
2004-03-08,551.418
2004-03-09,575.392
2004-03-10,575.392
2004-03-11,574.593
2004-03-12,576.991
2004-03-16,579.388
2004-03-18,559.409
2004-03-19,574.593
2004-03-22,574.593
2004-03-25,559.409
2004-03-26,559.409
2004-03-31,559.409
2004-04-01,559.409
2004-04-02,543.426
2004-04-05,543.426
2004-04-06,519.451
2004-04-08,555.413
2004-04-09,555.413
2004-04-12,556.212
2004-04-13,562.606
2004-04-14,559.409
2004-04-20,557.811
2004-04-22,559.409
2004-04-23,558.61
2004-04-26,557.012
2004-04-27,559.409
2004-04-30,557.012
2004-05-04,551.418
2004-05-05,541.828
2004-05-06,539.43
2004-05-07,535.434
2004-05-10,533.037
2004-05-11,531.439
2004-05-12,532.238
2004-05-14,527.443
2004-05-17,519.451
2004-05-18,515.456
2004-05-19,519.451
2004-05-20,519.451
2004-05-21,524.246
2004-05-24,532.238
2004-05-25,540.229
2004-05-26,551.418
2004-05-27,559.409
2004-05-28,559.409
2004-06-01,567.401
2004-06-02,567.401
2004-06-03,575.392
2004-06-04,575.392
2004-06-07,579.388
2004-06-09,579.388
2004-06-11,579.388
2004-06-15,563.405
2004-06-17,575.392
2004-06-18,575.392
2004-06-21,574.593
2004-06-22,575.392
2004-06-23,575.392
2004-06-24,576.191
2004-06-25,576.191
2004-06-28,560.208
2004-06-29,559.409
2004-07-02,543.426
2004-07-05,533.037
2004-07-06,529.041
2004-07-09,519.451
2004-07-12,519.451
2004-07-13,527.443
2004-07-14,527.443
2004-07-15,529.84
2004-07-16,543.426
2004-07-19,558.61
2004-07-23,558.61
2004-07-27,536.234
2004-07-30,539.43
2004-08-02,557.012
