date,BCP
2004-07-14,40.0
2004-07-20,37.5
2004-07-21,39.2
2004-07-27,39.5
2004-07-30,38.05
2004-08-02,37.6
2004-08-03,37.6
2004-08-04,38.0
2004-08-05,38.25
2004-08-06,37.9
2004-08-09,37.7
2004-08-10,37.7
2004-08-11,37.8
2004-08-12,37.75
2004-08-13,37.8
2004-08-16,37.75
2004-08-17,37.7
2004-08-18,37.55
2004-08-19,37.35
2004-08-23,37.5
2004-08-24,37.5
2004-08-25,37.5
2004-08-26,37.5
2004-08-27,37.9
2004-08-30,37.6
2004-08-31,37.5
2004-09-01,37.5
2004-09-02,37.4
2004-09-03,37.4
2004-09-06,37.4
2004-09-07,37.5
2004-09-08,37.3
2004-09-09,37.2
2004-09-10,37.0
2004-09-13,36.8
2004-09-14,37.0
2004-09-15,36.75
2004-09-16,36.75
2004-09-17,37.0
2004-09-20,37.05
2004-09-21,37.0
2004-09-22,36.75
2004-09-23,36.6
2004-09-24,36.3
2004-09-27,36.25
2004-09-28,35.65
2004-09-29,36.0
2004-09-30,36.1
2004-10-01,35.65
2004-10-04,35.65
2004-10-05,35.35
2004-10-06,35.45
2004-10-07,34.95
2004-10-08,34.6
2004-10-11,34.8
2004-10-12,34.95
2004-10-13,34.4
2004-10-14,34.0
2004-10-15,33.95
2004-10-18,34.25
2004-10-19,34.5
2004-10-20,34.5
2004-10-21,34.65
2004-10-22,34.0
2004-10-25,34.3
2004-10-26,34.25
2004-10-27,34.0
2004-10-28,33.6
2004-10-29,33.5
2004-11-01,34.9
2004-11-02,34.5
2004-11-03,34.5
2004-11-04,34.5
2004-11-05,34.5
2004-11-08,34.7
2004-11-09,34.7
2004-11-10,34.7
2004-11-11,34.6
2004-11-12,34.5
2004-11-16,34.5
2004-11-17,34.5
2004-11-19,34.5
2004-11-22,34.0
2004-11-23,34.0
2004-11-24,34.5
2004-11-26,34.5
2004-11-29,34.5
2004-11-30,34.45
2004-12-01,34.45
2004-12-02,34.3
2004-12-03,34.25
2004-12-06,34.25
2004-12-07,34.2
2004-12-08,34.25
2004-12-09,34.2
2004-12-10,34.5
2004-12-13,35.0
2004-12-14,34.95
2004-12-15,34.95
2004-12-16,34.9
2004-12-17,34.75
2004-12-21,34.75
2004-12-22,34.7
2004-12-23,34.7
2004-12-24,34.65
2004-12-27,34.45
2004-12-28,34.45
2004-12-29,34.0
2004-12-30,34.0
2004-12-31,34.45
2005-01-03,34.35
2005-01-04,34.25
2005-01-05,34.25
2005-01-06,34.25
2005-01-07,34.25
2005-01-10,34.25
2005-01-12,34.4
2005-01-13,34.9
2005-01-14,34.9
2005-01-17,35.5
2005-01-18,36.0
2005-01-19,35.7
2005-01-20,35.45
2005-01-24,35.45
2005-01-25,34.7
2005-01-26,34.55
2005-01-27,35.05
2005-01-28,35.65
2005-01-31,35.75
2005-02-01,35.5
2005-02-02,35.75
2005-02-03,36.9
2005-02-04,36.25
2005-02-07,35.75
2005-02-08,36.0
2005-02-09,35.85
2005-02-11,35.95
2005-02-14,35.8
2005-02-15,36.0
2005-02-16,35.85
2005-02-17,35.7
2005-02-18,35.3
2005-02-21,35.3
2005-02-22,35.4
2005-02-23,34.85
2005-02-24,34.85
2005-02-25,35.3
2005-02-28,35.0
2005-03-01,35.3
2005-03-02,35.25
2005-03-03,35.0
2005-03-04,35.0
2005-03-07,34.85
2005-03-08,34.85
2005-03-09,34.5
2005-03-10,34.5
2005-03-11,35.3
2005-03-14,35.0
2005-03-15,35.0
2005-03-16,34.9
2005-03-17,34.95
2005-03-18,34.95
2005-03-21,34.95
2005-03-22,35.0
2005-03-23,34.75
2005-03-24,35.0
2005-03-25,35.0
2005-03-28,34.95
2005-03-29,34.6
2005-03-30,34.55
2005-03-31,34.5
2005-04-01,34.95
2005-04-04,34.2
2005-04-05,34.65
2005-04-06,34.6
2005-04-07,34.6
2005-04-08,34.65
2005-04-11,34.65
2005-04-12,34.65
2005-04-13,34.65
2005-04-14,34.95
2005-04-15,34.9
2005-04-18,35.0
2005-04-19,34.95
2005-04-20,34.95
2005-04-25,34.9
2005-04-26,34.9
2005-04-27,34.9
2005-04-28,34.95
2005-04-29,35.0
2005-05-02,35.1
2005-05-03,35.15
2005-05-04,35.2
2005-05-05,35.75
2005-05-06,35.75
2005-05-09,35.65
2005-05-10,36.0
2005-05-11,36.0
2005-05-12,35.75
2005-05-13,35.75
2005-05-16,35.7
2005-05-17,35.75
2005-05-18,35.75
2005-05-19,35.75
2005-05-20,35.55
2005-05-23,35.7
2005-05-24,35.9
2005-05-25,35.75
2005-05-26,35.75
2005-05-27,36.2
2005-05-30,36.35
2005-05-31,36.5
2005-06-01,36.5
2005-06-02,36.75
2005-06-03,36.0
2005-06-06,36.2
2005-06-07,36.25
2005-06-08,36.25
2005-06-09,36.2
2005-06-10,36.2
2005-06-13,36.2
2005-06-14,36.1
2005-06-15,36.2
2005-06-16,36.3
2005-06-17,36.25
2005-06-20,36.0
2005-06-21,36.0
2005-06-22,36.0
2005-06-23,36.0
2005-06-24,36.1
2005-06-27,36.0
2005-06-28,36.25
2005-06-29,36.2
2005-06-30,36.55
2005-07-01,35.75
2005-07-04,35.75
2005-07-05,35.75
2005-07-06,35.75
2005-07-07,35.75
2005-07-08,35.75
2005-07-11,35.9
2005-07-12,35.85
2005-07-13,35.95
2005-07-14,36.0
