date,BOA
2000-01-03,60.344
2000-01-04,60.165
2000-01-05,60.165
2000-01-06,59.718
2000-01-07,59.807
2000-01-12,60.076
2000-01-13,60.165
2000-01-14,60.165
2000-01-17,59.986
2000-01-18,59.807
2000-01-19,59.539
2000-01-20,59.539
2000-01-21,59.359
2000-01-24,59.539
2000-01-25,59.539
2000-01-26,59.091
2000-01-27,59.001
2000-01-28,59.091
2000-01-31,58.733
2000-02-01,58.733
2000-02-02,58.643
2000-02-03,58.375
2000-02-04,58.375
2000-02-07,58.196
2000-02-17,59.986
2000-02-23,57.927
2000-02-24,58.554
2000-02-25,57.837
2000-02-28,58.196
2000-02-29,57.927
2000-03-01,57.748
2000-03-02,57.837
2000-03-03,58.643
2000-03-06,58.643
2000-03-07,58.464
2000-03-08,58.554
2000-03-09,58.106
2000-03-10,58.106
2000-03-13,58.196
2000-03-14,58.196
2000-03-15,58.017
2000-03-16,57.927
2000-03-20,58.017
2000-03-21,57.927
2000-03-22,59.001
2000-03-23,59.091
2000-03-27,60.255
2000-03-28,59.986
2000-03-29,59.449
2000-03-30,59.449
2000-03-31,59.27
2000-04-04,58.196
2000-04-05,58.912
2000-04-07,58.643
2000-04-11,57.3
2000-04-12,57.3
2000-04-13,57.121
2000-04-14,57.3
2000-04-17,56.853
2000-04-18,55.599
2000-04-20,57.032
2000-04-21,56.942
2000-04-24,56.853
2000-04-25,56.763
2000-04-26,56.584
2000-04-27,55.957
2000-04-28,55.51
2000-05-02,54.435
2000-05-03,54.972
2000-05-04,56.674
2000-05-05,56.853
2000-05-08,56.405
2000-05-11,58.554
2000-05-12,58.643
2000-05-15,58.733
2000-05-16,59.091
2000-05-17,58.733
2000-05-19,58.017
2000-05-22,57.927
2000-05-23,58.196
2000-05-24,58.285
2000-05-25,58.822
2000-05-26,58.643
2000-05-29,58.822
2000-05-31,58.643
2000-06-01,58.733
2000-06-02,58.643
2000-06-05,58.375
2000-06-06,58.375
2000-06-07,58.464
2000-06-08,58.464
2000-06-09,58.196
2000-06-13,57.39
2000-06-14,57.39
2000-06-19,57.3
2000-06-20,57.032
2000-06-21,56.942
2000-06-22,57.121
2000-06-23,57.3
2000-06-26,57.658
2000-06-27,58.196
2000-06-28,58.196
2000-06-29,57.3
2000-07-03,57.417
2000-07-04,56.333
2000-07-05,55.644
2000-07-06,55.644
2000-07-07,56.136
2000-07-10,55.742
2000-07-11,56.629
2000-07-12,56.235
2000-07-13,56.333
2000-07-14,55.644
2000-07-17,55.151
2000-07-18,54.068
2000-07-19,53.674
2000-07-20,53.773
2000-07-21,53.674
2000-07-24,53.674
2000-07-25,53.182
2000-07-26,53.083
2000-07-27,52.591
2000-07-28,53.182
2000-07-31,53.182
2000-08-01,53.674
2000-08-02,53.576
2000-08-03,53.97
2000-08-04,53.97
2000-08-07,53.674
2000-08-08,53.674
2000-08-09,53.28
2000-08-10,53.182
2000-08-11,53.576
2000-08-15,53.182
2000-08-16,53.182
2000-08-17,53.773
2000-08-18,53.28
2000-08-24,58.106
2000-08-25,57.121
2000-08-28,56.235
2000-08-29,54.955
2000-08-30,54.167
2000-08-31,53.477
2000-09-01,53.477
2000-09-04,53.477
2000-09-05,53.674
2000-09-06,53.97
2000-09-07,53.773
2000-09-08,54.068
2000-09-11,53.477
2000-09-12,53.477
2000-09-13,53.182
2000-09-14,53.477
2000-09-15,53.182
2000-09-18,52.985
2000-09-19,52.985
2000-09-20,53.182
2000-09-21,53.083
2000-09-22,52.788
2000-09-25,52.295
2000-09-26,52.591
2000-09-27,52.591
2000-09-28,52.985
2000-09-29,52.689
2000-10-02,52.689
2000-10-03,52.689
2000-10-04,52.591
2000-10-05,52.492
2000-10-06,51.705
2000-10-09,51.705
2000-10-10,51.705
2000-10-11,51.212
2000-10-12,51.212
2000-10-13,51.212
2000-10-16,51.311
2000-10-17,50.818
2000-10-18,50.818
2000-10-19,50.523
2000-10-20,50.917
2000-10-23,51.114
2000-10-25,51.409
2000-10-26,51.409
2000-10-30,51.803
2000-10-31,51.901
2000-11-01,51.901
2000-11-02,51.901
2000-11-03,51.803
2000-11-07,51.803
2000-11-08,51.803
2000-11-09,51.705
2000-11-10,51.606
2000-11-13,51.508
2000-11-14,51.212
2000-11-15,50.523
2000-11-16,49.341
2000-11-17,49.242
2000-11-20,49.242
2000-11-21,49.242
2000-11-22,49.439
2000-11-23,49.735
2000-11-24,49.341
2000-11-27,49.242
2000-11-28,49.242
2000-11-29,49.242
2000-11-30,49.233
2000-12-01,48.947
2000-12-04,48.258
2000-12-05,45.697
2000-12-06,45.795
2000-12-07,46.189
2000-12-08,46.189
2000-12-11,46.288
2000-12-12,46.475
2000-12-13,46.583
2000-12-14,46.682
