date,CDM
2000-01-03,459.0
2000-01-04,460.0
2000-01-07,460.0
2000-01-13,465.0
2000-01-17,465.0
2000-01-19,464.0
2000-01-20,462.0
2000-01-21,460.0
2000-01-24,460.0
2000-01-25,459.95
2000-01-26,459.0
2000-01-27,441.0
2000-02-02,442.5
2000-02-03,443.0
2000-02-23,430.0
2000-02-24,429.0
2000-02-25,427.0
2000-02-28,431.9
2000-02-29,427.1
2000-03-01,430.0
2000-03-02,420.0
2000-03-06,428.0
2000-03-09,429.0
2000-03-10,429.9
2000-03-14,425.0
2000-03-15,424.05
2000-03-16,425.0
2000-03-21,425.0
2000-03-22,421.0
2000-03-23,429.0
2000-03-28,426.0
2000-03-30,426.0
2000-03-31,430.0
2000-04-05,420.0
2000-04-11,413.0
2000-04-17,418.0
2000-04-18,400.0
2000-04-20,400.0
2000-04-25,400.0
2000-04-26,400.0
2000-04-27,400.0
2000-05-04,400.0
2000-05-05,400.0
2000-05-08,397.0
2000-05-12,420.0
2000-05-16,439.0
2000-05-17,425.0
2000-05-19,425.0
2000-05-24,421.0
2000-05-25,421.0
2000-05-26,420.0
2000-05-29,422.0
2000-06-01,425.0
2000-06-02,423.0
2000-06-07,405.0
2000-06-19,400.0
2000-06-23,405.0
2000-06-26,401.0
2000-06-27,402.0
2000-06-28,400.0
2000-06-29,424.0
2000-07-05,411.0
2000-07-11,410.0
2000-07-12,410.0
2000-07-14,405.0
2000-07-19,405.0
2000-07-20,401.0
2000-07-21,401.0
2000-07-25,400.0
2000-07-26,390.0
2000-07-27,390.0
2000-07-31,400.0
2000-08-01,398.0
2000-08-02,398.9
2000-08-07,398.0
2000-08-08,397.95
2000-08-10,397.0
2000-08-11,390.0
2000-08-16,397.0
2000-08-17,392.0
2000-08-22,405.0
2000-08-24,430.0
2000-08-28,423.0
2000-08-29,412.0
2000-09-01,404.0
2000-09-06,410.0
2000-09-07,408.0
2000-09-13,406.0
2000-09-14,410.0
2000-09-15,404.0
2000-09-20,404.0
2000-09-25,400.0
2000-09-26,399.0
2000-09-27,396.0
2000-09-28,400.0
2000-09-29,395.0
2000-10-02,395.0
2000-10-03,395.0
2000-10-05,395.0
2000-10-06,392.0
2000-10-10,390.5
2000-10-11,387.0
2000-10-12,382.0
2000-10-13,376.0
2000-10-17,376.0
2000-10-18,370.0
2000-10-19,362.0
2000-10-20,375.0
2000-10-23,384.0
2000-10-25,381.0
2000-10-26,384.9
2000-10-30,376.0
2000-10-31,375.0
