date,CFG
2023-12-15,110.0
2023-12-18,120.95
2023-12-19,133.0
2023-12-20,146.25
2023-12-21,140.7
2023-12-22,141.0
2023-12-25,139.5
2023-12-26,140.0
2023-12-27,140.5
2023-12-28,141.0
2023-12-29,141.5
2024-01-02,146.0
2024-01-03,148.05
2024-01-04,149.5
2024-01-05,156.25
2024-01-08,157.0
2024-01-09,153.1
2024-01-10,155.0
2024-01-12,153.6
2024-01-15,152.3
2024-01-16,152.2
2024-01-17,152.0
2024-01-18,153.5
2024-01-19,156.0
2024-01-22,155.15
2024-01-23,155.0
2024-01-24,154.5
2024-01-25,153.0
2024-01-26,152.35
2024-01-29,152.05
2024-01-30,150.9
2024-01-31,149.6
2024-02-01,149.0
2024-02-02,149.9
2024-02-05,149.0
2024-02-06,150.0
2024-02-07,154.5
2024-02-08,153.0
2024-02-09,153.45
2024-02-12,153.0
2024-02-13,153.0
2024-02-14,152.0
2024-02-15,154.85
2024-02-16,156.0
2024-02-19,154.4
2024-02-20,155.05
2024-02-21,160.5
2024-02-22,160.0
2024-02-23,161.5
2024-02-26,161.6
2024-02-27,162.0
2024-02-28,163.0
2024-02-29,160.25
2024-03-01,161.0
2024-03-04,159.0
2024-03-05,157.2
2024-03-06,156.0
2024-03-07,155.0
2024-03-08,155.0
2024-03-11,155.3
2024-03-12,156.0
2024-03-13,156.0
2024-03-14,158.0
2024-03-15,158.55
2024-03-18,157.0
2024-03-19,156.3
2024-03-20,155.0
2024-03-21,155.1
2024-03-22,154.5
2024-03-25,154.65
2024-03-26,155.0
2024-03-27,156.5
2024-03-28,155.5
2024-03-29,154.9
2024-04-01,154.0
2024-04-02,152.4
2024-04-03,152.0
2024-04-04,151.35
2024-04-05,151.35
2024-04-08,152.0
2024-04-09,155.0
2024-04-15,153.0
2024-04-16,153.0
2024-04-17,153.0
2024-04-18,152.5
2024-04-19,152.5
2024-04-22,152.0
2024-04-23,150.9
2024-04-24,152.0
2024-04-25,152.0
2024-04-26,151.0
2024-04-29,151.85
2024-04-30,151.0
2024-05-02,151.0
2024-05-03,154.85
2024-05-06,152.55
2024-05-07,154.0
2024-05-08,154.0
2024-05-09,157.35
2024-05-10,161.95
2024-05-13,162.0
2024-05-14,163.0
2024-05-15,162.1
2024-05-16,166.0
2024-05-17,164.9
2024-05-20,165.0
2024-05-21,163.05
2024-05-22,161.0
2024-05-23,161.0
2024-05-24,160.5
2024-05-27,161.0
2024-05-28,161.0
2024-05-29,161.1
2024-05-30,161.1
2024-05-31,161.15
2024-06-03,161.0
2024-06-04,160.0
2024-06-05,158.0
2024-06-06,158.1
2024-06-07,158.05
2024-06-10,159.0
2024-06-11,159.0
2024-06-12,158.95
2024-06-13,160.0
2024-06-14,156.8
2024-06-19,159.6
2024-06-20,156.8
2024-06-21,156.7
2024-06-24,156.0
2024-06-25,162.5
2024-06-26,158.0
2024-06-27,158.1
2024-06-28,160.0
2024-07-01,156.35
2024-07-02,156.5
2024-07-03,155.0
2024-07-04,156.5
2024-07-05,156.1
2024-07-08,156.1
