date,CIH
2000-01-03,382.611
2000-01-05,387.639
2000-01-06,392.299
2000-01-07,389.969
2000-01-12,392.299
2000-01-13,392.422
2000-01-14,392.422
2000-01-17,387.517
2000-01-18,392.422
2000-01-20,390.95
2000-01-21,390.95
2000-01-24,390.95
2000-01-25,375.254
2000-01-26,387.517
2000-01-28,375.254
2000-02-01,380.159
2000-02-03,375.254
2000-02-04,377.706
2000-02-07,367.896
2000-02-17,338.464
2000-02-23,323.748
2000-02-24,318.843
2000-02-25,318.843
2000-02-28,316.39
2000-02-29,316.268
2000-03-01,316.39
2000-03-02,307.315
2000-03-03,306.58
2000-03-06,301.674
2000-03-07,304.25
2000-03-08,304.127
2000-03-09,299.222
2000-03-10,296.769
2000-03-13,289.656
2000-03-15,274.695
2000-03-16,274.695
2000-03-20,286.959
2000-03-21,274.695
2000-03-22,286.959
2000-03-27,274.695
2000-03-28,272.243
2000-03-31,226.182
2000-04-04,199.89
2000-04-05,196.211
2000-04-11,233.638
2000-04-12,233.001
2000-04-13,240.358
2000-04-14,239.132
2000-04-17,239.132
2000-04-18,235.453
2000-04-20,232.755
2000-04-21,230.548
2000-04-24,220.737
2000-04-26,220.983
2000-04-27,220.737
2000-04-28,213.379
2000-05-02,208.474
2000-05-03,203.569
2000-05-04,208.474
2000-05-05,218.285
2000-05-08,220.737
2000-05-11,223.19
2000-05-12,230.548
2000-05-15,230.548
2000-05-16,233.246
2000-05-17,233.001
2000-05-19,235.453
2000-05-22,235.453
2000-05-23,233.001
2000-05-24,237.661
2000-05-26,266.97
2000-05-29,264.885
2000-05-31,255.074
2000-06-01,255.074
2000-06-02,252.622
2000-06-05,255.074
2000-06-06,255.074
2000-06-07,250.169
2000-06-08,250.169
2000-06-09,242.811
2000-06-13,225.643
2000-06-14,225.643
2000-06-19,213.87
2000-06-20,225.643
2000-06-21,225.643
2000-06-22,225.643
2000-06-23,225.643
2000-06-26,220.737
2000-06-28,221.964
2000-06-29,221.964
2000-07-03,223.435
2000-07-04,230.548
2000-07-05,224.416
2000-07-06,230.548
2000-07-07,224.662
2000-07-10,232.755
2000-07-11,230.548
2000-07-12,224.907
2000-07-13,228.095
2000-07-14,225.888
2000-07-17,230.548
2000-07-18,223.19
2000-07-19,223.19
2000-07-20,220.737
2000-07-21,220.737
2000-07-24,220.737
2000-07-25,219.511
2000-07-26,212.644
2000-07-27,212.153
2000-07-28,210.927
2000-07-31,203.324
2000-08-01,213.379
2000-08-02,208.229
2000-08-03,213.134
2000-08-04,213.379
2000-08-07,208.474
2000-08-11,218.285
2000-08-15,220.737
2000-08-16,218.285
2000-08-17,208.229
2000-08-18,206.022
2000-08-24,215.587
2000-08-28,208.474
2000-08-29,208.474
2000-08-30,201.116
2000-08-31,201.116
2000-09-01,208.229
2000-09-04,203.569
2000-09-05,208.229
2000-09-06,208.229
2000-09-07,208.229
2000-09-08,207.248
2000-09-11,207.248
2000-09-12,201.362
2000-09-13,203.569
2000-09-14,204.795
2000-09-15,201.116
2000-09-18,204.795
2000-09-19,201.116
2000-09-20,198.664
2000-09-21,194.985
2000-09-22,196.211
2000-09-25,196.211
2000-09-26,193.758
2000-09-27,196.211
2000-09-28,193.758
2000-09-29,194.985
2000-10-02,188.853
2000-10-03,188.853
2000-10-04,188.853
2000-10-05,188.853
2000-10-06,188.853
2000-10-09,188.853
2000-10-10,189.098
2000-10-11,188.363
2000-10-12,183.948
2000-10-13,192.532
2000-10-16,193.268
2000-10-17,198.664
2000-10-18,206.022
2000-10-19,208.474
2000-10-20,208.474
2000-10-23,208.474
2000-10-25,207.248
2000-10-26,199.154
2000-10-30,198.909
2000-10-31,203.569
2000-11-01,212.153
2000-11-02,215.832
2000-11-03,210.927
2000-11-07,210.927
2000-11-08,210.927
2000-11-09,206.267
2000-11-10,210.927
