date,CMA
2000-01-03,454.5
2000-01-05,460.0
2000-01-06,460.0
2000-01-07,452.5
2000-01-13,450.0
2000-01-14,450.0
2000-01-17,450.0
2000-01-18,436.0
2000-01-19,437.5
2000-01-20,436.5
2000-01-21,439.0
2000-01-24,440.5
2000-01-25,440.5
2000-01-26,442.0
2000-01-27,441.0
2000-01-28,440.5
2000-01-31,437.5
2000-02-01,437.5
2000-02-02,439.0
2000-02-03,439.0
2000-02-04,438.0
2000-02-07,440.0
2000-02-23,424.5
2000-02-28,402.5
2000-02-29,414.5
2000-03-01,411.5
2000-03-03,411.5
2000-03-07,410.0
2000-03-08,420.0
2000-03-16,420.0
2000-03-20,419.0
2000-03-21,419.0
2000-03-22,422.5
2000-03-23,425.5
2000-03-28,431.0
2000-03-29,430.0
2000-03-30,427.5
2000-03-31,427.5
2000-04-04,425.0
2000-04-05,425.0
2000-04-07,425.0
2000-04-11,422.5
2000-04-12,420.0
2000-04-13,415.0
2000-04-14,416.0
2000-04-17,416.0
2000-04-18,415.5
2000-04-20,414.0
2000-04-21,412.5
2000-04-24,412.5
2000-04-25,412.5
2000-04-26,412.0
2000-04-27,410.5
2000-04-28,400.0
2000-05-03,354.0
2000-05-04,375.0
2000-05-05,385.0
2000-05-08,387.5
2000-05-11,400.0
2000-05-12,417.5
2000-05-15,425.0
2000-05-16,435.0
2000-05-17,435.0
2000-05-19,425.0
2000-05-23,424.5
2000-05-25,412.5
2000-05-29,417.0
2000-06-01,407.5
2000-06-02,405.0
2000-06-05,404.0
2000-06-06,400.0
2000-06-07,400.0
2000-06-19,399.5
2000-06-20,380.0
2000-06-21,380.5
2000-06-22,380.0
2000-06-23,381.5
2000-06-26,381.5
2000-06-27,382.5
2000-06-28,376.5
2000-06-29,397.5
2000-07-03,390.0
2000-07-06,386.5
2000-07-10,386.5
2000-07-11,390.0
2000-07-12,389.5
2000-07-18,375.0
2000-07-24,379.5
2000-07-25,357.5
2000-07-26,360.5
2000-07-27,360.5
2000-08-01,360.5
2000-08-02,360.5
2000-08-03,360.0
2000-08-04,360.0
2000-08-07,357.5
2000-08-08,357.5
2000-08-10,357.5
2000-08-11,351.0
2000-08-15,359.0
2000-08-16,360.0
2000-08-17,359.5
2000-08-18,359.5
2000-08-23,373.0
