date,CMG
2024-12-13,200.0
2024-12-16,219.95
2024-12-17,241.9
2024-12-18,266.05
2024-12-19,275.1
2024-12-20,277.4
2024-12-23,272.85
2024-12-24,267.0
2024-12-25,273.65
2024-12-26,277.0
2024-12-27,277.4
2024-12-30,277.8
2024-12-31,290.0
2025-01-02,305.5
2025-01-03,315.0
2025-01-06,317.9
2025-01-07,344.0
2025-01-08,362.7
2025-01-09,362.0
2025-01-10,346.0
2025-01-13,351.05
2025-01-15,358.95
2025-01-16,360.0
2025-01-17,364.0
2025-01-20,366.0
2025-01-21,360.0
2025-01-22,358.0
2025-01-23,360.1
2025-01-24,364.0
2025-01-27,360.0
2025-01-28,359.0
2025-01-29,360.0
2025-01-30,358.0
2025-01-31,355.0
2025-02-03,354.95
2025-02-04,353.9
2025-02-05,352.1
2025-02-06,351.95
2025-02-07,350.0
2025-02-10,344.45
2025-02-11,325.1
2025-02-12,342.0
2025-02-13,339.5
2025-02-14,344.0
2025-02-17,345.2
2025-02-18,341.5
2025-02-19,338.0
2025-02-20,330.0
2025-02-21,325.0
2025-02-24,339.5
2025-02-25,339.8
2025-02-26,337.0
2025-02-27,327.55
2025-02-28,335.0
2025-03-03,327.5
2025-03-04,320.0
2025-03-05,323.0
2025-03-06,327.8
2025-03-07,330.0
2025-03-10,328.85
2025-03-11,320.0
2025-03-12,314.4
2025-03-13,311.0
2025-03-14,313.0
2025-03-17,310.0
2025-03-18,313.0
2025-03-19,315.0
2025-03-20,328.5
2025-03-21,339.85
2025-03-24,353.8
2025-03-25,336.1
2025-03-26,339.5
2025-03-27,328.5
2025-03-28,329.9
2025-04-02,329.9
2025-04-03,313.0
2025-04-04,320.0
2025-04-07,295.0
2025-04-08,303.0
2025-04-09,290.0
2025-04-10,296.0
2025-04-11,297.0
2025-04-14,303.1
2025-04-15,326.0
2025-04-16,317.4
2025-04-17,320.0
2025-04-18,312.0
2025-04-21,313.0
2025-04-22,312.0
2025-04-23,310.0
2025-04-24,312.0
2025-04-25,320.0
2025-04-28,315.0
2025-04-29,311.5
2025-04-30,310.0
2025-05-02,316.0
2025-05-05,317.0
2025-05-06,313.0
2025-05-07,315.95
2025-05-08,307.0
2025-05-09,312.0
