date,CMT
2008-06-03,613.0
2008-06-04,674.0
2008-06-05,741.0
2008-06-06,815.0
2008-06-09,896.0
2008-06-10,985.0
2008-06-11,1044.0
2008-06-12,1055.0
2008-06-13,1010.0
2008-06-16,961.0
2008-06-17,904.0
2008-06-18,950.0
2008-06-19,971.0
2008-06-20,970.0
2008-06-23,930.0
2008-06-24,930.0
2008-06-25,941.0
2008-06-26,940.0
2008-06-27,921.0
2008-06-30,920.0
2008-07-01,935.0
2008-07-02,950.0
2008-07-03,935.0
2008-07-04,945.0
2008-07-07,920.0
2008-07-08,911.0
2008-07-09,929.0
2008-07-10,939.0
2008-07-11,940.0
2008-07-14,945.0
2008-07-15,950.0
2008-07-16,940.0
2008-07-17,958.0
2008-07-18,937.0
2008-07-21,931.0
2008-07-22,925.0
2008-07-23,930.0
2008-07-24,926.0
2008-07-25,912.0
2008-07-28,908.0
2008-07-29,901.0
2008-07-31,875.0
2008-08-01,875.0
2008-08-04,860.0
2008-08-05,845.0
2008-08-06,842.0
2008-08-07,857.0
2008-08-08,850.0
2008-08-11,842.0
2008-08-12,849.0
2008-08-13,850.0
2008-08-15,880.0
2008-08-18,885.0
2008-08-19,880.0
2008-08-22,885.0
2008-08-25,904.0
2008-08-26,900.0
2008-08-27,904.0
2008-08-28,940.0
2008-08-29,947.0
2008-09-01,955.0
2008-09-02,955.0
2008-09-03,950.0
2008-09-04,929.0
2008-09-05,884.0
2008-09-08,861.0
2008-09-09,870.0
2008-09-10,865.0
2008-09-11,860.0
2008-09-12,874.0
2008-09-15,822.0
2008-09-16,773.0
2008-09-17,760.0
2008-09-18,781.0
2008-09-19,820.0
2008-09-22,838.0
2008-09-23,809.0
2008-09-24,800.0
2008-09-25,800.0
2008-09-26,790.0
2008-09-29,772.0
2008-09-30,726.0
2008-10-03,763.0
2008-10-06,718.0
2008-10-07,695.0
2008-10-08,670.0
2008-10-09,680.0
2008-10-10,694.0
2008-10-13,710.0
2008-10-14,709.0
2008-10-15,685.0
2008-10-16,685.0
2008-10-17,708.0
2008-10-20,685.0
2008-10-21,690.0
2008-10-22,680.0
2008-10-23,640.0
2008-10-24,602.0
2008-10-27,566.0
2008-10-28,535.0
2008-10-29,550.0
2008-10-30,560.0
2008-10-31,545.0
