date,COL
2006-10-31,38.419
2006-11-02,46.463
2006-11-07,52.144
2006-11-09,58.5
2006-11-13,65.7
2006-11-15,65.475
2006-11-17,57.938
2006-11-21,55.181
2006-11-22,56.25
2006-11-23,55.969
2006-11-24,56.25
2006-11-27,56.25
2006-11-28,57.375
2006-11-29,55.688
2006-11-30,57.319
2006-12-01,57.375
2006-12-04,59.738
2006-12-05,63.281
2006-12-06,67.05
2006-12-07,71.044
2006-12-08,75.263
2006-12-11,71.156
2006-12-12,67.5
2006-12-13,67.5
2006-12-14,67.5
2006-12-15,63.45
2006-12-18,59.681
2006-12-19,56.25
2006-12-20,54.394
2006-12-21,57.656
2006-12-22,61.087
2006-12-26,64.688
2006-12-27,60.637
2006-12-28,60.637
2006-12-29,59.344
2007-01-02,61.425
2007-01-03,59.906
2007-01-04,59.512
2007-01-05,61.875
2007-01-08,60.413
2007-01-09,60.525
2007-01-10,60.244
2007-01-12,60.188
2007-01-15,59.4
2007-01-16,59.738
2007-01-17,59.344
2007-01-18,59.4
2007-01-19,59.063
2007-01-22,57.656
2007-01-23,59.063
2007-01-24,59.344
2007-01-25,58.219
2007-01-26,60.188
2007-01-29,58.5
2007-01-30,58.556
2007-01-31,58.5
2007-02-01,56.25
2007-02-02,58.163
2007-02-05,57.375
2007-02-06,57.375
2007-02-07,56.587
2007-02-08,56.306
2007-02-09,59.063
2007-02-12,61.313
2007-02-13,61.988
2007-02-14,65.7
2007-02-15,65.813
2007-02-16,65.7
2007-02-19,66.262
2007-02-20,64.688
2007-02-21,64.688
2007-02-22,61.875
2007-02-23,63.844
2007-02-26,63.844
2007-02-27,64.688
2007-02-28,64.575
2007-03-01,64.406
2007-03-02,64.631
2007-03-05,62.438
2007-03-06,63.506
2007-03-07,62.719
2007-03-08,63.225
2007-03-09,61.762
2007-03-12,60.525
2007-03-13,63.506
2007-03-14,61.087
2007-03-15,61.875
2007-03-19,61.256
2007-03-20,61.087
2007-03-21,60.188
2007-03-22,59.063
2007-03-23,59.063
2007-03-26,59.063
2007-03-27,59.231
2007-03-28,59.288
2007-03-29,58.556
2007-03-30,59.063
2007-04-03,58.5
2007-04-04,56.306
2007-04-05,58.219
2007-04-06,59.456
2007-04-09,58.556
2007-04-10,59.063
2007-04-11,57.656
2007-04-12,57.656
2007-04-13,57.825
2007-04-16,57.769
2007-04-17,57.994
2007-04-18,59.4
2007-04-19,58.556
2007-04-20,58.05
2007-04-23,57.938
2007-04-24,56.925
2007-04-25,56.925
2007-04-26,57.094
2007-04-27,57.206
2007-04-30,57.094
2007-05-02,57.375
2007-05-03,57.094
2007-05-04,57.375
2007-05-07,58.894
2007-05-08,57.938
2007-05-09,56.419
2007-05-10,54.9
2007-05-11,53.438
2007-05-14,50.625
2007-05-15,50.625
2007-05-16,53.663
2007-05-17,56.194
2007-05-18,55.688
2007-05-21,56.25
2007-05-22,56.25
2007-05-23,54.788
2007-05-24,54.788
2007-05-25,56.25
2007-05-28,54.0
2007-05-29,56.7
2007-05-30,54.281
2007-05-31,54.9
2007-06-01,54.563
2007-06-04,54.563
2007-06-05,56.081
2007-06-06,54.731
2007-06-07,54.675
2007-06-08,54.563
2007-06-11,54.281
2007-06-12,53.775
2007-06-13,53.719
2007-06-14,56.025
2007-06-15,54.9
2007-06-18,53.775
2007-06-19,54.563
2007-06-20,54.0
2007-06-21,54.0
2007-06-22,54.0
2007-06-25,54.0
2007-06-27,52.313
2007-06-28,52.369
2007-06-29,54.45
2007-07-02,54.394
2007-07-03,54.45
2007-07-04,54.45
2007-07-05,54.45
2007-07-06,52.425
2007-07-10,52.594
2007-07-11,50.794
2007-07-12,50.625
