date,CRS
2006-06-21,15.833
2006-06-22,15.417
2006-06-23,15.5
2006-06-26,15.5
2006-06-27,15.4
2006-06-28,15.417
2006-06-29,15.5
2006-06-30,16.0
2006-07-03,16.167
2006-07-04,16.167
2006-07-05,15.917
2006-07-06,15.917
2006-07-07,15.742
2006-07-10,15.417
2006-07-11,15.417
2006-07-12,15.4
2006-07-13,15.167
2006-07-14,15.167
2006-07-17,15.0
2006-07-18,15.0
2006-07-19,15.417
2006-07-20,15.333
2006-07-21,15.167
2006-07-24,15.0
2006-07-25,15.0
2006-07-26,15.0
2006-07-27,15.0
2006-07-28,14.583
2006-07-31,14.583
2006-08-01,14.833
2006-08-02,14.833
2006-08-03,14.833
2006-08-04,15.083
2006-08-07,15.0
2006-08-08,15.417
2006-08-09,15.417
2006-08-10,15.417
2006-08-11,15.417
2006-08-15,15.625
2006-08-16,15.417
2006-08-17,15.417
2006-08-18,15.0
2006-08-22,15.083
2006-08-23,15.0
2006-08-24,15.167
2006-08-25,15.167
2006-08-28,15.167
2006-08-29,15.167
2006-08-30,15.167
2006-08-31,15.0
2006-09-01,15.167
2006-09-04,15.083
2006-09-05,15.6
2006-09-06,15.417
2006-09-07,15.417
2006-09-08,15.333
2006-09-11,15.258
2006-09-12,15.25
2006-09-13,15.408
2006-09-14,15.0
2006-09-15,15.0
2006-09-18,15.0
2006-09-19,15.0
2006-09-20,15.0
2006-09-21,15.0
2006-09-22,15.0
2006-09-25,15.0
2006-09-26,15.167
2006-09-27,15.25
2006-09-28,15.167
2006-09-29,15.0
2006-10-02,15.125
2006-10-03,15.083
2006-10-04,15.079
2006-10-05,15.0
2006-10-06,15.0
2006-10-09,15.0
2006-10-10,15.0
2006-10-11,14.917
2006-10-12,14.917
2006-10-13,14.583
2006-10-16,14.583
2006-10-17,14.5
2006-10-18,14.508
2006-10-19,14.583
2006-10-20,14.583
2006-10-23,14.583
2006-10-26,14.75
2006-10-27,14.667
2006-10-30,14.667
2006-10-31,14.917
2006-11-01,14.758
2006-11-02,14.667
2006-11-03,14.75
2006-11-07,15.417
2006-11-08,15.55
2006-11-09,15.167
2006-11-10,15.167
2006-11-13,15.083
2006-11-14,15.167
2006-11-15,15.167
2006-11-16,14.833
2006-11-17,15.083
2006-11-20,14.833
2006-11-21,14.875
2006-11-22,14.842
2006-11-23,14.75
2006-11-24,14.667
2006-11-27,14.583
2006-11-28,14.25
2006-11-29,14.25
2006-11-30,14.421
2006-12-01,14.583
2006-12-04,14.583
2006-12-05,14.75
2006-12-06,14.917
2006-12-07,15.083
2006-12-08,15.167
2006-12-11,15.417
2006-12-12,15.583
2006-12-13,15.833
2006-12-14,15.417
2006-12-15,15.167
2006-12-18,15.167
2006-12-19,15.083
2006-12-20,15.042
2006-12-21,15.0
2006-12-22,15.083
2006-12-26,15.0
2006-12-27,14.508
2006-12-28,15.167
2006-12-29,15.167
2007-01-02,15.083
2007-01-03,15.0
2007-01-04,14.917
2007-01-05,15.0
2007-01-08,15.0
2007-01-09,15.0
2007-01-10,15.083
2007-01-12,15.167
2007-01-15,15.083
2007-01-16,15.0
2007-01-17,14.917
2007-01-18,15.0
2007-01-19,15.0
2007-01-22,14.917
2007-01-23,15.0
2007-01-24,14.983
2007-01-25,15.458
2007-01-26,15.417
2007-01-29,15.417
2007-01-30,15.417
2007-01-31,15.417
2007-02-01,15.667
2007-02-02,15.483
2007-02-05,15.0
2007-02-06,15.458
2007-02-07,15.417
2007-02-08,15.583
2007-02-09,15.917
2007-02-12,15.75
2007-02-13,15.667
2007-02-14,16.25
2007-02-15,16.083
2007-02-16,17.046
2007-02-19,18.067
2007-02-20,18.417
2007-02-21,18.992
2007-02-22,17.854
2007-02-23,18.25
2007-02-26,17.5
2007-02-27,17.25
2007-02-28,18.083
2007-03-01,18.0
2007-03-02,18.083
2007-03-05,18.125
2007-03-06,19.0
2007-03-07,19.667
2007-03-08,20.758
2007-03-09,21.167
2007-03-12,20.667
2007-03-13,19.833
2007-03-14,20.083
2007-03-15,20.0
2007-03-16,19.9
2007-03-19,19.75
2007-03-20,19.667
2007-03-21,19.775
2007-03-22,19.75
2007-03-23,19.417
2007-03-26,19.167
2007-03-27,19.583
2007-03-28,19.158
2007-03-29,19.083
2007-03-30,18.333
2007-04-03,18.258
2007-04-04,18.167
2007-04-05,18.288
2007-04-06,18.333
2007-04-09,18.7
2007-04-10,18.75
2007-04-11,18.5
2007-04-12,18.625
2007-04-13,19.167
2007-04-16,19.917
2007-04-17,20.75
2007-04-18,21.417
2007-04-19,22.067
2007-04-20,21.671
2007-04-23,22.083
2007-04-24,22.242
2007-04-25,22.329
2007-04-26,23.579
2007-04-27,23.417
2007-04-30,24.167
2007-05-02,22.833
2007-05-03,21.683
2007-05-04,22.917
2007-05-07,22.75
2007-05-08,22.5
2007-05-09,21.917
2007-05-10,21.5
2007-05-11,21.083
2007-05-14,20.0
2007-05-15,21.167
2007-05-16,22.417
2007-05-17,23.0
2007-05-18,22.829
2007-05-21,22.417
2007-05-22,22.083
2007-05-23,21.667
2007-05-24,21.667
2007-05-25,21.667
2007-05-28,21.5
2007-05-29,21.417
2007-05-30,21.417
2007-05-31,22.083
2007-06-01,21.958
2007-06-04,22.0
2007-06-05,21.833
2007-06-06,21.917
2007-06-07,21.75
2007-06-08,21.667
2007-06-11,21.667
2007-06-12,21.583
2007-06-13,21.083
2007-06-14,21.238
2007-06-15,21.321
2007-06-18,21.167
2007-06-19,21.158
2007-06-20,21.0
2007-06-21,20.667
2007-06-22,20.5
2007-06-25,20.417
2007-06-26,20.833
2007-06-27,20.833
2007-06-28,21.658
2007-06-29,21.996
2007-07-02,22.083
2007-07-03,22.0
2007-07-04,22.083
2007-07-05,21.917
2007-07-06,21.833
2007-07-09,21.838
2007-07-10,20.833
2007-07-11,21.608
2007-07-12,21.5
2007-07-13,21.4
2007-07-16,21.458
2007-07-17,21.333
2007-07-18,21.217
2007-07-19,21.225
2007-07-20,21.0
2007-07-23,20.908
2007-07-24,20.983
2007-07-25,21.0
2007-07-26,21.15
2007-07-27,21.167
2007-07-31,21.25
2007-08-01,21.5
2007-08-02,21.417
2007-08-03,22.25
2007-08-06,22.25
2007-08-07,22.0
2007-08-08,22.333
2007-08-09,22.25
2007-08-10,22.167
2007-08-13,22.083
2007-08-15,21.667
2007-08-16,21.821
2007-08-17,21.583
2007-08-22,21.667
2007-08-23,21.583
2007-08-24,21.5
2007-08-27,21.5
2007-08-28,22.079
2007-08-29,22.083
2007-08-30,22.083
2007-08-31,22.0
2007-09-05,25.6
2007-09-06,25.0
2007-09-07,24.6
2007-09-10,24.6
2007-09-11,24.0
2007-09-12,23.9
2007-09-13,23.9
2007-09-14,23.55
2007-09-17,23.4
2007-09-18,22.5
2007-09-19,22.4
2007-09-20,22.7
2007-09-21,22.4
2007-09-24,22.3
2007-09-25,22.0
2007-09-26,22.4
2007-09-27,22.4
2007-09-28,22.005
2007-10-01,22.8
2007-10-02,22.8
2007-10-03,22.6
2007-10-04,22.6
2007-10-05,22.525
2007-10-08,22.4
2007-10-09,22.45
2007-10-10,22.25
2007-10-11,22.1
2007-10-12,22.4
2007-10-15,22.3
2007-10-16,22.24
2007-10-17,22.2
2007-10-18,22.0
2007-10-19,22.6
2007-10-22,23.4
2007-10-23,24.7
2007-10-24,25.0
2007-10-25,24.39
2007-10-26,23.9
2007-10-29,23.5
2007-10-30,23.3
2007-10-31,22.9
2007-11-01,23.0
2007-11-02,23.9
2007-11-05,24.0
2007-11-07,23.7
2007-11-08,23.26
2007-11-09,23.5
2007-11-12,22.6
2007-11-13,22.8
2007-11-14,22.4
2007-11-15,22.8
2007-11-16,22.8
2007-11-19,22.7
2007-11-20,21.4
2007-11-21,21.74
2007-11-22,21.6
2007-11-23,21.41
2007-11-26,21.36
2007-11-27,22.595
2007-11-28,22.35
2007-11-29,22.0
2007-11-30,22.04
2007-12-03,22.68
2007-12-04,22.5
2007-12-05,22.5
2007-12-06,22.46
2007-12-07,22.0
2007-12-10,21.5
2007-12-11,21.74
2007-12-12,21.4
2007-12-13,21.3
