date,CTM
2000-01-04,390.0
2000-01-05,387.9
2000-01-06,383.5
2000-01-07,367.0
2000-01-14,369.0
2000-01-17,369.0
2000-01-18,370.0
2000-01-19,370.0
2000-01-20,371.0
2000-01-21,372.0
2000-01-24,372.0
2000-01-25,373.0
2000-01-26,370.0
2000-01-27,390.0
2000-02-01,374.0
2000-02-02,374.0
2000-02-03,376.0
2000-02-04,390.0
2000-02-23,373.0
2000-02-28,355.0
2000-02-29,360.1
2000-03-01,365.0
2000-03-02,365.0
2000-03-03,366.0
2000-03-07,362.0
2000-03-09,365.55
2000-03-10,370.0
2000-03-13,366.5
2000-03-14,366.5
2000-03-15,367.0
2000-03-16,370.15
2000-03-20,368.1
2000-03-21,369.0
2000-03-22,375.0
2000-03-23,390.0
2000-03-28,382.0
2000-03-29,379.0
2000-03-30,371.0
2000-04-04,371.1
2000-04-05,375.0
2000-04-07,371.1
2000-04-11,371.0
2000-04-12,370.0
2000-04-13,370.0
2000-04-14,370.0
2000-04-17,370.0
2000-04-18,370.0
2000-04-20,370.0
2000-04-21,370.0
2000-04-24,370.0
2000-04-25,371.0
2000-04-26,370.0
2000-04-27,370.0
2000-04-28,369.0
2000-05-02,365.0
2000-05-03,365.0
2000-05-04,365.0
2000-05-05,370.0
2000-05-08,365.0
2000-05-11,365.0
2000-05-12,365.1
2000-05-15,370.0
2000-05-16,370.0
2000-05-17,367.0
2000-05-19,366.0
2000-05-22,366.0
2000-05-23,366.1
2000-05-24,365.0
2000-05-25,365.0
2000-05-26,365.0
2000-05-29,365.0
2000-06-01,366.0
2000-06-02,367.0
2000-06-05,365.0
2000-06-06,365.0
2000-06-07,365.0
2000-06-08,365.0
2000-06-09,365.0
2000-06-13,365.0
2000-06-14,365.0
2000-06-19,365.0
2000-06-20,378.0
2000-06-21,365.0
2000-06-22,375.0
2000-06-23,365.0
2000-06-26,365.0
2000-06-27,365.0
2000-06-28,365.0
2000-06-29,365.0
2000-07-03,346.0
2000-07-04,346.0
2000-07-05,340.0
2000-07-06,340.0
2000-07-07,336.0
2000-07-10,336.1
2000-07-11,340.0
2000-07-12,342.0
2000-07-13,340.0
2000-07-14,340.0
2000-07-17,340.0
2000-07-18,340.0
2000-07-19,340.0
2000-07-20,340.0
2000-07-21,340.0
2000-07-25,342.0
2000-07-26,340.0
2000-07-28,340.0
2000-07-31,339.95
2000-08-01,320.0
2000-08-02,330.0
2000-08-03,330.0
2000-08-04,334.0
2000-08-07,330.0
2000-08-08,330.0
2000-08-09,335.0
2000-08-10,335.0
2000-08-11,335.0
2000-08-15,335.0
2000-08-16,335.0
2000-08-17,335.0
2000-08-18,339.0
2000-08-24,398.0
2000-08-28,375.0
2000-08-29,375.05
2000-08-30,375.0
2000-08-31,356.0
2000-09-01,342.0
2000-09-04,335.0
2000-09-05,335.0
2000-09-06,340.0
2000-09-07,332.0
2000-09-08,333.0
2000-09-12,335.0
2000-09-13,330.0
2000-09-14,338.0
2000-09-15,331.0
2000-09-18,333.05
2000-09-19,333.0
2000-09-20,331.0
2000-09-21,330.0
2000-09-22,330.0
2000-09-25,330.0
2000-09-26,330.0
2000-09-27,340.0
2000-09-28,330.0
2000-09-29,325.0
2000-10-02,325.0
2000-10-03,325.0
2000-10-04,329.0
2000-10-05,330.0
2000-10-06,335.0
2000-10-09,330.0
2000-10-10,330.0
2000-10-12,326.1
2000-10-13,326.0
2000-10-16,325.0
2000-10-17,325.0
2000-10-18,325.0
2000-10-19,325.0
2000-10-20,325.0
2000-10-23,325.0
2000-10-25,305.5
2000-10-26,306.0
2000-10-30,320.0
2000-10-31,320.0
2000-11-01,320.0
2000-11-02,320.0
2000-11-03,325.0
2000-11-07,320.0
2000-11-08,320.0
2000-11-09,320.0
2000-11-10,320.0
2000-11-13,320.0
2000-11-14,310.5
2000-11-15,307.0
2000-11-16,306.0
2000-11-17,305.0
2000-11-20,306.0
2000-11-21,292.0
2000-11-22,280.0
2000-11-23,282.0
2000-11-27,282.0
2000-11-28,285.0
2000-11-30,270.0
2000-12-01,265.0
2000-12-04,260.1
2000-12-05,260.2
2000-12-06,250.0
2000-12-08,265.0
2000-12-11,266.0
2000-12-12,280.0
2000-12-13,296.0
2000-12-14,300.0
2000-12-15,304.0
2000-12-18,305.0
2000-12-19,304.0
2000-12-20,286.0
2000-12-21,290.0
2000-12-22,279.0
2000-12-25,292.0
2001-01-04,274.5
2001-01-05,259.0
2001-01-08,252.0
2001-01-10,273.0
2001-01-12,280.0
2001-01-16,280.0
2001-01-17,263.2
2001-01-18,263.2
2001-01-19,250.0
2001-01-22,250.0
2001-01-23,250.0
2001-01-24,265.0
2001-01-25,280.9
2001-01-26,297.75
2001-01-29,297.75
2001-01-30,314.0
2001-01-31,312.0
2001-02-01,310.0
2001-02-02,315.0
2001-02-05,313.0
2001-02-06,313.0
2001-02-07,298.0
2001-02-08,300.0
2001-02-09,296.0
2001-02-12,296.0
2001-02-13,310.0
2001-02-15,309.0
2001-02-16,308.0
2001-02-19,308.0
2001-02-20,305.0
2001-02-21,308.5
2001-02-22,300.2
2001-02-23,297.0
2001-02-26,296.0
2001-02-28,285.0
2001-03-01,285.0
2001-03-02,285.0
2001-03-05,274.0
2001-03-08,275.0
2001-03-09,290.0
2001-03-12,297.0
2001-03-13,286.5
2001-03-14,286.5
2001-03-15,280.1
2001-03-16,281.5
2001-03-19,275.0
2001-03-20,275.0
2001-03-21,278.0
2001-03-22,291.0
2001-03-23,281.0
2001-03-26,290.0
2001-03-28,284.0
2001-03-29,284.0
2001-03-30,272.0
2001-04-02,265.0
2001-04-03,265.0
2001-04-04,271.9
2001-04-05,271.9
2001-04-06,265.0
2001-04-09,270.0
2001-04-10,270.0
2001-04-11,255.0
2001-04-12,255.0
2001-04-13,270.3
2001-04-16,258.0
2001-04-17,258.3
2001-04-18,269.8
2001-04-19,259.1
2001-04-20,260.0
2001-04-23,259.0
2001-04-24,257.0
2001-04-25,257.0
2001-04-26,258.9
2001-04-27,256.0
2001-04-30,255.0
2001-05-02,256.0
2001-05-03,255.0
2001-05-04,270.0
2001-05-07,269.5
2001-05-08,268.95
2001-05-09,268.0
2001-05-10,268.0
2001-05-11,270.0
2001-05-14,271.9
2001-05-15,272.0
2001-05-16,268.0
2001-05-17,268.0
2001-05-18,271.0
2001-05-21,269.9
2001-05-22,269.9
2001-05-23,270.0
2001-05-24,274.0
2001-05-25,273.0
2001-05-28,274.0
2001-05-29,280.0
2001-05-30,280.0
2001-05-31,279.5
2001-06-01,285.0
2001-06-04,282.0
2001-06-07,285.0
2001-06-08,285.0
2001-06-11,280.0
2001-06-12,280.0
2001-06-13,280.0
2001-06-14,280.0
2001-06-15,280.0
2001-06-18,280.0
2001-06-19,280.0
2001-06-20,270.0
2001-06-21,280.0
2001-06-22,272.0
2001-06-25,272.0
2001-06-26,272.0
2001-06-27,272.0
2001-06-28,272.0
2001-06-29,272.0
2001-07-02,260.0
2001-07-03,252.0
2001-07-04,252.0
2001-07-05,260.0
2001-07-06,269.7
2001-07-09,270.0
2001-07-10,270.0
2001-07-11,260.0
2001-07-12,260.0
2001-07-13,260.0
2001-07-16,260.0
2001-07-17,260.0
2001-07-18,260.0
2001-07-19,260.0
2001-07-20,260.0
2001-07-23,260.0
2001-07-24,259.85
2001-07-25,258.95
2001-07-26,255.0
2001-07-27,251.0
2001-07-31,250.0
2001-08-01,250.0
2001-08-02,255.0
2001-08-03,260.0
2001-08-06,261.0
2001-08-07,260.0
2001-08-08,256.0
2001-08-09,258.0
2001-08-10,258.0
2001-08-13,260.0
2001-08-15,260.0
2001-08-16,260.0
2001-08-17,259.9
2001-08-22,259.9
2001-08-23,259.8
2001-08-24,246.0
2001-08-27,259.8
2001-08-28,259.9
2001-08-29,255.0
2001-08-30,259.8
2001-08-31,259.8
2001-09-03,259.8
2001-09-04,259.8
2001-09-05,260.0
2001-09-06,260.0
2001-09-07,259.5
2001-09-10,259.5
2001-09-11,259.0
2001-09-12,260.0
2001-09-13,260.0
2001-09-14,259.9
2001-09-17,258.95
2001-09-18,258.95
2001-09-19,259.0
2001-09-20,259.0
2001-09-21,258.0
2001-09-24,258.0
2001-09-25,258.0
2001-09-26,255.0
2001-09-27,260.0
2001-09-28,258.0
2001-10-01,258.0
2001-10-02,260.0
2001-10-03,260.0
2001-10-04,259.0
2001-10-05,259.0
2001-10-08,259.0
2001-10-09,259.0
2001-10-10,259.0
2001-10-11,258.9
2001-10-12,258.0
2001-10-15,258.9
2001-10-16,260.0
2001-10-17,252.0
2001-10-18,259.7
2001-10-19,259.8
2001-10-22,259.0
2001-10-23,259.5
2001-10-24,260.0
2001-10-25,259.3
2001-10-26,250.0
2001-10-29,245.2
2001-10-30,258.9
2001-10-31,259.0
2001-11-01,258.0
2001-11-02,259.0
2001-11-05,246.0
2001-11-07,246.25
2001-11-08,254.0
2001-11-09,255.0
2001-11-12,255.0
2001-11-13,250.0
2001-11-14,253.0
2001-11-15,255.0
2001-11-16,257.0
2001-11-19,257.9
2001-11-20,254.0
2001-11-21,254.0
2001-11-22,254.0
2001-11-23,257.5
2001-11-26,257.0
2001-11-27,258.0
2001-11-28,260.0
2001-11-29,260.0
2001-11-30,260.0
2001-12-03,260.0
2001-12-04,268.0
2001-12-05,260.0
2001-12-06,260.0
2001-12-07,254.0
2001-12-10,254.0
2001-12-11,256.0
2001-12-12,265.0
2001-12-13,270.0
2001-12-14,275.0
2001-12-19,275.0
2001-12-20,275.0
2001-12-21,280.0
2001-12-24,285.0
2001-12-25,290.0
2001-12-26,295.0
2001-12-27,290.0
2001-12-28,290.0
2001-12-31,300.0
2002-01-04,265.5
2002-01-09,248.0
2002-01-10,250.0
2002-01-14,250.0
2002-01-15,247.0
2002-01-16,255.05
2002-01-17,255.1
2002-01-18,252.6
2002-01-21,253.3
2002-01-22,254.5
2002-01-23,255.0
2002-01-24,255.05
2002-01-25,270.0
2002-01-28,270.0
2002-01-29,260.0
2002-01-30,260.0
2002-01-31,260.05
2002-02-01,270.0
2002-02-04,263.0
2002-02-05,260.0
2002-02-06,250.5
2002-02-07,252.0
2002-02-08,260.0
2002-02-11,262.0
2002-02-12,262.0
2002-02-13,255.0
2002-02-14,258.0
2002-02-15,270.0
2002-02-18,269.0
2002-02-19,270.0
2002-02-20,259.0
2002-02-21,258.5
2002-02-22,260.0
2002-02-26,260.0
2002-02-27,260.0
2002-02-28,265.0
2002-03-01,265.0
2002-03-04,265.0
2002-03-05,261.0
2002-03-06,265.0
