date,DIS
2000-01-07,447.619
2000-01-12,475.15
2000-01-14,490.0
2000-01-17,484.95
2000-01-19,482.0
2000-01-20,474.0
2000-01-21,473.9
2000-01-24,474.95
2000-01-26,453.95
2000-01-27,465.0
2000-01-28,465.0
2000-02-01,464.9
2000-02-02,460.0
2000-02-04,450.0
2000-02-25,420.0
2000-02-29,420.0
2000-03-06,420.0
2000-03-07,419.0
2000-03-10,418.0
2000-03-13,416.0
2000-03-14,418.0
2000-03-15,400.0
2000-03-22,400.0
2000-03-31,376.0
2000-04-04,369.0
2000-04-18,404.0
2000-04-25,404.0
2000-04-27,398.95
2000-05-02,397.0
2000-05-12,380.0
2000-05-16,370.0
2000-05-23,360.0
2000-05-29,370.0
2000-06-09,359.95
2000-06-13,359.45
2000-06-14,337.9
2000-07-03,320.0
2000-07-06,320.0
2000-07-11,302.0
2000-07-14,319.0
2000-07-17,319.0
2000-07-18,318.0
2000-07-25,299.0
2000-07-26,290.0
2000-08-01,289.0
2000-08-08,300.0
2000-08-18,300.0
2000-08-28,300.0
2000-08-29,299.0
2000-09-14,298.0
2000-09-19,290.0
2000-09-21,273.0
2000-09-22,274.0
2000-09-25,269.0
2000-09-26,269.0
2000-09-27,268.0
2000-09-28,270.0
2000-09-29,267.85
2000-10-02,264.95
2000-10-03,259.95
2000-10-04,260.0
2000-10-05,260.0
2000-10-06,260.0
2000-10-09,259.9
2000-10-17,250.0
2000-10-25,245.0
2000-11-22,203.55
2000-11-23,210.0
2000-12-04,210.0
2000-12-07,210.0
2000-12-08,210.0
2001-01-03,208.0
2001-01-15,207.95
2001-01-16,207.95
2001-01-17,207.0
2001-01-18,207.0
2001-01-19,207.0
2001-01-22,207.0
2001-01-23,207.0
2001-01-24,207.0
2001-01-25,207.0
2001-01-26,207.0
2001-01-29,207.0
2001-01-30,207.0
2001-01-31,207.0
2001-02-01,207.0
2001-02-02,207.0
2001-02-05,207.0
2001-02-06,207.0
2001-02-07,207.0
2001-02-08,195.0
2001-02-09,195.0
2001-02-12,197.0
2001-02-13,196.0
2001-02-14,200.0
2001-02-15,195.0
2001-02-16,205.0
2001-02-19,208.0
2001-02-20,204.0
2001-02-21,205.0
2001-02-22,205.0
2001-02-23,200.0
2001-02-26,200.0
2001-02-27,196.0
2001-02-28,196.0
2001-03-01,193.0
2001-03-02,193.0
2001-03-05,193.0
