date,DLM
2008-04-28,364.5
2008-04-29,400.5
2008-04-30,400.0
2008-05-02,400.0
2008-05-05,397.5
2008-05-06,366.5
2008-05-07,364.5
2008-05-08,372.5
2008-05-09,372.5
2008-05-12,370.0
2008-05-13,369.5
2008-05-14,369.0
2008-05-15,364.5
2008-05-16,364.5
2008-05-19,365.0
2008-05-20,370.0
2008-05-21,357.5
2008-05-22,359.5
2008-05-23,360.0
2008-05-26,358.0
2008-05-27,347.5
2008-05-28,340.5
2008-05-29,331.0
2008-05-30,340.0
2008-06-02,339.5
2008-06-03,323.0
2008-06-04,320.0
2008-06-05,325.0
2008-06-06,316.0
2008-06-09,319.5
2008-06-10,322.5
2008-06-11,316.0
2008-06-12,327.0
2008-06-13,326.5
2008-06-16,315.0
2008-06-17,325.0
2008-06-18,322.5
2008-06-19,321.5
2008-06-20,313.0
2008-06-23,316.0
2008-06-24,312.0
2008-06-25,307.5
2008-06-26,290.5
2008-06-27,307.0
2008-06-30,311.5
2008-07-01,300.0
2008-07-02,300.0
2008-07-03,307.0
2008-07-04,305.0
2008-07-07,300.0
2008-07-08,307.0
2008-07-09,301.0
2008-07-10,303.0
2008-07-11,316.5
2008-07-14,333.0
2008-07-15,348.0
2008-07-16,341.0
2008-07-17,344.0
2008-07-18,359.0
2008-07-21,351.5
2008-07-22,341.5
2008-07-23,350.0
2008-07-24,331.0
2008-07-25,335.5
2008-07-28,345.5
2008-07-29,350.0
2008-07-31,342.5
2008-08-01,352.5
2008-08-04,355.0
2008-08-05,350.0
2008-08-06,348.5
2008-08-07,352.5
2008-08-08,350.0
2008-08-11,352.5
2008-08-12,352.5
2008-08-13,345.5
2008-08-15,346.0
2008-08-18,352.5
2008-08-19,350.0
2008-08-22,346.0
2008-08-25,346.0
2008-08-26,346.0
2008-08-27,340.5
2008-08-28,350.0
2008-08-29,350.0
2008-09-01,350.0
2008-09-02,347.5
2008-09-03,349.0
2008-09-04,345.0
2008-09-05,335.0
2008-09-08,334.0
2008-09-09,350.0
2008-09-10,350.0
2008-09-11,350.0
2008-09-12,350.0
2008-09-15,345.0
2008-09-16,328.0
2008-09-17,327.5
2008-09-18,347.0
