date,DRI
2005-07-18,369.091
2005-07-19,369.091
2005-07-20,371.727
2005-07-21,369.091
2005-07-22,369.091
2005-07-25,368.273
2005-07-26,368.182
2005-07-27,367.273
2005-07-28,367.273
2005-07-29,364.545
2005-08-01,363.636
2005-08-02,363.636
2005-08-03,363.636
2005-08-04,362.727
2005-08-05,361.818
2005-08-08,361.773
2005-08-09,360.0
2005-08-10,360.0
2005-08-11,359.091
2005-08-12,359.091
2005-08-15,358.182
2005-08-16,360.0
2005-08-17,366.364
2005-08-18,368.182
2005-08-19,366.364
2005-08-22,368.182
2005-08-23,377.273
2005-08-24,377.273
2005-08-25,380.909
2005-08-26,377.273
2005-08-29,377.273
2005-08-30,377.182
2005-08-31,377.091
2005-09-01,380.0
2005-09-02,376.364
2005-09-05,376.364
2005-09-06,376.364
2005-09-07,376.364
2005-09-08,379.091
2005-09-09,376.364
2005-09-12,376.364
2005-09-13,372.727
2005-09-14,372.727
2005-09-15,372.682
2005-09-16,372.682
2005-09-19,371.818
2005-09-20,371.773
2005-09-21,371.818
2005-09-22,371.818
2005-09-23,370.909
2005-09-26,370.909
2005-09-27,367.273
2005-09-28,365.455
2005-09-29,372.727
2005-09-30,372.727
2005-10-03,372.727
2005-10-04,372.727
2005-10-05,368.182
2005-10-06,368.182
2005-10-07,368.227
2005-10-10,369.091
2005-10-11,368.182
2005-10-12,372.727
2005-10-13,372.727
2005-10-14,372.727
2005-10-17,372.727
2005-10-18,374.545
2005-10-19,374.545
2005-10-20,380.0
2005-10-21,381.818
2005-10-24,387.273
2005-10-25,390.955
2005-10-26,392.727
2005-10-27,400.0
2005-10-28,422.727
2005-10-31,424.545
2005-11-01,428.182
2005-11-02,428.182
2005-11-03,431.818
2005-11-07,431.818
2005-11-08,431.909
2005-11-09,436.364
2005-11-10,436.364
2005-11-11,436.455
2005-11-14,436.364
2005-11-15,436.364
2005-11-21,435.455
2005-11-22,430.909
2005-11-23,428.182
2005-11-24,428.182
2005-11-25,427.273
2005-11-28,423.636
2005-11-29,417.273
2005-11-30,416.318
2005-12-01,400.0
2005-12-02,390.909
2005-12-05,373.636
2005-12-06,390.909
2005-12-07,391.0
2005-12-08,390.909
2005-12-09,400.136
2005-12-12,400.0
2005-12-13,400.0
2005-12-14,400.0
2005-12-15,400.0
2005-12-16,400.0
2005-12-19,409.091
2005-12-20,406.364
2005-12-21,406.364
2005-12-22,404.545
2005-12-23,400.0
2005-12-26,395.455
2005-12-27,395.455
2005-12-28,395.455
2005-12-29,394.545
2005-12-30,393.636
2006-01-03,395.955
2006-01-04,397.273
2006-01-05,397.318
2006-01-06,409.091
2006-01-09,409.091
2006-01-10,409.091
2006-01-13,409.091
2006-01-16,409.091
2006-01-17,409.091
2006-01-18,404.545
2006-01-19,400.0
2006-01-20,400.0
2006-01-23,400.0
2006-01-24,404.545
2006-01-25,406.364
2006-01-26,401.818
2006-01-27,401.818
2006-01-30,400.0
2006-02-01,400.0
2006-02-02,399.091
2006-02-03,395.455
2006-02-06,399.091
2006-02-07,395.455
2006-02-08,392.727
2006-02-09,399.091
2006-02-10,417.273
2006-02-13,411.727
2006-02-14,404.545
2006-02-15,404.545
2006-02-16,404.545
2006-02-17,404.545
2006-02-20,402.727
2006-02-21,404.545
2006-02-22,403.636
2006-02-23,400.0
2006-02-24,400.0
2006-02-27,396.364
2006-02-28,399.818
2006-03-01,400.0
2006-03-02,395.455
2006-03-03,400.0
2006-03-06,395.455
2006-03-07,399.545
2006-03-08,394.545
2006-03-09,390.909
2006-03-10,390.909
2006-03-13,390.909
2006-03-14,396.364
2006-03-15,381.818
2006-03-17,396.273
2006-03-20,390.909
2006-03-21,390.909
2006-03-22,395.455
2006-03-23,400.091
2006-03-24,424.091
2006-03-27,440.0
2006-03-28,441.818
2006-03-29,443.636
2006-03-30,440.0
2006-03-31,454.545
2006-04-03,452.727
2006-04-04,445.455
2006-04-05,446.273
2006-04-06,445.455
2006-04-07,444.545
2006-04-10,445.273
2006-04-13,446.364
2006-04-14,440.909
2006-04-17,436.364
2006-04-18,436.364
2006-04-19,436.364
2006-04-20,436.364
2006-04-21,434.545
2006-04-24,436.364
2006-04-25,444.545
2006-04-26,443.636
2006-04-27,454.545
2006-04-28,448.182
2006-05-02,448.182
2006-05-03,448.182
2006-05-04,448.182
2006-05-05,448.182
2006-05-08,448.182
2006-05-09,448.182
2006-05-10,440.909
2006-05-11,440.909
2006-05-12,465.455
2006-05-15,459.091
2006-05-16,450.0
2006-05-17,450.0
2006-05-18,450.0
2006-05-19,445.455
2006-05-22,440.909
2006-05-23,439.091
2006-05-24,445.455
2006-05-25,441.364
2006-05-26,440.909
2006-05-29,436.364
2006-05-30,435.455
2006-05-31,443.636
2006-06-01,452.727
2006-06-02,440.909
2006-06-05,440.455
2006-06-06,440.909
2006-06-07,440.909
2006-06-08,440.909
2006-06-09,440.909
2006-06-12,440.909
2006-06-13,431.818
2006-06-14,439.091
2006-06-15,427.273
2006-06-16,431.818
2006-06-19,438.182
2006-06-20,440.909
2006-06-21,440.0
2006-06-22,440.0
2006-06-23,440.0
2006-06-26,440.0
2006-06-27,440.0
2006-06-28,440.0
2006-06-29,450.0
2006-06-30,457.0
2006-07-03,460.0
2006-07-04,468.0
2006-07-05,460.0
2006-07-06,467.9
2006-07-07,475.0
2006-07-10,482.0
2006-07-11,486.0
2006-07-12,457.0
2006-07-13,460.0
2006-07-14,444.0
2006-07-17,440.0
2006-07-18,436.0
2006-07-19,432.0
2006-07-20,428.0
2006-07-21,427.0
2006-07-24,432.0
2006-07-25,437.0
2006-07-26,435.0
2006-07-27,430.0
2006-07-28,420.0
2006-07-31,426.0
2006-08-01,430.0
2006-08-02,435.0
2006-08-03,430.0
2006-08-04,428.0
2006-08-07,425.0
2006-08-08,424.0
2006-08-09,421.0
2006-08-10,422.0
2006-08-11,422.0
2006-08-15,410.0
2006-08-16,416.0
2006-08-17,406.0
2006-08-18,408.0
2006-08-22,409.0
2006-08-23,410.0
2006-08-24,409.0
2006-08-25,415.0
2006-08-28,424.0
2006-08-29,420.0
2006-08-30,420.0
2006-08-31,445.2
2006-09-01,440.0
2006-09-04,436.0
2006-09-05,430.0
2006-09-06,427.0
2006-09-07,425.0
2006-09-08,421.0
2006-09-11,416.0
2006-09-12,418.0
2006-09-13,417.0
2006-09-14,412.0
2006-09-15,413.0
2006-09-18,415.0
2006-09-19,410.0
2006-09-20,411.0
2006-09-21,434.95
2006-09-22,435.0
2006-09-25,438.0
2006-09-26,430.0
2006-09-27,430.0
2006-09-28,426.0
2006-09-29,420.0
2006-10-02,416.0
2006-10-03,421.05
2006-10-04,430.0
2006-10-05,440.0
2006-10-06,455.0
2006-10-09,455.0
2006-10-10,460.0
2006-10-11,450.0
2006-10-12,452.0
2006-10-13,456.0
2006-10-16,454.0
2006-10-17,470.0
2006-10-18,480.0
2006-10-19,480.0
2006-10-20,480.0
2006-10-23,484.0
