date,DWY
2007-03-06,595.0
2007-03-08,667.0
2007-03-12,749.0
2007-03-13,743.0
2007-03-14,726.0
2007-03-15,714.0
2007-03-16,708.0
2007-03-19,658.0
2007-03-20,636.0
2007-03-21,647.0
2007-03-22,649.0
2007-03-23,646.0
2007-03-26,640.0
2007-03-27,640.0
2007-03-28,605.0
2007-03-29,600.0
2007-03-30,574.0
2007-04-03,564.0
2007-04-04,550.0
2007-04-05,535.0
2007-04-06,567.0
2007-04-09,601.0
2007-04-10,617.0
2007-04-11,602.0
2007-04-12,590.0
2007-04-13,593.0
2007-04-16,600.0
2007-04-17,587.0
2007-04-18,599.0
2007-04-19,594.0
2007-04-20,593.0
2007-04-23,592.0
2007-04-24,589.0
2007-04-25,572.0
2007-04-26,580.0
2007-04-27,580.0
2007-04-30,576.0
2007-05-02,571.0
2007-05-03,571.0
2007-05-04,571.0
2007-05-07,570.0
2007-05-08,565.0
2007-05-09,540.0
2007-05-10,520.0
2007-05-11,508.0
2007-05-14,500.0
2007-05-15,502.0
2007-05-16,532.0
2007-05-17,559.0
2007-05-18,530.0
2007-05-21,552.0
2007-05-22,548.0
2007-05-23,540.0
2007-05-24,525.0
2007-05-25,520.0
2007-05-28,514.0
2007-05-29,514.0
2007-05-30,512.0
2007-05-31,527.0
2007-06-01,527.0
2007-06-04,514.0
2007-06-05,513.0
2007-06-06,517.0
2007-06-07,520.0
2007-06-08,520.0
2007-06-11,521.0
2007-06-12,529.0
2007-06-13,517.0
2007-06-14,516.0
2007-06-15,529.0
2007-06-18,517.0
2007-06-19,514.0
2007-06-20,519.0
2007-06-21,512.0
2007-06-22,515.0
2007-06-25,510.0
2007-06-26,507.0
2007-06-27,505.0
2007-06-28,495.1
2007-06-29,505.0
2007-07-02,495.0
2007-07-03,493.0
2007-07-04,486.0
2007-07-05,483.0
2007-07-06,490.0
2007-07-09,489.0
2007-07-10,470.0
2007-07-11,459.0
2007-07-12,460.0
2007-07-13,463.0
2007-07-16,465.0
2007-07-17,450.05
2007-07-18,450.0
2007-07-19,446.0
2007-07-20,445.1
2007-07-23,447.0
2007-07-24,445.9
