date,DYT
2022-07-19,284.0
2022-07-20,255.65
2022-07-21,257.0
2022-07-22,240.0
2022-07-25,221.0
2022-07-26,221.0
2022-07-27,228.0
2022-07-28,227.0
2022-07-29,232.0
2022-08-01,235.0
2022-08-02,239.5
2022-08-03,236.0
2022-08-04,236.0
2022-08-05,235.0
2022-08-08,236.1
2022-08-09,240.0
2022-08-10,238.05
2022-08-11,244.0
2022-08-12,245.0
2022-08-15,250.0
2022-08-16,247.5
2022-08-17,254.9
2022-08-18,253.0
2022-08-19,251.1
2022-08-22,251.0
2022-08-23,254.7
2022-08-24,252.05
2022-08-25,252.1
2022-08-26,255.0
2022-08-29,253.0
2022-08-30,255.0
2022-08-31,258.0
2022-09-01,259.95
2022-09-02,260.0
2022-09-05,260.0
2022-09-06,259.85
2022-09-07,258.7
2022-09-08,261.0
2022-09-09,260.0
2022-09-12,258.0
2022-09-13,243.05
2022-09-14,240.5
2022-09-15,237.9
2022-09-16,234.2
2022-09-19,236.5
2022-09-20,237.0
2022-09-21,238.0
2022-09-22,243.0
2022-09-23,235.0
2022-09-26,233.0
2022-09-27,231.0
2022-09-28,229.8
2022-09-29,216.05
2022-09-30,203.1
2022-10-03,190.95
2022-10-04,188.15
2022-10-05,194.9
2022-10-06,194.0
2022-10-07,195.0
2022-10-11,195.95
2022-10-12,198.6
2022-10-13,197.0
2022-10-14,191.0
2022-10-17,188.5
2022-10-18,193.0
2022-10-19,190.0
2022-10-20,187.5
2022-10-21,191.0
2022-10-24,188.0
2022-10-25,193.5
2022-10-26,190.0
2022-10-27,185.6
2022-10-28,186.0
2022-10-31,188.2
2022-11-01,188.0
2022-11-02,190.0
2022-11-03,184.35
2022-11-04,183.2
2022-11-07,183.25
2022-11-08,183.5
2022-11-09,180.05
2022-11-10,179.95
2022-11-11,179.7
2022-11-14,174.05
2022-11-15,178.5
2022-11-16,182.0
2022-11-17,189.0
2022-11-21,189.0
2022-11-22,189.0
2022-11-23,182.15
2022-11-24,186.0
2022-11-25,186.0
2022-11-28,185.0
2022-11-29,180.0
2022-11-30,182.0
2022-12-01,182.0
2022-12-02,181.0
2022-12-05,182.0
2022-12-06,183.0
2022-12-07,184.0
2022-12-08,187.9
2022-12-09,186.95
2022-12-12,198.15
2022-12-13,204.0
2022-12-14,215.0
2022-12-15,216.0
2022-12-16,213.95
2022-12-19,213.0
2022-12-20,209.85
2022-12-21,208.85
2022-12-22,208.45
2022-12-23,207.8
2022-12-26,208.0
2022-12-27,207.75
2022-12-28,206.85
2022-12-29,206.5
2022-12-30,210.0
2023-01-02,208.0
2023-01-03,200.0
2023-01-04,195.0
2023-01-05,188.5
2023-01-06,177.95
2023-01-09,180.0
2023-01-10,176.1
2023-01-12,184.95
2023-01-13,178.0
2023-01-16,188.5
2023-01-17,194.5
2023-01-18,206.0
2023-01-19,209.85
2023-01-20,204.55
2023-01-23,200.0
2023-01-24,192.0
2023-01-25,192.5
2023-01-26,203.8
2023-01-27,203.85
2023-01-30,199.9
2023-01-31,198.0
2023-02-01,193.3
2023-02-02,198.9
2023-02-03,198.2
2023-02-06,197.9
2023-02-07,209.7
2023-02-08,197.2
2023-02-09,198.0
2023-02-10,200.0
2023-02-13,200.0
2023-02-14,196.6
2023-02-15,192.25
2023-02-16,190.0
2023-02-17,188.0
2023-02-20,190.0
2023-02-21,185.15
2023-02-22,182.2
2023-02-23,185.0
2023-02-24,186.8
2023-02-27,190.0
2023-02-28,190.0
2023-03-01,190.0
2023-03-02,190.0
2023-03-03,186.0
2023-03-06,188.95
2023-03-07,185.0
2023-03-08,185.0
2023-03-09,188.95
2023-03-10,185.0
2023-03-13,184.0
2023-03-14,182.0
2023-03-15,180.0
2023-03-16,180.2
2023-03-17,176.5
