date,EQD
2000-01-04,954.0
2000-01-13,959.0
2000-01-14,959.0
2000-01-18,950.0
2000-01-19,950.0
2000-01-20,942.0
2000-01-21,930.0
2000-01-24,930.0
2000-01-25,940.0
2000-01-28,942.0
2000-01-31,930.0
2000-02-02,939.0
2000-02-03,905.0
2000-02-04,905.0
2000-02-07,906.0
2000-02-17,830.0
2000-02-23,801.0
2000-02-24,800.0
2000-02-25,800.0
2000-02-28,800.0
2000-02-29,810.0
2000-03-01,815.0
2000-03-02,820.0
2000-03-06,840.0
2000-03-07,835.0
2000-03-08,835.0
2000-03-09,834.0
2000-03-10,834.0
2000-03-13,834.0
2000-03-15,830.0
2000-03-16,825.0
2000-03-20,806.0
2000-03-21,806.0
2000-03-22,810.0
2000-03-23,810.0
2000-03-27,810.0
2000-03-28,810.0
2000-03-30,810.0
2000-03-31,810.0
2000-04-04,805.0
2000-04-05,800.0
2000-04-11,776.0
2000-04-12,740.0
2000-04-13,735.0
2000-04-14,728.0
2000-04-17,700.0
2000-04-18,666.0
2000-04-20,670.0
2000-04-21,710.0
2000-04-24,720.0
2000-04-25,705.0
2000-04-27,700.0
2000-05-02,658.0
2000-05-03,658.0
2000-05-04,665.0
2000-05-05,685.0
2000-05-08,700.0
2000-05-11,760.0
2000-05-12,782.0
2000-05-15,785.0
2000-05-16,780.0
2000-05-17,780.0
2000-05-19,762.0
2000-05-22,733.0
2000-05-23,720.0
2000-05-24,741.0
2000-05-25,739.0
2000-05-26,750.0
2000-05-29,750.0
2000-05-31,755.0
2000-06-01,750.0
2000-06-02,755.0
2000-06-05,759.0
2000-06-06,750.0
2000-06-07,750.0
2000-06-08,750.0
2000-06-13,750.0
2000-06-19,718.0
2000-06-20,727.0
2000-06-21,725.0
2000-06-22,730.0
2000-06-23,725.0
2000-06-26,718.0
2000-06-27,716.0
2000-06-28,716.0
2000-06-29,716.0
2000-07-03,706.0
2000-07-04,707.0
2000-07-05,710.0
2000-07-07,707.0
2000-07-10,708.0
2000-07-12,748.0
2000-07-13,713.0
2000-07-14,743.0
2000-07-17,715.0
2000-07-19,730.0
2000-07-20,710.0
2000-07-21,729.0
2000-07-24,690.0
2000-07-25,695.0
2000-07-26,695.0
2000-07-27,690.0
2000-07-28,655.0
2000-07-31,662.0
2000-08-01,695.0
2000-08-02,695.0
2000-08-03,690.0
2000-08-04,689.0
2000-08-07,684.0
2000-08-08,677.0
2000-08-09,670.0
2000-08-10,662.0
2000-08-11,660.0
2000-08-15,649.0
2000-08-16,670.0
2000-08-17,650.0
2000-08-18,647.0
2000-08-24,762.0
2000-08-28,720.0
2000-08-29,725.0
2000-08-30,682.0
2000-08-31,700.0
2000-09-01,660.0
2000-09-04,672.0
2000-09-08,667.0
2000-09-11,660.0
2000-09-13,650.0
2000-09-14,618.0
2000-09-15,653.0
2000-09-18,626.0
2000-09-19,632.0
2000-09-20,630.0
2000-09-21,618.0
2000-09-25,593.0
2000-09-27,560.0
2000-09-28,560.0
2000-09-29,561.0
2000-10-02,561.0
2000-10-03,590.0
2000-10-05,585.0
2000-10-06,570.0
2000-10-09,565.0
2000-10-10,595.0
2000-10-11,580.0
2000-10-12,578.0
2000-10-16,565.0
2000-10-17,550.0
2000-10-18,531.0
2000-10-19,530.0
2000-10-20,530.0
2000-10-23,530.0
2000-10-25,560.0
2000-10-26,531.0
2000-10-30,533.0
2000-10-31,532.0
2000-11-01,529.0
2000-11-02,528.0
2000-11-03,525.0
2000-11-07,525.0
2000-11-08,525.0
2000-11-09,520.0
2000-11-10,515.0
2000-11-13,506.0
2000-11-14,497.0
2000-11-15,496.0
2000-11-16,494.0
2000-11-17,465.0
2000-11-20,440.0
2000-11-21,435.0
2000-11-22,437.0
2000-11-23,437.9
2000-11-24,437.9
2000-11-27,430.0
2000-11-28,430.0
2000-11-29,422.1
2000-11-30,420.0
2000-12-01,420.0
2000-12-04,419.0
2000-12-05,440.0
2000-12-07,440.0
2000-12-08,466.4
2000-12-11,466.0
2000-12-12,480.0
2000-12-13,478.0
2000-12-14,475.0
2000-12-15,469.0
2000-12-18,465.0
2000-12-19,475.0
2000-12-21,474.0
2000-12-22,474.0
2000-12-25,469.0
2000-12-26,466.0
2000-12-29,450.0
2001-01-04,459.0
2001-01-05,450.0
2001-01-08,440.0
2001-01-09,430.0
2001-01-10,422.0
2001-01-12,422.0
2001-01-15,420.0
2001-01-16,426.0
2001-01-17,430.0
2001-01-18,425.0
2001-01-19,425.0
2001-01-22,420.0
2001-01-23,420.0
2001-01-24,430.0
2001-01-25,429.0
2001-01-26,424.0
2001-01-29,449.0
2001-01-30,459.0
2001-01-31,435.5
2001-02-01,435.5
2001-02-02,437.0
2001-02-05,452.0
2001-02-06,443.0
2001-02-07,455.0
2001-02-08,457.0
2001-02-09,457.0
2001-02-12,480.0
2001-02-13,483.0
2001-02-14,507.0
2001-02-15,534.0
2001-02-16,535.0
2001-02-19,525.0
2001-02-20,500.0
2001-02-21,486.0
2001-02-22,510.0
2001-02-23,525.0
2001-02-26,554.0
2001-02-27,585.0
2001-02-28,566.0
2001-03-01,569.0
2001-03-02,568.0
2001-03-05,570.0
2001-03-08,564.0
2001-03-09,568.0
2001-03-12,570.0
2001-03-13,565.0
2001-03-14,565.0
2001-03-15,565.0
2001-03-16,566.0
2001-03-19,553.0
2001-03-20,552.0
2001-03-21,550.0
2001-03-22,575.0
2001-03-23,572.0
2001-03-26,568.0
2001-03-28,572.0
2001-03-29,569.0
2001-03-30,540.0
2001-04-02,540.0
2001-04-03,539.0
2001-04-04,540.0
2001-04-05,540.0
2001-04-06,540.0
2001-04-09,567.0
2001-04-10,567.0
2001-04-11,564.0
2001-04-12,564.0
2001-04-13,550.0
2001-04-16,550.0
2001-04-17,540.0
2001-04-18,540.0
2001-04-19,536.0
2001-04-20,547.0
2001-04-23,540.0
