date,FBR
2006-12-06,392.6
2006-12-08,475.0
2006-12-12,533.0
2006-12-14,597.0
2006-12-18,669.0
2006-12-20,751.0
2006-12-22,843.0
2006-12-26,946.0
2006-12-28,946.0
2006-12-29,969.0
2007-01-02,911.0
2007-01-03,900.0
2007-01-04,886.0
2007-01-08,862.0
2007-01-09,835.0
2007-01-10,818.0
2007-01-12,769.0
2007-01-15,735.0
2007-01-16,712.0
2007-01-17,723.0
2007-01-18,739.0
2007-01-19,731.0
2007-01-22,745.0
2007-01-23,776.0
2007-01-24,822.0
2007-01-25,850.0
2007-01-26,832.0
2007-01-29,814.0
2007-01-30,808.0
2007-01-31,785.0
2007-02-01,800.0
2007-02-02,788.0
2007-02-05,775.0
2007-02-06,775.0
2007-02-07,765.0
2007-02-08,763.0
2007-02-09,771.0
2007-02-12,771.0
2007-02-13,774.0
2007-02-14,790.0
2007-02-15,789.0
2007-02-16,796.0
2007-02-19,784.0
2007-02-20,789.0
2007-02-21,770.0
2007-02-22,730.0
2007-02-23,760.0
2007-02-26,777.0
2007-02-27,740.0
2007-02-28,750.0
2007-03-01,758.0
2007-03-02,752.0
2007-03-05,759.0
2007-03-06,760.0
2007-03-07,750.0
2007-03-08,744.0
2007-03-09,749.0
2007-03-12,750.0
2007-03-13,740.0
2007-03-14,736.0
2007-03-15,728.0
2007-03-19,695.0
2007-03-20,673.0
2007-03-21,703.0
2007-03-22,705.0
2007-03-23,723.0
2007-03-26,700.0
2007-03-27,700.0
2007-03-28,700.0
2007-03-29,668.0
2007-03-30,660.0
2007-04-03,652.0
2007-04-04,640.0
2007-04-05,630.0
2007-04-06,665.0
2007-04-09,668.0
2007-04-10,654.0
2007-04-11,670.0
2007-04-12,669.0
2007-04-13,657.0
2007-04-16,658.0
2007-04-17,660.0
2007-04-18,670.0
2007-04-19,665.0
2007-04-20,650.0
2007-04-23,655.0
2007-04-24,659.0
2007-04-25,659.0
2007-04-26,650.0
2007-04-27,638.0
2007-04-30,634.0
2007-05-02,630.0
2007-05-03,649.0
2007-05-04,644.0
2007-05-07,650.0
2007-05-08,650.0
2007-05-09,639.0
2007-05-10,601.0
2007-05-11,566.0
2007-05-14,523.0
2007-05-15,546.0
2007-05-17,580.0
2007-05-18,600.0
2007-05-21,598.0
2007-05-22,599.0
2007-05-23,580.0
2007-05-24,587.0
2007-05-25,592.0
2007-05-28,575.0
2007-05-29,595.0
2007-05-30,600.0
2007-05-31,599.0
2007-06-01,590.0
2007-06-04,599.0
2007-06-05,597.0
2007-06-06,589.0
2007-06-07,590.0
2007-06-08,590.0
2007-06-11,576.0
2007-06-12,590.0
2007-06-13,576.0
2007-06-14,576.0
2007-06-15,575.0
2007-06-18,573.0
2007-06-19,570.0
2007-06-20,574.0
2007-06-21,558.0
2007-06-22,550.0
2007-06-25,541.0
2007-06-26,540.0
2007-06-27,530.0
2007-06-28,505.0
2007-06-29,515.0
2007-07-02,518.0
2007-07-03,518.0
2007-07-04,520.0
2007-07-05,522.0
2007-07-06,543.0
2007-07-09,528.0
2007-07-10,521.0
2007-07-11,525.0
2007-07-12,520.0
2007-07-13,500.0
2007-07-16,519.0
2007-07-17,510.0
2007-07-18,520.0
2007-07-19,500.0
2007-07-20,505.0
2007-07-23,500.0
2007-07-24,490.0
2007-07-25,495.0
2007-07-26,501.0
2007-07-27,508.0
2007-07-31,522.0
2007-08-01,553.0
2007-08-02,586.0
2007-08-03,590.0
2007-08-06,600.0
2007-08-07,599.0
2007-08-08,594.0
2007-08-09,604.0
2007-08-10,600.0
2007-08-13,600.0
2007-08-15,577.0
2007-08-16,580.0
2007-08-17,578.0
2007-08-22,581.0
2007-08-23,600.0
2007-08-24,597.0
2007-08-27,597.0
2007-08-28,595.0
2007-08-29,595.0
2007-08-30,585.0
2007-08-31,580.0
2007-09-03,578.0
2007-09-04,550.0
2007-09-05,550.0
2007-09-06,540.0
2007-09-07,550.0
2007-09-10,542.0
2007-09-11,557.0
2007-09-12,553.0
2007-09-13,550.0
2007-09-14,535.0
2007-09-17,535.0
2007-09-18,530.0
2007-09-19,525.0
2007-09-20,537.0
2007-09-21,533.0
2007-09-25,579.0
2007-09-26,582.0
2007-09-27,580.0
2007-09-28,578.0
2007-10-01,579.0
2007-10-02,577.0
2007-10-03,570.0
2007-10-04,576.0
2007-10-05,605.0
2007-10-08,631.0
2007-10-09,615.0
2007-10-10,609.0
2007-10-11,601.0
2007-10-12,610.0
2007-10-15,627.0
2007-10-16,640.0
2007-10-17,678.0
2007-10-18,702.0
2007-10-19,691.0
2007-10-22,670.0
2007-10-23,665.0
2007-10-24,690.0
2007-10-25,667.0
2007-10-26,667.0
2007-10-29,674.0
2007-10-30,666.0
2007-10-31,631.0
2007-11-01,655.0
2007-11-02,680.0
2007-11-05,680.0
2007-11-07,656.0
2007-11-08,668.0
2007-11-09,650.0
2007-11-12,643.0
2007-11-13,630.0
2007-11-14,627.0
2007-11-15,629.0
2007-11-16,627.0
2007-11-19,610.0
2007-11-20,611.0
2007-11-21,610.0
2007-11-22,582.0
2007-11-23,578.0
2007-11-26,570.0
2007-11-27,580.0
2007-11-28,600.0
2007-11-29,590.0
2007-11-30,587.0
2007-12-03,594.0
2007-12-04,562.0
2007-12-05,578.0
2007-12-06,563.0
2007-12-07,560.0
2007-12-10,542.0
2007-12-11,541.0
2007-12-12,555.0
2007-12-13,553.0
2007-12-14,550.0
2007-12-17,583.0
2007-12-18,583.0
2007-12-19,597.0
2007-12-20,590.0
2007-12-24,580.0
2007-12-25,576.0
2007-12-26,577.0
2007-12-27,580.0
2007-12-28,581.0
2007-12-31,586.0
2008-01-02,593.0
2008-01-03,609.0
2008-01-04,595.0
2008-01-07,587.0
2008-01-08,598.0
2008-01-09,583.0
2008-01-14,583.0
2008-01-15,580.0
2008-01-16,582.0
2008-01-17,577.0
2008-01-18,563.0
2008-01-21,571.0
2008-01-22,564.0
2008-01-23,580.0
2008-01-24,572.0
2008-01-25,570.0
2008-01-28,576.0
2008-01-29,610.0
2008-01-30,615.0
2008-01-31,592.0
2008-02-01,614.0
2008-02-04,631.0
2008-02-05,615.0
2008-02-06,617.0
2008-02-07,623.0
2008-02-08,620.0
2008-02-11,620.0
2008-02-12,624.0
2008-02-13,624.0
2008-02-14,630.0
2008-02-15,628.0
2008-02-18,625.0
2008-02-19,618.0
2008-02-20,618.0
2008-02-21,618.0
2008-02-22,615.0
2008-02-25,600.0
2008-02-26,600.0
2008-02-27,590.0
2008-02-28,589.0
2008-02-29,594.0
2008-03-03,593.0
2008-03-04,584.0
2008-03-05,590.0
2008-03-06,608.0
2008-03-07,608.0
2008-03-10,600.0
2008-03-11,585.0
