date,GAZ
2000-01-04,430.0
2000-01-19,420.0
2000-02-01,445.2
2000-02-03,445.2
2000-02-04,440.0
2000-02-07,425.0
2000-02-23,400.0
2000-02-29,422.0
2000-03-01,420.0
2000-03-02,421.0
2000-03-03,420.0
2000-03-06,426.0
2000-03-07,412.0
2000-03-08,420.0
2000-03-09,421.2
2000-03-10,420.0
2000-03-13,415.1
2000-03-14,419.7
2000-03-15,420.5
2000-03-16,421.0
2000-03-20,435.0
2000-03-21,435.0
2000-03-22,449.0
2000-03-23,462.0
2000-03-27,471.0
2000-03-28,468.0
2000-03-29,475.0
2000-03-30,468.0
2000-03-31,469.0
2000-04-05,460.0
2000-04-12,450.0
2000-04-13,440.0
2000-04-14,442.0
2000-04-17,450.0
2000-04-18,438.0
2000-04-20,432.0
2000-04-21,429.0
2000-04-25,446.0
2000-04-26,438.0
2000-04-27,430.0
2000-04-28,430.5
2000-05-02,405.0
2000-05-03,411.0
2000-05-04,425.0
2000-05-05,426.1
2000-05-08,447.0
2000-05-11,450.0
2000-05-12,460.0
2000-05-15,460.0
2000-05-16,465.0
2000-05-17,469.0
2000-05-18,469.0
2000-05-19,465.0
2000-05-22,465.0
2000-05-23,469.0
2000-05-24,469.0
2000-05-25,470.0
2000-05-26,465.0
2000-05-29,465.0
2000-05-31,461.0
2000-06-02,455.0
2000-06-05,458.0
2000-06-06,458.0
2000-06-07,458.0
2000-06-08,460.5
2000-06-09,455.0
2000-06-13,456.0
2000-06-19,445.0
2000-06-20,445.0
2000-06-21,446.0
2000-06-22,449.0
2000-06-23,451.0
2000-06-26,422.0
2000-06-27,430.0
2000-06-28,430.0
2000-06-29,430.0
2000-07-05,425.0
2000-07-07,427.0
2000-07-14,423.0
2000-07-18,420.0
2000-07-19,420.0
2000-07-20,413.0
2000-07-21,405.0
2000-07-24,400.1
2000-07-25,400.0
2000-07-26,387.0
2000-07-27,390.05
2000-07-28,390.0
2000-07-31,393.0
2000-08-01,391.3
2000-08-02,392.0
2000-08-03,413.8
2000-08-04,396.0
2000-08-07,396.2
2000-08-08,397.0
2000-08-09,397.0
2000-08-10,397.0
2000-08-11,390.0
2000-08-15,394.0
2000-08-17,395.0
2000-08-18,394.0
2000-08-23,442.65
2000-08-24,467.0
2000-08-28,443.0
2000-08-29,440.0
2000-08-30,435.0
2000-08-31,428.0
2000-09-01,430.0
2000-09-04,434.0
2000-09-05,426.0
2000-09-06,434.0
2000-09-07,427.0
2000-09-08,425.0
2000-09-11,427.0
2000-09-12,423.0
2000-09-13,434.0
2000-09-14,422.0
2000-09-15,423.0
2000-09-18,423.0
2000-09-19,430.0
2000-09-20,430.0
2000-09-21,430.0
2000-09-22,430.0
2000-09-25,420.0
2000-09-26,430.0
2000-09-27,420.0
2000-09-28,415.0
2000-09-29,415.0
2000-10-02,416.0
2000-10-03,415.0
2000-10-04,415.0
2000-10-05,416.0
2000-10-06,417.0
2000-10-09,411.0
2000-10-10,417.0
2000-10-11,415.0
2000-10-12,415.0
2000-10-13,414.0
2000-10-16,408.0
2000-10-17,408.0
2000-10-18,401.0
2000-10-19,401.0
2000-10-20,424.0
2000-10-23,405.0
2000-10-25,410.0
2000-10-26,415.0
2000-10-31,408.0
2000-11-01,410.0
2000-11-02,410.0
2000-11-03,408.5
2000-11-07,408.0
2000-11-08,408.0
2000-11-09,408.5
2000-11-10,409.0
2000-11-13,408.1
2000-11-14,391.0
2000-11-15,402.0
2000-11-16,398.0
2000-11-17,395.0
2000-11-20,391.0
2000-11-21,388.0
2000-11-22,388.0
2000-11-23,386.0
2000-11-24,385.0
2000-11-29,390.0
2000-11-30,380.0
2000-12-01,381.0
2000-12-04,364.0
2000-12-05,345.0
2000-12-07,365.7
2000-12-08,380.0
2000-12-11,390.0
2000-12-12,395.0
2000-12-13,385.0
2000-12-14,397.0
2000-12-15,396.0
2000-12-18,396.0
2000-12-19,396.0
2000-12-20,394.0
2000-12-22,394.0
2000-12-25,375.0
2000-12-26,370.0
2000-12-29,370.0
2001-01-02,353.0
2001-01-03,355.0
2001-01-05,350.0
2001-01-08,350.0
2001-01-09,350.0
2001-01-10,360.0
2001-01-12,347.0
2001-01-15,345.0
2001-01-16,345.0
2001-01-17,340.0
2001-01-18,328.0
2001-01-19,346.0
2001-01-22,346.0
2001-01-23,346.0
2001-01-24,349.5
2001-01-25,349.5
2001-01-26,357.0
2001-01-29,370.0
2001-01-30,360.0
2001-01-31,360.0
2001-02-01,350.0
2001-02-02,365.0
2001-02-05,365.0
2001-02-06,365.0
2001-02-07,360.0
2001-02-08,360.0
2001-02-09,370.0
2001-02-12,370.0
2001-02-13,380.0
2001-02-15,385.0
2001-02-16,390.0
2001-02-19,392.0
2001-02-20,390.0
2001-02-21,390.0
2001-02-22,380.0
2001-02-23,381.0
2001-02-26,380.0
2001-02-28,385.0
2001-03-01,381.0
2001-03-02,381.0
2001-03-05,381.0
2001-03-08,383.05
2001-03-09,389.0
2001-03-12,386.0
2001-03-13,382.0
2001-03-14,386.0
2001-03-15,386.0
2001-03-16,384.95
2001-03-19,384.95
2001-03-20,376.0
2001-03-21,378.1
2001-03-22,378.1
2001-03-23,378.1
2001-03-26,378.1
2001-03-28,365.0
2001-03-29,365.0
2001-03-30,355.0
2001-04-02,350.0
2001-04-03,350.0
2001-04-04,369.7
2001-04-05,365.0
2001-04-06,364.95
2001-04-09,364.95
2001-04-10,360.0
2001-04-11,355.0
2001-04-12,355.0
2001-04-13,340.0
2001-04-16,345.0
2001-04-17,333.0
2001-04-18,330.0
2001-04-19,335.0
2001-04-20,344.7
2001-04-23,344.0
2001-04-24,340.0
2001-04-25,331.0
2001-04-26,335.0
2001-04-27,325.0
2001-04-30,330.0
2001-05-02,331.0
2001-05-03,330.0
2001-05-04,330.0
2001-05-07,324.0
2001-05-08,323.0
2001-05-09,322.0
2001-05-10,322.0
2001-05-11,329.9
2001-05-14,322.0
2001-05-15,322.0
2001-05-16,322.0
2001-05-17,320.0
2001-05-18,320.0
2001-05-21,313.0
2001-05-22,308.0
2001-05-23,307.0
2001-05-24,310.0
2001-05-25,310.0
2001-05-28,313.0
2001-05-29,307.0
2001-05-30,304.0
2001-05-31,295.0
2001-06-01,295.0
2001-06-04,310.0
2001-06-07,310.0
2001-06-08,310.0
