date,HPS
2006-12-29,113.0
2007-01-03,136.7
2007-01-05,153.5
2007-01-09,172.4
2007-01-12,171.8
2007-01-15,169.9
2007-01-16,173.3
2007-01-17,179.2
2007-01-18,181.5
2007-01-19,180.5
2007-01-22,185.5
2007-01-23,189.5
2007-01-24,200.8
2007-01-25,209.5
2007-01-26,197.0
2007-01-30,196.3
2007-01-31,192.5
2007-02-01,184.6
2007-02-02,189.9
2007-02-05,188.9
2007-02-06,182.7
2007-02-07,188.0
2007-02-08,183.0
2007-02-09,183.0
2007-02-12,184.0
2007-02-13,178.0
2007-02-14,177.2
2007-02-15,183.5
2007-02-16,180.0
2007-02-19,180.2
2007-02-20,180.2
2007-02-21,180.1
2007-02-22,175.2
2007-02-23,180.0
2007-02-26,185.0
2007-02-27,177.1
2007-02-28,179.8
2007-03-01,184.0
2007-03-02,180.0
2007-03-05,181.5
2007-03-06,180.5
2007-03-07,181.9
2007-03-08,182.9
2007-03-09,182.7
2007-03-12,182.9
2007-03-13,180.5
2007-03-14,180.1
2007-03-15,180.6
2007-03-16,180.6
2007-03-19,180.1
2007-03-20,175.0
2007-03-21,179.0
2007-03-22,176.4
2007-03-23,183.1
2007-03-26,183.5
2007-03-27,182.5
2007-03-28,179.0
2007-03-29,178.0
2007-03-30,176.0
2007-04-03,175.0
2007-04-04,175.0
2007-04-05,175.0
2007-04-06,175.0
2007-04-09,179.0
2007-04-10,178.0
2007-04-11,177.0
2007-04-12,178.6
2007-04-13,184.9
2007-04-16,192.1
2007-04-17,191.1
2007-04-18,188.5
2007-04-19,190.0
2007-04-20,190.0
2007-04-23,189.0
2007-04-24,190.0
2007-04-25,189.0
2007-04-26,186.5
2007-04-27,189.2
2007-04-30,190.0
2007-05-02,186.3
2007-05-03,186.5
2007-05-04,189.5
2007-05-07,190.9
2007-05-08,188.5
2007-05-09,181.0
2007-05-10,175.0
2007-05-11,164.5
2007-05-14,160.0
2007-05-15,166.9
2007-05-16,164.9
2007-05-17,163.0
2007-05-18,163.5
2007-05-21,165.0
2007-05-22,160.1
2007-05-23,157.0
2007-05-24,160.0
2007-05-25,158.8
2007-05-28,160.5
2007-05-29,160.0
2007-05-30,160.0
2007-05-31,160.0
2007-06-01,160.1
2007-06-04,163.9
2007-06-05,172.0
2007-06-06,172.0
2007-06-07,168.5
2007-06-08,169.9
2007-06-11,174.5
2007-06-12,172.8
2007-06-13,169.3
2007-06-14,165.8
2007-06-15,165.6
2007-06-18,169.3
2007-06-19,166.9
2007-06-20,166.0
2007-06-21,162.5
2007-06-22,168.4
2007-06-25,163.0
2007-06-26,167.4
2007-06-27,165.9
2007-06-28,163.0
2007-06-29,163.0
2007-07-02,163.5
2007-07-03,163.0
2007-07-04,164.0
2007-07-05,165.5
2007-07-06,167.0
2007-07-09,167.0
2007-07-10,160.2
2007-07-11,163.4
2007-07-12,163.5
2007-07-13,161.8
2007-07-16,160.0
2007-07-17,158.0
2007-07-18,155.4
2007-07-19,156.3
2007-07-20,161.8
2007-07-23,161.7
2007-07-24,159.9
2007-07-26,158.7
2007-07-27,161.0
2007-07-31,159.5
2007-08-01,163.0
2007-08-02,164.0
2007-08-03,166.0
2007-08-06,165.0
2007-08-07,164.9
2007-08-08,162.2
2007-08-09,163.0
2007-08-10,163.6
2007-08-13,160.0
2007-08-15,158.7
2007-08-16,159.9
2007-08-17,163.0
2007-08-22,160.0
2007-08-23,158.0
2007-08-24,158.0
2007-08-27,159.0
2007-08-28,160.5
2007-08-29,159.8
2007-08-30,160.8
2007-08-31,159.0
2007-09-03,160.8
2007-09-04,160.5
2007-09-05,164.9
2007-09-06,158.0
2007-09-07,158.3
2007-09-10,162.0
2007-09-11,165.0
2007-09-12,161.5
2007-09-13,163.0
2007-09-14,160.0
2007-09-17,159.2
2007-09-18,158.6
2007-09-19,162.4
2007-09-20,161.8
2007-09-21,160.0
2007-09-24,158.9
2007-09-25,158.5
2007-09-26,159.0
2007-09-27,155.0
2007-09-28,157.5
2007-10-01,158.6
2007-10-02,158.4
2007-10-03,154.0
2007-10-04,154.0
2007-10-05,152.0
2007-10-08,154.7
2007-10-09,152.5
2007-10-10,153.0
2007-10-11,152.1
2007-10-12,156.5
2007-10-15,156.4
2007-10-16,155.7
2007-10-17,154.9
2007-10-18,154.5
