date,IAM
2004-12-15,79.9
2004-12-16,80.5
2004-12-17,81.24
2004-12-21,83.24
2004-12-22,86.0
2004-12-23,86.0
2004-12-24,82.9
2004-12-27,82.92
2004-12-28,82.8
2004-12-29,84.6
2004-12-30,85.2
2004-12-31,86.7
2005-01-03,87.3
2005-01-04,86.38
2005-01-05,86.78
2005-01-06,85.96
2005-01-07,85.0
2005-01-10,85.5
2005-01-12,85.0
2005-01-13,86.18
2005-01-14,86.02
2005-01-17,86.2
2005-01-18,86.5
2005-01-19,86.5
2005-01-20,86.7
2005-01-24,86.7
2005-01-25,86.18
2005-01-26,85.34
2005-01-27,85.66
2005-01-28,86.52
2005-01-31,86.32
2005-02-01,87.14
2005-02-02,87.48
2005-02-03,87.1
2005-02-04,86.0
2005-02-07,87.0
2005-02-08,86.2
2005-02-09,86.24
2005-02-11,86.1
2005-02-14,86.0
2005-02-15,85.2
2005-02-16,85.5
2005-02-17,85.98
2005-02-18,85.52
2005-02-21,86.04
2005-02-22,86.0
2005-02-23,85.5
2005-02-24,84.12
2005-02-25,84.32
2005-02-28,85.0
2005-03-01,85.52
2005-03-02,85.8
2005-03-03,85.26
2005-03-04,85.8
2005-03-07,84.9
2005-03-08,83.62
2005-03-09,82.16
2005-03-10,83.6
2005-03-11,84.5
2005-03-14,85.0
2005-03-15,85.0
2005-03-16,84.5
2005-03-17,84.8
2005-03-18,83.9
2005-03-21,84.6
2005-03-22,84.5
2005-03-23,84.0
2005-03-24,83.5
2005-03-25,84.6
2005-03-28,84.2
2005-03-29,83.74
2005-03-30,83.22
2005-03-31,83.06
2005-04-01,83.04
2005-04-04,83.0
2005-04-05,83.02
2005-04-06,83.06
2005-04-07,83.1
2005-04-08,84.0
2005-04-11,83.2
2005-04-12,83.26
2005-04-13,83.4
2005-04-14,83.5
2005-04-15,83.64
2005-04-18,83.24
2005-04-19,83.26
2005-04-20,83.6
2005-04-25,83.56
2005-04-26,83.4
2005-04-27,83.32
2005-04-28,83.58
2005-04-29,84.1
2005-05-02,85.5
2005-05-03,84.0
2005-05-04,81.0
2005-05-05,82.4
2005-05-06,83.24
2005-05-09,83.38
2005-05-10,84.34
2005-05-11,83.34
2005-05-12,83.0
2005-05-13,82.02
2005-05-16,81.54
2005-05-17,81.3
2005-05-18,82.3
2005-05-19,82.04
2005-05-20,82.1
2005-05-23,82.16
2005-05-24,82.5
2005-05-25,82.26
2005-05-26,81.68
2005-05-27,82.04
2005-05-30,82.44
2005-05-31,83.3
2005-06-01,83.88
2005-06-02,83.8
2005-06-03,82.6
2005-06-06,82.5
2005-06-07,82.04
2005-06-08,82.6
2005-06-09,81.8
2005-06-10,82.0
2005-06-13,81.66
2005-06-14,82.98
2005-06-15,82.6
2005-06-16,82.48
2005-06-17,82.06
2005-06-20,82.5
2005-06-21,82.7
2005-06-22,83.4
2005-06-23,83.38
2005-06-24,83.0
2005-06-27,83.12
2005-06-28,83.0
2005-06-29,83.0
2005-06-30,83.2
2005-07-01,83.0
2005-07-04,83.1
2005-07-05,83.02
2005-07-06,82.82
2005-07-07,83.4
2005-07-08,83.06
2005-07-11,83.5
2005-07-12,83.5
2005-07-13,83.5
2005-07-14,83.58
2005-07-15,84.0
2005-07-18,84.0
2005-07-19,84.0
2005-07-20,84.12
2005-07-21,85.0
2005-07-22,85.2
2005-07-25,85.5
2005-07-26,86.5
2005-07-27,88.0
2005-07-28,88.0
2005-07-29,87.3
2005-08-01,87.1
2005-08-02,87.5
2005-08-03,87.5
2005-08-04,87.66
2005-08-05,87.5
2005-08-08,87.5
2005-08-09,88.48
2005-08-10,87.4
2005-08-11,87.6
2005-08-12,88.9
2005-08-15,90.0
2005-08-16,90.0
2005-08-17,89.14
2005-08-18,89.5
2005-08-19,89.62
2005-08-22,89.32
2005-08-23,89.5
2005-08-24,89.56
2005-08-25,89.12
2005-08-26,89.0
2005-08-29,89.28
2005-08-30,89.08
2005-08-31,89.54
2005-09-01,89.72
2005-09-02,93.0
2005-09-05,96.5
2005-09-06,96.0
2005-09-07,93.62
2005-09-08,93.0
2005-09-09,96.0
2005-09-12,97.0
2005-09-13,97.5
2005-09-14,97.9
2005-09-15,97.3
2005-09-16,97.5
2005-09-19,98.5
2005-09-20,98.26
2005-09-21,97.0
2005-09-22,96.52
2005-09-23,95.6
2005-09-26,95.6
2005-09-27,96.5
2005-09-28,96.1
2005-09-29,96.2
2005-09-30,96.2
2005-10-03,96.1
2005-10-04,96.5
2005-10-05,96.18
2005-10-06,96.0
2005-10-07,96.06
2005-10-10,96.14
2005-10-11,96.3
2005-10-12,97.0
2005-10-13,96.8
2005-10-14,97.0
2005-10-17,97.2
2005-10-18,98.0
2005-10-19,96.98
2005-10-20,96.66
2005-10-21,96.22
2005-10-24,96.02
2005-10-25,96.42
2005-10-26,95.9
2005-10-27,96.1
2005-10-28,96.0
2005-10-31,95.7
2005-11-01,96.9
2005-11-02,97.2
2005-11-03,99.0
2005-11-07,99.04
2005-11-08,100.1
2005-11-09,99.5
2005-11-10,99.04
2005-11-11,99.6
2005-11-14,99.7
2005-11-15,100.0
2005-11-21,100.1
2005-11-22,100.5
2005-11-23,100.35
2005-11-24,100.35
2005-11-25,101.0
2005-11-28,100.65
2005-11-29,100.75
2005-11-30,100.3
2005-12-01,100.0
2005-12-02,98.3
2005-12-05,98.52
2005-12-06,98.2
2005-12-07,97.5
2005-12-08,96.5
2005-12-09,98.5
2005-12-12,98.02
2005-12-13,98.48
2005-12-14,98.48
2005-12-15,98.32
2005-12-16,99.2
2005-12-19,99.8
2005-12-20,99.9
2005-12-21,100.3
2005-12-22,100.0
2005-12-23,99.84
2005-12-26,99.5
2005-12-27,99.7
2005-12-28,100.0
2005-12-29,100.0
2005-12-30,100.0
2006-01-03,101.5
2006-01-04,104.0
2006-01-05,110.2
2006-01-06,111.6
2006-01-09,113.8
2006-01-10,112.55
2006-01-13,109.15
2006-01-16,109.7
2006-01-17,109.0
2006-01-18,108.5
2006-01-19,109.5
2006-01-20,111.7
2006-01-23,110.2
2006-01-24,113.2
2006-01-25,114.35
2006-01-26,112.7
2006-01-27,113.1
2006-01-30,115.0
2006-02-01,118.0
2006-02-02,121.3
2006-02-03,120.9
2006-02-06,126.5
2006-02-07,130.0
2006-02-08,130.0
2006-02-09,132.0
2006-02-10,131.5
2006-02-13,128.6
2006-02-14,124.5
2006-02-15,124.0
2006-02-16,124.0
2006-02-17,127.0
2006-02-20,129.5
2006-02-21,131.8
2006-02-22,133.9
2006-02-23,132.0
2006-02-24,130.0
2006-02-27,134.1
2006-02-28,135.1
2006-03-01,133.2
2006-03-02,133.1
2006-03-03,132.9
2006-03-06,133.2
2006-03-07,132.7
2006-03-08,131.55
2006-03-09,132.1
2006-03-10,132.2
2006-03-13,132.0
2006-03-14,129.0
2006-03-15,127.5
2006-03-17,127.5
2006-03-20,127.5
2006-03-21,127.5
2006-03-22,128.0
2006-03-23,131.0
2006-03-24,132.0
2006-03-27,133.5
2006-03-28,136.0
2006-03-29,136.0
2006-03-30,134.6
2006-03-31,135.1
2006-04-03,134.5
2006-04-04,136.95
2006-04-05,136.5
2006-04-06,138.0
2006-04-07,139.1
2006-04-10,143.0
2006-04-13,145.0
2006-04-14,145.95
2006-04-17,145.0
2006-04-18,144.0
2006-04-19,142.6
2006-04-20,144.8
2006-04-21,144.4
2006-04-24,143.9
2006-04-25,143.8
2006-04-26,144.0
2006-04-27,145.0
2006-04-28,145.8
2006-05-02,139.0
2006-05-03,139.0
2006-05-04,143.0
2006-05-05,144.4
2006-05-08,143.5
2006-05-09,142.0
2006-05-10,141.8
2006-05-11,142.15
2006-05-12,142.8
2006-05-15,141.0
2006-05-16,137.55
2006-05-17,137.5
2006-05-18,135.0
2006-05-19,133.0
2006-05-22,125.05
2006-05-23,117.55
2006-05-24,124.6
2006-05-25,124.0
2006-05-26,120.2
2006-05-29,118.15
2006-05-30,118.9
2006-05-31,118.5
2006-06-01,118.5
2006-06-02,120.5
2006-06-05,120.0
2006-06-06,117.5
2006-06-07,116.1
2006-06-08,111.9
2006-06-09,113.8
2006-06-12,110.0
2006-06-13,107.0
2006-06-14,109.0
2006-06-15,113.0
2006-06-16,115.0
2006-06-19,116.6
2006-06-20,116.0
2006-06-21,114.5
2006-06-22,115.0
2006-06-23,114.0
2006-06-26,113.5
2006-06-27,112.6
2006-06-28,112.2
2006-06-29,113.05
2006-06-30,116.9
2006-07-03,118.8
2006-07-04,120.55
2006-07-05,121.0
2006-07-06,121.0
2006-07-07,120.0
2006-07-10,118.0
2006-07-11,117.0
2006-07-12,117.55
2006-07-13,117.0
2006-07-14,116.0
2006-07-17,114.9
2006-07-18,114.65
2006-07-19,114.75
2006-07-20,114.0
2006-07-21,114.0
2006-07-24,113.8
2006-07-25,114.0
2006-07-26,111.5
2006-07-27,112.1
2006-07-28,113.3
2006-07-31,113.0
2006-08-01,113.9
2006-08-02,113.65
2006-08-03,113.2
2006-08-04,113.3
2006-08-07,113.6
2006-08-08,117.2
2006-08-09,121.5
2006-08-10,119.0
2006-08-11,118.9
2006-08-15,118.0
2006-08-16,119.95
2006-08-17,119.9
2006-08-18,119.0
2006-08-22,119.0
2006-08-23,120.0
2006-08-24,123.5
2006-08-25,127.0
2006-08-28,128.0
2006-08-29,128.0
2006-08-30,133.1
2006-08-31,132.5
2006-09-01,132.5
2006-09-04,132.5
2006-09-05,132.0
2006-09-06,128.0
2006-09-07,131.3
2006-09-08,136.0
2006-09-11,141.8
2006-09-12,140.0
2006-09-13,139.05
2006-09-14,141.5
2006-09-15,140.0
2006-09-18,140.0
2006-09-19,138.3
2006-09-20,137.0
2006-09-21,136.95
2006-09-22,136.0
2006-09-25,135.25
2006-09-26,134.0
2006-09-27,130.7
2006-09-28,133.5
2006-09-29,134.8
2006-10-02,133.0
2006-10-03,133.0
2006-10-04,131.5
2006-10-05,123.65
2006-10-06,119.0
2006-10-09,120.3
2006-10-10,121.65
2006-10-11,120.5
2006-10-12,120.0
2006-10-13,118.0
2006-10-16,120.4
2006-10-17,120.5
2006-10-18,122.0
2006-10-19,127.0
2006-10-20,128.9
2006-10-23,128.1
2006-10-26,127.9
2006-10-27,127.8
2006-10-30,128.7
2006-10-31,132.0
2006-11-01,136.5
2006-11-02,136.0
2006-11-03,132.8
2006-11-07,135.0
2006-11-08,133.2
2006-11-09,131.0
2006-11-10,130.0
2006-11-13,131.1
2006-11-14,133.4
2006-11-15,132.7
2006-11-16,130.0
2006-11-17,130.15
2006-11-20,132.6
2006-11-21,131.0
2006-11-22,129.95
2006-11-23,128.5
2006-11-24,132.45
2006-11-27,128.0
2006-11-28,127.05
2006-11-29,127.6
2006-11-30,125.5
2006-12-01,126.2
2006-12-04,126.3
2006-12-05,127.1
2006-12-06,128.9
2006-12-07,129.3
2006-12-08,130.1
