date,IBC
2001-07-09,297.0
2001-07-10,300.0
2001-07-11,282.0
2001-07-12,282.0
2001-07-13,298.5
2001-07-16,299.5
2001-07-17,297.0
2001-07-18,282.0
2001-07-19,272.5
2001-07-20,287.5
2001-07-23,274.5
2001-07-24,282.0
2001-07-25,282.0
2001-07-26,287.5
2001-07-27,295.0
2001-07-31,293.5
2001-08-01,282.5
2001-08-02,275.5
2001-08-03,282.5
2001-08-06,282.5
2001-08-07,285.0
2001-08-08,285.0
2001-08-09,285.0
2001-08-10,283.0
2001-08-13,270.0
2001-08-15,260.5
2001-08-16,265.0
2001-08-17,275.5
2001-08-22,275.0
2001-08-23,275.0
2001-08-24,282.5
2001-08-27,282.5
2001-08-28,282.5
2001-08-29,284.5
2001-08-30,281.0
2001-08-31,285.0
2001-09-03,273.0
2001-09-04,280.5
2001-09-05,267.5
2001-09-06,267.5
2001-09-07,267.5
2001-09-10,268.0
2001-09-11,267.5
2001-09-12,251.5
2001-09-13,260.0
2001-09-14,260.0
2001-09-17,260.0
2001-09-18,247.5
2001-09-19,244.5
2001-09-20,230.0
2001-09-21,216.5
2001-09-24,222.5
2001-09-25,227.5
2001-09-26,229.5
2001-09-27,229.5
2001-09-28,229.5
2001-10-01,229.5
2001-10-02,229.5
2001-10-03,218.0
2001-10-04,212.5
2001-10-05,225.0
2001-10-08,224.5
2001-10-09,211.5
2001-10-10,223.75
2001-10-11,228.5
2001-10-12,229.0
2001-10-15,232.0
2001-10-16,232.5
2001-10-17,230.0
2001-10-18,230.0
2001-10-19,232.5
2001-10-22,232.5
2001-10-23,232.5
2001-10-24,232.5
2001-10-25,232.5
2001-10-26,246.25
2001-10-29,258.0
2001-10-30,258.0
2001-10-31,258.0
2001-11-01,242.55
2001-11-05,229.95
2001-11-07,229.95
2001-11-08,229.95
2001-11-09,229.95
2001-11-13,203.25
2001-11-14,203.25
2001-11-15,180.0
2001-11-16,188.05
2001-11-19,188.05
2001-11-20,180.0
2001-11-21,190.0
2001-11-22,200.0
2001-11-23,200.0
2001-11-26,200.0
2001-11-28,200.0
2001-11-29,200.0
2001-12-03,199.0
2001-12-04,199.0
2001-12-05,199.0
2001-12-06,200.0
2001-12-07,212.0
2001-12-10,224.7
2001-12-11,230.0
2001-12-12,230.0
2001-12-13,240.0
2001-12-14,240.0
2001-12-19,240.0
2001-12-20,250.0
2001-12-21,250.0
2001-12-24,255.0
2001-12-25,250.0
2001-12-26,248.0
2001-12-27,250.0
2001-12-28,251.0
2001-12-31,250.0
2002-01-04,229.9
