date,IMO
2018-05-10,100.0
2018-05-11,101.0
2018-05-14,101.0
2018-05-15,100.0
2018-05-16,100.0
2018-05-17,100.0
2018-05-18,98.0
2018-05-21,99.0
2018-05-22,99.88
2018-05-23,99.8
2018-05-24,99.9
2018-05-25,99.8
2018-05-28,99.8
2018-05-29,99.8
2018-05-30,99.8
2018-05-31,99.8
2018-06-01,99.8
2018-06-04,99.8
2018-06-05,99.0
2018-06-06,99.8
2018-06-07,99.8
2018-06-08,99.8
2018-06-11,99.8
2018-06-12,98.0
2018-06-13,99.8
2018-06-14,99.8
2018-06-18,99.0
2018-06-19,99.0
2018-06-20,99.5
2018-06-21,98.02
2018-06-22,99.75
2018-06-25,99.75
2018-06-26,99.7
2018-06-27,99.0
2018-06-28,99.0
2018-06-29,98.0
2018-07-02,99.0
2018-07-03,99.0
2018-07-04,99.0
2018-07-05,99.0
2018-07-06,99.0
2018-07-09,99.0
2018-07-10,98.99
2018-07-11,99.29
2018-07-12,99.17
2018-07-13,99.17
2018-07-16,98.5
2018-07-17,98.99
2018-07-18,98.99
2018-07-19,98.94
2018-07-20,97.5
2018-07-23,98.7
2018-07-24,98.0
2018-07-25,97.89
2018-07-26,97.89
2018-07-27,98.0
2018-07-31,98.0
2018-08-01,98.0
2018-08-02,98.0
2018-08-03,98.0
2018-08-06,98.0
2018-08-07,98.0
2018-08-08,98.0
2018-08-09,98.0
2018-08-10,98.0
2018-08-13,98.0
2018-08-15,98.0
2018-08-16,98.0
2018-08-17,98.0
2018-08-24,97.0
2018-08-27,97.0
2018-08-28,97.98
2018-08-29,97.98
2018-08-30,97.9
2018-08-31,97.9
2018-09-03,95.25
2018-09-04,96.0
2018-09-05,96.0
2018-09-06,95.0
2018-09-07,93.5
2018-09-10,93.5
2018-09-12,93.5
2018-09-13,94.0
2018-09-14,93.0
2018-09-17,93.0
2018-09-18,93.0
2018-09-19,90.52
2018-09-20,90.52
2018-09-21,93.69
2018-09-24,93.6
2018-09-25,93.9
2018-09-26,93.99
2018-09-27,93.99
2018-09-28,94.87
2018-10-01,95.0
2018-10-02,92.08
2018-10-03,92.08
2018-10-04,92.16
2018-10-05,93.5
2018-10-08,96.0
2018-10-09,94.05
2018-10-10,96.3
2018-10-11,96.3
2018-10-12,96.29
2018-10-15,96.3
2018-10-16,96.3
2018-10-17,96.0
2018-10-18,96.3
2018-10-19,96.25
2018-10-22,96.25
2018-10-23,96.25
2018-10-24,96.24
2018-10-25,96.24
2018-10-26,96.25
2018-10-29,96.25
2018-10-30,95.0
2018-10-31,96.3
2018-11-01,96.3
2018-11-02,95.0
2018-11-05,93.55
2018-11-07,96.25
2018-11-08,96.25
2018-11-09,93.45
2018-11-12,96.0
2018-11-13,96.24
2018-11-14,93.55
2018-11-15,96.2
2018-11-16,93.75
2018-11-19,93.77
2018-11-22,96.24
2018-11-23,96.24
2018-11-26,94.03
2018-11-27,95.99
2018-11-28,96.49
2018-11-29,96.78
2018-11-30,94.25
2018-12-03,96.0
2018-12-04,93.5
2018-12-05,96.49
2018-12-06,96.5
2018-12-07,96.49
2018-12-10,96.0
2018-12-11,96.5
2018-12-12,96.5
2018-12-13,96.5
2018-12-14,96.5
2018-12-17,96.5
2018-12-18,96.5
2018-12-19,97.0
2018-12-20,97.0
2018-12-21,97.0
2018-12-24,97.0
2018-12-25,97.5
2018-12-26,98.0
2018-12-27,98.5
2018-12-28,95.0
2018-12-31,99.99
2019-01-02,100.0
2019-01-03,100.0
