date,INV
2006-12-26,440.0
2006-12-27,440.0
2006-12-28,430.0
2006-12-29,425.0
2007-01-02,421.0
2007-01-03,418.0
2007-01-04,402.0
2007-01-05,395.0
2007-01-08,373.0
2007-01-09,355.0
2007-01-10,358.0
2007-01-12,363.5
2007-01-15,379.0
2007-01-16,401.0
2007-01-17,420.0
2007-01-18,421.0
2007-01-19,408.0
2007-01-22,400.0
2007-01-23,405.0
2007-01-24,401.0
2007-01-25,406.0
2007-01-26,404.0
2007-01-29,405.0
2007-01-30,396.0
2007-01-31,396.05
2007-02-01,382.0
2007-02-02,390.0
2007-02-05,393.0
2007-02-06,390.0
2007-02-07,398.0
2007-02-08,395.0
2007-02-09,390.0
2007-02-12,385.0
2007-02-13,390.0
2007-02-14,392.0
2007-02-15,399.0
2007-02-16,400.1
2007-02-19,385.05
2007-02-20,380.0
2007-02-21,380.0
2007-02-22,380.0
2007-02-23,378.95
2007-02-26,379.0
2007-02-27,377.5
2007-02-28,380.0
2007-03-01,385.0
2007-03-02,379.0
2007-03-05,378.0
2007-03-06,395.0
2007-03-07,400.0
2007-03-08,399.0
2007-03-09,395.0
2007-03-12,399.0
2007-03-13,400.0
2007-03-14,401.0
2007-03-15,407.0
2007-03-16,407.0
2007-03-19,420.0
2007-03-20,410.0
2007-03-21,410.0
2007-03-22,425.0
2007-03-23,415.0
2007-03-26,400.0
2007-03-27,396.0
2007-03-28,395.0
2007-03-29,390.0
2007-03-30,380.0
2007-04-03,380.0
2007-04-04,380.0
2007-04-05,380.0
2007-04-06,380.0
2007-04-09,376.0
2007-04-10,376.0
2007-04-11,376.0
2007-04-12,380.0
2007-04-13,384.0
2007-04-16,380.0
2007-04-17,380.0
2007-04-18,375.0
2007-04-19,375.0
2007-04-20,377.0
2007-04-23,375.0
2007-04-24,375.0
2007-04-25,379.0
2007-04-26,380.0
2007-04-27,385.0
2007-04-30,385.0
2007-05-02,386.0
2007-05-03,388.2
2007-05-04,388.4
2007-05-07,388.0
2007-05-08,386.0
2007-05-09,388.0
2007-05-10,375.0
2007-05-11,375.0
2007-05-14,369.0
2007-05-15,365.1
2007-05-16,386.0
2007-05-17,380.0
2007-05-18,375.0
2007-05-21,375.0
2007-05-22,375.0
2007-05-23,370.0
2007-05-24,370.0
2007-05-25,370.0
2007-05-28,371.0
2007-05-29,375.0
2007-05-30,370.0
2007-05-31,370.1
2007-06-01,371.0
2007-06-04,380.0
2007-06-05,385.0
2007-06-06,385.0
2007-06-07,390.0
2007-06-08,380.0
2007-06-11,390.0
2007-06-12,389.0
2007-06-13,380.0
2007-06-14,379.0
2007-06-15,379.0
2007-06-18,374.0
2007-06-19,372.0
2007-06-20,372.0
2007-06-21,372.0
2007-06-22,375.0
2007-06-25,372.0
2007-06-26,360.1
2007-06-27,365.0
2007-06-28,365.5
2007-06-29,379.0
2007-07-02,370.05
2007-07-03,370.5
2007-07-04,370.0
2007-07-05,369.0
2007-07-06,370.0
2007-07-09,370.0
2007-07-10,369.95
2007-07-11,366.0
2007-07-12,364.0
2007-07-13,363.0
2007-07-16,371.0
2007-07-17,371.0
2007-07-18,370.0
2007-07-19,365.0
2007-07-20,369.0
2007-07-23,351.0
2007-07-24,355.0
2007-07-25,351.0
2007-07-26,350.0
2007-07-27,368.5
2007-07-31,364.0
2007-08-01,364.0
2007-08-02,370.0
2007-08-03,375.0
2007-08-06,375.0
2007-08-07,375.0
2007-08-08,375.0
2007-08-09,372.0
2007-08-10,369.75
2007-08-13,368.95
2007-08-15,360.0
2007-08-16,358.0
2007-08-17,360.0
2007-08-22,369.85
2007-08-23,358.05
2007-08-24,365.0
2007-08-27,368.95
2007-08-28,368.85
2007-08-29,366.45
2007-08-30,362.0
2007-08-31,362.0
2007-09-03,355.0
2007-09-04,359.8
2007-09-05,361.0
2007-09-06,358.0
2007-09-07,358.0
2007-09-10,355.0
2007-09-11,355.0
2007-09-12,360.0
2007-09-13,352.0
2007-09-14,350.0
2007-09-17,351.0
2007-09-18,353.0
2007-09-19,352.0
2007-09-20,350.0
2007-09-21,350.0
2007-09-24,350.0
2007-09-25,350.0
2007-09-26,343.0
2007-09-27,344.1
2007-09-28,338.0
2007-10-01,317.75
2007-10-02,302.0
2007-10-03,307.0
2007-10-04,307.0
2007-10-05,308.5
2007-10-08,310.1
2007-10-09,310.0
2007-10-10,309.9
2007-10-11,300.0
2007-10-12,299.0
2007-10-15,299.0
2007-10-16,302.9
2007-10-17,318.0
2007-10-18,317.0
2007-10-19,300.0
2007-10-22,315.0
2007-10-23,303.0
2007-10-24,316.0
2007-10-25,300.0
2007-10-26,305.0
2007-10-29,300.0
2007-10-30,297.1
2007-10-31,290.0
2007-11-01,298.0
2007-11-02,300.0
2007-11-05,299.0
2007-11-07,299.0
2007-11-08,300.0
2007-11-09,292.2
2007-11-12,290.0
2007-11-13,293.0
2007-11-14,287.0
2007-11-15,286.5
2007-11-16,287.0
2007-11-19,288.0
2007-11-20,295.0
2007-11-21,300.0
2007-11-22,300.0
2007-11-23,305.0
2007-11-26,302.1
2007-11-27,305.0
2007-11-28,305.0
2007-11-29,303.2
2007-11-30,299.0
2007-12-03,300.0
2007-12-04,303.0
2007-12-05,302.5
2007-12-06,292.0
2007-12-07,286.1
2007-12-10,294.0
2007-12-11,292.0
2007-12-12,290.0
2007-12-13,290.0
2007-12-14,289.0
2007-12-17,297.5
2007-12-18,293.0
2007-12-19,293.0
2007-12-20,295.0
2007-12-24,285.0
2007-12-25,286.0
2007-12-26,289.5
2007-12-27,293.9
2007-12-28,288.5
2007-12-31,285.0
2008-01-02,295.0
2008-01-03,292.0
2008-01-04,295.0
2008-01-07,293.0
2008-01-08,285.1
2008-01-09,292.0
2008-01-14,297.5
2008-01-15,294.0
2008-01-16,288.0
2008-01-17,291.9
2008-01-18,285.0
2008-01-21,289.0
2008-01-22,273.5
2008-01-23,283.0
2008-01-24,285.0
2008-01-25,286.0
2008-01-28,283.0
2008-01-29,283.0
2008-01-30,281.8
2008-01-31,283.0
2008-02-01,283.0
2008-02-04,283.0
2008-02-05,283.0
2008-02-06,281.8
2008-02-07,278.0
2008-02-08,281.0
2008-02-11,280.7
2008-02-12,280.0
2008-02-13,279.0
2008-02-14,278.0
2008-02-15,275.0
2008-02-18,278.8
2008-02-19,278.5
2008-02-20,275.0
2008-02-21,277.0
2008-02-22,272.0
2008-02-25,271.0
2008-02-26,273.0
2008-02-27,273.0
2008-02-28,270.0
2008-02-29,270.0
2008-03-03,268.0
2008-03-04,265.9
2008-03-05,261.0
2008-03-06,265.0
2008-03-07,263.3
2008-03-10,264.3
2008-03-11,268.0
2008-03-12,264.0
2008-03-13,264.0
2008-03-14,264.0
2008-03-17,264.0
2008-03-18,260.0
2008-03-19,245.0
2008-03-24,254.0
2008-03-25,258.9
2008-03-26,255.2
2008-03-27,254.2
2008-03-28,253.1
2008-03-31,255.0
2008-04-01,253.0
2008-04-02,245.0
2008-04-03,244.0
2008-04-04,244.0
2008-04-07,246.0
2008-04-08,246.0
2008-04-09,247.0
2008-04-10,253.0
