date,JET
2011-12-08,288.0
2011-12-09,260.0
2011-12-12,274.0
2011-12-13,280.0
2011-12-14,285.95
2011-12-15,280.0
2011-12-16,287.0
2011-12-19,281.0
2011-12-20,267.05
2011-12-21,275.0
2011-12-22,278.0
2011-12-23,268.4
2011-12-26,269.0
2011-12-27,262.0
2011-12-28,268.0
2011-12-29,274.0
2011-12-30,257.6
2012-01-02,267.85
2012-01-03,260.05
2012-01-04,257.05
2012-01-05,258.0
2012-01-06,251.0
2012-01-09,247.2
2012-01-10,253.0
2012-01-12,248.0
2012-01-13,250.0
2012-01-16,253.95
2012-01-17,248.15
2012-01-18,250.0
2012-01-19,250.0
2012-01-20,251.0
2012-01-23,251.0
2012-01-24,253.2
2012-01-25,255.0
2012-01-26,258.0
2012-01-27,253.0
2012-01-30,257.5
2012-01-31,255.0
2012-02-01,255.0
2012-02-02,255.0
2012-02-03,255.05
2012-02-07,255.0
2012-02-08,255.0
2012-02-09,255.5
2012-02-10,257.0
2012-02-13,255.0
2012-02-14,253.15
2012-02-15,255.95
2012-02-16,253.25
2012-02-17,255.8
2012-02-20,254.0
2012-02-21,255.0
2012-02-22,252.5
2012-02-23,248.55
2012-02-24,254.0
2012-02-27,252.7
2012-02-28,254.0
2012-02-29,252.05
2012-03-01,252.0
2012-03-02,254.0
2012-03-05,254.0
2012-03-06,252.25
2012-03-07,254.0
2012-03-08,255.0
2012-03-09,257.85
2012-03-12,253.05
2012-03-13,253.25
2012-03-14,252.25
2012-03-15,252.0
2012-03-16,245.2
2012-03-19,245.2
2012-03-20,246.0
2012-03-21,237.4
2012-03-22,237.55
2012-03-23,237.45
2012-03-26,240.0
2012-03-27,235.0
2012-03-28,233.8
2012-03-29,223.05
2012-03-30,231.9
2012-04-02,229.65
2012-04-03,216.05
2012-04-04,210.0
2012-04-05,203.5
2012-04-06,192.0
2012-04-09,181.1
2012-04-10,183.95
2012-04-11,177.45
2012-04-12,176.05
2012-04-13,173.2
2012-04-16,167.0
2012-04-17,176.9
2012-04-18,179.6
2012-04-19,190.0
2012-04-20,180.0
2012-04-23,176.0
2012-04-24,184.5
2012-04-25,183.9
2012-04-26,183.9
2012-04-27,173.6
2012-04-30,173.6
2012-05-02,168.7
2012-05-03,176.5
2012-05-04,182.0
2012-05-07,181.9
2012-05-08,183.0
2012-05-09,189.0
2012-05-10,200.0
2012-05-11,188.0
2012-05-14,180.1
2012-05-15,185.0
2012-05-16,177.1
2012-05-17,177.5
2012-05-18,177.5
2012-05-21,180.0
2012-05-22,181.0
2012-05-23,180.5
2012-05-24,180.5
2012-05-25,185.0
2012-05-28,186.0
2012-05-29,196.0
2012-05-30,205.95
2012-05-31,205.0
2012-06-01,201.0
2012-06-04,203.5
2012-06-05,203.0
2012-06-06,206.7
2012-06-07,202.0
2012-06-08,214.1
2012-06-11,215.0
2012-06-12,215.0
2012-06-13,218.0
2012-06-14,211.8
2012-06-15,203.0
2012-06-18,210.3
2012-06-19,203.0
2012-06-20,203.5
2012-06-21,203.45
2012-06-22,203.45
2012-06-25,200.0
2012-06-26,205.0
2012-06-27,205.05
2012-06-28,204.0
2012-06-29,201.05
2012-07-02,200.05
2012-07-03,204.0
2012-07-04,204.75
2012-07-05,199.0
2012-07-06,202.0
2012-07-09,201.0
2012-07-10,200.0
2012-07-11,200.0
2012-07-12,201.0
2012-07-13,201.0
2012-07-16,204.0
2012-07-17,204.0
2012-07-18,204.9
2012-07-19,198.1
2012-07-20,193.0
2012-07-23,193.0
2012-07-24,188.2
2012-07-25,187.0
2012-07-26,188.0
2012-07-27,188.0
2012-07-31,189.0
2012-08-01,198.6
2012-08-02,197.9
2012-08-03,196.8
2012-08-06,196.8
2012-08-07,196.4
2012-08-08,195.0
2012-08-09,195.0
2012-08-10,183.4
2012-08-13,183.4
2012-08-15,185.0
2012-08-16,185.0
2012-08-17,181.5
2012-08-22,178.35
2012-08-23,178.0
2012-08-24,188.65
2012-08-27,177.35
2012-08-28,181.0
2012-08-29,171.2
2012-08-30,181.45
2012-08-31,173.0
2012-09-03,179.4
2012-09-04,179.4
2012-09-05,176.9
2012-09-06,177.0
2012-09-07,166.4
2012-09-10,165.25
2012-09-11,175.15
2012-09-12,165.5
2012-09-13,165.9
2012-09-14,165.05
2012-09-17,165.05
2012-09-18,165.05
2012-09-19,166.05
2012-09-20,166.0
2012-09-21,165.05
2012-09-24,165.05
2012-09-25,157.3
2012-09-26,165.0
2012-09-27,162.0
2012-09-28,171.7
2012-10-01,182.0
2012-10-02,192.9
2012-10-03,189.0
2012-10-04,200.0
2012-10-05,193.0
2012-10-08,194.9
2012-10-09,186.5
2012-10-10,182.3
2012-10-11,182.3
2012-10-12,180.0
2012-10-15,180.0
2012-10-16,182.0
2012-10-17,172.3
2012-10-18,182.0
2012-10-19,171.1
2012-10-22,179.0
