date,LBV
2008-07-01,1128.73
2008-07-02,1183.982
2008-07-03,1183.982
2008-07-04,1183.982
2008-07-07,1203.715
2008-07-08,1183.982
2008-07-09,1134.65
2008-07-10,1144.516
2008-07-11,1144.516
2008-07-14,1136.623
2008-07-15,1136.623
2008-07-16,1134.65
2008-07-17,1133.663
2008-07-18,1134.65
2008-07-21,1132.676
2008-07-22,1131.69
2008-07-23,1130.703
2008-07-24,1128.73
2008-07-25,1131.69
2008-07-28,1131.69
2008-07-29,1131.69
2008-07-31,1124.783
2008-08-01,1114.917
2008-08-04,1123.797
2008-08-05,1119.85
2008-08-06,1102.09
2008-08-07,1124.783
2008-08-08,1114.917
2008-08-11,1128.73
2008-08-12,1128.73
2008-08-13,1128.73
2008-08-15,1119.85
2008-08-18,1123.797
2008-08-19,1124.783
2008-08-22,1124.783
2008-08-25,1105.05
2008-08-26,1142.543
2008-08-27,1148.463
2008-08-28,1149.45
2008-08-29,1164.249
2008-09-01,1163.263
2008-09-02,1164.249
2008-09-03,1164.249
2008-09-04,1154.383
2008-09-05,1164.249
2008-09-08,1162.276
2008-09-09,1154.383
2008-09-10,1154.383
2008-09-11,1163.263
2008-09-12,1162.276
2008-09-15,1164.249
2008-09-16,1144.516
2008-09-17,1134.65
2008-09-18,1124.783
2008-09-19,1144.516
2008-09-22,1144.516
2008-09-23,1144.516
2008-09-24,1144.516
2008-09-25,1143.53
2008-09-26,1144.516
2008-09-29,1154.383
2008-09-30,1153.396
2008-10-03,1154.383
2008-10-06,1149.45
2008-10-07,1144.516
2008-10-08,1144.516
2008-10-09,1144.516
2008-10-10,1143.53
2008-10-13,1143.53
2008-10-14,1144.516
2008-10-15,1143.53
2008-10-16,1143.53
2008-10-17,1144.516
2008-10-20,1143.53
2008-10-21,1143.53
2008-10-22,1144.516
2008-10-23,1142.543
2008-10-24,1143.53
2008-10-27,1144.516
2008-10-28,1116.89
2008-10-29,1144.516
2008-10-30,1144.516
2008-10-31,1144.516
2008-11-03,1144.516
2008-11-04,1149.45
2008-11-05,1164.249
2008-11-07,1154.383
2008-11-10,1163.263
2008-11-11,1163.263
2008-11-12,1182.996
2008-11-13,1253.048
2008-11-14,1272.781
2008-11-17,1282.648
2008-11-19,1282.648
2008-11-20,1282.648
2008-11-21,1281.661
2008-11-24,1262.915
2008-11-25,1272.781
2008-11-26,1277.714
2008-11-27,1275.741
2008-11-28,1255.021
2008-12-01,1233.315
2008-12-02,1233.315
2008-12-03,1271.794
2008-12-04,1195.822
2008-12-05,1228.382
2008-12-08,1228.382
2008-12-11,1231.342
2008-12-12,1223.448
2008-12-15,1233.315
2008-12-16,1233.315
2008-12-17,1232.328
2008-12-18,1233.315
2008-12-19,1233.315
2008-12-22,1232.328
2008-12-23,1227.395
2008-12-24,1223.448
2008-12-25,1183.982
2008-12-26,1195.822
2008-12-30,1216.542
2008-12-31,1233.315
2009-01-02,1232.328
2009-01-05,1218.515
2009-01-06,1231.342
2009-01-07,1231.342
2009-01-08,1213.582
2009-01-09,1223.448
2009-01-12,1223.448
2009-01-13,1223.448
2009-01-14,1229.368
2009-01-15,1196.809
2009-01-16,1221.475
2009-01-19,1198.782
2009-01-20,1195.822
2009-01-21,1203.715
2009-01-22,1203.715
2009-01-23,1203.715
2009-01-26,1221.475
2009-01-27,1218.515
2009-01-28,1208.649
2009-01-29,1218.515
2009-01-30,1216.542
2009-02-02,1212.595
2009-02-03,1223.448
2009-02-04,1216.542
2009-02-05,1215.555
2009-02-06,1230.355
2009-02-09,1230.355
2009-02-10,1228.382
2009-02-11,1232.328
2009-02-12,1183.982
2009-02-13,1222.462
2009-02-16,1223.448
2009-02-17,1203.715
2009-02-18,1222.462
2009-02-19,1218.515
2009-02-20,1221.475
2009-02-23,1216.542
2009-02-24,1218.515
2009-02-25,1221.475
2009-02-26,1212.595
2009-02-27,1212.595
2009-03-02,1216.542
2009-03-03,1215.555
2009-03-04,1202.729
2009-03-05,1206.675
2009-03-06,1206.675
2009-03-09,1208.649
2009-03-12,1212.595
2009-03-13,1200.755
2009-03-16,1199.769
2009-03-17,1193.849
2009-03-18,1194.836
2009-03-19,1198.782
2009-03-20,1198.782
2009-03-23,1198.782
2009-03-24,1198.782
2009-03-25,1207.662
2009-03-26,1183.982
2009-03-27,1183.982
2009-03-30,1183.982
2009-03-31,1183.982
2009-04-01,1183.982
2009-04-02,1255.021
2009-04-03,1180.036
2009-04-06,1174.116
2009-04-07,1223.448
2009-04-08,1174.116
2009-04-09,1213.582
2009-04-10,1214.569
2009-04-13,1180.036
2009-04-14,1198.782
2009-04-15,1199.769
2009-04-16,1198.782
2009-04-17,1198.782
2009-04-20,1199.769
2009-04-21,1199.769
2009-04-22,1193.849
2009-04-23,1193.849
2009-04-24,1174.116
