date,LHM
2000-01-04,403.636
2000-01-05,406.364
2000-01-06,404.727
2000-01-07,399.545
2000-01-13,414.273
2000-01-14,406.364
2000-01-17,406.364
2000-01-18,406.364
2000-01-19,406.636
2000-01-20,406.636
2000-01-21,406.364
2000-01-24,406.091
2000-01-25,406.091
2000-01-26,405.273
2000-01-28,405.273
2000-01-31,406.091
2000-02-01,405.818
2000-02-02,405.273
2000-02-04,404.182
2000-02-07,400.909
2000-02-28,382.636
2000-03-01,381.818
2000-03-03,382.091
2000-03-06,381.818
2000-03-07,384.0
2000-03-08,384.0
2000-03-10,385.364
2000-03-14,386.182
2000-03-15,385.909
2000-03-16,387.273
2000-03-20,387.273
2000-03-21,387.273
2000-03-22,388.636
2000-03-23,390.818
2000-03-28,387.818
2000-03-30,392.727
2000-03-31,392.727
2000-04-04,390.273
2000-04-05,392.455
2000-04-07,392.727
2000-04-11,390.0
2000-04-12,388.364
2000-04-13,387.273
2000-04-14,388.636
2000-04-17,387.0
2000-04-18,383.182
2000-04-21,380.455
2000-04-25,379.091
2000-04-26,379.636
2000-04-27,371.182
2000-05-03,362.727
2000-05-05,363.273
2000-05-08,371.182
2000-05-11,384.818
2000-05-12,400.909
2000-05-15,400.909
2000-05-16,398.182
2000-05-17,397.909
2000-05-19,395.182
2000-05-23,393.818
2000-05-24,393.273
2000-05-25,370.909
2000-05-29,382.364
2000-06-01,388.636
2000-06-02,391.364
2000-06-05,383.182
2000-06-06,382.636
2000-06-07,386.182
2000-06-08,383.182
2000-06-09,383.182
2000-06-13,383.182
2000-06-14,368.727
2000-06-20,373.636
2000-06-21,373.091
2000-06-22,370.909
2000-06-26,368.182
2000-06-27,370.909
2000-06-28,370.909
2000-07-04,373.636
2000-07-05,368.182
2000-07-06,368.182
2000-07-07,381.273
2000-07-10,370.909
2000-07-11,368.182
2000-07-12,381.818
2000-07-14,381.273
2000-07-17,381.0
2000-07-18,370.909
2000-07-19,369.545
2000-07-20,367.909
2000-07-21,368.182
2000-07-25,358.636
2000-07-26,360.273
2000-07-27,360.0
2000-07-28,359.727
2000-07-31,362.455
2000-08-02,361.636
2000-08-03,361.909
2000-08-04,362.727
2000-08-07,365.182
2000-08-08,362.455
2000-08-10,362.182
2000-08-11,362.727
2000-08-15,358.636
2000-08-16,361.364
2000-08-23,390.0
2000-08-24,413.182
2000-08-28,400.091
2000-08-29,396.0
2000-08-30,399.545
2000-08-31,399.545
2000-09-01,398.182
2000-09-04,398.182
2000-09-05,397.909
2000-09-07,394.909
2000-09-08,395.455
2000-09-13,399.273
2000-09-14,401.182
2000-09-15,401.182
2000-09-18,402.273
2000-09-19,402.818
2000-09-20,403.636
2000-09-21,404.727
2000-09-22,404.182
2000-09-25,404.727
2000-09-26,406.091
2000-09-27,409.091
2000-09-28,409.091
2000-09-29,408.545
2000-10-02,405.0
2000-10-03,408.545
2000-10-04,408.273
2000-10-05,407.727
2000-10-06,408.545
2000-10-09,406.636
2000-10-10,406.364
2000-10-12,400.364
2000-10-13,403.909
2000-10-16,403.636
2000-10-17,403.636
2000-10-18,403.091
2000-10-19,403.636
2000-10-20,403.364
2000-10-25,402.273
2000-10-26,398.182
2000-10-31,403.636
2000-11-02,400.909
2000-11-03,395.455
2000-11-07,395.455
2000-11-10,387.273
2000-11-13,394.091
2000-11-14,393.545
2000-11-15,385.909
2000-11-17,381.273
2000-11-20,366.818
2000-11-21,360.0
2000-11-22,366.0
2000-11-23,366.0
2000-11-24,366.0
2000-11-28,365.455
2000-12-07,350.455
2000-12-08,371.455
2000-12-11,381.818
2000-12-12,379.091
2000-12-19,364.091
2000-12-20,363.818
2000-12-22,357.818
2000-12-25,356.455
2000-12-26,354.545
2000-12-29,358.636
2001-01-03,354.545
2001-01-04,349.364
2001-01-05,351.818
2001-01-10,349.091
2001-01-12,349.091
2001-01-15,349.091
2001-01-16,349.091
2001-01-17,349.091
2001-01-18,339.545
2001-01-19,327.273
2001-01-22,308.727
2001-01-23,306.818
2001-01-24,325.091
2001-01-25,325.091
2001-01-26,330.0
2001-01-29,340.909
2001-01-30,360.0
2001-01-31,360.0
2001-02-01,358.636
2001-02-02,354.545
2001-02-05,360.0
2001-02-06,360.0
2001-02-07,358.636
2001-02-08,361.364
2001-02-09,358.636
2001-02-12,358.636
2001-02-13,358.636
2001-02-15,376.364
2001-02-16,382.636
2001-02-19,382.636
2001-02-20,380.455
2001-02-21,377.455
2001-02-22,383.182
2001-02-23,387.273
2001-02-26,397.091
2001-02-27,397.091
2001-02-28,395.182
2001-03-01,395.182
2001-03-02,392.727
2001-03-05,392.727
2001-03-08,392.727
2001-03-09,394.909
2001-03-12,394.091
