date,M2M
2007-07-06,1222.0
2007-07-09,1220.0
2007-07-10,1220.0
2007-07-11,1238.0
2007-07-12,1249.0
2007-07-13,1224.0
2007-07-16,1260.0
2007-07-17,1279.0
2007-07-18,1275.0
2007-07-19,1270.0
2007-07-20,1259.0
2007-07-23,1230.0
2007-07-24,1249.0
2007-07-25,1247.0
2007-07-26,1249.0
2007-07-27,1260.0
2007-07-31,1258.0
2007-08-01,1258.0
2007-08-02,1275.0
2007-08-03,1270.0
2007-08-06,1246.0
2007-08-07,1245.0
2007-08-08,1265.0
2007-08-09,1265.0
2007-08-10,1240.0
2007-08-13,1225.0
2007-08-15,1227.0
2007-08-16,1248.0
2007-08-17,1227.0
2007-08-22,1225.0
2007-08-23,1263.0
2007-08-24,1245.0
2007-08-27,1234.0
2007-08-28,1244.0
2007-08-29,1249.0
2007-08-30,1240.0
2007-08-31,1231.0
2007-09-03,1220.0
2007-09-04,1212.0
2007-09-05,1212.0
2007-09-06,1200.0
2007-09-07,1200.0
2007-09-10,1191.0
2007-09-11,1199.0
2007-09-12,1180.0
2007-09-13,1155.0
2007-09-14,1165.0
2007-09-17,1155.0
2007-09-18,1150.0
2007-09-19,1150.0
2007-09-20,1142.0
2007-09-21,1145.0
2007-09-24,1150.0
2007-09-25,1131.0
2007-09-26,1147.0
2007-09-27,1127.0
2007-09-28,1130.0
2007-10-01,1125.0
2007-10-02,1120.0
2007-10-03,1120.0
2007-10-04,1102.0
2007-10-05,1100.0
2007-10-08,1138.0
2007-10-09,1144.0
2007-10-10,1120.0
2007-10-11,1120.0
2007-10-12,1111.0
2007-10-15,1111.0
2007-10-16,1128.0
2007-10-17,1128.0
2007-10-18,1116.0
2007-10-19,1134.0
2007-10-22,1130.0
2007-10-23,1125.0
2007-10-24,1120.0
2007-10-25,1115.0
2007-10-26,1126.0
2007-10-29,1105.0
2007-10-30,1105.0
2007-10-31,1080.0
2007-11-01,1060.0
2007-11-02,1100.0
2007-11-05,1052.0
2007-11-07,1066.0
2007-11-08,1063.0
2007-11-09,1051.0
2007-11-12,1050.0
2007-11-13,1080.0
2007-11-14,1055.0
2007-11-15,1040.0
2007-11-16,1050.0
2007-11-19,1045.0
2007-11-20,1061.0
2007-11-21,1070.0
2007-11-22,1041.0
2007-11-23,1025.0
2007-11-26,1011.0
2007-11-27,1020.0
2007-11-28,1001.0
2007-11-29,1004.0
2007-11-30,1000.0
2007-12-03,1000.0
2007-12-04,990.0
2007-12-05,990.0
2007-12-06,980.0
2007-12-07,990.0
2007-12-10,951.0
2007-12-11,921.0
2007-12-12,902.0
2007-12-13,900.0
2007-12-14,950.0
2007-12-17,950.0
2007-12-18,910.0
2007-12-19,901.0
2007-12-20,911.0
2007-12-24,890.0
2007-12-25,890.0
2007-12-26,925.0
2007-12-27,930.0
2007-12-28,967.0
2007-12-31,990.0
2008-01-02,999.0
2008-01-03,1002.0
2008-01-04,1020.0
2008-01-07,1020.0
2008-01-08,1000.0
2008-01-09,1000.0
2008-01-14,1020.0
2008-01-15,1000.0
2008-01-16,983.0
2008-01-17,999.0
2008-01-18,980.0
2008-01-21,940.0
2008-01-22,922.0
2008-01-23,940.0
2008-01-24,925.0
2008-01-25,922.0
2008-01-28,922.0
2008-01-29,900.0
2008-01-30,900.0
2008-01-31,912.0
2008-02-01,939.0
2008-02-04,912.0
2008-02-05,912.0
2008-02-06,915.0
2008-02-07,920.0
2008-02-08,924.0
2008-02-11,929.0
2008-02-12,929.0
2008-02-13,920.0
2008-02-14,920.0
2008-02-15,915.0
2008-02-18,920.0
2008-02-19,920.0
2008-02-20,910.0
2008-02-21,910.0
2008-02-22,905.0
2008-02-25,915.0
2008-02-26,905.0
2008-02-27,905.0
2008-02-28,910.0
2008-02-29,910.0
2008-03-03,900.0
2008-03-04,900.0
2008-03-05,900.0
2008-03-06,900.0
2008-03-07,900.0
2008-03-10,900.0
2008-03-11,909.0
2008-03-12,905.0
2008-03-13,884.0
2008-03-14,890.0
2008-03-17,885.0
2008-03-18,851.0
2008-03-19,850.0
2008-03-24,859.0
2008-03-25,827.0
2008-03-26,830.0
2008-03-27,831.0
2008-03-28,822.0
2008-03-31,815.0
2008-04-01,795.0
2008-04-02,790.0
2008-04-03,795.0
2008-04-04,800.0
2008-04-07,820.0
2008-04-08,851.0
2008-04-09,850.0
2008-04-10,880.0
2008-04-11,880.0
2008-04-14,875.0
2008-04-15,878.0
2008-04-16,868.0
2008-04-17,880.0
2008-04-18,866.0
2008-04-21,838.0
2008-04-22,835.0
2008-04-23,830.0
2008-04-24,830.0
2008-04-25,811.0
2008-04-28,859.0
2008-04-29,825.0
2008-04-30,825.0
2008-05-02,856.0
2008-05-05,820.0
2008-05-06,820.0
2008-05-07,822.0
2008-05-08,829.0
2008-05-09,802.0
2008-05-12,817.0
2008-05-13,785.0
2008-05-14,770.0
2008-05-15,770.0
2008-05-16,757.0
2008-05-19,745.0
2008-05-20,761.0
