date,MIC
2008-01-03,239.75
2008-01-04,228.75
2008-01-07,224.5
2008-01-08,223.75
2008-01-09,224.75
2008-01-14,224.75
2008-01-15,215.0
2008-01-16,210.0
2008-01-17,210.75
2008-01-18,222.25
2008-01-21,217.5
2008-01-22,217.0
2008-01-23,212.5
2008-01-24,211.5
2008-01-25,217.5
2008-01-28,220.0
2008-01-29,220.0
2008-01-30,221.75
2008-01-31,217.75
2008-02-01,213.25
2008-02-04,212.5
2008-02-05,216.75
2008-02-06,215.75
2008-02-07,212.5
2008-02-08,216.25
2008-02-11,211.0
2008-02-12,213.25
2008-02-13,215.75
2008-02-14,211.5
2008-02-15,211.0
2008-02-18,201.75
2008-02-19,202.75
2008-02-20,201.75
2008-02-21,200.0
2008-02-22,190.0
2008-02-25,178.75
2008-02-26,172.5
2008-02-27,181.25
2008-02-28,177.75
2008-02-29,181.25
2008-03-03,176.75
2008-03-04,167.5
2008-03-05,172.5
2008-03-06,172.5
2008-03-07,172.75
2008-03-10,172.5
2008-03-11,167.5
2008-03-12,168.75
2008-03-13,165.0
2008-03-14,165.0
2008-03-17,163.25
2008-03-18,163.25
2008-03-19,162.5
2008-03-24,162.5
2008-03-25,160.0
2008-03-26,160.0
2008-03-27,159.25
2008-03-28,160.0
2008-03-31,160.0
2008-04-01,159.0
2008-04-02,160.0
2008-04-03,160.0
2008-04-04,160.0
2008-04-07,155.0
2008-04-08,152.25
2008-04-09,152.5
2008-04-10,152.5
2008-04-11,148.25
2008-04-14,150.25
2008-04-15,149.5
2008-04-16,145.0
2008-04-17,144.5
2008-04-18,142.5
2008-04-21,145.0
2008-04-22,142.25
2008-04-23,135.5
2008-04-24,132.75
2008-04-25,134.25
2008-04-28,126.25
2008-04-29,122.5
2008-04-30,123.25
2008-05-02,120.0
2008-05-05,118.75
2008-05-06,125.0
2008-05-07,124.25
2008-05-08,122.5
2008-05-09,120.75
2008-05-12,123.25
2008-05-13,124.75
2008-05-14,128.75
2008-05-15,128.75
2008-05-16,124.25
2008-05-19,123.0
2008-05-20,126.75
2008-05-21,134.25
2008-05-22,133.0
2008-05-23,135.0
2008-05-26,132.0
2008-05-27,132.5
2008-05-28,131.5
2008-05-29,132.0
2008-05-30,134.75
2008-06-02,135.25
2008-06-03,132.75
2008-06-04,132.75
2008-06-05,135.0
2008-06-06,139.25
2008-06-09,147.5
2008-06-10,156.25
2008-06-11,160.0
2008-06-12,158.75
2008-06-13,153.0
2008-06-16,152.75
2008-06-17,148.5
2008-06-18,146.5
2008-06-19,142.5
2008-06-20,137.75
2008-06-23,135.0
2008-06-24,130.25
2008-06-25,133.75
2008-06-26,136.0
2008-06-27,141.25
2008-06-30,132.25
2008-07-01,130.0
2008-07-02,127.5
2008-07-03,128.75
2008-07-04,127.25
2008-07-07,123.75
2008-07-08,125.0
2008-07-09,124.25
2008-07-10,122.5
2008-07-11,125.0
2008-07-14,125.0
2008-07-15,124.75
2008-07-16,122.5
2008-07-17,124.875
2008-07-18,123.75
2008-07-21,123.75
2008-07-22,127.5
2008-07-23,125.25
2008-07-24,126.25
2008-07-25,122.5
2008-07-28,124.75
2008-07-29,120.0
2008-07-31,120.375
2008-08-01,122.5
2008-08-04,122.125
2008-08-05,120.0
2008-08-06,118.75
2008-08-07,118.75
2008-08-08,120.0
2008-08-11,120.0
2008-08-12,118.75
2008-08-13,118.5
2008-08-15,118.25
2008-08-18,121.25
2008-08-19,120.0
2008-08-22,117.75
2008-08-25,117.75
2008-08-26,118.0
2008-08-27,118.0
2008-08-28,117.625
2008-08-29,122.0
2008-09-01,125.0
2008-09-02,125.0
2008-09-03,125.0
2008-09-04,122.0
2008-09-05,120.75
2008-09-08,119.6
2008-09-09,117.5
2008-09-10,117.5
2008-09-11,116.25
2008-09-12,115.25
2008-09-15,108.338
2008-09-16,101.838
2008-09-17,107.5
2008-09-18,113.938
2008-09-19,115.0
2008-09-22,115.0
2008-09-23,113.275
2008-09-24,116.25
2008-09-25,116.25
2008-09-26,109.5
2008-09-29,107.75
2008-09-30,101.3
2008-10-03,107.175
2008-10-06,103.0
2008-10-07,102.5
2008-10-08,105.0
2008-10-09,101.5
2008-10-10,95.75
2008-10-13,101.0
2008-10-14,107.05
2008-10-15,107.0
2008-10-16,105.0
2008-10-17,105.0
2008-10-20,105.5
2008-10-21,103.0
2008-10-22,103.25
2008-10-23,104.5
2008-10-24,102.5
2008-10-27,100.0
2008-10-28,100.0
2008-10-29,103.5
2008-10-30,102.5
2008-10-31,100.0
2008-11-03,97.75
2008-11-04,100.0
2008-11-05,106.0
2008-11-07,103.75
2008-11-10,102.5
2008-11-11,100.0
2008-11-12,100.0
2008-11-13,100.0
2008-11-14,98.775
2008-11-17,104.5
2008-11-19,100.75
2008-11-20,100.0
2008-11-21,98.275
2008-11-24,97.5
2008-11-25,97.5
2008-11-26,97.5
2008-11-27,97.5
2008-11-28,97.5
2008-12-01,98.5
2008-12-02,97.488
2008-12-03,95.263
2008-12-04,92.75
2008-12-05,93.75
2008-12-08,95.0
2008-12-11,97.5
2008-12-12,100.0
2008-12-15,102.5
2008-12-16,106.5
2008-12-17,106.25
2008-12-18,104.75
2008-12-19,105.0
2008-12-22,104.75
2008-12-23,102.5
2008-12-24,96.5
2008-12-25,98.5
2008-12-26,92.75
2008-12-30,94.75
2008-12-31,89.075
2009-01-02,89.075
2009-01-05,84.013
2009-01-06,89.05
2009-01-07,84.5
2009-01-08,84.5
2009-01-09,88.975
2009-01-12,88.75
2009-01-13,84.25
2009-01-14,84.0
2009-01-15,89.0
2009-01-16,93.488
2009-01-19,88.013
2009-01-20,85.013
2009-01-21,85.25
2009-01-22,85.025
2009-01-23,90.125
2009-01-26,89.5
2009-01-27,87.75
2009-01-28,87.5
2009-01-29,91.75
2009-01-30,91.75
2009-02-02,88.25
2009-02-03,91.375
2009-02-04,91.125
2009-02-05,90.675
2009-02-06,90.375
2009-02-09,87.563
2009-02-10,89.825
2009-02-11,85.275
2009-02-12,89.938
2009-02-13,89.013
2009-02-16,94.35
2009-02-17,99.25
2009-02-18,94.513
2009-02-19,98.713
2009-02-20,97.975
2009-02-23,100.0
2009-02-24,99.738
2009-02-25,97.275
2009-02-26,101.25
2009-02-27,100.0
2009-03-02,96.75
2009-03-03,99.713
2009-03-04,95.763
2009-03-05,99.725
2009-03-06,99.725
2009-03-09,98.725
2009-03-12,97.45
2009-03-13,97.45
2009-03-16,97.213
2009-03-17,96.975
2009-03-18,94.525
2009-03-19,94.525
2009-03-20,94.525
2009-03-23,94.513
2009-03-24,94.475
2009-03-25,97.0
2009-03-26,95.75
2009-03-27,101.488
2009-03-30,107.5
2009-03-31,107.5
2009-04-01,108.25
2009-04-02,107.538
2009-04-03,105.0
2009-04-06,107.5
2009-04-07,105.75
2009-04-08,105.0
2009-04-09,103.875
2009-04-10,103.75
2009-04-13,104.25
2009-04-14,103.75
2009-04-15,104.25
2009-04-16,104.45
2009-04-17,104.25
2009-04-20,104.5
