date,MLE
2000-01-03,279.0
2000-01-04,279.0
2000-01-06,279.0
2000-01-07,279.0
2000-01-13,277.0
2000-01-14,275.0
2000-01-17,260.0
2000-01-18,259.0
2000-01-19,260.0
2000-01-20,265.0
2000-01-21,264.0
2000-01-24,265.0
2000-01-25,262.0
2000-01-26,262.0
2000-01-27,260.0
2000-01-28,260.0
2000-01-31,260.0
2000-02-01,260.05
2000-02-02,259.5
2000-02-03,258.5
2000-02-07,263.0
2000-02-17,252.55
2000-02-23,250.0
2000-02-24,241.0
2000-02-25,240.1
2000-02-28,240.0
2000-02-29,240.0
2000-03-01,239.8
2000-03-02,227.1
2000-03-03,235.0
2000-03-06,236.0
2000-03-07,235.0
2000-03-08,235.0
2000-03-10,235.0
2000-03-14,230.1
2000-03-16,231.0
2000-03-20,230.0
2000-03-21,231.0
2000-03-22,230.1
2000-03-23,230.1
2000-03-27,231.1
2000-03-28,230.1
2000-03-29,232.0
2000-03-30,232.0
2000-03-31,230.0
2000-04-04,234.0
2000-04-05,230.0
2000-04-07,234.0
2000-04-11,230.0
2000-04-12,220.0
2000-04-13,232.0
2000-04-14,234.0
2000-04-17,230.0
2000-04-20,230.0
2000-04-21,229.0
2000-04-24,229.0
2000-04-27,216.0
2000-04-28,210.0
2000-05-02,205.0
2000-05-03,205.0
2000-05-04,204.95
2000-05-05,205.0
2000-05-08,203.0
2000-05-11,205.0
2000-05-12,217.3
2000-05-16,244.1
2000-05-17,255.0
2000-05-19,254.0
2000-05-22,253.95
2000-05-23,245.0
2000-05-24,245.0
2000-05-25,245.0
2000-05-26,245.0
2000-05-29,240.0
2000-05-31,237.5
2000-06-01,249.0
2000-06-02,245.0
2000-06-05,240.1
2000-06-06,240.1
2000-06-07,240.0
2000-06-09,240.0
2000-06-13,238.1
2000-06-14,238.0
2000-06-19,234.1
2000-06-20,222.1
2000-06-21,220.0
2000-06-22,220.0
2000-06-23,230.0
2000-06-26,222.2
2000-06-27,220.1
2000-06-28,221.1
2000-06-29,223.0
2000-07-03,230.0
2000-07-04,230.0
2000-07-05,233.0
2000-07-06,240.0
2000-07-07,235.0
2000-07-10,240.0
2000-07-11,237.0
2000-07-12,237.1
2000-07-13,237.1
2000-07-14,235.1
2000-07-17,210.0
2000-07-19,205.0
2000-07-21,215.0
2000-07-24,210.0
2000-07-25,210.0
2000-07-26,210.0
2000-07-27,210.0
2000-07-28,210.0
2000-08-01,210.0
2000-08-02,210.0
2000-08-03,210.0
2000-08-04,218.0
2000-08-09,206.0
2000-08-10,210.0
2000-08-11,204.0
2000-08-15,210.0
2000-08-16,204.0
2000-08-18,214.0
2000-08-24,245.0
2000-08-28,239.0
2000-08-29,229.95
2000-08-30,225.0
2000-08-31,220.0
2000-09-01,208.0
2000-09-04,213.0
2000-09-05,212.0
2000-09-06,215.0
2000-09-07,212.2
2000-09-08,212.0
2000-09-11,212.0
2000-09-12,212.0
2000-09-13,212.0
2000-09-14,213.0
2000-09-15,213.0
2000-09-18,209.1
2000-09-19,212.0
2000-09-20,208.0
2000-09-21,210.2
2000-09-22,208.0
2000-09-25,208.1
2000-09-26,208.1
2000-09-27,208.0
2000-09-28,209.0
2000-09-29,208.1
2000-10-03,208.6
2000-10-04,210.0
2000-10-06,214.0
2000-10-09,210.1
2000-10-10,211.2
2000-10-11,211.2
2000-10-12,210.1
2000-10-13,210.1
2000-10-16,210.0
2000-10-17,209.0
2000-10-19,208.2
2000-10-23,208.2
2000-10-25,208.1
2000-10-26,209.0
2000-10-31,211.0
2000-11-01,211.0
2000-11-02,210.1
2000-11-03,210.0
2000-11-07,210.0
2000-11-08,208.5
2000-11-09,210.0
2000-11-10,208.6
2000-11-13,209.0
2000-11-14,208.0
2000-11-15,203.0
2000-11-16,206.3
2000-11-17,203.6
2000-11-20,207.0
2000-11-21,203.1
2000-11-22,207.0
2000-11-23,204.0
2000-11-24,207.0
2000-11-27,203.5
2000-11-28,203.5
2000-11-29,204.0
2000-11-30,200.5
