date,MNG
2000-07-19,587.819
2000-07-20,592.638
2000-07-21,588.783
2000-07-24,587.819
2000-07-25,587.819
2000-07-26,580.11
2000-07-27,580.11
2000-07-28,587.819
2000-07-31,586.856
2000-08-01,583.001
2000-08-02,583.001
2000-08-03,584.929
2000-08-04,584.929
2000-08-07,582.038
2000-08-08,581.074
2000-08-09,581.074
2000-08-10,581.074
2000-08-11,581.074
2000-08-15,581.074
2000-08-16,581.074
2000-08-17,581.074
2000-08-18,581.074
2000-08-23,616.729
2000-08-24,610.947
2000-08-28,597.456
2000-08-29,587.819
2000-08-30,587.819
2000-08-31,588.783
2000-09-01,587.819
2000-09-04,586.856
2000-09-05,583.001
2000-09-06,583.001
2000-09-07,584.929
2000-09-08,583.965
2000-09-11,583.001
2000-09-12,583.965
2000-09-13,583.001
2000-09-14,583.001
2000-09-15,583.001
2000-09-18,582.038
2000-09-19,582.038
2000-09-20,581.074
2000-09-21,581.074
2000-09-22,583.001
2000-09-25,582.038
2000-09-26,583.001
2000-09-27,582.038
2000-09-28,581.074
2000-09-29,579.147
2000-10-02,580.11
2000-10-03,581.074
2000-10-04,580.11
2000-10-05,580.11
2000-10-06,579.147
2000-10-09,578.183
2000-10-10,578.183
2000-10-11,578.183
2000-10-12,578.183
2000-10-13,576.256
2000-10-16,577.219
2000-10-17,570.474
2000-10-18,568.547
2000-10-19,568.547
2000-10-20,566.619
2000-10-23,549.274
2000-10-25,568.547
2000-10-26,573.365
2000-10-30,576.256
2000-10-31,573.365
2000-11-01,572.401
2000-11-02,572.401
2000-11-03,571.438
2000-11-07,571.438
2000-11-08,570.474
2000-11-09,568.547
2000-11-10,567.583
2000-11-13,568.547
2000-11-14,568.547
2000-11-15,567.583
2000-11-16,566.619
2000-11-17,563.729
2000-11-20,562.765
2000-11-21,558.91
2000-11-22,558.91
2000-11-23,562.765
2000-11-24,558.91
2000-11-27,562.765
2000-11-28,558.91
2000-11-29,558.91
2000-11-30,554.092
2000-12-01,549.274
2000-12-04,548.31
2000-12-05,530.965
2000-12-06,530.965
2000-12-07,530.965
2000-12-08,539.638
2000-12-11,549.274
2000-12-12,549.274
2000-12-13,549.274
2000-12-14,549.274
2000-12-15,548.31
2000-12-18,549.274
2000-12-19,549.274
2000-12-20,554.092
2000-12-21,549.274
2000-12-22,549.274
2000-12-25,554.092
2000-12-26,536.747
2000-12-29,549.274
2001-01-02,548.31
2001-01-03,548.31
2001-01-04,547.347
2001-01-05,535.783
2001-01-08,543.492
2001-01-09,536.747
2001-01-10,536.747
2001-01-12,530.965
2001-01-15,525.183
2001-01-16,520.365
2001-01-17,519.401
2001-01-18,515.547
2001-01-19,496.274
2001-01-22,481.819
2001-01-23,488.565
2001-01-24,508.801
2001-01-25,512.656
2001-01-26,522.292
2001-01-29,545.419
2001-01-30,534.819
2001-01-31,535.783
2001-02-01,534.819
2001-02-02,524.219
2001-02-05,554.092
2001-02-06,532.892
2001-02-07,541.565
2001-02-08,537.71
2001-02-09,538.674
2001-02-12,547.347
2001-02-13,554.092
2001-02-14,559.874
2001-02-15,563.729
2001-02-16,565.656
2001-02-19,558.91
2001-02-20,554.092
2001-02-21,556.019
2001-02-22,562.765
2001-02-23,568.547
2001-02-26,585.892
2001-02-27,587.819
2001-02-28,583.001
2001-03-01,581.074
2001-03-02,579.147
2001-03-05,579.147
2001-03-08,578.183
2001-03-09,587.819
2001-03-12,587.819
2001-03-13,588.783
2001-03-14,590.71
2001-03-15,591.674
2001-03-16,588.783
2001-03-19,587.819
2001-03-20,591.674
2001-03-21,600.347
2001-03-22,592.638
2001-03-23,573.365
2001-03-26,578.183
2001-03-28,578.183
2001-03-29,578.183
2001-03-30,573.365
2001-04-02,557.947
2001-04-03,559.874
2001-04-04,558.91
2001-04-05,558.91
2001-04-06,559.874
2001-04-09,558.91
2001-04-10,558.91
2001-04-11,566.619
2001-04-12,560.838
2001-04-13,558.91
2001-04-16,555.056
2001-04-17,549.274
2001-04-18,550.238
2001-04-19,549.274
2001-04-20,551.201
2001-04-23,550.238
2001-04-24,549.274
2001-04-25,561.801
2001-04-26,557.947
2001-04-27,556.019
2001-04-30,550.238
2001-05-02,553.128
2001-05-03,554.092
2001-05-04,558.91
2001-05-07,554.092
2001-05-08,551.201
2001-05-09,551.201
2001-05-10,549.274
2001-05-11,549.274
2001-05-14,544.456
2001-05-15,545.419
2001-05-16,547.347
2001-05-17,541.565
2001-05-18,537.71
2001-05-21,541.565
2001-05-22,539.638
2001-05-23,545.419
2001-05-24,548.31
2001-05-25,549.274
2001-05-28,549.274
2001-05-29,544.456
2001-05-30,543.492
2001-05-31,543.492
2001-06-01,544.456
2001-06-04,544.456
2001-06-07,544.456
2001-06-08,540.601
2001-06-11,540.601
2001-06-12,533.856
2001-06-13,539.638
2001-06-14,542.528
2001-06-15,544.456
2001-06-18,542.528
2001-06-19,542.528
2001-06-20,539.638
2001-06-21,548.31
2001-06-22,534.819
2001-06-25,534.819
2001-06-26,539.638
2001-06-27,539.638
2001-06-28,539.638
2001-06-29,535.783
2001-07-02,522.292
2001-07-03,528.074
2001-07-04,529.038
2001-07-05,528.074
2001-07-06,525.183
2001-07-09,520.365
2001-07-10,520.365
2001-07-11,534.819
2001-07-12,520.365
2001-07-13,520.365
2001-07-16,520.365
2001-07-17,505.91
2001-07-18,510.728
2001-07-19,520.365
2001-07-20,520.365
2001-07-23,525.183
2001-07-24,524.219
2001-07-25,523.256
2001-07-26,522.292
