date,MOX
2000-02-23,413.0
2000-02-28,413.0
2000-02-29,412.0
2000-03-01,416.0
2000-03-02,412.0
2000-03-03,414.0
2000-03-06,418.0
2000-03-07,420.0
2000-03-08,420.0
2000-03-09,415.0
2000-03-10,420.0
2000-03-13,410.0
2000-03-14,420.0
2000-03-15,420.0
2000-03-16,419.5
2000-03-20,421.0
2000-03-21,425.5
2000-03-22,438.0
2000-03-23,435.0
2000-03-27,430.0
2000-03-28,437.0
2000-03-29,437.0
2000-03-30,421.0
2000-03-31,423.0
2000-04-04,420.0
2000-04-05,421.0
2000-04-11,425.0
2000-04-12,423.0
2000-04-13,424.0
2000-04-14,424.0
2000-04-17,421.0
2000-04-18,420.0
2000-04-20,419.0
2000-04-21,419.0
2000-04-24,410.0
2000-04-25,412.0
2000-04-26,418.0
2000-04-27,418.0
2000-04-28,407.0
2000-05-02,395.0
2000-05-03,390.0
2000-05-04,390.0
2000-05-05,390.0
2000-05-08,396.0
2000-05-11,410.0
2000-05-12,426.0
2000-05-15,426.0
2000-05-16,435.0
2000-05-17,435.0
2000-05-19,425.0
2000-05-22,411.0
2000-05-23,411.0
2000-05-24,418.0
2000-05-25,428.0
2000-05-26,430.0
2000-05-29,430.0
2000-05-31,430.0
2000-06-01,430.0
2000-06-02,434.0
2000-06-05,430.5
2000-06-06,436.0
2000-06-07,430.5
2000-06-08,430.5
2000-06-09,430.5
2000-06-13,430.0
2000-06-19,415.0
2000-06-20,411.0
2000-06-21,412.0
2000-06-22,415.0
2000-06-23,405.0
2000-06-26,412.0
2000-06-27,428.0
2000-06-28,414.0
2000-07-05,412.0
2000-07-07,412.0
2000-07-14,405.2
2000-07-17,399.0
2000-07-18,390.0
2000-07-19,390.0
2000-07-20,385.0
2000-07-21,391.2
2000-07-24,390.0
2000-07-25,390.0
2000-07-26,380.0
2000-07-27,380.0
2000-07-28,385.0
2000-07-31,381.0
2000-08-01,385.0
2000-08-02,385.0
2000-08-03,385.0
2000-08-04,385.0
2000-08-07,385.0
2000-08-08,385.0
2000-08-09,381.0
2000-08-10,380.0
2000-08-11,380.0
2000-08-15,375.0
2000-08-16,375.0
2000-08-17,376.0
2000-08-18,377.0
2000-08-24,422.0
2000-08-28,415.0
2000-08-29,391.0
2000-08-30,392.0
2000-08-31,390.0
2000-09-01,386.0
2000-09-04,390.0
2000-09-05,390.0
2000-09-06,390.0
2000-09-07,390.0
2000-09-08,386.0
2000-09-11,385.0
2000-09-12,386.0
2000-09-13,386.0
2000-09-14,386.0
2000-09-15,386.0
2000-09-18,386.0
2000-09-19,385.0
2000-09-20,385.0
2000-09-21,384.0
2000-09-22,382.0
2000-09-25,380.0
2000-09-26,390.0
2000-09-27,380.0
2000-09-28,381.9
2000-09-29,382.0
2000-10-02,380.0
2000-10-03,380.0
2000-10-04,377.0
2000-10-05,377.0
2000-10-06,377.0
2000-10-09,377.5
2000-10-10,377.5
2000-10-11,379.0
2000-10-12,377.5
2000-10-13,376.0
2000-10-16,377.0
2000-10-17,385.0
2000-10-18,376.0
2000-10-19,377.0
2000-10-20,377.0
2000-10-23,384.0
2000-10-25,375.0
2000-10-26,375.0
2000-10-30,370.0
2000-10-31,390.0
2000-11-01,372.0
2000-11-02,370.0
2000-11-03,370.0
2000-11-07,370.0
2000-11-08,370.0
2000-11-09,370.0
2000-11-10,370.0
2000-11-13,365.0
2000-11-14,366.0
2000-11-15,363.0
2000-11-16,360.0
2000-11-17,350.0
2000-11-20,340.0
2000-11-21,329.1
2000-11-22,345.0
2000-11-23,340.0
2000-11-24,337.0
2000-11-27,330.0
2000-11-28,332.0
2000-11-29,332.0
2000-11-30,339.0
2000-12-01,329.0
2000-12-04,323.0
2000-12-05,321.0
2000-12-06,311.0
2000-12-07,329.0
2000-12-08,330.0
2000-12-11,330.0
2000-12-12,310.2
2000-12-14,348.5
2000-12-15,345.0
2000-12-18,348.0
2000-12-19,347.9
2000-12-20,344.0
2000-12-21,327.5
2000-12-22,327.55
2000-12-25,327.0
2000-12-26,320.0
2000-12-29,300.95
2001-01-02,291.0
2001-01-03,305.0
2001-01-04,301.0
2001-01-05,295.0
2001-01-08,295.0
2001-01-09,295.0
2001-01-10,290.0
2001-01-12,291.0
2001-01-15,295.0
2001-01-16,279.0
2001-01-17,295.0
2001-01-18,278.0
2001-01-19,266.0
2001-01-22,279.0
2001-01-23,279.0
2001-01-24,265.0
2001-01-25,252.0
2001-01-26,252.0
2001-01-29,252.0
2001-01-30,267.1
2001-01-31,268.0
2001-02-01,268.0
2001-02-02,269.0
2001-02-05,280.0
2001-02-06,267.1
2001-02-07,271.0
2001-02-08,265.0
2001-02-09,267.0
2001-02-12,280.0
2001-02-13,281.0
2001-02-15,287.0
2001-02-16,299.1
2001-02-19,317.0
2001-02-20,302.0
2001-02-21,308.0
2001-02-22,306.0
2001-02-23,322.0
2001-02-26,304.0
2001-02-28,325.0
2001-03-01,325.0
2001-03-02,325.0
2001-03-05,325.0
2001-03-08,325.0
2001-03-09,324.0
2001-03-12,308.0
2001-03-13,316.0
2001-03-14,324.0
2001-03-15,324.0
2001-03-16,324.0
2001-03-19,315.0
2001-03-20,333.0
2001-03-21,318.0
2001-03-22,324.0
2001-03-23,320.0
2001-03-26,320.0
2001-03-28,310.0
2001-03-29,310.0
2001-03-30,310.0
2001-04-02,296.0
2001-04-03,280.0
2001-04-04,268.2
2001-04-05,275.0
2001-04-06,270.0
2001-04-09,286.0
2001-04-10,290.0
2001-04-11,290.0
2001-04-12,273.0
2001-04-13,268.0
2001-04-16,268.0
2001-04-17,269.8
2001-04-18,260.0
2001-04-19,256.0
2001-04-20,256.0
2001-04-23,268.0
2001-04-24,252.0
2001-04-25,258.0
2001-04-26,253.0
2001-04-27,263.0
2001-04-30,269.5
2001-05-02,263.0
2001-05-03,273.8
2001-05-04,271.0
2001-05-07,285.0
2001-05-08,272.0
2001-05-09,260.5
2001-05-10,275.0
2001-05-11,260.0
2001-05-14,260.0
2001-05-15,256.0
2001-05-16,250.0
2001-05-17,256.0
2001-05-18,250.0
2001-05-21,250.0
2001-05-22,245.0
2001-05-23,245.0
2001-05-24,245.0
2001-05-25,245.0
2001-05-28,240.0
2001-05-29,230.0
2001-05-30,223.0
2001-05-31,223.0
2001-06-01,223.0
2001-06-04,225.0
2001-06-07,230.0
2001-06-08,240.0
2001-06-11,230.0
2001-06-12,216.5
2001-06-13,215.0
2001-06-14,216.0
2001-06-15,215.0
2001-06-18,215.0
2001-06-19,207.0
2001-06-20,204.0
2001-06-21,208.0
2001-06-22,208.0
2001-06-25,204.0
2001-06-26,204.0
2001-06-27,204.0
2001-06-28,204.0
2001-06-29,204.0
2001-07-02,200.0
2001-07-03,198.0
2001-07-04,190.0
2001-07-05,190.0
2001-07-06,190.0
2001-07-09,190.0
2001-07-10,190.0
2001-07-11,194.0
2001-07-12,205.0
2001-07-13,209.0
2001-07-16,209.0
2001-07-17,209.0
2001-07-18,197.0
2001-07-19,197.0
2001-07-20,200.0
2001-07-23,197.0
2001-07-24,195.0
2001-07-25,195.0
2001-07-26,195.0
2001-07-27,195.0
2001-07-31,195.0
2001-08-01,195.0
2001-08-02,195.0
2001-08-03,195.0
2001-08-06,202.0
2001-08-07,202.0
2001-08-08,203.0
2001-08-09,194.0
2001-08-10,202.0
2001-08-13,202.0
2001-08-15,190.0
2001-08-16,201.0
2001-08-17,190.0
2001-08-22,190.0
2001-08-23,190.0
2001-08-24,200.0
2001-08-27,194.0
2001-08-28,195.0
2001-08-29,195.0
2001-08-30,196.0
2001-08-31,202.0
2001-09-03,195.0
2001-09-04,206.5
2001-09-05,204.0
2001-09-06,204.0
2001-09-07,216.0
2001-09-10,218.0
2001-09-11,218.0
2001-09-12,217.0
2001-09-13,217.0
2001-09-14,206.0
2001-09-17,210.0
2001-09-18,210.0
2001-09-19,197.4
2001-09-20,200.0
2001-09-21,190.0
2001-09-24,197.0
2001-09-25,185.2
2001-09-26,182.9
2001-09-27,188.5
2001-09-28,188.5
2001-10-01,196.0
2001-10-02,196.0
2001-10-03,184.0
2001-10-04,184.0
2001-10-05,184.0
2001-10-08,173.0
2001-10-09,184.0
2001-10-10,173.0
2001-10-11,174.0
2001-10-12,163.6
2001-10-15,182.0
2001-10-16,183.0
2001-10-17,185.0
2001-10-18,184.0
2001-10-19,175.0
2001-10-22,180.0
2001-10-23,180.0
2001-10-24,175.0
2001-10-25,170.0
2001-10-26,160.0
2001-10-29,169.0
2001-10-30,160.0
2001-10-31,153.3
2001-11-01,159.0
2001-11-05,150.0
2001-11-07,146.1
2001-11-08,143.0
2001-11-09,143.0
2001-11-13,151.2
2001-11-14,150.1
2001-11-15,152.0
2001-11-16,152.0
2001-11-19,152.0
2001-11-20,152.0
2001-11-21,160.0
2001-11-22,166.1
2001-11-23,170.0
2001-11-26,170.0
2001-11-27,167.0
2001-11-28,167.0
2001-11-29,169.1
2001-12-03,171.1
2001-12-04,181.35
2001-12-05,192.0
2001-12-06,200.0
2001-12-07,200.1
2001-12-10,200.1
2001-12-11,200.0
2001-12-12,202.3
2001-12-13,210.1
2001-12-14,210.0
2001-12-19,210.0
2001-12-20,197.5
2001-12-21,205.2
2001-12-24,209.0
2001-12-25,209.0
2001-12-26,215.0
2001-12-27,205.0
2001-12-28,205.2
2001-12-31,204.0
2002-01-03,195.0
2002-01-04,195.0
2002-01-09,192.0
2002-01-10,181.0
2002-01-14,181.0
2002-01-15,171.15
2002-01-16,170.1
2002-01-17,162.0
2002-01-18,162.0
2002-01-21,171.7
2002-01-22,171.7
2002-01-23,170.0
2002-01-24,170.0
2002-01-25,171.1
2002-01-28,171.1
2002-01-29,172.1
2002-01-30,181.0
2002-01-31,173.2
