date,MUT
2018-12-18,181.0
2018-12-19,181.0
2018-12-20,181.0
2018-12-21,182.0
2018-12-24,182.0
2018-12-25,183.0
2018-12-26,184.0
2018-12-27,185.0
2018-12-28,184.95
2018-12-31,183.0
2019-01-02,183.0
2019-01-03,184.15
2019-01-04,183.0
2019-01-07,186.0
2019-01-08,186.95
2019-01-09,186.85
2019-01-10,186.0
2019-01-14,185.5
2019-01-15,185.5
2019-01-16,185.5
2019-01-17,185.5
2019-01-18,185.5
2019-01-21,186.0
2019-01-22,186.0
2019-01-23,185.95
2019-01-24,184.9
2019-01-25,183.0
2019-01-28,183.0
2019-01-29,184.0
2019-01-30,180.1
2019-01-31,183.0
2019-02-01,180.15
2019-02-04,180.0
2019-02-05,180.1
2019-02-06,180.05
2019-02-07,181.0
2019-02-08,181.0
2019-02-11,181.0
2019-02-12,180.0
2019-02-13,182.0
2019-02-14,183.95
2019-02-15,185.0
2019-02-18,184.2
2019-02-19,182.15
2019-02-20,182.0
2019-02-21,182.05
2019-02-22,182.0
2019-02-25,182.05
2019-02-26,182.0
2019-02-27,180.05
2019-02-28,180.05
2019-03-01,180.2
2019-03-04,180.0
2019-03-05,182.0
2019-03-06,180.0
2019-03-07,180.0
2019-03-08,181.0
2019-03-11,182.0
2019-03-12,182.0
2019-03-13,182.0
2019-03-14,180.05
2019-03-15,180.0
2019-03-18,180.0
2019-03-19,180.0
2019-03-20,180.0
2019-03-21,180.0
2019-03-22,180.0
2019-03-25,180.05
2019-03-26,180.05
2019-03-27,180.0
2019-03-28,180.0
2019-03-29,180.0
2019-04-01,180.0
2019-04-02,180.0
2019-04-03,180.0
2019-04-04,180.0
2019-04-05,180.0
2019-04-08,180.0
2019-04-09,180.0
2019-04-10,180.0
2019-04-11,180.1
2019-04-12,180.15
2019-04-15,180.15
2019-04-16,180.95
2019-04-17,180.0
2019-04-18,183.0
2019-04-19,183.5
2019-04-22,182.0
2019-04-23,182.0
2019-04-24,183.0
2019-04-25,183.0
2019-04-26,182.0
2019-04-29,183.1
2019-04-30,179.5
2019-05-02,179.0
2019-05-03,175.55
2019-05-06,176.1
2019-05-07,180.0
2019-05-08,182.9
2019-05-09,177.3
2019-05-10,179.0
2019-05-13,176.35
2019-05-14,180.0
2019-05-15,181.5
2019-05-16,181.5
2019-05-17,181.5
2019-05-20,180.0
2019-05-21,177.0
2019-05-22,179.95
2019-05-23,176.0
2019-05-24,176.0
2019-05-27,175.1
2019-05-28,175.0
2019-05-29,178.5
2019-05-30,173.35
2019-05-31,176.0
2019-06-03,178.0
2019-06-04,175.5
2019-06-10,180.0
2019-06-11,179.9
2019-06-12,174.6
2019-06-13,179.0
2019-06-14,179.0
2019-06-17,174.0
2019-06-18,178.0
2019-06-19,175.0
2019-06-20,175.0
2019-06-21,179.95
2019-06-24,172.0
2019-06-25,176.0
2019-06-26,177.8
2019-06-27,178.0
2019-06-28,178.0
2019-07-01,176.0
2019-07-02,175.05
2019-07-03,175.05
2019-07-04,177.0
2019-07-05,178.95
2019-07-08,180.0
2019-07-09,180.0
2019-07-10,178.05
2019-07-11,178.05
2019-07-12,178.05
2019-07-15,178.05
2019-07-16,177.0
2019-07-17,177.0
2019-07-18,176.3
2019-07-19,176.1
2019-07-22,176.05
2019-07-23,177.9
2019-07-24,179.0
2019-07-25,178.95
2019-07-26,180.95
2019-07-29,178.85
2019-07-31,178.85
2019-08-01,178.85
2019-08-02,178.85
2019-08-05,179.9
2019-08-06,179.0
2019-08-07,179.0
2019-08-08,178.7
2019-08-09,179.0
2019-08-15,179.0
2019-08-16,179.5
2019-08-19,179.25
2019-08-22,179.25
2019-08-23,179.25
2019-08-26,183.5
2019-08-27,183.0
2019-08-28,178.55
2019-08-29,181.0
2019-08-30,182.0
2019-09-02,178.45
2019-09-03,178.5
2019-09-04,181.1
2019-09-05,178.45
2019-09-06,179.55
2019-09-09,183.9
2019-09-10,185.0
2019-09-11,185.0
2019-09-12,183.5
2019-09-13,184.0
2019-09-16,183.0
2019-09-17,180.0
2019-09-18,183.0
2019-09-19,180.0
2019-09-20,185.0
2019-09-23,184.9
2019-09-24,184.9
2019-09-25,180.6
2019-09-26,182.5
2019-09-27,185.0
2019-09-30,185.0
2019-10-01,185.0
2019-10-02,185.0
2019-10-03,183.0
2019-10-04,190.0
2019-10-07,187.0
2019-10-08,183.25
2019-10-09,183.3
2019-10-10,184.1
2019-10-11,184.05
2019-10-14,183.35
2019-10-15,183.35
2019-10-16,183.35
2019-10-17,190.0
2019-10-18,200.0
2019-10-21,194.1
2019-10-22,194.25
2019-10-23,194.0
2019-10-24,190.6
2019-10-25,199.95
2019-10-28,199.95
2019-10-29,192.05
2019-10-30,197.0
2019-10-31,197.0
2019-11-01,194.0
2019-11-04,199.9
2019-11-05,197.5
2019-11-07,199.0
2019-11-08,200.0
2019-11-12,201.0
2019-11-13,198.15
2019-11-14,195.2
2019-11-15,200.0
2019-11-19,195.3
2019-11-20,199.8
2019-11-21,195.05
2019-11-22,195.1
2019-11-25,199.0
2019-11-26,194.2
2019-11-27,195.0
2019-11-28,195.1
2019-11-29,200.0
2019-12-02,195.6
2019-12-03,195.4
2019-12-04,195.1
2019-12-05,195.0
2019-12-06,195.5
2019-12-09,195.0
2019-12-10,194.85
2019-12-11,198.0
2019-12-12,195.15
2019-12-13,197.95
2019-12-16,200.0
2019-12-17,200.0
2019-12-18,196.65
2019-12-19,202.0
2019-12-20,205.0
2019-12-23,205.0
2019-12-24,210.0
2019-12-25,204.55
2019-12-26,209.6
2019-12-27,205.0
2019-12-30,206.0
2019-12-31,208.95
2020-01-02,204.0
2020-01-03,208.9
2020-01-06,203.25
2020-01-07,203.25
2020-01-08,209.0
2020-01-09,209.0
2020-01-10,204.05
2020-01-13,204.0
2020-01-14,204.05
2020-01-15,204.0
2020-01-16,205.0
2020-01-17,209.0
2020-01-20,205.0
2020-01-21,205.0
2020-01-22,214.9
2020-01-23,218.9
2020-01-24,218.0
2020-01-27,215.0
2020-01-28,215.0
2020-01-29,215.05
2020-01-30,218.0
2020-01-31,219.5
2020-02-03,218.5
2020-02-04,218.9
2020-02-05,220.0
2020-02-06,220.05
2020-02-07,224.85
2020-02-10,224.85
2020-02-11,220.0
2020-02-12,220.0
2020-02-13,224.2
2020-02-14,235.1
2020-02-17,235.0
2020-02-18,232.05
2020-02-19,232.1
2020-02-20,228.05
2020-02-21,226.0
2020-02-24,221.15
2020-02-25,225.0
2020-02-26,225.1
2020-02-27,225.5
2020-02-28,230.0
2020-03-02,230.0
2020-03-03,212.6
2020-03-04,218.0
2020-03-05,218.0
2020-03-06,215.0
2020-03-09,200.0
2020-03-10,210.05
2020-03-11,210.05
2020-03-12,190.0
2020-03-13,199.95
2020-03-16,180.0
2020-03-17,175.0
2020-03-18,168.05
2020-03-19,174.75
2020-03-20,181.7
2020-03-23,188.95
2020-03-24,196.5
2020-03-25,188.65
2020-03-26,190.0
2020-03-27,182.45
2020-03-30,186.1
2020-03-31,186.0
2020-04-01,183.0
2020-04-02,181.15
2020-04-03,180.0
2020-04-06,177.0
2020-04-07,170.0
2020-04-08,176.75
2020-04-09,180.0
2020-04-10,182.5
2020-04-13,182.5
2020-04-14,180.2
2020-04-15,180.55
2020-04-16,180.55
2020-04-17,175.0
2020-04-20,175.0
2020-04-21,177.0
2020-04-22,177.0
2020-04-23,175.0
2020-04-24,180.0
2020-04-27,180.0
2020-04-28,180.0
2020-04-29,184.95
2020-04-30,192.0
2020-05-04,198.0
2020-05-05,199.0
2020-05-06,192.1
2020-05-07,194.0
2020-05-08,199.2
2020-05-11,198.0
2020-05-12,198.0
2020-05-13,197.95
2020-05-14,197.95
2020-05-15,197.95
2020-05-18,197.95
2020-05-19,197.95
2020-05-20,195.0
2020-05-21,197.9
2020-05-22,200.0
2020-05-26,202.9
2020-05-27,205.0
2020-05-28,205.0
2020-05-29,205.0
2020-06-01,207.0
2020-06-02,206.0
2020-06-03,206.5
2020-06-04,206.5
2020-06-05,205.0
2020-06-08,210.0
2020-06-09,207.0
2020-06-10,209.95
2020-06-11,208.8
2020-06-12,210.0
2020-06-15,209.45
2020-06-16,217.5
2020-06-17,226.15
2020-06-18,222.0
2020-06-19,215.0
2020-06-22,220.0
2020-06-23,220.0
2020-06-24,222.0
2020-06-25,220.0
2020-06-26,213.15
2020-06-29,215.1
