"Date","Price","Open","High","Low","Vol.","Change %"
"01/24/2022","13,753.50","13,783.81","13,815.59","13,753.05","","-0.22%"
"01/25/2022","13,706.62","13,753.50","13,765.73","13,706.62","","-0.34%"
"01/26/2022","13,722.28","13,706.62","13,723.61","13,688.43","","0.11%"
"01/27/2022","13,733.86","13,722.28","13,758.13","13,721.07","","0.08%"
"01/28/2022","13,793.21","13,733.86","13,813.99","13,732.46","","0.43%"
"01/31/2022","13,883.49","13,793.21","13,887.85","13,791.29","","0.65%"
"02/01/2022","13,863.11","13,883.49","13,896.45","13,850.13","","-0.15%"
"02/02/2022","13,905.51","13,863.11","13,907.75","13,862.60","","0.31%"
"02/03/2022","13,913.39","13,905.51","13,913.39","13,859.89","","0.06%"
"02/04/2022","13,949.34","13,913.39","13,965.35","13,905.75","","0.26%"
"02/07/2022","13,951.27","13,949.34","13,955.22","13,918.90","","0.01%"
"02/08/2022","13,985.64","13,951.27","14,012.64","13,939.89","","0.25%"
"02/09/2022","13,950.56","13,985.64","13,990.98","13,945.93","","-0.25%"
"02/10/2022","13,991.47","13,950.56","13,992.49","13,950.56","","0.29%"
"02/11/2022","13,950.06","13,991.47","14,005.52","13,949.69","","-0.30%"
"02/14/2022","13,866.46","13,950.06","13,957.16","13,852.19","","-0.60%"
"02/15/2022","13,767.72","13,866.46","13,866.46","13,767.72","","-0.71%"
"02/16/2022","13,760.26","13,771.96","13,803.01","13,760.26","","-0.05%"
"02/17/2022","13,766.60","13,760.26","13,801.52","13,758.03","","0.05%"
"02/18/2022","13,716.73","13,766.60","13,790.02","13,716.28","","-0.36%"
"02/21/2022","13,649.81","13,716.73","13,727.94","13,640.58","","-0.49%"
"02/22/2022","13,521.35","13,649.81","13,649.81","13,461.96","","-0.94%"
"02/23/2022","13,509.67","13,521.35","13,562.09","13,495.32","","-0.09%"
"02/24/2022","12,954.68","13,509.67","13,509.67","12,946.89","","-4.11%"
"02/25/2022","13,175.30","12,954.68","13,292.32","12,899.88","","1.70%"
"02/28/2022","13,071.04","13,175.30","13,244.94","13,071.04","","-0.79%"
"03/01/2022","13,059.66","13,071.04","13,186.82","13,059.07","","-0.09%"
"03/02/2022","12,972.82","13,059.66","13,062.95","12,960.54","","-0.67%"
"03/03/2022","12,864.57","12,972.82","12,981.20","12,856.51","","-0.83%"
"03/04/2022","12,785.57","12,864.57","12,887.33","12,734.13","","-0.61%"
"03/07/2022","12,415.46","12,785.57","12,785.63","12,353.78","","-2.89%"
"03/08/2022","12,671.53","12,415.46","12,683.25","12,397.36","","2.06%"
"03/09/2022","12,866.13","12,671.53","12,884.55","12,671.53","","1.54%"
"03/10/2022","12,567.54","12,866.13","12,944.08","12,567.54","","-2.32%"
"03/11/2022","12,623.94","12,567.54","12,724.54","12,559.00","","0.45%"
"03/14/2022","12,659.18","12,623.94","12,686.42","12,623.29","","0.28%"
"03/15/2022","12,704.72","12,659.18","12,747.35","12,635.65","","0.36%"
"03/16/2022","12,761.96","12,704.72","12,763.96","12,702.75","","0.45%"
"03/17/2022","12,935.51","12,761.96","12,935.51","12,761.96","","1.36%"
"03/18/2022","12,877.80","12,935.51","12,983.44","12,865.86","","-0.45%"
"03/21/2022","12,867.90","12,877.80","12,929.61","12,867.82","","-0.08%"
"03/22/2022","12,820.10","12,867.90","12,930.43","12,820.10","","-0.37%"
"03/23/2022","12,577.91","12,820.10","12,820.10","12,573.49","","-1.89%"
"03/24/2022","12,558.71","12,577.91","12,630.33","12,554.68","","-0.15%"
"03/25/2022","12,602.92","12,558.71","12,739.57","12,558.71","","0.35%"
"03/28/2022","12,640.22","12,602.92","12,640.22","12,590.87","","0.30%"
"03/29/2022","12,721.38","12,640.22","12,721.38","12,625.64","","0.64%"
"03/30/2022","12,751.45","12,721.38","12,782.51","12,703.18","","0.24%"
"03/31/2022","12,818.11","12,751.45","12,828.09","12,742.35","","0.52%"
"04/01/2022","12,843.52","12,818.11","12,860.88","12,814.59","","0.20%"
"04/04/2022","12,824.29","12,843.52","12,899.89","12,803.95","","-0.15%"
"04/05/2022","12,878.42","12,824.29","12,878.42","12,817.14","","0.42%"
"04/06/2022","12,893.80","12,878.42","12,901.54","12,845.09","","0.12%"
"04/07/2022","12,926.36","12,893.80","12,932.92","12,835.18","","0.25%"
"04/08/2022","12,946.49","12,926.36","12,953.94","12,888.51","","0.16%"
"04/11/2022","12,943.08","12,946.49","12,968.33","12,923.04","","-0.03%"
