date,NEJ
2000-01-06,303.03
2000-01-07,303.03
2000-01-25,313.131
2000-02-01,303.03
2000-02-03,304.545
2000-02-28,290.404
2000-03-01,293.561
2000-03-02,293.561
2000-03-08,296.717
2000-03-09,296.717
2000-03-14,309.343
2000-03-16,309.343
2000-03-21,315.657
2000-03-23,321.97
2000-03-27,315.657
2000-03-29,331.439
2000-03-30,329.545
2000-03-31,347.222
2000-04-05,331.439
2000-04-07,328.914
2000-04-12,312.5
2000-04-13,315.657
2000-04-17,315.657
2000-04-18,315.657
2000-04-20,309.343
2000-04-21,306.187
2000-04-27,304.293
2000-04-28,303.03
2000-05-04,303.03
2000-05-08,303.03
2000-05-11,318.813
2000-05-12,333.333
2000-05-15,318.813
2000-05-16,318.813
2000-05-17,318.813
2000-05-19,318.813
2000-05-24,318.813
2000-05-29,318.813
2000-05-31,318.813
2000-06-02,335.859
2000-06-06,344.066
2000-06-07,343.434
2000-06-13,353.535
2000-06-14,353.535
2000-06-19,344.697
2000-06-20,353.535
2000-06-21,350.379
2000-06-22,344.066
2000-06-23,350.379
2000-06-26,347.222
2000-06-27,351.641
2000-06-29,353.535
2000-07-03,363.636
2000-07-05,349.116
2000-07-06,347.854
2000-07-07,348.485
2000-07-10,356.061
2000-07-13,351.01
2000-07-18,347.222
2000-07-20,334.596
2000-07-24,318.182
2000-07-25,335.859
2000-07-26,321.97
2000-07-27,322.601
2000-07-31,340.909
2000-08-01,340.909
2000-08-02,361.364
2000-08-03,378.788
2000-08-08,363.636
2000-08-09,363.636
2000-08-11,362.879
2000-08-15,359.848
2000-08-16,363.636
2000-08-24,431.818
2000-08-30,352.121
2000-08-31,356.061
2000-09-01,356.061
2000-09-04,356.818
2000-09-05,356.061
2000-09-11,377.273
2000-09-12,370.417
2000-09-14,376.515
2000-09-19,359.848
2000-09-20,348.485
2000-09-25,348.485
2000-09-27,328.03
2000-09-29,328.068
2000-10-02,328.03
2000-10-03,328.03
2000-10-05,325.758
2000-10-06,337.121
2000-10-09,348.485
2000-10-13,348.485
2000-10-18,328.03
2000-10-19,328.03
2000-10-26,328.03
2000-10-30,318.939
2000-11-01,325.758
2000-11-03,314.394
2000-11-07,326.515
2000-11-16,318.182
2000-11-17,303.03
2000-11-24,302.235
2000-11-27,284.848
2000-11-29,301.932
2000-12-08,284.091
2000-12-14,301.136
2000-12-19,301.515
2000-12-25,294.621
2001-01-05,277.273
2001-01-08,261.364
2001-01-09,268.939
2001-01-10,268.939
2001-01-12,265.152
2001-01-15,265.152
2001-01-16,265.152
2001-01-17,265.152
2001-01-18,265.152
2001-01-19,265.114
2001-01-22,250.0
2001-01-23,239.394
2001-01-24,239.394
2001-01-25,239.394
2001-01-26,253.03
2001-01-29,268.182
2001-01-30,268.182
2001-01-31,268.182
2001-02-01,284.091
2001-02-02,280.303
2001-02-05,280.303
2001-02-06,280.303
2001-02-07,280.303
2001-02-08,280.303
2001-02-09,278.788
2001-02-12,278.788
2001-02-13,278.788
2001-02-15,272.727
2001-02-16,272.727
2001-02-19,272.727
2001-02-20,272.727
2001-02-21,272.727
2001-02-22,258.333
2001-02-23,272.727
2001-02-26,272.727
2001-02-28,272.727
2001-03-01,284.091
2001-03-02,274.242
2001-03-05,274.242
2001-03-08,274.242
2001-03-09,274.242
2001-03-12,274.242
2001-03-13,274.242
2001-03-14,265.152
2001-03-15,280.303
2001-03-16,280.303
2001-03-19,280.303
2001-03-20,280.303
2001-03-21,280.303
2001-03-22,268.182
2001-03-23,280.303
2001-03-26,280.303
2001-03-28,280.303
2001-03-29,268.182
2001-03-30,268.182
2001-04-02,268.182
2001-04-03,268.182
2001-04-04,265.152
2001-04-05,265.152
2001-04-06,265.152
2001-04-09,265.152
2001-04-10,265.152
2001-04-11,265.152
2001-04-12,280.303
2001-04-13,280.303
2001-04-16,284.091
2001-04-17,284.091
2001-04-18,284.091
2001-04-19,284.091
2001-04-20,284.091
2001-04-23,284.091
2001-04-24,268.939
2001-04-25,268.939
2001-04-26,268.939
2001-04-27,268.939
2001-04-30,268.939
2001-05-02,268.939
2001-05-03,284.091
2001-05-04,284.091
2001-05-07,284.091
2001-05-08,284.091
2001-05-09,284.091
2001-05-10,284.091
2001-05-11,268.182
2001-05-14,268.182
2001-05-15,252.121
2001-05-16,237.5
2001-05-17,237.5
2001-05-18,246.212
2001-05-21,246.212
2001-05-22,260.606
2001-05-23,260.606
2001-05-24,268.182
2001-05-25,268.182
2001-05-28,252.121
2001-05-29,242.424
2001-05-30,242.424
2001-05-31,242.424
2001-06-01,253.788
2001-06-04,253.788
2001-06-07,242.424
2001-06-08,253.788
2001-06-11,253.788
2001-06-12,236.364
2001-06-13,236.364
2001-06-14,236.364
2001-06-15,236.364
2001-06-18,236.364
2001-06-19,222.197
2001-06-20,225.0
2001-06-21,225.0
2001-06-22,231.061
2001-06-25,228.788
2001-06-26,228.788
2001-06-27,231.061
2001-06-28,231.061
2001-06-29,232.576
2001-07-02,218.939
2001-07-03,228.788
2001-07-04,228.788
2001-07-05,216.667
2001-07-06,229.545
2001-07-09,216.667
2001-07-10,216.705
2001-07-11,216.667
2001-07-12,216.667
2001-07-13,217.424
2001-07-16,216.667
2001-07-17,229.545
2001-07-18,238.636
2001-07-19,238.636
2001-07-20,216.667
2001-07-23,212.121
2001-07-24,212.121
2001-07-25,212.121
2001-07-26,212.121
2001-07-27,204.545
2001-07-31,204.545
2001-08-01,204.545
2001-08-02,204.545
2001-08-03,216.667
2001-08-06,216.667
2001-08-07,228.03
2001-08-08,228.03
2001-08-09,238.636
2001-08-10,234.848
2001-08-13,228.03
2001-08-15,214.356
