date,OUL
2000-02-01,1220.0
2000-02-07,1225.0
2000-02-23,1150.0
2000-02-24,1095.0
2000-03-03,1100.0
2000-03-07,1109.0
2000-03-09,1115.0
2000-03-10,1120.0
2000-03-16,1150.0
2000-03-20,1130.0
2000-03-23,1105.0
2000-03-30,1129.0
2000-04-11,1070.0
2000-04-17,1056.0
2000-04-20,1025.0
2000-04-26,1025.0
2000-04-27,1012.0
2000-04-28,1015.0
2000-05-05,1000.0
2000-05-11,1060.0
2000-05-15,1060.0
2000-05-22,1025.0
2000-05-23,1031.0
2000-06-05,1017.0
2000-06-07,1015.0
2000-06-08,1012.0
2000-06-13,1003.0
2000-06-19,1003.0
2000-06-21,1003.0
2000-06-22,943.0
2000-06-23,999.0
2000-06-26,962.0
2000-06-27,906.0
2000-06-28,908.0
2000-06-29,906.0
2000-07-04,960.0
2000-07-05,930.0
2000-07-07,931.0
2000-07-18,986.0
2000-07-25,950.0
2000-07-26,950.0
2000-07-27,930.0
2000-07-28,900.0
2000-07-31,954.0
2000-08-02,920.0
2000-08-03,950.0
2000-08-07,950.0
2000-08-09,950.0
2000-08-10,1007.0
2000-08-11,1067.0
2000-08-15,1095.0
2000-08-16,1090.0
2000-08-17,1088.0
2000-08-18,1088.0
2000-08-22,1100.0
2000-08-23,1149.0
2000-08-24,1200.0
2000-08-28,1199.0
2000-08-29,1180.0
2000-08-30,1170.0
2000-08-31,1140.0
2000-09-01,1139.0
2000-09-06,1071.0
2000-09-12,1007.0
2000-09-13,1002.0
2000-09-14,942.0
2000-09-15,940.0
2000-09-22,987.0
2000-09-26,943.0
2000-09-28,945.0
2000-09-29,935.0
2000-10-02,940.0
2000-10-04,945.0
2000-10-05,946.0
2000-10-11,941.0
2000-10-12,941.0
2000-10-13,931.0
2000-10-16,925.0
2000-10-18,910.0
2000-10-20,912.0
2000-10-23,915.0
2000-10-25,915.0
2000-10-31,954.0
2000-11-15,915.0
2000-11-16,908.0
2000-11-17,900.0
2000-11-21,862.0
