date,PRO
2007-06-19,977.0
2007-06-20,977.0
2007-06-21,960.0
2007-06-22,965.0
2007-06-25,988.0
2007-06-26,989.0
2007-06-27,983.0
2007-06-28,974.0
2007-06-29,980.0
2007-07-02,977.0
2007-07-03,960.0
2007-07-04,970.0
2007-07-05,950.0
2007-07-06,950.0
2007-07-09,960.0
2007-07-10,947.0
2007-07-11,947.0
2007-07-12,928.0
2007-07-13,932.0
2007-07-16,970.0
2007-07-17,967.0
2007-07-18,963.0
2007-07-19,938.0
2007-07-20,932.0
2007-07-23,922.0
2007-07-24,919.0
2007-07-25,905.0
2007-07-26,916.0
2007-07-27,906.0
2007-07-31,900.0
2007-08-01,901.0
2007-08-02,930.0
2007-08-03,922.0
2007-08-06,915.0
2007-08-07,906.0
2007-08-08,910.0
2007-08-09,909.0
2007-08-10,910.0
2007-08-13,890.0
2007-08-15,909.0
2007-08-16,900.0
2007-08-17,890.0
2007-08-22,910.0
2007-08-23,920.0
2007-08-24,930.0
2007-08-27,940.0
2007-08-28,945.0
2007-08-29,945.0
2007-08-30,950.0
2007-08-31,950.0
2007-09-03,950.0
2007-09-04,927.0
2007-09-05,945.0
2007-09-06,924.0
2007-09-07,906.0
2007-09-10,903.0
2007-09-11,944.0
2007-09-12,920.0
2007-09-13,912.0
2007-09-14,910.0
2007-09-17,905.0
2007-09-18,902.0
2007-09-19,915.0
2007-09-20,904.0
2007-09-21,902.0
2007-09-24,901.0
2007-09-25,900.0
2007-09-26,900.0
2007-09-27,895.0
2007-09-28,890.0
2007-10-01,900.0
2007-10-02,884.0
2007-10-03,885.0
2007-10-04,884.0
2007-10-05,878.0
2007-10-08,880.0
2007-10-09,871.0
2007-10-10,875.0
2007-10-11,873.0
2007-10-12,873.0
2007-10-15,870.0
2007-10-16,870.0
2007-10-17,865.0
2007-10-18,861.0
2007-10-19,850.0
2007-10-22,850.0
2007-10-23,845.0
2007-10-24,846.0
2007-10-25,842.0
2007-10-26,840.0
2007-10-29,840.0
2007-10-30,820.0
2007-10-31,800.0
2007-11-01,762.0
2007-11-02,766.0
2007-11-05,781.0
2007-11-07,782.0
2007-11-08,776.0
2007-11-09,775.0
2007-11-12,778.0
2007-11-13,760.0
2007-11-14,765.0
2007-11-15,761.0
2007-11-16,760.0
2007-11-19,762.0
2007-11-20,760.0
2007-11-21,760.0
2007-11-22,760.0
2007-11-23,750.0
2007-11-26,760.0
2007-11-27,735.0
2007-11-28,751.0
2007-11-29,750.0
2007-11-30,736.0
2007-12-03,733.0
2007-12-04,730.0
2007-12-05,715.0
2007-12-06,730.0
2007-12-07,722.0
2007-12-10,701.0
2007-12-11,703.0
2007-12-12,705.0
2007-12-13,705.0
2007-12-14,706.0
2007-12-17,725.0
2007-12-18,720.0
2007-12-19,735.0
2007-12-20,715.0
2007-12-24,717.0
2007-12-25,731.0
2007-12-26,735.0
2007-12-27,750.0
2007-12-28,780.0
2007-12-31,779.0
2008-01-02,792.0
2008-01-03,770.0
2008-01-04,778.0
2008-01-07,779.0
2008-01-08,752.0
2008-01-09,777.0
2008-01-14,751.0
2008-01-15,741.0
2008-01-16,742.0
2008-01-17,730.0
2008-01-18,735.0
2008-01-21,721.0
2008-01-22,730.0
2008-01-23,740.0
2008-01-24,735.0
2008-01-25,726.0
2008-01-28,720.0
2008-01-29,721.0
2008-01-30,723.0
2008-01-31,722.0
2008-02-01,722.0
2008-02-04,725.0
2008-02-05,725.0
2008-02-06,728.0
2008-02-07,720.0
2008-02-08,718.0
2008-02-11,717.0
2008-02-12,719.0
2008-02-13,720.0
2008-02-14,710.0
2008-02-15,710.0
2008-02-18,724.0
2008-02-19,716.0
2008-02-20,710.0
2008-02-21,710.0
2008-02-22,715.0
2008-02-25,705.0
2008-02-26,730.0
2008-02-27,706.0
2008-02-28,726.0
2008-02-29,710.0
2008-03-03,720.0
2008-03-04,700.0
2008-03-05,715.0
2008-03-06,720.0
2008-03-07,710.0
2008-03-10,703.0
2008-03-11,703.0
2008-03-12,702.0
2008-03-13,707.0
2008-03-14,729.0
2008-03-17,730.0
2008-03-18,730.0
2008-03-19,702.0
2008-03-24,720.0
2008-03-25,703.0
2008-03-26,705.0
2008-03-27,709.0
2008-03-28,690.0
2008-03-31,721.0
2008-04-01,700.0
2008-04-02,701.0
2008-04-03,705.0
2008-04-04,695.0
2008-04-07,718.0
2008-04-08,705.0
2008-04-09,700.0
2008-04-10,698.0
2008-04-11,710.0
2008-04-14,698.0
2008-04-15,713.0
2008-04-16,695.0
2008-04-17,710.0
2008-04-18,700.0
2008-04-21,698.0
2008-04-22,695.0
2008-04-23,686.0
2008-04-24,686.0
2008-04-25,686.0
2008-04-28,687.0
2008-04-29,686.0
2008-04-30,690.0
2008-05-02,685.0
2008-05-05,705.0
2008-05-06,702.0
2008-05-07,700.0
2008-05-08,700.0
2008-05-09,690.0
2008-05-12,681.0
2008-05-13,681.0
2008-05-14,674.0
2008-05-15,686.0
2008-05-16,674.0
2008-05-19,676.0
2008-05-20,686.0
2008-05-21,686.0
2008-05-22,680.0
2008-05-23,686.0
2008-05-26,688.0
2008-05-27,690.0
2008-05-28,708.0
2008-05-29,731.0
2008-05-30,720.0
2008-06-02,726.0
2008-06-03,719.0
