date,RDS
2014-12-17,215.0
2014-12-18,214.95
2014-12-19,212.0
2014-12-22,202.0
2014-12-23,202.0
2014-12-24,199.8
2014-12-25,197.2
2014-12-26,198.5
2014-12-29,198.5
2014-12-30,196.7
2014-12-31,197.5
2015-01-02,195.0
2015-01-06,198.0
2015-01-07,197.0
2015-01-08,193.3
2015-01-09,193.1
2015-01-12,190.0
2015-01-13,188.0
2015-01-14,183.6
2015-01-15,172.6
2015-01-16,165.2
2015-01-19,181.7
2015-01-20,191.0
2015-01-21,189.5
2015-01-22,189.8
2015-01-23,189.9
2015-01-26,184.0
2015-01-27,179.5
2015-01-28,179.85
2015-01-29,180.0
2015-01-30,180.0
2015-02-02,179.9
2015-02-03,180.0
2015-02-04,178.9
2015-02-05,175.3
2015-02-06,176.0
2015-02-09,175.0
2015-02-10,176.0
2015-02-11,170.0
2015-02-12,170.0
2015-02-13,170.0
2015-02-16,163.0
2015-02-17,164.0
2015-02-18,162.4
2015-02-19,170.0
2015-02-20,166.1
2015-02-23,170.0
2015-02-24,174.9
2015-02-25,180.0
2015-02-26,181.0
2015-02-27,182.9
2015-03-02,180.0
2015-03-03,179.9
2015-03-04,177.0
2015-03-05,177.0
2015-03-06,176.0
2015-03-09,176.0
2015-03-10,172.5
2015-03-11,179.55
2015-03-12,174.0
2015-03-13,182.0
2015-03-16,180.0
2015-03-17,175.5
2015-03-18,173.0
2015-03-19,178.45
2015-03-20,183.0
2015-03-23,174.4
2015-03-24,178.95
2015-03-25,180.0
2015-03-26,185.0
2015-03-27,183.65
2015-03-30,183.0
2015-03-31,182.2
2015-04-01,180.1
2015-04-02,178.35
2015-04-03,177.05
2015-04-06,177.0
2015-04-07,174.1
2015-04-08,178.0
2015-04-09,175.3
2015-04-10,174.0
2015-04-13,174.0
2015-04-14,174.55
2015-04-15,176.0
2015-04-16,180.0
2015-04-17,182.5
2015-04-20,180.0
2015-04-21,180.2
2015-04-22,181.5
2015-04-23,182.5
2015-04-24,182.45
2015-04-27,182.5
2015-04-28,182.5
2015-04-29,181.0
2015-04-30,181.0
2015-05-04,180.0
2015-05-05,178.95
2015-05-06,177.0
2015-05-07,176.2
2015-05-08,176.0
2015-05-11,176.0
2015-05-12,179.9
2015-05-13,183.0
2015-05-14,182.0
2015-05-15,182.9
2015-05-18,180.05
2015-05-19,182.0
2015-05-20,182.95
2015-05-21,180.1
2015-05-22,179.0
2015-05-25,177.5
2015-05-26,176.0
2015-05-27,175.75
2015-05-28,185.0
2015-05-29,188.0
2015-06-01,184.45
2015-06-02,181.0
2015-06-03,182.45
2015-06-04,181.95
2015-06-05,182.0
2015-06-08,181.5
2015-06-09,181.45
2015-06-10,180.0
2015-06-11,180.2
2015-06-12,181.9
2015-06-15,178.7
2015-06-16,180.5
2015-06-17,179.75
2015-06-18,179.9
2015-06-19,180.0
2015-06-22,180.0
2015-06-23,178.0
2015-06-24,180.0
2015-06-25,178.0
2015-06-26,180.0
2015-06-29,178.0
2015-06-30,177.0
2015-07-01,177.0
2015-07-02,176.0
2015-07-03,176.1
2015-07-06,176.1
2015-07-07,174.55
2015-07-08,170.0
2015-07-09,171.0
2015-07-10,170.05
2015-07-13,173.8
2015-07-14,171.0
2015-07-15,167.5
2015-07-16,167.25
2015-07-20,168.0
2015-07-21,170.0
2015-07-22,167.2
2015-07-23,174.0
2015-07-24,170.0
2015-07-27,168.0
2015-07-28,168.0
2015-07-29,169.5
2015-07-31,174.0
2015-08-03,170.0
2015-08-04,169.0
2015-08-05,172.0
2015-08-06,171.95
2015-08-07,171.5
2015-08-10,168.0
2015-08-11,169.0
2015-08-12,171.7
