date,RIS
2006-05-17,319.134
2006-05-19,386.078
2006-05-23,406.661
2006-05-24,399.767
2006-05-25,380.783
2006-05-26,357.952
2006-05-29,336.519
2006-05-30,344.713
2006-05-31,359.7
2006-06-01,379.683
2006-06-02,379.683
2006-06-05,378.684
2006-06-06,369.692
2006-06-07,364.696
2006-06-08,364.696
2006-06-09,353.755
2006-06-12,349.708
2006-06-13,336.719
2006-06-14,340.716
2006-06-15,343.614
2006-06-16,345.712
2006-06-19,348.709
2006-06-20,340.716
2006-06-21,344.613
2006-06-22,344.613
2006-06-23,343.214
2006-06-26,344.713
2006-06-27,344.713
2006-06-28,344.713
2006-06-29,344.713
2006-06-30,349.708
2006-07-03,354.504
2006-07-04,354.205
2006-07-05,350.708
2006-07-06,354.704
2006-07-07,349.209
2006-07-10,335.82
2006-07-11,349.209
2006-07-12,348.709
2006-07-13,343.813
2006-07-14,343.713
2006-07-17,336.719
2006-07-18,336.819
2006-07-19,337.918
2006-07-20,332.723
2006-07-21,330.724
2006-07-24,331.823
2006-07-25,331.823
2006-07-26,319.933
2006-07-27,319.733
2006-07-28,321.732
2006-07-31,328.726
2006-08-01,323.73
2006-08-02,323.73
2006-08-03,323.73
2006-08-04,323.73
2006-08-07,324.729
2006-08-08,329.769
2006-08-09,334.766
2006-08-10,331.768
2006-08-11,321.875
2006-08-15,329.769
2006-08-16,329.569
2006-08-17,328.57
2006-08-18,327.67
2006-08-22,328.57
2006-08-23,328.77
2006-08-24,337.763
2006-08-25,344.758
2006-08-28,350.654
2006-08-29,349.755
2006-08-30,356.75
2006-08-31,359.748
2006-09-01,358.749
2006-09-04,349.755
2006-09-05,349.755
2006-09-06,344.758
2006-09-07,344.758
2006-09-08,346.857
2006-09-11,366.743
2006-09-12,359.748
2006-09-13,361.747
2006-09-14,359.748
2006-09-15,354.751
2006-09-18,346.757
2006-09-19,339.762
2006-09-20,338.763
2006-09-21,346.757
2006-09-22,346.757
2006-09-25,349.755
2006-09-26,344.758
2006-09-27,341.761
2006-09-28,340.262
2006-09-29,342.76
2006-10-02,340.761
2006-10-03,338.763
2006-10-04,342.26
2006-10-05,334.766
2006-10-06,334.766
2006-10-09,339.762
2006-10-10,344.758
2006-10-11,340.761
2006-10-12,341.661
2006-10-13,343.759
2006-10-16,339.762
2006-10-17,342.66
2006-10-18,341.761
2006-10-19,354.751
2006-10-20,363.246
2006-10-23,369.741
2006-10-26,391.925
2006-10-27,401.719
2006-10-30,404.717
2006-10-31,406.715
2006-11-01,399.82
2006-11-02,400.719
2006-11-03,399.72
2006-11-07,423.703
2006-11-08,434.696
2006-11-09,408.614
2006-11-10,399.92
2006-11-13,409.713
2006-11-14,410.712
2006-11-15,424.703
2006-11-16,414.71
2006-11-17,414.71
2006-11-20,412.711
2006-11-21,424.703
2006-11-23,432.697
2006-11-27,420.0
2006-11-28,420.0
2006-11-29,426.0
2006-11-30,422.0
2006-12-01,433.0
2006-12-04,423.0
2006-12-05,429.0
2006-12-06,435.0
2006-12-07,440.05
2006-12-08,458.0
2006-12-11,450.0
2006-12-12,449.0
2006-12-13,431.0
2006-12-14,423.95
2006-12-15,411.0
2006-12-18,420.0
2006-12-19,415.0
2006-12-20,410.0
2006-12-21,414.0
2006-12-22,410.0
2006-12-26,410.0
2006-12-27,408.5
2006-12-28,424.0
2006-12-29,430.0
2007-01-02,430.0
2007-01-03,434.0
2007-01-04,438.1
2007-01-05,445.0
2007-01-08,438.5
2007-01-09,438.0
2007-01-10,428.0
2007-01-12,425.0
2007-01-15,430.0
2007-01-16,430.0
2007-01-17,430.0
2007-01-18,430.0
2007-01-19,430.0
2007-01-22,430.0
2007-01-23,430.0
2007-01-24,430.0
2007-01-25,430.0
2007-01-26,424.0
2007-01-29,415.0
2007-01-30,416.0
2007-01-31,414.0
2007-02-01,410.0
2007-02-02,413.0
2007-02-05,415.0
2007-02-06,423.0
2007-02-07,423.0
2007-02-08,420.0
2007-02-09,425.0
2007-02-12,440.0
2007-02-13,444.0
2007-02-14,445.0
2007-02-15,441.0
2007-02-16,441.1
2007-02-19,442.0
2007-02-20,434.0
2007-02-21,440.0
2007-02-22,430.0
2007-02-23,435.0
2007-02-26,425.1
2007-02-27,420.0
2007-02-28,428.0
2007-03-01,437.0
2007-03-02,435.0
2007-03-05,431.0
2007-03-06,433.5
2007-03-07,432.1
2007-03-08,434.0
2007-03-09,430.3
2007-03-12,434.0
2007-03-13,430.0
2007-03-14,425.0
2007-03-15,427.5
2007-03-19,420.5
2007-03-20,420.5
2007-03-21,420.1
2007-03-22,424.0
2007-03-23,420.0
2007-03-26,420.0
2007-03-27,415.0
2007-03-28,410.1
2007-03-29,408.0
2007-03-30,395.0
2007-04-03,407.0
2007-04-04,398.0
2007-04-05,400.0
2007-04-06,407.0
2007-04-09,407.0
2007-04-10,415.0
2007-04-11,416.5
2007-04-12,412.0
2007-04-13,412.0
2007-04-16,407.3
2007-04-17,409.1
2007-04-18,407.0
2007-04-19,406.0
2007-04-20,405.0
2007-04-23,409.0
2007-04-24,408.0
2007-04-25,409.0
2007-04-26,409.0
2007-04-27,408.0
2007-04-30,410.0
2007-05-02,409.0
2007-05-03,408.0
2007-05-04,408.9
2007-05-07,408.0
2007-05-08,407.0
2007-05-09,398.45
2007-05-10,390.0
2007-05-11,375.2
2007-05-14,367.0
2007-05-15,378.0
2007-05-16,393.0
2007-05-17,400.0
2007-05-18,391.0
2007-05-21,402.9
2007-05-22,402.9
2007-05-23,400.0
2007-05-24,388.0
2007-05-25,390.0
2007-05-28,386.0
2007-05-29,387.15
2007-05-30,410.35
2007-06-01,432.0
2007-06-04,426.0
2007-06-06,444.0
2007-06-07,425.0
2007-06-08,426.0
2007-06-11,423.0
2007-06-12,421.0
2007-06-13,416.0
2007-06-14,418.9
2007-06-15,411.0
2007-06-18,415.0
2007-06-19,417.9
2007-06-20,418.0
2007-06-21,422.0
2007-06-22,415.1
2007-06-25,422.0
2007-06-26,414.0
2007-06-27,414.0
2007-06-28,417.0
2007-06-29,418.9
2007-07-02,400.0
2007-07-03,405.0
2007-07-04,412.0
2007-07-05,405.0
2007-07-06,414.0
2007-07-09,419.9
2007-07-10,411.0
2007-07-11,411.0
2007-07-12,401.3
2007-07-13,403.0
2007-07-16,409.0
2007-07-17,402.0
2007-07-18,400.0
2007-07-19,397.0
2007-07-20,399.0
2007-07-23,400.05
2007-07-24,396.15
2007-07-25,395.0
2007-07-26,403.5
2007-07-27,408.5
2007-07-31,407.9
2007-08-01,413.0
2007-08-02,422.0
2007-08-03,423.0
2007-08-06,418.5
2007-08-07,419.0
2007-08-08,419.0
2007-08-09,420.0
2007-08-10,418.9
2007-08-13,414.0
2007-08-15,416.2
2007-08-16,407.0
2007-08-17,407.1
2007-08-22,406.0
2007-08-23,403.6
2007-08-24,408.0
2007-08-27,413.5
2007-08-28,412.0
2007-08-29,418.0
2007-08-30,414.0
2007-08-31,413.0
2007-09-03,420.0
2007-09-04,416.0
2007-09-05,430.0
2007-09-06,420.0
2007-09-07,427.0
2007-09-10,428.0
2007-09-11,420.0
2007-09-12,414.0
2007-09-13,427.0
2007-09-14,420.0
2007-09-17,419.0
2007-09-18,420.0
2007-09-19,420.0
2007-09-20,420.0
2007-09-21,420.0
2007-09-24,418.0
2007-09-25,416.0
2007-09-26,415.0
2007-09-27,415.0
2007-09-28,419.7
2007-10-01,419.7
2007-10-02,417.0
2007-10-03,417.0
2007-10-04,415.3
2007-10-05,415.1
2007-10-08,418.9
2007-10-09,414.0
2007-10-10,410.0
2007-10-11,418.0
2007-10-12,432.0
2007-10-15,430.0
2007-10-16,430.0
2007-10-17,428.0
2007-10-18,425.0
2007-10-19,425.0
2007-10-22,425.0
2007-10-23,417.5
2007-10-24,427.0
2007-10-25,418.0
2007-10-26,422.0
2007-10-29,416.0
2007-10-30,420.0
2007-10-31,419.0
2007-11-01,412.0
2007-11-02,414.0
2007-11-05,413.0
2007-11-07,411.0
2007-11-08,410.0
2007-11-09,410.0
2007-11-12,410.0
2007-11-13,408.3
2007-11-14,409.0
2007-11-15,406.0
2007-11-16,410.0
2007-11-19,405.0
2007-11-20,402.0
2007-11-21,409.0
2007-11-22,403.0
2007-11-23,409.0
2007-11-26,409.0
2007-11-27,401.5
2007-11-28,404.0
2007-11-29,402.3
2007-11-30,400.0
2007-12-03,401.0
2007-12-04,401.0
2007-12-05,400.0
2007-12-06,400.0
2007-12-07,400.0
2007-12-10,400.0
2007-12-11,400.0
2007-12-12,400.0
2007-12-13,401.0
2007-12-14,400.0
2007-12-17,400.0
2007-12-18,405.0
2007-12-19,410.0
2007-12-20,410.0
2007-12-24,407.0
2007-12-25,400.0
2007-12-26,403.0
2007-12-27,420.0
2007-12-28,426.0
2007-12-31,435.0
2008-01-02,434.0
2008-01-03,430.0
2008-01-04,431.0
2008-01-07,426.0
2008-01-08,430.0
2008-01-09,436.0
2008-01-14,420.3
2008-01-15,417.0
2008-01-16,420.0
2008-01-17,420.0
2008-01-18,413.5
2008-01-21,420.0
2008-01-22,411.05
2008-01-23,419.0
2008-01-24,420.0
2008-01-25,418.0
2008-01-28,415.0
2008-01-29,414.7
2008-01-30,423.0
2008-01-31,422.0
2008-02-01,423.0
2008-02-04,420.9
2008-02-05,419.9
2008-02-06,415.0
2008-02-07,415.0
2008-02-08,415.0
2008-02-11,412.0
2008-02-12,406.0
2008-02-13,410.0
2008-02-14,412.0
2008-02-15,415.0
2008-02-18,410.0
2008-02-19,410.0
2008-02-20,416.0
2008-02-21,420.0
2008-02-22,430.05
2008-02-25,416.0
2008-02-26,423.0
2008-02-27,420.0
2008-02-28,420.0
2008-02-29,424.0
2008-03-03,420.0
2008-03-04,410.0
2008-03-05,410.0
2008-03-06,407.1
2008-03-07,410.0
2008-03-10,411.1
2008-03-11,411.2
2008-03-12,411.4
2008-03-13,418.0
2008-03-14,403.0
2008-03-17,410.0
2008-03-18,406.0
2008-03-19,404.0
2008-03-24,405.0
2008-03-25,405.0
2008-03-26,405.0
2008-03-27,405.0
2008-03-28,409.0
2008-03-31,404.0
2008-04-01,405.0
2008-04-02,405.0
2008-04-03,403.0
2008-04-04,406.0
2008-04-07,400.0
2008-04-08,400.0
2008-04-09,399.0
2008-04-10,399.0
2008-04-11,394.0
2008-04-14,390.0
2008-04-15,387.0
2008-04-16,388.0
2008-04-17,385.0
2008-04-18,395.0
2008-04-21,395.0
2008-04-22,380.0
2008-04-23,380.0
2008-04-24,390.0
