date,S2M
2011-12-26,325.0
2011-12-27,330.0
2011-12-28,323.0
2011-12-29,307.05
2011-12-30,320.0
2012-01-02,300.0
2012-01-03,296.0
2012-01-04,300.0
2012-01-05,306.0
2012-01-06,300.2
2012-01-09,300.0
2012-01-10,300.25
2012-01-12,297.95
2012-01-13,294.0
2012-01-16,299.0
2012-01-17,300.0
2012-01-18,294.05
2012-01-19,294.1
2012-01-20,294.1
2012-01-23,294.0
2012-01-24,294.0
2012-01-25,291.1
2012-01-26,287.05
2012-01-27,287.3
2012-01-30,282.05
2012-01-31,280.0
2012-02-01,273.0
2012-02-02,284.0
2012-02-03,290.95
2012-02-07,294.0
2012-02-08,290.0
2012-02-09,291.0
2012-02-10,288.65
2012-02-13,289.1
2012-02-14,290.2
2012-02-15,285.3
2012-02-16,286.6
2012-02-17,290.0
2012-02-20,290.9
2012-02-21,297.8
2012-02-22,299.0
2012-02-23,295.0
2012-02-24,293.0
2012-02-27,291.05
2012-02-28,292.1
2012-02-29,291.1
2012-03-01,296.0
2012-03-02,291.0
2012-03-05,290.7
2012-03-06,298.8
2012-03-07,294.0
2012-03-08,299.9
2012-03-09,299.0
2012-03-12,311.0
2012-03-13,307.5
2012-03-14,313.0
2012-03-15,307.15
2012-03-16,301.0
2012-03-19,303.5
2012-03-20,265.0
2012-03-21,270.0
2012-03-22,261.05
2012-03-23,270.0
2012-03-26,266.0
2012-03-27,273.0
2012-03-28,273.0
2012-03-29,272.85
2012-03-30,258.0
2012-04-02,256.5
2012-04-03,250.0
2012-04-04,244.0
2012-04-05,240.0
2012-04-06,228.0
2012-04-09,235.0
2012-04-10,229.0
2012-04-11,231.0
2012-04-12,234.0
2012-04-13,220.0
2012-04-16,220.0
2012-04-17,224.0
2012-04-18,225.0
2012-04-19,220.0
2012-04-20,222.0
2012-04-23,222.0
2012-04-24,220.0
2012-04-25,220.0
2012-04-26,218.0
2012-04-27,215.0
2012-04-30,215.0
2012-05-02,207.25
2012-05-03,205.6
2012-05-04,210.0
2012-05-07,215.0
2012-05-08,226.4
2012-05-09,226.5
2012-05-10,223.8
2012-05-11,219.8
2012-05-14,209.0
2012-05-15,210.1
2012-05-16,207.0
2012-05-17,210.0
2012-05-18,208.05
2012-05-21,209.5
2012-05-22,209.0
2012-05-23,209.5
2012-05-24,210.0
2012-05-25,213.4
2012-05-28,218.0
2012-05-29,216.0
2012-05-30,228.0
2012-05-31,220.3
2012-06-01,226.9
2012-06-04,226.0
2012-06-05,224.0
2012-06-06,218.3
2012-06-07,218.0
2012-06-08,219.0
2012-06-11,224.0
2012-06-12,223.9
2012-06-13,220.9
2012-06-14,219.9
2012-06-15,218.6
2012-06-18,220.0
2012-06-19,220.0
2012-06-20,220.0
2012-06-21,220.0
2012-06-22,221.0
2012-06-25,226.0
2012-06-26,223.0
2012-06-27,223.0
2012-06-28,228.6
2012-06-29,229.0
2012-07-02,229.0
2012-07-03,228.5
2012-07-04,229.0
2012-07-05,230.0
2012-07-06,229.0
2012-07-09,224.0
2012-07-10,222.0
2012-07-11,220.5
2012-07-12,220.5
2012-07-13,227.0
2012-07-16,225.0
2012-07-17,223.05
2012-07-18,225.1
2012-07-19,225.25
2012-07-20,225.2
2012-07-23,225.2
2012-07-24,225.0
2012-07-25,225.0
2012-07-26,223.0
2012-07-27,225.0
2012-07-31,223.05
2012-08-01,223.0
2012-08-02,220.0
2012-08-03,222.0
2012-08-06,223.0
2012-08-07,229.85
2012-08-08,225.0
2012-08-09,225.0
2012-08-10,225.0
2012-08-13,225.0
2012-08-15,223.0
2012-08-16,221.0
2012-08-17,222.0
2012-08-22,220.05
2012-08-23,223.5
2012-08-24,220.05
2012-08-27,221.0
2012-08-28,221.0
2012-08-29,221.0
2012-08-30,220.15
2012-08-31,219.55
2012-09-03,219.5
2012-09-04,219.5
2012-09-05,219.0
2012-09-06,218.0
2012-09-07,216.0
2012-09-10,218.0
2012-09-11,231.0
2012-09-12,220.0
2012-09-13,231.95
2012-09-14,220.35
2012-09-17,220.05
2012-09-18,208.0
2012-09-19,208.0
2012-09-20,209.95
2012-09-21,198.1
2012-09-24,204.5
2012-09-25,198.0
2012-09-26,196.95
2012-09-27,195.0
2012-09-28,194.0
2012-10-01,203.9
2012-10-02,194.0
2012-10-03,189.0
2012-10-04,184.0
2012-10-05,182.0
2012-10-08,191.0
2012-10-09,179.55
2012-10-10,180.0
2012-10-11,174.2
2012-10-12,174.45
2012-10-15,179.0
2012-10-16,177.0
2012-10-17,176.0
2012-10-18,174.0
2012-10-19,167.0
2012-10-22,165.1
2012-10-23,170.0
2012-10-24,165.0
2012-10-25,166.1
2012-10-29,166.0
2012-10-30,167.0
2012-10-31,172.0
2012-11-01,174.95
2012-11-02,174.0
2012-11-05,176.2
2012-11-07,176.2
2012-11-08,177.0
2012-11-09,177.0
2012-11-12,176.0
2012-11-13,178.0
2012-11-14,176.0
2012-11-15,177.0
2012-11-19,175.1
2012-11-20,176.0
2012-11-21,175.9
2012-11-22,178.0
2012-11-23,177.0
2012-11-26,180.0
2012-11-27,180.0
2012-11-28,178.0
2012-11-29,181.5
2012-11-30,180.0
2012-12-03,180.0
2012-12-04,178.0
2012-12-05,180.0
2012-12-06,182.0
2012-12-07,185.0
2012-12-10,189.0
2012-12-11,192.0
2012-12-12,190.0
2012-12-13,190.0
2012-12-14,188.0
2012-12-17,190.0
2012-12-18,180.1
2012-12-19,181.95
2012-12-20,179.0
2012-12-21,172.65
2012-12-24,178.0
2012-12-25,170.0
2012-12-26,170.0
2012-12-27,170.0
2012-12-28,168.05
2012-12-31,168.05
2013-01-02,178.1
2013-01-03,188.0
2013-01-04,180.0
2013-01-07,185.9
2013-01-08,180.0
2013-01-09,169.2
2013-01-10,168.0
2013-01-14,168.0
2013-01-15,168.0
2013-01-16,168.0
2013-01-17,165.05
2013-01-18,165.05
2013-01-21,165.05
2013-01-22,165.5
2013-01-23,165.5
2013-01-28,165.0
2013-01-29,166.0
2013-01-30,166.0
2013-01-31,165.1
2013-02-01,165.5
2013-02-04,170.0
2013-02-05,169.0
2013-02-06,169.0
2013-02-07,166.5
2013-02-08,165.1
2013-02-11,165.15
2013-02-12,165.0
2013-02-13,165.0
2013-02-14,172.0
2013-02-15,165.0
2013-02-18,165.0
2013-02-19,170.9
2013-02-20,165.05
2013-02-21,174.95
2013-02-22,165.05
2013-02-25,170.0
2013-02-26,169.75
2013-02-27,169.75
2013-02-28,169.25
2013-03-01,159.1
2013-03-04,167.5
2013-03-05,167.0
2013-03-06,167.0
2013-03-07,167.0
2013-03-08,166.0
2013-03-11,166.95
2013-03-12,167.0
2013-03-13,167.0
2013-03-14,168.5
2013-03-15,160.0
2013-03-18,168.75
2013-03-19,168.0
2013-03-20,170.0
2013-03-21,169.95
2013-03-22,169.0
2013-03-25,170.0
2013-03-26,162.8
2013-03-27,162.8
2013-03-28,160.0
2013-03-29,150.4
2013-04-01,159.4
2013-04-02,166.95
2013-04-03,176.95
2013-04-04,180.5
2013-04-05,180.0
2013-04-08,185.0
2013-04-09,190.0
2013-04-10,197.7
2013-04-11,192.0
2013-04-12,190.5
2013-04-15,188.2
2013-04-16,190.1
2013-04-17,189.1
2013-04-18,189.0
2013-04-19,188.2
2013-04-22,187.5
2013-04-23,187.5
2013-04-24,187.5
2013-04-25,187.6
2013-04-26,187.5
2013-04-29,187.2
2013-04-30,189.0
2013-05-02,187.5
2013-05-03,193.0
2013-05-06,193.0
2013-05-07,187.5
2013-05-08,187.5
2013-05-09,188.1
2013-05-10,193.0
2013-05-13,194.0
2013-05-14,194.0
2013-05-15,194.0
2013-05-16,187.55
2013-05-17,188.05
2013-05-20,188.15
2013-05-21,189.0
2013-05-22,189.0
2013-05-23,189.25
2013-05-24,189.25
2013-05-27,189.25
2013-05-28,189.5
2013-05-29,192.45
2013-05-30,192.75
2013-05-31,192.0
2013-06-03,192.5
2013-06-04,190.0
2013-06-05,194.0
2013-06-06,195.0
2013-06-07,190.05
2013-06-10,195.0
2013-06-11,194.0
2013-06-12,194.0
2013-06-13,194.0
2013-06-14,190.1
2013-06-17,190.1
2013-06-18,190.0
2013-06-19,188.0
2013-06-20,190.0
2013-06-21,190.0
2013-06-24,190.0
2013-06-25,190.0
2013-06-26,190.0
2013-06-27,190.0
2013-06-28,191.0
2013-07-01,191.15
2013-07-02,200.0
2013-07-03,200.1
2013-07-04,210.0
2013-07-05,205.0
2013-07-08,205.0
2013-07-09,192.8
2013-07-10,203.5
2013-07-11,196.0
2013-07-12,195.0
2013-07-15,195.0
2013-07-16,195.0
2013-07-17,195.2
2013-07-18,196.0
2013-07-19,196.0
2013-07-22,197.0
2013-07-23,203.5
2013-07-24,203.5
2013-07-25,203.0
2013-07-26,203.0
2013-07-29,196.55
2013-07-31,197.0
2013-08-01,197.0
2013-08-02,197.0
2013-08-05,197.0
2013-08-06,197.0
2013-08-08,197.0
2013-08-12,197.0
2013-08-13,206.0
2013-08-15,206.0
2013-08-16,207.0
2013-08-19,204.0
2013-08-22,207.0
2013-08-23,218.0
2013-08-26,212.0
2013-08-27,211.9
2013-08-28,211.8
2013-08-29,211.8
2013-08-30,211.45
2013-09-02,207.5
2013-09-03,203.0
2013-09-04,203.0
2013-09-05,209.8
2013-09-06,208.0
2013-09-09,207.0
2013-09-10,206.5
2013-09-11,205.05
2013-09-12,203.1
2013-09-13,203.05
2013-09-16,175.5
2013-09-17,186.0
2013-09-18,186.0
2013-09-19,186.0
2013-09-20,193.85
2013-09-23,183.0
2013-09-24,183.0
