date,SAH
2010-11-19,1044.0
2010-11-22,1148.0
2010-11-23,1262.0
2010-11-24,1388.0
2010-11-25,1330.0
2010-11-26,1230.0
2010-11-29,1270.0
2010-11-30,1290.0
2010-12-01,1310.0
2010-12-02,1300.0
2010-12-03,1270.0
2010-12-06,1240.0
2010-12-08,1235.0
2010-12-09,1215.0
2010-12-10,1200.0
2010-12-13,1205.0
2010-12-14,1135.0
2010-12-15,1150.0
2010-12-16,1148.0
2010-12-17,1160.0
2010-12-20,1200.0
2010-12-21,1225.0
2010-12-22,1265.0
2010-12-23,1260.0
2010-12-24,1264.0
2010-12-27,1260.0
2010-12-28,1281.0
2010-12-29,1295.0
2010-12-30,1290.0
2010-12-31,1284.0
2011-01-03,1250.0
2011-01-04,1251.0
2011-01-05,1280.0
2011-01-06,1269.0
2011-01-07,1275.0
2011-01-10,1260.0
2011-01-12,1275.0
2011-01-13,1275.0
2011-01-14,1275.0
2011-01-17,1250.0
2011-01-18,1235.0
2011-01-19,1250.0
2011-01-20,1236.0
2011-01-21,1270.0
2011-01-24,1236.0
2011-01-25,1263.0
2011-01-26,1246.0
2011-01-27,1275.0
2011-01-28,1275.0
2011-01-31,1240.0
2011-02-01,1250.0
2011-02-02,1245.0
2011-02-03,1232.0
2011-02-04,1250.0
2011-02-07,1240.0
2011-02-08,1241.0
2011-02-09,1241.0
2011-02-10,1240.0
2011-02-11,1249.0
2011-02-14,1240.0
2011-02-15,1240.0
2011-02-18,1241.0
2011-02-21,1231.0
2011-02-22,1240.0
2011-02-23,1231.0
2011-02-24,1242.0
2011-02-25,1245.0
2011-02-28,1240.0
2011-03-01,1250.0
2011-03-02,1236.0
2011-03-03,1237.0
2011-03-04,1250.0
2011-03-07,1250.0
2011-03-08,1231.0
2011-03-09,1231.0
2011-03-10,1250.0
2011-03-11,1250.0
2011-03-14,1250.0
2011-03-15,1263.0
2011-03-16,1240.0
2011-03-17,1232.0
2011-03-18,1250.0
2011-03-21,1250.0
2011-03-22,1248.0
2011-03-23,1230.0
2011-03-24,1230.0
2011-03-25,1210.0
2011-03-28,1210.0
2011-03-29,1225.0
2011-03-30,1230.0
2011-03-31,1220.0
2011-04-01,1200.0
2011-04-04,1165.0
2011-04-05,1160.0
2011-04-06,1188.0
2011-04-07,1199.0
2011-04-08,1165.0
2011-04-11,1165.0
2011-04-12,1170.0
2011-04-13,1160.0
2011-04-14,1160.0
2011-04-15,1169.0
2011-04-18,1169.0
2011-04-19,1166.0
2011-04-20,1147.0
2011-04-21,1145.0
2011-04-22,1145.0
2011-04-25,1130.0
2011-04-26,1130.0
2011-04-27,1140.0
2011-04-28,1127.0
2011-04-29,1121.0
2011-05-02,1120.0
2011-05-03,1112.0
2011-05-04,1118.0
2011-05-05,1120.0
2011-05-06,1125.0
2011-05-09,1125.0
2011-05-10,1100.0
2011-05-11,1110.0
2011-05-12,1110.0
2011-05-13,1110.0
2011-05-16,1110.0
2011-05-17,1110.0
2011-05-18,1115.0
2011-05-19,1120.0
2011-05-20,1140.0
2011-05-23,1140.0
2011-05-24,1180.0
2011-05-25,1199.0
2011-05-26,1190.0
2011-05-27,1199.0
2011-05-30,1189.0
2011-05-31,1189.0
2011-06-01,1180.0
2011-06-02,1188.0
2011-06-03,1180.0
2011-06-06,1175.0
2011-06-07,1176.0
2011-06-08,1170.0
2011-06-09,1165.0
2011-06-10,1170.0
2011-06-13,1160.0
2011-06-14,1160.0
2011-06-15,1160.0
2011-06-16,1160.0
2011-06-17,1176.0
2011-06-20,1120.0
2011-06-21,1160.0
2011-06-22,1160.0
2011-06-23,1150.0
2011-06-24,1190.0
2011-06-27,1190.0
2011-06-28,1161.0
2011-06-29,1188.0
2011-06-30,1180.0
2011-07-01,1179.0
2011-07-04,1141.0
2011-07-05,1140.0
2011-07-06,1140.0
2011-07-07,1140.0
2011-07-08,1140.0
2011-07-11,1135.0
2011-07-12,1130.0
2011-07-13,1131.0
2011-07-14,1130.0
2011-07-15,1150.0
2011-07-18,1131.0
2011-07-19,1109.0
2011-07-20,1110.0
2011-07-21,1109.0
2011-07-22,1109.0
2011-07-25,1106.0
2011-07-26,1105.0
2011-07-27,1100.0
2011-07-28,1100.0
2011-07-29,1100.0
2011-08-01,1100.0
2011-08-02,1091.0
2011-08-03,1120.0
2011-08-04,1082.0
2011-08-05,1082.0
2011-08-08,1080.0
2011-08-09,1070.0
2011-08-10,1090.0
2011-08-11,1056.0
2011-08-12,1060.0
2011-08-15,1062.0
2011-08-16,1085.0
2011-08-17,1085.0
2011-08-18,1084.0
2011-08-19,1084.0
2011-08-22,1064.0
2011-08-23,1061.0
2011-08-24,1060.0
2011-08-25,1060.0
2011-08-26,1070.0
2011-08-29,1050.0
2011-08-30,1060.0
2011-09-02,1080.0
2011-09-05,1070.0
2011-09-06,1071.0
2011-09-07,1070.0
2011-09-08,1070.0
2011-09-09,1070.0
2011-09-12,1070.0
2011-09-13,1070.0
2011-09-14,1070.0
2011-09-15,1070.0
2011-09-16,1120.0
2011-09-19,1148.0
2011-09-20,1111.0
2011-09-21,1110.0
2011-09-22,1120.0
2011-09-23,1120.0
2011-09-26,1130.0
2011-09-27,1110.0
2011-09-28,1142.0
2011-09-29,1134.0
2011-09-30,1139.0
2011-10-03,1098.0
2011-10-04,1124.0
2011-10-05,1114.0
2011-10-06,1081.0
2011-10-07,1125.0
2011-10-10,1120.0
2011-10-11,1086.0
2011-10-12,1149.0
2011-10-13,1150.0
2011-10-14,1149.0
2011-10-17,1138.0
2011-10-18,1135.0
2011-10-19,1133.0
2011-10-20,1111.0
2011-10-21,1144.0
2011-10-24,1121.0
2011-10-25,1110.0
2011-10-26,1150.0
2011-10-27,1120.0
2011-10-28,1145.0
2011-10-31,1121.0
2011-11-01,1122.0
2011-11-02,1130.0
2011-11-03,1149.0
2011-11-04,1141.0
2011-11-09,1141.0
2011-11-10,1120.0
2011-11-11,1160.0
2011-11-14,1130.0
2011-11-15,1130.0
2011-11-16,1126.0
2011-11-17,1140.0
2011-11-21,1130.0
2011-11-22,1119.0
2011-11-23,1135.0
2011-11-24,1130.0
2011-11-25,1130.0
2011-11-28,1092.0
2011-11-29,1083.0
2011-11-30,1078.0
