date,SAM
2000-07-24,660.0
2000-07-25,660.0
2000-07-26,664.0
2000-07-27,679.0
2000-07-28,675.0
2000-07-31,667.0
2000-08-01,670.0
2000-08-02,675.0
2000-08-03,670.0
2000-08-04,670.0
2000-08-07,670.0
2000-08-08,669.0
2000-08-09,669.0
2000-08-10,667.0
2000-08-11,661.0
2000-08-15,665.0
2000-08-16,669.0
2000-08-17,666.0
2000-08-18,666.0
2000-08-24,735.0
2000-08-25,736.0
2000-08-28,720.0
2000-08-29,716.0
2000-08-30,716.0
2000-08-31,722.0
2000-09-01,717.0
2000-09-04,719.0
2000-09-05,717.0
2000-09-06,715.0
2000-09-07,710.0
2000-09-08,710.0
2000-09-11,706.0
2000-09-12,714.0
2000-09-13,709.0
2000-09-14,714.0
2000-09-15,706.0
2000-09-18,706.0
2000-09-19,707.0
2000-09-20,704.0
2000-09-21,707.0
2000-09-22,701.0
2000-09-25,702.0
2000-09-26,703.0
2000-09-27,707.0
2000-09-28,710.0
2000-09-29,710.0
2000-10-02,711.0
2000-10-03,717.0
2000-10-04,715.0
2000-10-05,716.0
2000-10-06,715.0
2000-10-09,715.0
2000-10-10,713.0
2000-10-11,705.0
2000-10-12,703.0
2000-10-13,696.0
2000-10-16,696.0
2000-10-17,686.0
2000-10-18,679.0
2000-10-19,682.0
2000-10-20,687.0
2000-10-23,690.0
2000-10-24,687.0
2000-10-25,691.0
2000-10-26,691.0
2000-10-30,689.0
2000-10-31,690.0
2000-11-01,690.0
2000-11-02,688.0
2000-11-03,686.0
2000-11-07,682.0
2000-11-08,681.0
2000-11-09,678.0
2000-11-10,677.0
2000-11-13,669.0
2000-11-14,669.0
2000-11-15,666.0
2000-11-16,666.0
2000-11-17,655.0
2000-11-20,655.0
2000-11-21,656.0
2000-11-22,668.0
2000-11-23,669.0
2000-11-24,663.0
2000-11-27,661.0
2000-11-28,663.0
2000-11-29,659.0
2000-11-30,655.0
2000-12-01,653.0
2000-12-04,647.0
2000-12-05,634.0
2000-12-06,625.0
2000-12-07,641.0
2000-12-08,634.0
2000-12-11,643.0
2000-12-12,649.0
2000-12-13,650.0
2000-12-14,656.0
2000-12-15,652.0
2000-12-18,660.0
2000-12-19,665.0
2000-12-20,655.0
2000-12-21,652.0
2000-12-22,649.0
2000-12-25,645.0
2000-12-26,640.0
2000-12-29,632.0
2001-01-02,630.0
2001-01-03,630.0
2001-01-04,630.0
2001-01-05,620.0
2001-01-08,620.0
2001-01-09,615.0
2001-01-10,610.0
2001-01-12,603.0
2001-01-15,610.0
2001-01-16,604.0
2001-01-17,601.0
2001-01-18,600.0
2001-01-19,580.0
2001-01-22,556.0
2001-01-23,569.0
2001-01-24,599.0
2001-01-25,600.0
2001-01-26,619.0
2001-01-29,653.0
2001-01-30,654.0
2001-01-31,655.0
2001-02-01,647.0
2001-02-02,640.0
2001-02-05,675.0
2001-02-06,652.0
2001-02-07,674.0
2001-02-08,662.0
2001-02-09,668.0
2001-02-12,670.0
2001-02-13,682.0
2001-02-14,702.0
2001-02-15,700.0
2001-02-16,710.0
2001-02-19,710.0
2001-02-20,701.0
2001-02-21,693.0
2001-02-22,710.0
2001-02-23,718.0
2001-02-26,740.0
2001-02-27,735.0
2001-02-28,729.0
2001-03-01,727.0
2001-03-02,722.0
2001-03-05,730.0
2001-03-08,725.0
2001-03-09,735.0
2001-03-12,730.0
2001-03-13,739.0
2001-03-14,733.0
2001-03-15,736.0
2001-03-16,734.0
2001-03-19,739.0
2001-03-20,736.0
2001-03-21,741.0
2001-03-22,739.0
2001-03-23,732.0
2001-03-26,732.0
2001-03-28,734.0
2001-03-29,735.0
2001-03-30,727.0
2001-04-02,715.0
2001-04-03,725.0
2001-04-04,726.0
2001-04-05,725.0
2001-04-06,730.0
2001-04-09,730.0
2001-04-10,738.0
2001-04-11,737.0
2001-04-12,730.0
2001-04-13,725.0
2001-04-16,723.0
2001-04-17,717.0
2001-04-18,724.0
2001-04-19,725.0
2001-04-20,720.0
2001-04-23,725.0
2001-04-24,719.0
2001-04-25,717.0
2001-04-26,710.0
2001-04-27,716.0
2001-04-30,715.0
2001-05-02,710.0
2001-05-03,710.0
2001-05-04,710.0
2001-05-07,710.0
2001-05-08,715.0
2001-05-09,710.0
2001-05-10,714.0
2001-05-11,710.0
2001-05-14,711.0
2001-05-15,710.0
2001-05-16,710.0
2001-05-17,712.0
2001-05-18,714.0
2001-05-21,714.0
2001-05-22,714.0
2001-05-23,723.0
2001-05-24,722.0
2001-05-25,720.0
2001-05-28,719.0
2001-05-29,715.0
2001-05-30,722.0
2001-05-31,723.0
2001-06-01,723.0
2001-06-04,725.0
2001-06-07,720.0
2001-06-08,718.0
2001-06-11,715.0
2001-06-12,709.0
2001-06-13,708.0
2001-06-14,704.0
2001-06-15,661.0
2001-06-18,647.0
2001-06-19,632.0
2001-06-20,631.0
2001-06-21,656.0
2001-06-22,646.0
2001-06-25,628.0
2001-06-26,640.0
2001-06-27,640.0
2001-06-28,630.0
2001-06-29,644.0
2001-07-02,635.0
2001-07-03,634.0
2001-07-04,629.0
2001-07-05,624.0
2001-07-06,630.0
2001-07-09,623.0
2001-07-10,631.0
2001-07-11,625.0
2001-07-12,622.0
2001-07-13,616.0
2001-07-16,610.0
2001-07-17,600.0
2001-07-18,600.0
2001-07-19,603.0
2001-07-20,609.0
2001-07-23,610.0
2001-07-24,616.0
2001-07-25,620.0
2001-07-26,625.0
2001-07-27,625.0
2001-07-31,618.0
2001-08-01,616.0
2001-08-02,612.0
2001-08-03,618.0
2001-08-06,655.0
2001-08-07,652.0
2001-08-08,646.0
2001-08-09,637.0
2001-08-10,632.0
2001-08-13,634.0
2001-08-15,634.0
2001-08-16,648.0
2001-08-17,644.0
2001-08-22,640.0
2001-08-23,637.0
2001-08-24,637.0
2001-08-27,644.0
2001-08-28,655.0
2001-08-29,646.0
2001-08-30,658.0
2001-08-31,663.0
2001-09-03,656.0
2001-09-04,665.0
2001-09-05,673.0
2001-09-06,672.0
2001-09-07,671.0
2001-09-10,666.0
2001-09-11,670.0
2001-09-12,656.0
2001-09-13,640.0
2001-09-14,640.0
2001-09-17,626.0
2001-09-18,624.0
2001-09-19,630.0
2001-09-20,628.0
2001-09-21,635.0
2001-09-24,636.0
2001-09-25,632.0
2001-09-26,634.0
2001-09-27,632.0
2001-09-28,627.0
2001-10-01,620.0
2001-10-02,624.0
2001-10-03,620.0
2001-10-04,618.0
2001-10-05,620.0
2001-10-08,620.0
2001-10-09,618.0
2001-10-10,612.0
2001-10-11,615.0
2001-10-12,616.0
2001-10-15,608.0
2001-10-16,606.0
2001-10-17,600.0
2001-10-18,604.0
2001-10-19,587.0
2001-10-22,580.0
2001-10-23,577.0
2001-10-24,553.0
2001-10-25,556.0
2001-10-26,555.0
2001-10-29,557.0
2001-10-30,558.0
2001-10-31,557.0
2001-11-01,550.0
2001-11-02,533.0
2001-11-05,545.0
2001-11-07,533.0
2001-11-08,521.0
2001-11-09,521.0
2001-11-12,521.0
2001-11-13,527.0
2001-11-14,550.0
2001-11-15,545.0
2001-11-16,541.0
2001-11-19,533.0
2001-11-20,541.0
2001-11-21,560.0
2001-11-22,569.0
2001-11-23,552.0
2001-11-26,559.0
2001-11-27,565.0
2001-11-28,565.0
2001-11-29,570.0
2001-11-30,580.0
2001-12-03,580.0
2001-12-04,580.0
2001-12-05,580.0
2001-12-06,570.0
2001-12-07,570.0
2001-12-10,570.0
2001-12-11,565.0
2001-12-12,560.0
2001-12-13,558.0
2001-12-14,565.0
2001-12-19,546.0
2001-12-20,548.0
2001-12-21,546.0
2001-12-24,564.0
2001-12-25,551.0
2001-12-26,550.0
2001-12-27,545.0
2001-12-28,534.0
2001-12-31,533.0
2002-01-04,528.0
2002-01-07,528.0
2002-01-09,516.0
2002-01-10,520.0
2002-01-14,520.0
2002-01-15,519.0
2002-01-16,528.0
2002-01-17,520.0
2002-01-18,527.0
2002-01-21,527.0
2002-01-22,520.0
2002-01-23,510.0
2002-01-24,496.05
2002-01-25,500.0
2002-01-28,498.0
2002-01-29,500.0
2002-01-30,500.0
2002-01-31,500.0
2002-02-01,490.0
2002-02-04,487.0
2002-02-05,487.0
2002-02-06,485.0
2002-02-07,484.0
2002-02-08,481.0
2002-02-11,466.0
2002-02-12,466.1
2002-02-13,466.5
2002-02-14,468.0
2002-02-15,468.0
2002-02-18,465.0
2002-02-19,462.0
2002-02-20,462.0
2002-02-21,463.1
2002-02-22,465.0
2002-02-26,465.0
2002-02-27,465.0
2002-02-28,466.2
2002-03-01,477.0
2002-03-04,478.0
2002-03-05,474.0
2002-03-06,479.0
2002-03-07,484.0
2002-03-08,480.0
2002-03-11,478.0
2002-03-12,478.0
2002-03-13,478.0
2002-03-14,478.0
2002-03-18,480.0
2002-03-19,475.0
2002-03-20,480.0
2002-03-21,475.0
2002-03-22,475.0
2002-03-25,470.0
2002-03-26,465.0
2002-03-27,459.0
2002-03-28,461.5
2002-03-29,463.0
2002-04-01,463.0
2002-04-02,465.0
2002-04-03,468.0
2002-04-05,465.0
2002-04-08,465.0
2002-04-09,461.0
2002-04-10,461.05
2002-04-11,462.0
2002-04-12,464.0
2002-04-15,468.0
2002-04-16,468.0
2002-04-17,470.0
2002-04-18,463.0
2002-04-19,464.1
2002-04-22,464.1
2002-04-23,464.0
2002-04-24,463.0
2002-04-25,465.0
2002-04-26,463.1
2002-04-29,462.1
2002-04-30,460.0
2002-05-02,463.0
2002-05-03,460.0
2002-05-06,460.0
2002-05-07,459.0
2002-05-08,442.0
2002-05-09,440.0
2002-05-10,436.0
2002-05-13,424.0
2002-05-14,421.5
2002-05-15,421.0
2002-05-16,425.0
2002-05-17,425.5
2002-05-20,426.0
2002-05-21,425.0
2002-05-22,425.5
2002-05-23,425.0
2002-05-24,425.0
2002-05-27,426.0
2002-05-28,426.0
2002-05-29,436.0
2002-05-30,440.0
2002-05-31,445.0
2002-06-03,445.0
2002-06-04,448.0
2002-06-05,438.0
2002-06-06,448.0
2002-06-07,450.0
2002-06-10,455.0
2002-06-11,452.0
2002-06-12,459.5
2002-06-13,455.1
2002-06-14,447.5
2002-06-17,436.0
2002-06-18,435.0
2002-06-19,440.0
2002-06-20,440.0
2002-06-21,400.0
2002-06-24,391.1
2002-06-25,395.0
2002-06-26,397.0
2002-06-27,393.0
2002-06-28,390.0
2002-07-01,376.0
2002-07-02,353.5
2002-07-05,293.7
2002-07-09,280.0
2002-07-10,279.1
2002-07-11,280.0
2002-07-12,275.1
2002-07-15,280.0
2002-07-16,263.2
2002-07-17,250.0
2002-07-18,235.0
2002-07-19,220.9
2002-07-22,234.0
2002-07-23,248.0
2002-07-24,262.85
2002-07-26,285.1
2002-07-29,289.9
2002-07-31,307.0
2002-08-01,325.4
2002-08-02,330.0
2002-08-05,315.0
2002-08-06,307.0
2002-08-07,294.0
2002-08-08,311.0
2002-08-09,315.5
2002-08-12,305.0
2002-08-13,306.0
2002-08-15,314.0
2002-08-16,315.0
2002-08-19,310.0
2002-08-22,312.0
2002-08-23,310.0
2002-08-26,313.7
2002-08-27,313.0
2002-08-28,311.0
2002-08-29,309.5
2002-08-30,310.1
2002-09-02,308.5
2002-09-03,310.0
2002-09-04,308.4
2002-09-05,308.0
2002-09-06,305.0
2002-09-09,300.0
2002-09-10,295.0
2002-09-11,294.0
2002-09-12,298.0
2002-09-13,298.0
2002-09-16,295.0
2002-09-17,294.0
2002-09-18,298.0
2002-09-19,300.0
2002-09-20,304.0
2002-09-23,305.0
2002-09-24,300.0
2002-09-25,300.0
2002-09-26,298.0
2002-09-27,291.0
2002-09-30,281.0
2002-10-01,275.0
2002-10-02,276.0
2002-10-03,280.0
2002-10-04,284.0
2002-10-07,284.0
2002-10-08,280.0
2002-10-09,273.0
2002-10-10,274.0
2002-10-11,275.0
2002-10-14,275.0
2002-10-15,280.0
2002-10-16,275.0
2002-10-17,269.0
2002-10-18,269.0
2002-10-21,270.0
2002-10-22,270.5
2002-10-23,270.0
2002-10-24,270.0
2002-10-25,270.0
2002-10-28,270.0
2002-10-29,269.4
2002-10-30,267.1
2002-10-31,268.0
2002-11-01,274.0
2002-11-04,283.0
2002-11-05,293.0
2002-11-07,296.0
2002-11-08,295.0
2002-11-11,294.0
2002-11-12,295.9
2002-11-13,295.0
2002-11-14,294.0
2002-11-15,287.0
2002-11-19,289.0
2002-11-20,289.0
2002-11-21,285.0
2002-11-22,286.0
2002-11-25,286.0
2002-11-26,268.85
2002-12-17,250.0
2002-12-18,246.0
2002-12-19,250.1
2002-12-20,251.1
2002-12-24,240.5
2002-12-25,226.1
2002-12-26,216.0
2002-12-27,223.0
2002-12-30,225.0
2002-12-31,218.5
2003-01-02,221.0
2003-01-06,234.25
2003-01-08,261.0
2003-01-09,270.0
2003-01-10,278.0
2003-01-13,270.0
2003-01-14,283.3
2003-01-15,274.0
2003-01-16,275.0
2003-01-17,265.2
2003-01-20,260.2
2003-01-21,265.0
2003-01-22,264.0
2003-01-23,272.8
2003-01-24,271.0
2003-01-27,268.0
2003-01-28,267.0
2003-01-29,267.45
2003-01-30,268.9
2003-01-31,267.5
2003-02-03,271.0
2003-02-04,268.0
2003-02-05,269.25
2003-02-06,274.0
2003-02-07,280.0
2003-02-10,279.0
2003-02-11,283.0
2003-02-14,286.0
2003-02-18,287.0
2003-02-19,304.2
2003-02-20,304.0
2003-02-21,300.0
2003-02-24,300.0
2003-02-25,300.0
2003-02-26,300.1
2003-02-27,306.0
2003-02-28,310.0
2003-03-03,309.0
2003-03-04,307.0
2003-03-06,302.0
2003-03-07,302.1
2003-03-10,296.1
2003-03-11,290.0
2003-03-12,283.0
2003-03-13,280.5
2003-03-14,290.05
2003-03-17,295.0
2003-03-18,303.0
2003-03-19,309.0
2003-03-20,297.0
