date,SBM
2000-01-07,2100.0
2000-01-13,2100.0
2000-01-14,2155.0
2000-01-17,2140.0
2000-01-18,2140.0
2000-01-19,2109.0
2000-01-20,2100.0
2000-01-25,2101.0
2000-01-26,2100.0
2000-01-27,2050.0
2000-02-01,2095.0
2000-02-04,2059.0
2000-02-07,2053.0
2000-02-23,1800.0
2000-02-28,1780.0
2000-03-02,1886.0
2000-03-03,1810.0
2000-03-06,1820.0
2000-03-10,1830.0
2000-03-13,1830.0
2000-03-14,1835.0
2000-03-15,1860.0
2000-03-16,1866.0
2000-03-20,1871.0
2000-03-21,1860.0
2000-03-22,1861.0
2000-03-23,1865.0
2000-03-27,1870.0
2000-03-28,1871.0
2000-03-29,1871.0
2000-03-30,1872.0
2000-03-31,1872.0
2000-04-04,1869.0
2000-04-07,1875.0
2000-04-11,1869.0
2000-04-12,1850.0
2000-04-14,1840.0
2000-04-20,1785.0
2000-04-21,1730.0
2000-04-24,1700.0
2000-04-25,1700.0
2000-04-26,1690.0
2000-04-27,1670.0
2000-04-28,1635.0
2000-05-02,1537.0
2000-05-03,1550.0
2000-05-04,1575.0
2000-05-08,1667.0
2000-05-11,1750.0
2000-05-12,1785.0
2000-05-15,1801.0
2000-05-16,1820.0
2000-05-17,1837.0
2000-05-19,1830.0
2000-05-23,1800.0
2000-05-24,1815.0
2000-05-25,1820.0
2000-05-26,1820.0
2000-05-29,1820.0
2000-05-31,1819.0
2000-06-01,1791.0
2000-06-05,1819.0
2000-06-06,1820.0
2000-06-13,1810.0
2000-06-14,1810.0
2000-06-19,1804.0
2000-06-21,1800.0
2000-06-23,1798.0
2000-06-26,1786.0
2000-06-27,1770.0
2000-06-28,1749.0
2000-06-29,1702.0
2000-07-04,1649.0
2000-07-05,1649.0
2000-07-10,1649.0
2000-07-11,1650.0
2000-07-13,1649.0
2000-07-17,1611.0
2000-07-18,1600.0
2000-07-19,1590.0
2000-07-20,1590.0
2000-07-21,1595.0
2000-07-24,1589.0
2000-07-25,1592.0
2000-07-27,1497.0
2000-07-28,1497.0
2000-07-31,1499.0
2000-08-01,1482.0
2000-08-02,1490.0
2000-08-03,1500.0
2000-08-04,1500.0
2000-08-07,1483.0
2000-08-08,1499.0
2000-08-09,1500.0
2000-08-10,1500.0
2000-08-11,1483.0
2000-08-15,1484.0
2000-08-18,1485.0
2000-08-23,1600.0
2000-08-24,1650.0
2000-08-28,1600.0
2000-08-29,1599.0
2000-08-30,1600.0
2000-08-31,1600.0
2000-09-01,1693.0
2000-09-06,1692.0
2000-09-07,1649.0
2000-09-08,1692.0
2000-09-11,1693.0
2000-09-14,1693.0
2000-09-15,1745.0
2000-09-19,1700.0
2000-09-20,1721.0
2000-09-21,1721.0
2000-09-22,1715.0
2000-09-25,1715.0
2000-09-26,1715.0
2000-09-27,1699.0
2000-10-03,1699.0
2000-10-04,1699.0
2000-10-05,1699.0
2000-10-06,1699.0
2000-10-09,1699.0
2000-10-12,1652.0
2000-10-13,1695.0
2000-10-17,1660.0
2000-10-18,1690.0
2000-10-25,1650.0
2000-10-26,1626.0
2000-10-31,1625.0
2000-11-01,1625.0
2000-11-02,1625.0
2000-11-03,1626.0
2000-11-07,1626.0
2000-11-08,1626.0
2000-11-09,1626.0
2000-11-10,1626.0
2000-11-14,1625.0
2000-11-15,1625.0
2000-11-17,1620.0
2000-11-20,1530.0
2000-11-21,1525.0
2000-11-22,1525.0
2000-11-23,1525.0
2000-11-30,1500.0
2000-12-01,1500.0
2000-12-05,1415.0
2000-12-06,1415.0
2000-12-08,1400.0
2000-12-11,1400.0
2000-12-14,1470.0
2000-12-18,1495.0
2000-12-19,1500.0
2000-12-20,1500.0
2000-12-21,1490.0
2000-12-22,1420.0
2000-12-25,1492.0
2000-12-26,1490.0
2000-12-29,1488.0
2001-01-02,1479.0
2001-01-03,1400.0
2001-01-05,1400.0
2001-01-08,1360.0
2001-01-09,1337.0
2001-01-10,1301.0
2001-01-12,1255.0
2001-01-15,1257.0
2001-01-16,1255.0
2001-01-17,1254.0
2001-01-18,1254.0
2001-01-19,1250.0
2001-01-22,1200.0
2001-01-23,1201.0
2001-01-24,1230.0
2001-01-25,1240.0
2001-01-26,1261.0
2001-01-29,1261.0
2001-01-30,1300.0
2001-01-31,1298.0
2001-02-01,1369.0
2001-02-02,1360.0
2001-02-05,1365.0
2001-02-06,1365.0
2001-02-07,1350.0
2001-02-08,1365.0
2001-02-09,1365.0
2001-02-12,1365.0
2001-02-13,1370.0
2001-02-14,1400.0
2001-02-15,1420.0
2001-02-16,1420.0
2001-02-19,1480.0
2001-02-20,1495.0
2001-02-21,1495.0
2001-02-22,1489.0
2001-02-23,1489.0
2001-02-26,1500.0
