date,SID
2000-01-03,621.0
2000-01-04,605.0
2000-01-05,610.0
2000-01-06,611.0
2000-01-07,623.0
2000-01-13,621.0
2000-01-14,650.0
2000-01-17,644.0
2000-01-18,615.0
2000-01-19,601.0
2000-01-20,611.0
2000-01-21,615.0
2000-01-24,628.0
2000-01-25,615.0
2000-01-26,608.0
2000-01-27,615.0
2000-01-28,609.0
2000-01-31,611.0
2000-02-01,606.0
2000-02-02,600.0
2000-02-03,600.0
2000-02-04,609.0
2000-02-07,610.0
2000-02-23,555.0
2000-02-28,530.0
2000-02-29,535.0
2000-03-01,538.0
2000-03-02,538.0
2000-03-03,538.0
2000-03-06,538.0
2000-03-07,538.0
2000-03-08,538.0
2000-03-09,531.0
2000-03-10,538.0
2000-03-13,540.0
2000-03-14,543.0
2000-03-15,540.0
2000-03-16,555.0
2000-03-20,555.0
2000-03-21,555.0
2000-03-22,555.0
2000-03-23,550.0
2000-03-28,548.0
2000-03-29,550.0
2000-03-30,545.0
2000-03-31,545.0
2000-04-04,540.0
2000-04-05,538.0
2000-04-11,529.0
2000-04-12,523.0
2000-04-14,519.0
2000-04-17,510.0
2000-04-18,510.0
2000-04-20,507.0
2000-04-21,501.0
2000-04-24,515.0
2000-04-25,515.0
2000-04-26,512.0
2000-04-27,500.0
2000-04-28,495.0
2000-05-02,471.0
2000-05-03,460.0
2000-05-04,487.6
2000-05-05,510.0
2000-05-08,530.0
2000-05-11,573.0
2000-05-12,557.0
2000-05-15,566.0
2000-05-16,550.0
2000-05-17,546.0
2000-05-19,535.0
2000-05-22,530.0
2000-05-23,535.0
2000-05-24,537.0
2000-05-25,542.0
2000-05-26,540.0
2000-05-29,540.0
2000-05-31,540.0
2000-06-01,545.0
2000-06-02,541.0
2000-06-05,541.0
2000-06-06,538.0
2000-06-07,537.0
2000-06-08,535.0
2000-06-09,537.0
2000-06-13,531.0
2000-06-19,530.0
2000-06-20,530.0
2000-06-21,530.0
2000-06-22,528.0
2000-06-23,525.0
2000-06-26,530.0
2000-06-27,532.0
2000-06-28,525.0
2000-07-07,495.0
2000-07-11,495.0
2000-07-13,505.0
2000-07-14,500.0
2000-07-17,495.0
2000-07-19,482.0
2000-07-20,485.0
2000-07-21,500.0
2000-07-25,489.0
2000-07-26,489.0
2000-07-27,485.0
2000-07-28,486.0
2000-07-31,486.0
2000-08-01,498.0
2000-08-02,506.0
2000-08-03,509.0
2000-08-04,508.0
2000-08-07,503.0
2000-08-08,504.0
2000-08-09,503.0
2000-08-10,502.0
2000-08-11,502.0
2000-08-15,502.0
2000-08-16,500.0
2000-08-17,500.0
2000-08-18,504.0
2000-08-24,599.0
2000-08-28,596.0
2000-08-30,555.0
2000-08-31,566.0
2000-09-01,575.0
2000-09-04,579.0
2000-09-05,580.0
2000-09-06,588.0
2000-09-07,588.0
2000-09-08,588.0
2000-09-11,575.0
2000-09-12,588.0
2000-09-13,578.0
2000-09-14,580.0
2000-09-15,580.0
2000-09-18,585.0
2000-09-19,581.0
2000-09-20,578.0
2000-09-21,578.0
2000-09-22,585.0
2000-09-25,577.0
2000-09-26,576.0
2000-09-27,575.0
2000-09-28,575.0
2000-09-29,570.0
2000-10-02,570.0
2000-10-03,570.0
2000-10-04,574.0
2000-10-05,570.0
2000-10-06,568.0
2000-10-09,571.0
2000-10-10,570.0
2000-10-11,567.0
2000-10-12,555.0
2000-10-13,535.0
2000-10-16,525.0
2000-10-17,530.0
2000-10-19,530.0
2000-10-20,540.0
2000-10-23,549.0
2000-10-25,541.0
2000-10-30,543.0
2000-11-01,536.0
2000-11-02,535.0
2000-11-03,531.0
2000-11-07,530.0
2000-11-08,526.0
2000-11-09,523.0
2000-11-10,521.0
2000-11-13,520.0
2000-11-14,525.0
2000-11-15,520.0
2000-11-16,520.0
2000-11-17,505.0
2000-11-20,505.0
2000-11-21,499.0
2000-11-22,511.0
2000-11-23,510.0
2000-11-24,500.0
2000-11-27,494.0
2000-11-28,494.0
2000-11-29,489.0
2000-11-30,486.0
2000-12-01,481.0
2000-12-04,474.0
2000-12-05,470.0
2000-12-06,473.0
2000-12-07,488.0
2000-12-08,480.0
2000-12-11,485.0
2000-12-12,485.0
2000-12-13,485.0
2000-12-14,499.0
2000-12-15,494.0
2000-12-18,496.0
2000-12-19,500.0
2000-12-20,490.0
2000-12-21,480.0
2000-12-22,476.0
2000-12-25,485.0
2000-12-26,477.05
2000-12-29,494.0
2001-01-02,475.0
2001-01-03,480.0
2001-01-04,485.0
2001-01-05,466.0
2001-01-08,466.0
2001-01-09,460.0
2001-01-10,458.0
2001-01-12,453.0
2001-01-15,452.0
2001-01-16,453.0
2001-01-17,448.0
2001-01-18,443.0
2001-01-19,420.0
2001-01-22,405.0
2001-01-23,422.0
2001-01-24,436.0
2001-01-25,440.0
2001-01-26,465.95
2001-01-29,490.0
2001-01-30,470.0
2001-01-31,485.0
2001-02-01,485.0
2001-02-02,480.0
2001-02-05,500.0
2001-02-06,480.0
2001-02-07,481.0
2001-02-08,498.0
2001-02-09,494.0
2001-02-12,507.0
2001-02-13,516.0
2001-02-15,523.0
2001-02-16,539.0
2001-02-19,540.0
2001-02-20,526.0
2001-02-21,530.0
2001-02-22,545.0
2001-02-23,555.0
2001-02-26,585.0
2001-02-28,576.0
2001-03-01,574.0
2001-03-02,568.0
2001-03-05,563.0
2001-03-08,570.0
2001-03-09,575.0
2001-03-12,576.0
2001-03-13,578.0
2001-03-14,578.0
2001-03-15,583.0
2001-03-16,581.0
2001-03-19,598.0
2001-03-20,614.0
2001-03-21,617.0
2001-03-22,612.0
2001-03-23,611.0
2001-03-26,611.0
2001-03-28,610.0
2001-03-29,607.0
2001-03-30,603.0
2001-04-02,585.0
2001-04-03,587.0
2001-04-04,594.0
2001-04-05,600.0
2001-04-06,598.0
2001-04-09,596.0
2001-04-10,600.0
2001-04-11,597.0
2001-04-12,599.0
2001-04-13,595.0
