date,SLF
2007-12-19,891.0
2007-12-20,802.0
2007-12-24,806.0
2007-12-25,800.0
2007-12-26,802.0
2007-12-27,830.0
2007-12-28,855.0
2007-12-31,840.0
2008-01-02,860.0
2008-01-03,899.0
2008-01-04,946.0
2008-01-07,928.0
2008-01-08,930.0
2008-01-09,950.0
2008-01-14,930.0
2008-01-15,924.0
2008-01-16,910.0
2008-01-17,911.0
2008-01-18,910.0
2008-01-21,900.0
2008-01-22,883.0
2008-01-23,876.0
2008-01-24,900.0
2008-01-25,885.0
2008-01-28,881.0
2008-01-29,890.0
2008-01-30,890.0
2008-01-31,876.0
2008-02-01,865.0
2008-02-04,851.0
2008-02-05,851.0
2008-02-06,851.0
2008-02-07,850.0
2008-02-08,855.0
2008-02-11,853.0
2008-02-12,850.0
2008-02-13,850.0
2008-02-14,850.0
2008-02-15,851.0
2008-02-18,859.0
2008-02-19,862.0
2008-02-20,859.0
2008-02-21,875.0
2008-02-22,870.0
2008-02-25,854.0
2008-02-26,855.0
2008-02-27,838.0
2008-02-28,839.0
2008-02-29,853.0
2008-03-03,835.0
2008-03-04,820.0
2008-03-05,834.0
2008-03-06,811.0
2008-03-07,830.0
2008-03-10,830.0
2008-03-11,828.0
2008-03-12,823.0
2008-03-13,805.0
2008-03-14,805.0
2008-03-17,805.0
2008-03-18,787.0
2008-03-19,750.0
2008-03-24,755.0
2008-03-25,740.0
2008-03-26,740.0
2008-03-27,784.0
2008-03-28,759.0
2008-03-31,750.0
2008-04-01,755.0
2008-04-02,754.0
2008-04-03,748.0
2008-04-04,721.0
2008-04-07,731.0
2008-04-08,740.0
2008-04-09,742.0
2008-04-10,730.0
2008-04-11,750.0
2008-04-14,745.0
2008-04-15,744.0
2008-04-16,740.0
2008-04-17,737.0
2008-04-18,730.0
2008-04-21,720.0
2008-04-22,725.0
2008-04-23,710.0
2008-04-24,713.0
2008-04-25,715.0
2008-04-28,726.0
2008-04-29,715.0
2008-04-30,716.0
2008-05-02,720.0
2008-05-05,714.0
2008-05-06,710.0
2008-05-07,715.0
2008-05-08,710.0
2008-05-09,720.0
2008-05-12,710.0
2008-05-13,714.0
2008-05-14,711.0
2008-05-15,720.0
2008-05-16,720.0
2008-05-19,711.0
2008-05-20,720.0
2008-05-21,715.0
2008-05-22,720.0
2008-05-23,718.0
2008-05-26,715.0
2008-05-27,704.0
2008-05-28,718.0
2008-05-29,755.0
2008-05-30,773.0
2008-06-02,770.0
2008-06-03,749.0
2008-06-04,750.0
2008-06-05,795.0
2008-06-06,833.0
2008-06-09,812.0
2008-06-10,840.0
2008-06-11,850.0
2008-06-12,866.0
2008-06-13,865.0
2008-06-16,870.0
2008-06-17,860.0
2008-06-18,856.0
2008-06-19,850.0
2008-06-20,823.0
2008-06-23,820.0
2008-06-24,800.0
2008-06-25,802.0
2008-06-26,800.0
2008-06-27,830.0
2008-06-30,835.0
2008-07-01,814.0
2008-07-02,810.0
2008-07-03,810.0
2008-07-04,834.0
2008-07-07,829.0
2008-07-08,823.0
2008-07-09,820.0
2008-07-10,821.0
2008-07-11,822.0
2008-07-14,823.0
2008-07-15,820.0
2008-07-16,793.0
2008-07-17,801.0
2008-07-18,800.0
2008-07-21,800.0
2008-07-22,790.0
2008-07-23,799.0
2008-07-24,778.0
2008-07-25,804.0
2008-07-28,778.0
2008-07-29,776.0
2008-07-31,770.0
2008-08-01,756.0
2008-08-04,750.0
2008-08-05,754.0
2008-08-06,735.0
2008-08-07,735.0
2008-08-08,740.0
2008-08-11,740.0
2008-08-12,736.0
2008-08-13,737.0
2008-08-15,741.0
2008-08-18,749.0
2008-08-19,744.0
2008-08-22,740.0
2008-08-25,740.0
2008-08-26,730.0
2008-08-27,739.0
2008-08-28,745.0
2008-08-29,749.0
2008-09-01,738.0
2008-09-02,750.0
2008-09-03,795.0
2008-09-04,792.0
2008-09-05,800.0
2008-09-08,790.0
2008-09-09,795.0
2008-09-10,795.0
2008-09-11,787.0
2008-09-12,785.0
2008-09-15,765.0
2008-09-16,720.0
2008-09-17,730.0
2008-09-18,750.0
2008-09-19,778.0
2008-09-22,793.0
2008-09-23,760.0
2008-09-24,767.0
2008-09-25,756.0
2008-09-26,750.0
2008-09-29,745.0
2008-09-30,709.0
2008-10-03,730.0
2008-10-06,729.0
2008-10-07,740.0
2008-10-08,698.0
2008-10-09,700.0
2008-10-10,680.0
2008-10-13,710.0
2008-10-14,715.0
2008-10-15,705.0
2008-10-16,689.0
2008-10-17,710.0
2008-10-20,692.0
2008-10-21,685.0
2008-10-22,681.0
2008-10-23,689.0
2008-10-24,670.0
2008-10-27,651.0
2008-10-28,649.0
2008-10-29,648.0
2008-10-30,636.0
2008-10-31,674.0
2008-11-03,709.0
2008-11-04,715.0
2008-11-05,720.0
2008-11-07,686.0
2008-11-10,689.0
2008-11-11,661.0
2008-11-12,685.0
2008-11-13,683.0
2008-11-14,658.0
2008-11-17,642.0
2008-11-19,673.0
2008-11-20,664.0
2008-11-21,625.0
2008-11-24,588.0
2008-11-25,615.0
2008-11-26,610.0
2008-11-27,610.0
2008-11-28,597.0
2008-12-01,608.0
2008-12-02,600.0
2008-12-03,599.0
2008-12-04,564.0
2008-12-05,548.0
2008-12-08,550.0
2008-12-11,579.0
2008-12-12,600.0
2008-12-15,636.0
2008-12-16,674.0
2008-12-17,699.0
2008-12-18,713.0
2008-12-19,698.0
2008-12-22,714.0
2008-12-23,695.0
2008-12-24,700.0
2008-12-25,690.0
2008-12-26,701.0
2008-12-30,690.0
2008-12-31,660.0
2009-01-02,689.0
2009-01-05,689.0
2009-01-06,689.0
2009-01-07,650.0
2009-01-08,659.0
2009-01-09,689.0
2009-01-12,689.0
2009-01-13,687.0
2009-01-14,684.0
2009-01-15,683.0
2009-01-16,679.0
2009-01-19,677.0
2009-01-20,680.0
2009-01-21,679.0
2009-01-22,677.0
2009-01-23,677.0
2009-01-26,669.0
2009-01-27,660.0
2009-01-28,678.0
2009-01-29,660.0
2009-01-30,660.0
2009-02-02,672.0
2009-02-03,663.0
2009-02-04,661.0
2009-02-05,660.0
2009-02-06,653.0
2009-02-09,670.0
2009-02-10,670.0
2009-02-11,679.0
2009-02-12,680.0
2009-02-13,690.0
2009-02-16,690.0
2009-02-17,664.0
2009-02-18,690.0
2009-02-19,690.0
2009-02-20,689.0
2009-02-23,679.0
2009-02-24,690.0
2009-02-25,690.0
2009-02-26,690.0
2009-02-27,690.0
2009-03-02,680.0
2009-03-03,676.0
2009-03-04,690.0
2009-03-05,700.0
