date,SMI
2000-01-05,1233.0
2000-01-06,1232.0
2000-01-07,1229.0
2000-01-13,1233.0
2000-01-14,1229.0
2000-01-17,1233.0
2000-01-18,1230.0
2000-01-19,1230.0
2000-01-20,1225.0
2000-01-21,1229.0
2000-01-24,1229.0
2000-01-25,1185.0
2000-01-26,1224.0
2000-01-28,1218.0
2000-02-03,1200.0
2000-02-04,1199.0
2000-02-07,1190.0
2000-02-23,1185.0
2000-02-24,1180.0
2000-02-28,1142.0
2000-02-29,1170.0
2000-03-01,1180.0
2000-03-02,1180.0
2000-03-06,1195.0
2000-03-07,1182.0
2000-03-08,1182.0
2000-03-09,1195.0
2000-03-10,1195.0
2000-03-13,1195.0
2000-03-14,1195.0
2000-03-15,1200.0
2000-03-16,1200.0
2000-03-20,1200.0
2000-03-21,1201.0
2000-03-22,1201.0
2000-03-23,1219.0
2000-03-27,1210.0
2000-03-29,1210.0
2000-03-30,1202.0
2000-03-31,1210.0
2000-04-04,1203.0
2000-04-05,1205.0
2000-04-07,1205.0
2000-04-11,1204.0
2000-04-12,1190.0
2000-04-13,1185.0
2000-04-14,1185.0
2000-04-17,1185.0
2000-04-18,1180.0
2000-04-20,1176.0
2000-04-21,1177.0
2000-04-25,1175.0
2000-04-26,1178.0
2000-04-27,1175.0
2000-04-28,1165.0
2000-05-03,1151.0
2000-05-04,1156.0
2000-05-05,1170.0
2000-05-08,1180.0
2000-05-11,1200.0
2000-05-12,1220.0
2000-05-16,1225.0
2000-05-17,1230.0
2000-05-19,1225.0
2000-05-22,1225.0
2000-05-23,1227.0
2000-05-24,1229.0
2000-05-25,1235.0
2000-05-26,1229.0
2000-05-29,1230.0
2000-05-31,1231.0
2000-06-01,1230.0
2000-06-02,1229.0
2000-06-05,1220.0
2000-06-06,1232.0
2000-06-07,1232.0
2000-06-08,1230.0
2000-06-09,1229.0
2000-06-13,1224.0
2000-06-14,1222.0
2000-06-19,1210.0
2000-06-20,1202.0
2000-06-21,1200.0
2000-06-22,1190.0
2000-06-23,1192.0
2000-06-26,1200.0
2000-06-27,1200.0
2000-06-29,1201.0
2000-07-03,1131.0
2000-07-04,1146.0
2000-07-05,1160.0
2000-07-06,1150.0
2000-07-07,1160.0
2000-07-10,1160.0
2000-07-12,1229.0
2000-07-14,1230.0
2000-07-17,1300.0
2000-07-19,1161.0
2000-07-21,1170.0
2000-07-24,1170.0
2000-07-25,1170.0
2000-07-26,1170.0
2000-07-27,1170.0
2000-07-31,1170.0
2000-08-01,1197.0
2000-08-07,1190.0
2000-08-08,1190.0
2000-08-09,1188.0
2000-08-10,1165.0
2000-08-11,1170.0
2000-08-15,1170.0
2000-08-17,1163.0
2000-08-18,1179.0
2000-08-23,1200.0
2000-08-24,1235.0
2000-08-28,1221.0
2000-08-29,1215.0
2000-08-30,1215.0
2000-09-01,1200.0
2000-09-04,1200.0
2000-09-05,1192.0
2000-09-06,1202.0
2000-09-07,1200.0
2000-09-08,1201.0
2000-09-11,1201.0
2000-09-12,1191.0
2000-09-13,1200.0
2000-09-14,1200.0
2000-09-15,1193.0
2000-09-18,1209.0
2000-09-20,1215.0
2000-09-21,1216.0
2000-09-22,1230.0
2000-09-26,1215.0
2000-09-28,1209.0
2000-09-29,1206.0
2000-10-02,1208.0
2000-10-03,1202.0
2000-10-04,1201.0
2000-10-05,1200.0
2000-10-06,1191.0
2000-10-09,1193.0
2000-10-10,1191.0
2000-10-11,1191.0
2000-10-12,1185.0
2000-10-13,1177.0
2000-10-16,1175.0
2000-10-17,1179.0
2000-10-19,1172.0
2000-10-23,1180.0
2000-10-25,1175.0
2000-10-26,1184.0
2000-11-01,1170.0
2000-11-03,1160.0
2000-11-08,1160.0
2000-11-14,1150.0
2000-11-15,1145.0
2000-11-16,1146.0
2000-11-17,1146.0
2000-11-20,1159.0
2000-11-21,1150.0
2000-11-22,1155.0
2000-11-23,1150.0
2000-11-24,1146.0
2000-11-27,1159.0
2000-11-28,1150.0
2000-11-29,1146.0
2000-11-30,1146.0
2000-12-04,1145.0
2000-12-05,1125.0
2000-12-06,1100.0
2000-12-07,1143.0
2000-12-08,1143.0
2000-12-12,1150.0
2000-12-13,1148.0
2000-12-14,1150.0
2000-12-19,1145.0
2000-12-22,1138.0
2000-12-25,1138.0
2000-12-26,1134.0
2000-12-29,1190.0
2001-01-02,1175.0
2001-01-04,1170.0
2001-01-05,1155.0
2001-01-08,1128.0
2001-01-09,1128.0
2001-01-12,1127.0
2001-01-15,1126.0
2001-01-16,1110.0
2001-01-17,1110.0
2001-01-18,1110.0
2001-01-19,1084.0
2001-01-22,1019.0
2001-01-23,1002.0
2001-01-24,1062.0
2001-01-25,1062.0
2001-01-26,1120.0
2001-01-29,1081.0
2001-01-30,1118.0
2001-01-31,1118.0
2001-02-01,1100.0
2001-02-02,1100.0
2001-02-05,1130.0
2001-02-06,1130.0
2001-02-07,1120.0
2001-02-08,1124.0
2001-02-09,1125.0
2001-02-12,1125.0
2001-02-13,1140.0
2001-02-14,1180.0
2001-02-15,1192.0
2001-02-16,1198.0
2001-02-19,1182.0
2001-02-20,1182.0
2001-02-21,1183.0
2001-02-22,1199.0
2001-02-23,1202.0
2001-02-26,1210.0
2001-02-27,1222.0
2001-02-28,1201.0
2001-03-01,1129.0
2001-03-02,1195.0
2001-03-05,1200.0
2001-03-08,1169.0
2001-03-09,1200.0
2001-03-12,1200.0
2001-03-13,1200.0
2001-03-14,1175.0
2001-03-15,1200.0
2001-03-16,1201.0
2001-03-19,1210.0
2001-03-20,1201.0
2001-03-21,1210.0
2001-03-22,1220.0
2001-03-23,1200.0
2001-03-26,1195.0
2001-03-28,1200.0
2001-03-29,1200.0
2001-03-30,1200.0
2001-04-02,1200.0
2001-04-03,1199.0
2001-04-04,1199.0
2001-04-05,1199.0
2001-04-06,1189.0
2001-04-09,1189.0
2001-04-10,1189.0
2001-04-11,1201.0
2001-04-12,1201.0
2001-04-13,1198.0
2001-04-16,1190.0
2001-04-17,1190.0
2001-04-18,1190.0
2001-04-19,1190.0
2001-04-20,1195.0
2001-04-23,1151.0
2001-04-24,1186.0
2001-04-25,1190.0
2001-04-26,1190.0
2001-04-27,1190.0
2001-04-30,1185.0
2001-05-02,1185.0
2001-05-03,1190.0
2001-05-04,1196.0
2001-05-07,1196.0
2001-05-08,1195.0
2001-05-09,1195.0
2001-05-10,1195.0
2001-05-11,1195.0
2001-05-14,1195.0
2001-05-15,1195.0
2001-05-16,1190.0
2001-05-17,1176.0
2001-05-18,1176.0
2001-05-21,1180.0
2001-05-22,1183.0
2001-05-23,1183.0
2001-05-24,1185.0
2001-05-25,1190.0
2001-05-28,1190.0
2001-05-29,1185.0
2001-05-30,1185.0
2001-05-31,1185.0
2001-06-01,1186.0
2001-06-04,1186.0
2001-06-07,1186.0
2001-06-08,1190.0
2001-06-11,1190.0
2001-06-12,1170.0
2001-06-13,1169.0
2001-06-14,1169.0
2001-06-15,1169.0
2001-06-18,1169.0
2001-06-19,1169.0
2001-06-20,1130.0
2001-06-21,1130.0
2001-06-22,1130.0
2001-06-25,1140.0
2001-06-26,1132.0
2001-06-27,1137.0
2001-06-28,1137.0
2001-06-29,1133.0
2001-07-02,1073.0
2001-07-03,1073.0
2001-07-04,1073.0
2001-07-05,1073.0
2001-07-06,1070.0
2001-07-09,1070.0
2001-07-10,1011.0
2001-07-11,1070.0
2001-07-12,1050.0
2001-07-13,1050.0
2001-07-16,1050.0
2001-07-17,1040.0
2001-07-18,1032.0
2001-07-19,1048.0
2001-07-20,1090.0
2001-07-23,1089.0
2001-07-24,1083.0
2001-07-25,1099.0
2001-07-26,1095.0
2001-07-27,1095.0
2001-07-31,1095.0
2001-08-01,1089.0
2001-08-02,1089.0
2001-08-03,1063.0
2001-08-06,1100.0
2001-08-07,1075.0
2001-08-08,1094.0
2001-08-09,1090.0
2001-08-10,1090.0
2001-08-13,1090.0
2001-08-15,1090.0
2001-08-16,1070.0
2001-08-17,1050.0
2001-08-22,1075.0
2001-08-23,1070.0
2001-08-24,1080.0
2001-08-27,1088.0
2001-08-28,1089.0
2001-08-29,1085.0
2001-08-30,1087.0
2001-08-31,1089.0
2001-09-03,1098.0
2001-09-04,1098.0
2001-09-05,1099.0
2001-09-06,1097.0
2001-09-07,1095.0
2001-09-10,1095.0
2001-09-11,1095.0
2001-09-12,1089.0
2001-09-13,1081.0
2001-09-14,1081.0
2001-09-17,1077.0
2001-09-18,1060.0
2001-09-19,1059.0
2001-09-20,1060.0
2001-09-21,1060.0
2001-09-24,1060.0
2001-09-25,1085.0
2001-09-26,1084.0
2001-09-27,1060.0
2001-09-28,1060.0
2001-10-01,1057.0
2001-10-02,1055.0
2001-10-03,1050.0
2001-10-04,1049.0
2001-10-05,1030.0
2001-10-08,1030.0
2001-10-09,1030.0
2001-10-10,1029.0
2001-10-11,1029.0
2001-10-12,1030.0
2001-10-15,1045.0
2001-10-16,1040.0
