date,SNP
2007-11-09,1663.0
2007-11-13,1647.0
2007-11-15,1457.0
2007-11-16,1400.0
2007-11-19,1350.0
2007-11-20,1350.0
2007-11-21,1339.0
2007-11-22,1338.0
2007-11-23,1350.0
2007-11-26,1342.0
2007-11-27,1400.0
2007-11-28,1444.0
2007-11-29,1451.0
2007-11-30,1429.0
2007-12-03,1405.0
2007-12-04,1430.0
2007-12-05,1400.0
2007-12-06,1400.0
2007-12-07,1400.0
2007-12-10,1400.0
2007-12-11,1400.0
2007-12-12,1350.0
2007-12-13,1370.0
2007-12-14,1370.0
2007-12-17,1369.0
2007-12-18,1330.0
2007-12-19,1340.0
2007-12-20,1339.0
2007-12-24,1335.0
2007-12-25,1334.0
2007-12-26,1310.0
2007-12-27,1320.0
2007-12-28,1304.0
2007-12-31,1300.0
2008-01-02,1329.0
2008-01-03,1335.0
2008-01-04,1351.0
2008-01-07,1332.0
2008-01-08,1333.0
2008-01-09,1325.0
2008-01-14,1290.0
2008-01-15,1292.0
2008-01-16,1317.0
2008-01-17,1369.0
2008-01-18,1413.0
2008-01-21,1381.0
2008-01-22,1330.0
2008-01-23,1359.0
2008-01-24,1365.0
2008-01-25,1360.0
2008-01-28,1360.0
2008-01-29,1390.0
2008-01-30,1376.0
2008-01-31,1400.0
2008-02-01,1428.0
2008-02-04,1410.0
2008-02-05,1414.0
2008-02-06,1420.0
2008-02-07,1413.0
2008-02-08,1428.0
2008-02-11,1415.0
2008-02-12,1417.0
2008-02-13,1405.0
2008-02-14,1396.0
2008-02-15,1400.0
2008-02-18,1391.0
2008-02-19,1416.0
2008-02-20,1408.0
2008-02-21,1395.0
2008-02-22,1380.0
2008-02-25,1380.0
2008-02-26,1378.0
2008-02-27,1380.0
2008-02-28,1377.0
2008-02-29,1380.0
2008-03-03,1359.0
2008-03-04,1336.0
2008-03-05,1360.0
2008-03-06,1346.0
2008-03-07,1351.0
2008-03-10,1345.0
2008-03-11,1346.0
2008-03-12,1370.0
2008-03-13,1369.0
2008-03-14,1363.0
2008-03-17,1356.0
2008-03-18,1356.0
2008-03-19,1351.0
2008-03-24,1350.0
2008-03-25,1350.0
2008-03-26,1342.0
2008-03-27,1338.0
2008-03-28,1350.0
2008-03-31,1360.0
2008-04-01,1362.0
2008-04-02,1350.0
2008-04-03,1389.0
2008-04-04,1394.0
2008-04-07,1395.0
2008-04-08,1395.0
2008-04-09,1380.0
2008-04-10,1390.0
2008-04-11,1378.0
2008-04-14,1360.0
2008-04-15,1360.0
2008-04-16,1350.0
2008-04-17,1350.0
2008-04-18,1350.0
2008-04-21,1350.0
2008-04-22,1350.0
2008-04-23,1347.0
2008-04-24,1323.0
2008-04-25,1308.0
2008-04-28,1301.0
2008-04-29,1300.0
2008-04-30,1310.0
2008-05-02,1306.0
2008-05-05,1290.0
2008-05-06,1310.0
2008-05-07,1310.0
2008-05-08,1330.0
2008-05-09,1348.0
2008-05-12,1331.0
2008-05-13,1330.0
2008-05-14,1324.0
2008-05-15,1301.0
2008-05-16,1319.0
2008-05-19,1314.0
2008-05-20,1296.0
2008-05-21,1269.0
2008-05-22,1277.0
2008-05-23,1299.0
2008-05-26,1275.0
2008-05-27,1263.0
2008-05-28,1260.0
2008-05-29,1262.0
2008-05-30,1290.0
2008-06-02,1284.0
2008-06-03,1260.0
2008-06-04,1255.0
2008-06-05,1270.0
2008-06-06,1265.0
2008-06-09,1260.0
2008-06-10,1260.0
2008-06-11,1250.0
2008-06-12,1247.0
2008-06-13,1263.0
2008-06-16,1257.0
2008-06-17,1250.0
2008-06-18,1260.0
2008-06-19,1253.0
2008-06-20,1260.0
2008-06-23,1260.0
2008-06-24,1247.0
2008-06-25,1232.0
2008-06-26,1231.0
2008-06-27,1223.0
2008-06-30,1184.0
2008-07-01,1184.0
2008-07-02,1180.0
2008-07-03,1145.0
2008-07-04,1135.0
2008-07-07,1113.0
2008-07-08,1109.0
2008-07-09,1101.0
2008-07-10,1110.0
2008-07-11,1069.0
2008-07-14,1080.0
2008-07-15,1030.0
2008-07-16,1038.0
2008-07-17,1046.0
2008-07-18,1045.0
2008-07-21,1035.0
2008-07-22,1020.0
2008-07-23,1028.0
2008-07-24,1025.0
2008-07-25,1000.0
2008-07-28,1008.0
2008-07-29,1000.0
2008-07-31,997.0
2008-08-01,949.0
2008-08-04,910.0
2008-08-05,856.0
2008-08-06,842.0
2008-08-07,870.0
2008-08-08,870.0
2008-08-11,840.0
2008-08-12,810.0
2008-08-13,820.0
2008-08-15,840.0
2008-08-18,850.0
2008-08-19,850.0
2008-08-22,850.0
2008-08-25,836.0
2008-08-26,850.0
2008-08-27,869.0
2008-08-28,892.0
2008-08-29,940.0
2008-09-01,981.0
2008-09-02,1035.0
2008-09-03,1097.0
2008-09-04,1032.0
2008-09-05,972.0
2008-09-08,914.0
2008-09-09,968.0
2008-09-10,946.0
2008-09-11,936.0
2008-09-12,930.0
2008-09-15,900.0
2008-09-16,846.0
2008-09-17,850.0
2008-09-18,861.0
2008-09-19,912.0
2008-09-22,957.0
2008-09-23,921.0
2008-09-24,915.0
2008-09-25,900.0
2008-09-26,905.0
2008-09-29,905.0
2008-09-30,851.0
2008-10-03,875.0
2008-10-06,823.0
2008-10-07,845.0
2008-10-08,823.0
2008-10-09,820.0
2008-10-10,771.0
2008-10-13,817.0
2008-10-14,846.0
2008-10-15,825.0
2008-10-16,799.0
2008-10-17,827.0
2008-10-20,807.0
2008-10-21,800.0
2008-10-22,780.0
2008-10-23,746.0
2008-10-24,730.0
2008-10-27,689.0
2008-10-28,670.0
2008-10-29,710.0
2008-10-30,710.0
2008-10-31,701.0
2008-11-03,710.0
2008-11-04,729.0
2008-11-05,744.0
2008-11-07,721.0
2008-11-10,730.0
2008-11-11,711.0
2008-11-12,716.0
2008-11-13,715.0
2008-11-14,714.0
2008-11-17,701.0
2008-11-19,687.0
2008-11-20,659.0
2008-11-21,620.0
2008-11-24,591.0
2008-11-25,588.0
2008-11-26,601.0
2008-11-27,596.0
2008-11-28,609.0
2008-12-01,600.0
2008-12-02,586.0
2008-12-03,578.0
2008-12-04,544.0
2008-12-05,550.0
2008-12-08,558.0
2008-12-11,581.0
2008-12-12,588.0
2008-12-15,572.0
2008-12-16,584.0
2008-12-17,565.0
2008-12-18,570.0
2008-12-19,604.0
2008-12-22,640.0
2008-12-23,644.0
2008-12-24,610.0
2008-12-25,585.0
2008-12-26,552.0
2008-12-30,519.0
2008-12-31,489.0
2009-01-02,465.0
2009-01-05,437.5
2009-01-06,436.9
2009-01-07,443.0
2009-01-08,460.0
2009-01-09,487.6
2009-01-12,495.0
2009-01-13,499.0
2009-01-14,518.0
2009-01-15,515.0
2009-01-16,518.0
2009-01-19,495.05
2009-01-20,499.0
2009-01-21,492.55
2009-01-22,497.0
2009-01-23,516.0
2009-01-26,505.0
2009-01-27,511.0
2009-01-28,539.0
2009-01-29,571.0
2009-01-30,603.0
2009-02-02,619.0
2009-02-03,633.0
2009-02-04,617.0
2009-02-05,591.0
2009-02-06,588.0
2009-02-09,613.0
2009-02-10,616.0
2009-02-11,614.0
2009-02-12,616.0
2009-02-13,621.0
2009-02-16,640.0
2009-02-17,668.0
2009-02-18,690.0
2009-02-19,710.0
2009-02-20,715.0
2009-02-23,740.0
2009-02-24,747.0
2009-02-25,770.0
2009-02-26,750.0
2009-02-27,756.0
2009-03-02,744.0
2009-03-03,730.0
2009-03-04,710.0
2009-03-05,703.0
2009-03-06,713.0
2009-03-09,714.0
2009-03-12,709.0
2009-03-13,702.0
2009-03-16,701.0
2009-03-17,710.0
2009-03-18,710.0
2009-03-19,705.0
2009-03-20,691.0
2009-03-23,680.0
2009-03-24,640.0
2009-03-25,642.0
2009-03-26,669.0
2009-03-27,685.0
2009-03-30,670.0
2009-03-31,630.0
2009-04-01,625.0
2009-04-02,630.0
2009-04-03,630.0
2009-04-06,617.0
2009-04-07,601.0
2009-04-08,609.0
2009-04-09,598.0
2009-04-10,600.0
2009-04-13,580.0
2009-04-14,580.0
2009-04-15,590.0
2009-04-16,609.0
2009-04-17,592.0
2009-04-20,592.0
2009-04-21,594.0
2009-04-22,594.0
2009-04-23,591.0
2009-04-24,598.0
2009-04-27,609.0
2009-04-28,607.0
2009-04-29,597.0
2009-04-30,600.0
2009-05-04,599.0
2009-05-05,591.0
2009-05-06,590.0
2009-05-07,598.0
2009-05-08,589.0
2009-05-11,600.0
2009-05-12,630.0
2009-05-13,625.0
2009-05-14,625.0
2009-05-15,605.0
2009-05-18,600.0
2009-05-19,594.0
2009-05-20,600.0
2009-05-21,605.0
2009-05-22,602.0
2009-05-25,594.0
2009-05-26,628.0
2009-05-27,616.0
2009-05-28,615.0
2009-05-29,615.0
2009-06-01,620.0
2009-06-02,629.0
2009-06-03,666.0
2009-06-04,705.0
2009-06-05,701.0
2009-06-08,717.0
2009-06-09,702.0
2009-06-10,715.0
2009-06-11,700.0
2009-06-12,720.0
2009-06-15,719.0
2009-06-16,697.0
2009-06-17,695.0
2009-06-18,693.0
2009-06-19,689.0
2009-06-22,690.0
2009-06-23,690.0
2009-06-24,702.0
2009-06-25,700.0
2009-06-26,700.0
2009-06-29,697.0
2009-06-30,684.0
2009-07-01,690.0
2009-07-02,684.0
2009-07-03,671.0
2009-07-06,675.0
2009-07-07,679.0
2009-07-08,670.0
2009-07-09,660.0
2009-07-10,675.0
2009-07-13,676.0
2009-07-14,660.0
2009-07-15,657.0
2009-07-16,649.0
2009-07-17,640.0
2009-07-20,655.0
2009-07-21,650.0
2009-07-22,640.0
2009-07-23,658.0
2009-07-24,643.0
2009-07-27,660.0
2009-07-28,640.0
2009-07-29,655.0
2009-07-31,638.0
2009-08-03,640.0
2009-08-04,630.0
2009-08-05,645.0
2009-08-06,630.0
2009-08-07,642.0
2009-08-10,632.0
2009-08-11,631.0
2009-08-12,628.0
2009-08-13,621.0
2009-08-17,622.0
2009-08-18,638.0
2009-08-19,630.0
2009-08-24,629.0
2009-08-25,629.0
2009-08-26,623.0
2009-08-27,623.0
2009-08-28,621.0
2009-08-31,642.0
2009-09-01,615.0
2009-09-02,630.0
2009-09-03,615.0
2009-09-04,619.0
2009-09-07,613.0
2009-09-08,591.0
2009-09-09,613.0
2009-09-10,593.0
2009-09-11,607.0
2009-09-14,592.0
2009-09-15,585.0
2009-09-16,585.0
2009-09-17,589.0
2009-09-18,575.0
2009-09-23,594.0
2009-09-24,580.0
2009-09-25,577.0
2009-09-28,590.0
2009-09-29,577.0
2009-09-30,586.0
2009-10-01,579.0
2009-10-02,564.0
2009-10-05,562.0
2009-10-06,562.0
2009-10-07,561.0
2009-10-08,565.0
2009-10-09,569.0
2009-10-12,575.0
2009-10-13,567.0
2009-10-14,567.0
2009-10-15,565.0
2009-10-16,564.0
2009-10-19,564.0
2009-10-20,565.0
2009-10-21,565.0
2009-10-22,575.0
2009-10-23,564.0
2009-10-26,557.0
2009-10-27,550.0
2009-10-28,534.0
2009-10-29,510.0
2009-10-30,520.0
2009-11-02,510.0
2009-11-03,515.0
2009-11-04,519.0
2009-11-05,525.0
2009-11-09,520.0
2009-11-10,501.0
2009-11-11,500.0
2009-11-12,477.0
2009-11-13,494.5
2009-11-16,492.0
2009-11-17,484.15
2009-11-19,484.0
2009-11-20,489.95
2009-11-23,478.0
2009-11-24,475.0
2009-11-25,484.0
2009-11-26,466.8
2009-11-27,460.0
2009-11-30,484.0
2009-12-01,489.95
2009-12-02,462.0
2009-12-03,473.0
2009-12-04,468.65
2009-12-07,464.0
2009-12-08,460.0
2009-12-09,455.0
2009-12-10,460.0
2009-12-11,456.0
2009-12-14,455.0
2009-12-15,450.0
2009-12-16,446.2
2009-12-17,450.0
2009-12-21,437.0
2009-12-22,440.0
2009-12-23,440.0
2009-12-24,436.0
2009-12-25,440.0
2009-12-28,440.0
2009-12-29,440.0
2009-12-30,439.0
2009-12-31,430.0
2010-01-04,431.5
2010-01-05,440.0
2010-01-06,466.4
2010-01-07,474.0
2010-01-08,470.0
2010-01-12,461.0
2010-01-13,468.0
2010-01-14,455.0
2010-01-15,469.0
2010-01-18,479.0
2010-01-19,480.0
2010-01-20,483.0
2010-01-21,480.0
2010-01-22,480.0
2010-01-25,480.0
2010-01-26,474.0
2010-01-27,472.0
2010-01-28,479.0
2010-01-29,485.0
2010-02-01,499.0
2010-02-02,490.05
2010-02-03,494.9
2010-02-04,489.0
2010-02-05,487.5
2010-02-08,483.0
2010-02-09,475.15
2010-02-10,482.0
2010-02-11,490.0
2010-02-12,481.0
2010-02-15,482.0
2010-02-16,477.0
2010-02-17,477.4
2010-02-18,479.0
2010-02-19,478.95
2010-02-22,467.6
2010-02-23,475.0
2010-02-24,475.0
2010-02-25,474.8
2010-02-26,468.0
2010-03-01,460.0
2010-03-02,465.0
2010-03-03,455.0
2010-03-04,455.0
2010-03-05,451.5
2010-03-08,440.0
2010-03-09,440.0
2010-03-10,438.0
2010-03-11,435.5
2010-03-12,440.0
2010-03-15,436.5
2010-03-16,449.75
2010-03-17,447.0
2010-03-18,440.0
2010-03-19,437.1
2010-03-22,440.0
2010-03-23,435.0
2010-03-24,423.0
