date,SOT
2006-11-23,119.333
2007-04-09,140.0
2007-04-11,140.0
2007-04-12,141.667
2007-04-16,141.667
2007-04-17,138.333
2007-04-20,138.333
2007-04-23,140.0
2007-04-24,137.0
2007-04-25,137.5
2007-04-30,136.667
2007-05-02,144.333
2007-05-07,144.333
2007-05-08,143.333
2007-05-09,140.333
2007-05-10,132.5
2007-05-11,126.833
2007-05-14,134.167
2007-05-15,140.0
2007-05-16,140.833
2007-05-17,141.667
2007-05-22,141.667
2007-05-23,141.667
2007-05-25,143.333
2007-05-28,145.0
2007-06-01,145.833
2007-06-04,145.833
2007-06-05,150.0
2007-06-06,145.0
2007-06-08,145.833
2007-06-12,145.0
2007-06-13,145.0
2007-06-14,145.0
2007-06-19,149.667
2007-06-27,145.0
2007-07-04,138.667
2007-07-05,145.0
2007-07-06,144.833
2007-07-09,143.833
2007-07-16,143.333
2007-07-17,143.333
2007-07-18,143.333
2007-07-19,143.167
2007-07-20,139.167
2007-07-23,143.333
2007-07-24,143.167
2007-07-25,137.833
2007-07-26,143.333
2007-07-27,143.5
2007-07-31,143.333
2007-08-06,139.167
2007-08-10,143.333
2007-08-13,140.167
2007-08-15,141.667
2007-08-16,141.667
2007-08-17,141.667
2007-08-22,143.333
2007-08-23,145.0
2007-08-28,143.333
2007-08-31,143.333
2007-09-03,143.333
2007-09-04,142.5
2007-09-05,142.5
2007-09-10,143.333
2007-09-11,141.667
2007-09-13,141.667
2007-09-18,141.667
2007-09-20,141.667
2007-09-24,141.667
2007-09-25,141.667
2007-09-26,140.0
2007-09-27,140.833
2007-09-28,143.333
2007-10-01,144.833
2007-10-02,145.0
2007-10-04,145.0
2007-10-05,145.0
2007-10-09,144.833
2007-10-12,144.5
2007-10-15,145.0
2007-10-16,145.0
2007-10-17,145.833
2007-10-18,142.5
2007-10-19,145.0
2007-10-22,145.0
2007-10-24,145.833
2007-10-26,143.333
2007-10-29,143.333
2007-10-30,143.333
2007-10-31,142.5
2007-11-01,145.0
2007-11-02,148.333
2007-11-07,148.333
2007-11-08,150.0
2007-11-09,143.667
2007-11-12,150.0
2007-11-14,151.667
2007-11-15,151.5
2007-11-16,158.333
2007-11-22,152.5
2007-11-23,157.5
2007-11-27,157.333
2007-11-28,157.5
2007-11-30,158.333
2007-12-03,161.5
2007-12-04,156.667
2007-12-05,158.333
2007-12-06,154.167
2007-12-07,158.333
2007-12-10,157.5
2007-12-11,158.0
2007-12-13,156.667
2007-12-14,155.0
2007-12-18,150.833
2007-12-19,154.833
2007-12-24,149.833
2007-12-26,150.0
2007-12-27,150.0
2007-12-28,149.833
2007-12-31,158.0
2008-01-04,158.0
2008-01-08,160.0
2008-01-14,161.667
2008-01-21,156.667
2008-01-22,156.667
2008-01-23,155.833
2008-01-24,158.333
2008-01-29,158.333
2008-01-31,150.0
2008-02-04,151.667
2008-02-05,150.833
2008-02-08,143.833
2008-02-11,150.167
2008-02-14,150.167
2008-02-15,150.0
2008-02-19,154.167
2008-02-20,155.833
2008-03-03,155.833
2008-03-04,150.0
2008-03-05,150.0
2008-03-06,150.0
2008-03-07,148.333
2008-03-10,148.333
2008-03-11,148.333
2008-03-12,148.333
2008-03-13,148.333
2008-03-14,148.333
2008-03-17,155.5
2008-03-18,155.5
2008-03-19,155.5
2008-03-24,155.5
2008-03-25,155.5
2008-03-26,155.5
2008-03-27,155.5
2008-03-28,155.5
2008-03-31,150.0
2008-04-01,150.0
2008-04-02,150.0
2008-04-03,150.0
2008-04-04,150.167
2008-04-07,150.167
2008-04-08,152.333
2008-04-09,152.333
2008-04-10,152.333
2008-04-11,146.667
2008-04-14,146.667
2008-04-15,146.667
2008-04-16,146.667
2008-04-17,152.333
2008-04-18,152.333
2008-04-21,152.333
2008-04-22,150.0
2008-04-23,150.0
2008-04-24,146.667
2008-04-25,155.0
2008-04-28,150.0
2008-04-29,150.0
2008-04-30,150.167
2008-05-02,155.0
2008-05-05,155.0
2008-05-06,155.0
2008-05-07,154.833
2008-05-08,154.833
2008-05-09,155.0
2008-05-12,155.0
2008-05-13,155.0
2008-05-14,154.167
2008-05-15,154.167
2008-05-16,154.167
2008-05-19,154.167
2008-05-20,147.5
2008-05-21,153.833
2008-05-22,153.833
2008-05-23,153.833
2008-05-26,153.833
2008-05-27,153.833
2008-05-28,153.833
2008-05-29,150.167
2008-05-30,150.167
2008-06-02,150.167
2008-06-03,154.167
2008-06-04,154.167
2008-06-05,154.167
2008-06-06,154.167
2008-06-09,154.167
2008-06-10,154.167
2008-06-11,154.167
2008-06-12,154.167
2008-06-13,150.0
2008-06-16,150.0
2008-06-17,150.0
2008-06-18,155.0
2008-06-19,155.0
2008-06-20,155.667
2008-06-23,155.667
2008-06-24,155.667
2008-06-25,155.667
2008-06-26,155.667
2008-06-27,155.0
2008-06-30,155.0
2008-07-01,155.0
2008-07-02,155.0
2008-07-03,155.0
2008-07-04,155.0
2008-07-07,155.0
2008-07-08,155.0
2008-07-09,151.833
2008-07-10,151.833
2008-07-11,151.833
2008-07-14,151.833
2008-07-15,151.833
2008-07-16,153.333
2008-07-17,153.333
2008-07-18,153.333
2008-07-21,153.333
2008-07-22,153.333
2008-07-23,154.167
2008-07-24,154.167
2008-07-25,154.167
2008-07-28,154.167
2008-07-29,153.5
2008-07-31,152.667
2008-08-01,151.833
2008-08-04,151.833
2008-08-05,151.833
2008-08-06,151.833
2008-08-07,151.833
2008-08-08,151.833
2008-08-11,151.833
2008-08-12,151.833
2008-08-13,150.167
2008-08-15,150.167
2008-08-18,150.167
2008-08-19,150.167
2008-08-22,155.0
2008-08-25,155.0
2008-08-26,155.0
2008-08-27,155.0
