date,SRM
2006-12-15,433.0
2006-12-18,445.0
2006-12-19,470.0
2006-12-20,466.1
2006-12-21,470.0
2006-12-22,464.0
2006-12-26,450.0
2006-12-27,444.0
2006-12-28,440.0
2006-12-29,436.0
2007-01-02,439.0
2007-01-03,439.5
2007-01-04,430.05
2007-01-05,428.0
2007-01-08,425.9
2007-01-09,432.0
2007-01-10,436.0
2007-01-12,437.0
2007-01-15,434.0
2007-01-16,440.0
2007-01-17,444.0
2007-01-18,435.1
2007-01-19,433.0
2007-01-22,435.1
2007-01-23,433.0
2007-01-24,440.2
2007-01-25,440.0
2007-01-26,440.0
2007-01-29,445.1
2007-01-30,440.0
2007-01-31,439.0
2007-02-01,437.0
2007-02-02,434.95
2007-02-05,435.0
2007-02-06,433.0
2007-02-07,427.0
2007-02-08,430.0
2007-02-09,452.0
2007-02-12,470.0
2007-02-13,484.0
2007-02-14,513.0
2007-02-15,527.0
2007-02-16,524.0
2007-02-19,496.7
2007-02-20,471.1
2007-02-21,474.0
2007-02-22,475.0
2007-02-23,478.05
2007-02-26,498.9
2007-02-27,481.0
2007-02-28,483.7
2007-03-01,479.0
2007-03-05,499.0
2007-03-06,496.0
2007-03-07,500.0
2007-03-08,516.0
2007-03-09,521.0
2007-03-12,518.0
2007-03-13,549.0
2007-03-14,547.0
2007-03-15,544.0
2007-03-16,530.0
2007-03-19,533.0
2007-03-20,537.0
2007-03-21,569.0
2007-03-22,589.0
2007-03-23,624.0
2007-03-26,648.0
2007-03-27,650.0
2007-03-28,646.0
2007-03-29,620.0
2007-03-30,615.0
2007-04-03,613.0
2007-04-04,639.0
2007-04-05,660.0
2007-04-06,670.0
2007-04-09,675.0
2007-04-10,680.0
2007-04-11,675.0
2007-04-12,641.0
2007-04-13,674.0
2007-04-16,675.0
2007-04-17,671.0
2007-04-18,670.0
2007-04-19,670.0
2007-04-20,670.0
2007-04-23,643.0
2007-04-24,660.0
2007-04-25,670.0
2007-04-26,667.0
2007-04-27,677.0
2007-04-30,709.0
2007-05-02,749.0
2007-05-03,775.0
2007-05-04,800.0
2007-05-07,821.0
2007-05-08,831.0
2007-05-09,880.0
2007-05-10,828.0
2007-05-11,781.0
2007-05-14,735.0
2007-05-15,779.0
2007-05-16,820.0
2007-05-17,829.0
2007-05-18,810.0
2007-05-21,814.0
2007-05-22,790.0
2007-05-23,786.0
2007-05-24,781.0
2007-05-25,751.0
2007-05-28,756.0
2007-05-29,780.0
2007-05-30,815.0
2007-05-31,795.0
2007-06-01,826.0
2007-06-04,821.0
2007-06-05,801.0
2007-06-06,805.0
2007-06-07,804.0
2007-06-08,803.0
2007-06-11,798.0
2007-06-12,797.0
2007-06-13,795.0
2007-06-14,780.0
2007-06-15,784.0
2007-06-18,785.0
2007-06-19,780.0
2007-06-20,775.0
2007-06-21,774.0
2007-06-22,771.0
2007-06-25,770.0
2007-06-26,769.0
2007-06-27,771.0
2007-06-28,771.0
2007-06-29,766.0
2007-07-02,765.0
2007-07-03,760.0
2007-07-04,783.0
2007-07-05,782.0
2007-07-06,777.0
2007-07-09,772.0
2007-07-10,775.0
2007-07-11,771.0
2007-07-12,770.0
2007-07-13,769.0
2007-07-16,777.0
2007-07-17,772.0
2007-07-18,741.0
2007-07-19,724.0
2007-07-20,728.0
2007-07-23,728.0
2007-07-24,724.0
2007-07-25,690.0
2007-07-26,694.0
2007-07-27,698.0
2007-07-31,739.0
2007-08-01,735.0
2007-08-02,772.0
2007-08-03,818.0
2007-08-06,810.0
2007-08-07,806.0
2007-08-08,839.0
2007-08-09,830.0
2007-08-10,826.0
2007-08-13,820.0
2007-08-15,814.0
2007-08-16,809.0
2007-08-17,818.0
2007-08-22,816.0
2007-08-23,811.0
2007-08-24,815.0
2007-08-27,810.0
2007-08-28,829.0
2007-08-29,809.0
2007-08-30,810.0
2007-08-31,786.0
2007-09-03,780.0
2007-09-04,784.0
2007-09-05,809.0
2007-09-06,780.0
2007-09-07,809.0
2007-09-10,804.0
2007-09-11,800.0
2007-09-12,795.0
2007-09-13,790.0
2007-09-14,789.0
2007-09-17,785.0
2007-09-18,785.0
2007-09-19,781.0
2007-09-20,785.0
2007-09-21,784.0
2007-09-24,760.0
2007-09-25,760.0
2007-09-26,797.0
2007-09-27,797.0
2007-09-28,792.0
2007-10-01,797.0
2007-10-02,798.0
2007-10-03,790.0
2007-10-04,786.0
2007-10-05,779.0
2007-10-08,773.0
2007-10-09,793.0
2007-10-10,783.0
2007-10-11,779.0
2007-10-12,779.0
2007-10-15,790.0
2007-10-16,788.0
2007-10-17,769.0
2007-10-18,793.0
2007-10-19,780.0
2007-10-22,779.0
2007-10-23,775.0
2007-10-24,778.0
2007-10-25,775.0
2007-10-26,769.0
2007-10-29,761.0
2007-10-30,769.0
2007-10-31,779.0
2007-11-01,779.0
2007-11-02,800.0
2007-11-05,813.0
