date,STR
2011-06-29,357.0
2011-06-30,354.5
2011-07-01,358.0
2011-07-04,358.0
2011-07-05,351.0
2011-07-06,352.0
2011-07-07,353.0
2011-07-08,354.0
2011-07-11,358.0
2011-07-12,356.4
2011-07-13,356.5
2011-07-14,349.05
2011-07-15,360.0
2011-07-18,356.0
2011-07-19,354.0
2011-07-20,345.3
2011-07-21,345.0
2011-07-22,345.0
2011-07-25,345.0
2011-07-26,335.0
2011-07-27,333.25
2011-07-28,330.0
2011-07-29,322.0
2011-08-01,302.7
2011-08-02,296.0
2011-08-03,285.8
2011-08-04,300.0
2011-08-05,302.0
2011-08-08,320.1
2011-08-09,310.0
2011-08-10,315.0
2011-08-11,303.0
2011-08-12,305.0
2011-08-15,297.6
2011-08-16,300.0
2011-08-17,300.0
2011-08-18,296.0
2011-08-19,294.1
2011-08-22,299.9
2011-08-23,293.0
2011-08-24,290.0
2011-08-25,289.0
2011-08-26,285.5
2011-08-29,288.0
2011-08-30,282.65
2011-09-02,289.95
2011-09-05,290.0
2011-09-06,292.0
2011-09-07,292.0
2011-09-08,284.35
2011-09-09,293.0
2011-09-12,300.0
2011-09-13,294.0
2011-09-14,289.2
2011-09-15,281.05
2011-09-16,282.15
2011-09-19,280.2
2011-09-20,281.0
2011-09-21,280.0
2011-09-22,285.55
2011-09-23,302.65
2011-09-26,302.0
2011-09-27,298.95
2011-09-28,284.0
2011-09-29,280.3
2011-09-30,280.0
2011-10-03,277.3
2011-10-04,280.0
2011-10-05,277.0
2011-10-06,278.0
2011-10-07,278.1
2011-10-10,277.0
2011-10-11,279.95
2011-10-12,274.2
2011-10-13,280.0
2011-10-14,280.0
2011-10-17,285.0
2011-10-18,282.0
2011-10-19,277.65
2011-10-20,277.75
2011-10-21,284.3
2011-10-24,280.0
2011-10-25,280.5
2011-10-26,282.0
2011-10-27,283.0
2011-10-28,281.0
2011-10-31,281.0
2011-11-01,280.5
2011-11-02,280.0
2011-11-03,280.0
2011-11-04,281.0
2011-11-09,281.0
2011-11-10,280.5
2011-11-11,280.05
2011-11-14,277.0
2011-11-15,271.1
2011-11-16,271.05
2011-11-17,271.0
2011-11-21,272.5
2011-11-22,270.05
2011-11-23,272.0
2011-11-24,272.0
2011-11-25,271.0
2011-11-28,271.0
2011-11-29,271.0
2011-11-30,270.0
2011-12-01,276.0
2011-12-02,267.2
2011-12-05,270.0
2011-12-06,270.0
2011-12-07,267.0
2011-12-08,270.0
2011-12-09,272.0
2011-12-12,267.0
2011-12-13,266.0
2011-12-14,266.1
2011-12-15,265.0
2011-12-16,270.5
2011-12-19,265.0
2011-12-20,270.95
2011-12-21,271.35
2011-12-22,263.0
2011-12-23,261.5
2011-12-26,261.1
2011-12-27,261.1
2011-12-28,268.95
