date,TMA
2015-05-28,535.0
2015-05-29,556.0
2015-06-01,562.0
2015-06-02,586.0
2015-06-03,610.0
2015-06-04,614.9
2015-06-05,599.0
2015-06-08,600.0
2015-06-09,605.0
2015-06-10,600.0
2015-06-11,600.0
2015-06-12,595.6
2015-06-15,599.0
2015-06-16,605.5
2015-06-17,570.5
2015-06-18,559.0
2015-06-19,557.1
2015-06-22,560.0
2015-06-23,560.0
2015-06-24,570.0
2015-06-25,562.5
2015-06-26,580.0
2015-06-29,570.0
2015-06-30,560.6
2015-07-01,560.5
2015-07-02,570.0
2015-07-03,561.1
2015-07-06,561.0
2015-07-07,570.0
2015-07-08,570.0
2015-07-09,562.5
2015-07-10,570.0
2015-07-13,570.0
2015-07-14,563.1
2015-07-15,580.0
2015-07-16,600.0
2015-07-20,605.0
2015-07-21,601.1
2015-07-22,608.0
2015-07-23,615.0
2015-07-24,608.1
2015-07-27,615.0
2015-07-28,610.1
2015-07-29,620.0
2015-07-31,620.0
2015-08-03,620.0
2015-08-04,627.3
2015-08-05,627.0
2015-08-06,626.9
2015-08-07,620.0
2015-08-10,620.2
2015-08-11,630.0
2015-08-12,625.1
2015-08-13,620.0
2015-08-17,626.0
2015-08-18,611.6
2015-08-19,612.2
2015-08-24,612.2
2015-08-25,610.0
2015-08-26,612.0
2015-08-27,601.6
2015-08-28,601.6
2015-08-31,601.6
2015-09-01,600.1
2015-09-02,600.0
2015-09-03,598.5
2015-09-04,597.9
2015-09-07,583.2
2015-09-08,583.0
2015-09-09,597.9
2015-09-10,597.9
2015-09-11,615.0
2015-09-14,600.0
2015-09-15,586.3
2015-09-16,586.1
2015-09-17,590.0
2015-09-18,590.0
2015-09-21,586.2
2015-09-22,587.0
2015-09-23,586.2
2015-09-28,581.1
2015-09-29,599.8
2015-09-30,583.2
2015-10-01,595.0
2015-10-02,559.3
2015-10-05,580.0
2015-10-06,583.8
2015-10-07,562.0
2015-10-08,579.9
2015-10-09,563.1
2015-10-12,557.1
2015-10-13,550.0
2015-10-14,545.1
2015-10-16,547.0
2015-10-19,545.0
2015-10-20,545.3
2015-10-21,545.1
2015-10-22,545.9
2015-10-23,550.0
2015-10-26,550.0
2015-10-27,545.0
2015-10-28,545.0
2015-10-29,575.0
2015-10-30,589.0
2015-11-02,590.0
2015-11-03,570.2
2015-11-04,570.2
2015-11-05,580.0
2015-11-09,578.0
2015-11-10,578.1
2015-11-11,578.1
2015-11-12,576.0
2015-11-13,572.0
2015-11-16,572.5
2015-11-17,573.5
2015-11-19,573.5
2015-11-20,573.5
2015-11-23,575.2
2015-11-24,575.0
2015-11-25,580.0
2015-11-26,590.0
2015-11-27,590.1
2015-11-30,580.0
2015-12-01,590.0
2015-12-02,582.2
2015-12-03,584.0
2015-12-04,584.0
2015-12-07,582.0
2015-12-08,582.0
2015-12-09,583.0
2015-12-10,582.0
2015-12-11,582.0
2015-12-14,582.0
2015-12-15,580.0
2015-12-16,583.0
2015-12-17,582.0
2015-12-18,582.0
2015-12-21,580.0
2015-12-22,568.0
2015-12-23,579.0
2015-12-28,565.0
2015-12-29,535.2
2015-12-30,545.7
2015-12-31,555.2
2016-01-04,584.3
2016-01-05,584.3
2016-01-06,572.0
2016-01-07,572.0
2016-01-08,572.0
2016-01-12,572.0
2016-01-13,572.0
2016-01-14,554.0
2016-01-15,554.0
2016-01-18,563.9
2016-01-19,570.0
2016-01-20,570.0
2016-01-21,572.0
2016-01-22,570.0
2016-01-25,569.9
2016-01-26,555.6
2016-01-27,555.6
2016-01-28,560.0
2016-01-29,579.0
2016-02-01,555.2
2016-02-02,555.5
2016-02-03,575.0
2016-02-04,575.0
2016-02-05,580.0
2016-02-08,571.1
2016-02-09,575.0
2016-02-10,590.0
2016-02-11,595.0
2016-02-12,595.0
2016-02-15,590.7
2016-02-16,595.0
2016-02-17,590.0
2016-02-18,590.0
2016-02-19,590.0
2016-02-22,590.0
2016-02-23,586.0
2016-02-24,565.1
2016-02-25,575.0
2016-02-26,570.0
2016-02-29,568.1
2016-03-01,568.1
2016-03-02,568.1
2016-03-03,585.0
2016-03-04,580.0
2016-03-07,580.0
2016-03-08,577.0
2016-03-09,579.0
2016-03-10,579.0
2016-03-11,579.0
2016-03-14,575.0
2016-03-15,589.8
2016-03-16,576.5
2016-03-17,600.0
2016-03-18,609.9
2016-03-21,602.1
2016-03-22,605.0
2016-03-23,624.0
2016-03-24,611.1
2016-03-25,660.0
2016-03-28,643.5
2016-03-29,640.0
2016-03-30,640.0
2016-03-31,640.0
2016-04-01,635.0
2016-04-04,624.0
2016-04-05,631.0
2016-04-06,668.0
2016-04-07,675.0
2016-04-08,657.0
2016-04-11,656.0
2016-04-12,670.0
2016-04-13,695.0
2016-04-14,690.0
2016-04-15,692.5
2016-04-18,680.0
2016-04-19,690.0
2016-04-20,681.0
2016-04-21,697.0
2016-04-22,686.0
2016-04-25,699.0
2016-04-26,699.0
2016-04-27,688.1
2016-04-28,687.0
2016-04-29,690.0
2016-05-02,694.0
2016-05-03,751.0
2016-05-04,780.0
2016-05-05,791.0
2016-05-06,767.0
2016-05-09,775.0
2016-05-10,781.1
2016-05-11,795.0
2016-05-12,795.1
2016-05-13,785.0
2016-05-16,785.0
2016-05-17,765.0
2016-05-18,765.0
2016-05-19,765.0
2016-05-20,730.0
2016-05-23,760.0
2016-05-24,772.0
2016-05-25,772.0
2016-05-26,772.0
2016-05-27,742.1
2016-05-30,786.5
2016-05-31,780.0
2016-06-01,789.0
2016-06-02,781.0
2016-06-03,790.0
2016-06-06,795.0
2016-06-07,799.9
2016-06-08,777.0
2016-06-09,807.0
2016-06-10,799.0
2016-06-13,799.0
2016-06-14,790.0
2016-06-15,745.1
2016-06-16,730.0
2016-06-17,740.0
2016-06-20,741.0
2016-06-21,759.0
2016-06-22,730.0
2016-06-23,730.0
2016-06-24,744.0
2016-06-27,744.0
2016-06-28,744.0
2016-06-29,744.0
2016-06-30,750.0
2016-07-01,767.0
2016-07-04,760.0
2016-07-05,750.0
2016-07-11,762.0
2016-07-12,762.0
2016-07-13,775.0
2016-07-14,780.0
2016-07-15,800.2
2016-07-18,795.0
2016-07-19,830.0
2016-07-20,816.0
2016-07-21,864.7
2016-07-22,903.0
2016-07-25,915.0
2016-07-26,903.0
2016-07-27,903.0
2016-07-28,910.0
2016-07-29,904.2
2016-08-01,903.1
2016-08-02,913.0
2016-08-03,915.0
2016-08-04,915.0
2016-08-05,935.0
2016-08-08,940.0
2016-08-09,964.9
2016-08-10,935.0
2016-08-11,920.0
2016-08-12,906.2
2016-08-15,908.0
2016-08-16,910.1
2016-08-17,915.0
2016-08-18,915.0
2016-08-19,915.2
2016-08-22,930.0
2016-08-23,930.0
2016-08-24,929.0
2016-08-25,929.0
2016-08-26,916.0
2016-08-29,916.0
2016-08-30,916.0
2016-08-31,916.0
2016-09-01,923.0
2016-09-02,947.0
2016-09-05,946.9
2016-09-06,925.0
2016-09-07,925.0
2016-09-08,930.0
2016-09-09,925.0
2016-09-14,937.0
2016-09-15,936.9
2016-09-16,930.0
2016-09-19,960.0
2016-09-20,959.0
2016-09-21,950.0
2016-09-22,950.0
2016-09-23,944.9
2016-09-26,1039.0
2016-09-27,1050.0
2016-09-28,1055.0
2016-09-29,1040.0
2016-09-30,1035.0
2016-10-04,1015.0
2016-10-05,1025.0
2016-10-06,1041.0
2016-10-07,1052.0
2016-10-10,1080.0
2016-10-11,1071.0
2016-10-12,1088.0
2016-10-13,1066.0
2016-10-14,1060.0
2016-10-17,1055.0
2016-10-18,1070.0
2016-10-19,1069.0
2016-10-20,1044.0
2016-10-21,1050.0
2016-10-24,1059.0
2016-10-25,1040.0
2016-10-26,1035.0
2016-10-27,1035.0
2016-10-28,1040.0
2016-10-31,1004.0
2016-11-01,1028.0
2016-11-02,1070.0
2016-11-03,1037.0
2016-11-04,1045.0
2016-11-07,1045.0
2016-11-08,1065.0
2016-11-09,1045.0
2016-11-10,1037.0
2016-11-11,1033.0
2016-11-14,1058.0
2016-11-15,1058.0
2016-11-16,1054.0
2016-11-17,1052.0
2016-11-21,1034.0
2016-11-22,1050.0
2016-11-23,1020.0
2016-11-24,1022.0
2016-11-25,1030.0
2016-11-28,1040.0
2016-11-29,1020.0
2016-11-30,1038.0
2016-12-01,1030.0
2016-12-02,1020.0
2016-12-05,1017.0
2016-12-06,1020.0
