date,TQM
2013-12-11,447.5
2013-12-23,447.5
2013-12-24,452.0
2013-12-25,452.0
2013-12-26,455.0
2013-12-27,454.5
2013-12-30,453.4
2013-12-31,453.4
2014-01-02,455.1
2014-01-03,455.0
2014-01-06,455.1
2014-01-07,456.0
2014-01-08,455.15
2014-01-09,456.0
2014-01-10,454.0
2014-01-13,453.0
2014-01-16,453.0
2014-01-17,453.0
2014-01-20,453.0
2014-01-21,447.5
2014-01-22,447.6
2014-01-23,447.65
2014-01-24,450.0
2014-01-27,447.5
2014-01-28,450.0
2014-01-29,450.0
2014-01-30,447.5
2014-01-31,450.0
2014-02-03,447.5
2014-02-04,447.5
2014-02-05,447.5
2014-02-06,446.9
2014-02-07,446.8
2014-02-10,447.0
2014-02-11,446.0
2014-02-12,442.4
2014-02-13,437.0
2014-02-14,437.0
2014-02-17,429.1
2014-02-18,429.9
2014-02-19,430.0
2014-02-20,433.0
2014-02-21,447.0
2014-02-24,445.2
2014-02-25,442.2
2014-02-26,441.95
2014-02-27,447.9
2014-02-28,447.9
2014-03-03,446.5
2014-03-04,447.8
2014-03-05,447.0
2014-03-06,446.2
2014-03-07,446.35
2014-03-10,447.45
2014-03-11,447.5
2014-03-12,446.65
2014-03-13,447.0
2014-03-14,447.0
2014-03-17,446.65
2014-03-18,447.0
2014-03-19,446.25
2014-03-20,446.2
2014-03-21,447.0
2014-03-24,447.0
2014-03-25,447.05
2014-03-26,447.25
2014-03-27,447.8
2014-03-28,447.5
2014-03-31,446.7
2014-04-01,446.7
2014-04-02,446.9
2014-04-03,446.6
2014-04-04,446.8
2014-04-07,441.05
2014-04-08,440.0
2014-04-09,444.9
2014-04-10,438.25
2014-04-11,444.0
2014-04-14,441.55
2014-04-15,443.95
2014-04-16,441.1
2014-04-17,440.6
2014-04-18,441.0
2014-04-21,446.5
2014-04-22,444.0
2014-04-23,443.1
2014-04-24,446.0
2014-04-25,444.0
2014-04-28,444.0
2014-04-29,443.6
2014-04-30,444.0
2014-05-02,443.65
2014-05-05,444.1
2014-05-06,444.0
2014-05-07,443.75
2014-05-08,446.8
2014-05-09,443.75
2014-05-12,448.0
2014-05-13,444.2
2014-05-14,446.05
2014-05-15,445.0
2014-05-16,444.25
2014-05-19,445.0
2014-05-20,445.0
2014-05-21,444.05
2014-05-22,444.0
2014-05-23,447.0
2014-05-26,444.0
2014-05-27,444.0
2014-05-28,449.0
2014-05-29,446.0
2014-05-30,449.0
2014-06-02,449.0
2014-06-03,452.1
2014-06-04,451.4
2014-06-05,457.0
2014-06-06,464.9
2014-06-09,464.25
2014-06-10,460.05
2014-06-11,461.4
2014-06-12,461.4
2014-06-13,462.0
2014-06-16,451.15
2014-06-17,451.2
2014-06-18,452.3
2014-06-19,455.2
2014-06-20,455.3
2014-06-23,460.0
2014-06-24,456.7
2014-06-25,460.9
2014-06-26,460.0
2014-06-27,459.05
2014-06-30,457.0
2014-07-01,457.0
2014-07-02,455.0
2014-07-03,452.5
2014-07-04,352.0
2014-07-07,350.0
2014-07-08,345.7
2014-07-09,350.0
2014-07-10,353.5
2014-07-11,350.5
2014-07-14,354.0
2014-07-15,352.25
2014-07-16,350.65
2014-07-17,352.15
2014-07-18,355.0
2014-07-21,355.0
2014-07-22,358.0
2014-07-23,361.95
2014-07-24,363.0
2014-07-25,370.1
2014-07-31,371.1
2014-08-01,367.05
2014-08-04,365.0
2014-08-05,361.1
2014-08-06,371.5
2014-08-07,370.2
2014-08-08,370.0
2014-08-11,368.1
2014-08-12,367.55
2014-08-13,372.0
2014-08-15,368.5
2014-08-18,368.5
2014-08-19,372.0
2014-08-22,368.55
2014-08-25,370.0
2014-08-26,370.5
2014-08-27,370.5
2014-08-28,373.0
2014-08-29,371.0
2014-09-01,370.05
2014-09-02,370.0
2014-09-03,378.0
2014-09-04,377.35
2014-09-05,379.9
2014-09-08,376.25
2014-09-09,389.0
2014-09-10,389.0
2014-09-11,388.85
2014-09-12,388.5
2014-09-15,390.5
2014-09-16,391.0
2014-09-17,395.0
2014-09-18,401.0
2014-09-19,400.5
2014-09-22,402.0
2014-09-23,401.0
2014-09-24,402.5
2014-09-25,398.1
2014-09-26,401.8
2014-09-29,400.0
2014-09-30,400.0
2014-10-01,402.0
2014-10-02,414.0
2014-10-03,425.0
2014-10-07,426.05
2014-10-08,425.0
2014-10-09,426.0
2014-10-10,426.05
2014-10-13,429.0
2014-10-14,431.1
2014-10-15,432.0
2014-10-16,430.0
2014-10-17,432.0
2014-10-20,429.0
2014-10-21,430.05
2014-10-22,429.5
2014-10-23,429.5
2014-10-24,430.9
2014-10-27,428.1
2014-10-28,428.15
2014-10-29,428.0
2014-10-30,429.0
2014-10-31,427.65
2014-11-03,429.0
2014-11-04,428.1
2014-11-05,429.35
2014-11-07,428.05
2014-11-10,428.1
2014-11-11,443.9
2014-11-12,442.0
2014-11-13,439.5
2014-11-14,438.0
2014-11-17,431.2
2014-11-19,440.0
2014-11-20,439.35
2014-11-21,438.8
2014-11-24,435.0
2014-11-25,435.0
2014-11-26,429.35
2014-11-27,433.0
2014-11-28,430.5
2014-12-01,430.1
2014-12-02,428.0
2014-12-03,421.1
2014-12-04,422.0
2014-12-05,422.0
2014-12-08,424.0
2014-12-09,424.0
2014-12-10,423.0
2014-12-11,420.35
2014-12-12,426.0
2014-12-15,420.1
2014-12-16,424.0
2014-12-17,421.3
2014-12-18,421.0
2014-12-19,430.0
2014-12-22,430.0
2014-12-23,425.0
2014-12-24,425.1
2014-12-25,430.0
2014-12-26,430.0
2014-12-29,424.05
2014-12-30,430.0
2014-12-31,425.0
2015-01-02,424.05
2015-01-06,430.0
2015-01-07,430.0
2015-01-08,430.1
2015-01-09,436.65
2015-01-12,449.95
2015-01-13,489.95
2015-01-14,501.0
2015-01-15,501.0
2015-01-16,508.0
2015-01-19,497.0
2015-01-20,492.1
2015-01-21,490.0
2015-01-22,487.0
2015-01-23,493.9
2015-01-26,484.0
2015-01-27,484.0
2015-01-28,488.0
2015-01-29,498.0
2015-01-30,498.5
2015-02-02,495.2
2015-02-03,512.2
2015-02-04,516.0
2015-02-05,525.0
2015-02-06,524.0
2015-02-09,520.0
2015-02-10,508.5
2015-02-11,519.0
2015-02-12,513.0
2015-02-13,513.0
2015-02-16,520.0
2015-02-17,520.0
2015-02-18,519.0
2015-02-19,522.3
2015-02-20,525.0
2015-02-23,520.1
2015-02-24,496.5
2015-02-25,501.0
2015-02-26,506.0
2015-02-27,500.0
2015-03-02,501.1
2015-03-03,500.1
2015-03-04,500.1
2015-03-05,503.0
2015-03-06,503.0
2015-03-09,503.0
2015-03-10,500.0
2015-03-11,503.0
2015-03-12,503.0
2015-03-13,503.0
2015-03-16,500.0
2015-03-17,500.0
2015-03-18,503.0
2015-03-19,503.0
2015-03-20,501.0
2015-03-23,504.0
2015-03-24,500.0
2015-03-25,500.5
2015-03-26,500.1
2015-03-27,500.0
2015-03-30,505.1
2015-03-31,498.0
2015-04-01,497.0
2015-04-02,496.25
2015-04-03,500.0
2015-04-06,497.0
2015-04-07,498.0
2015-04-08,498.0
2015-04-09,500.0
2015-04-10,498.2
2015-04-13,497.1
2015-04-14,500.1
2015-04-15,498.1
2015-04-16,500.0
2015-04-17,497.0
2015-04-20,500.0
2015-04-21,499.0
2015-04-22,500.0
2015-04-23,500.0
2015-04-24,500.0
2015-04-27,500.0
2015-04-28,497.2
2015-04-29,497.3
2015-04-30,498.0
2015-05-04,498.0
2015-05-05,499.0
2015-05-06,501.0
2015-05-07,501.0
2015-05-08,500.0
2015-05-11,501.0
2015-05-12,500.0
2015-05-13,500.0
2015-05-14,501.0
2015-05-15,502.0
2015-05-18,502.0
2015-05-19,502.0
2015-05-20,506.1
2015-05-21,508.0
2015-05-22,504.3
2015-05-25,503.1
2015-05-26,503.2
2015-05-27,507.0
2015-05-28,503.8
2015-05-29,503.4
2015-06-01,504.0
2015-06-02,503.2
2015-06-03,504.0
2015-06-04,503.2
2015-06-05,503.2
2015-06-08,503.3
2015-06-09,503.2
2015-06-10,504.0
2015-06-11,504.1
2015-06-12,510.0
2015-06-15,505.1
2015-06-16,505.0
2015-06-17,505.2
2015-06-18,505.2
2015-06-19,509.0
2015-06-22,505.6
2015-06-23,506.2
2015-06-24,507.0
2015-06-25,510.0
2015-06-26,510.0
2015-06-29,505.4
2015-06-30,505.0
2015-07-01,509.9
2015-07-02,506.8
2015-07-03,508.1
2015-07-06,508.0
2015-07-07,508.1
2015-07-08,509.1
2015-07-09,515.2
2015-07-10,520.2
2015-07-13,537.5
2015-07-14,519.5
2015-07-15,524.7
2015-07-16,534.0
2015-07-20,545.0
2015-07-21,545.0
2015-07-22,537.1
2015-07-23,537.0
2015-07-24,537.0
2015-07-27,545.0
2015-07-28,546.0
2015-07-29,565.0
2015-07-31,558.7
2015-08-03,544.0
2015-08-04,560.0
2015-08-05,560.0
2015-08-06,550.0
2015-08-07,548.0
2015-08-10,546.2
2015-08-11,550.0
2015-08-12,546.3
2015-08-13,546.3
2015-08-17,546.3
2015-08-18,560.0
2015-08-19,560.1
2015-08-24,560.0
2015-08-25,560.0
2015-08-26,559.5
2015-08-27,550.0
2015-08-28,548.0
2015-08-31,546.0
2015-09-01,545.5
2015-09-02,546.0
2015-09-03,545.0
2015-09-04,543.5
2015-09-07,520.2
2015-09-08,523.0
2015-09-09,544.8
2015-09-10,534.0
2015-09-11,540.0
2015-09-14,534.4
2015-09-15,540.0
2015-09-16,538.6
2015-09-17,540.2
2015-09-18,549.9
2015-09-21,550.0
2015-09-22,545.0
2015-09-23,554.7
2015-09-28,546.5
2015-09-29,545.0
2015-09-30,552.0
2015-10-01,548.1
2015-10-02,558.9
2015-10-05,550.1
2015-10-06,555.0
2015-10-07,550.5
2015-10-08,555.0
2015-10-09,557.9
2015-10-12,558.0
2015-10-13,555.0
2015-10-14,555.0
2015-10-16,560.0
2015-10-19,552.3
2015-10-20,551.0
2015-10-21,560.0
2015-10-22,560.0
2015-10-23,565.0
2015-10-26,563.0
2015-10-27,573.0
2015-10-28,582.0
2015-10-29,590.0
2015-10-30,584.8
2015-11-02,573.6
2015-11-03,573.0
2015-11-04,585.0
2015-11-05,585.0
2015-11-09,592.0
2015-11-10,585.0
2015-11-11,585.0
2015-11-12,587.0
2015-11-13,582.0
2015-11-16,581.0
2015-11-17,580.1
2015-11-19,580.2
2015-11-20,585.0
2015-11-23,585.0
2015-11-24,581.0
2015-11-25,580.0
2015-11-26,580.0
2015-11-27,580.0
2015-11-30,575.0
2015-12-01,584.9
2015-12-02,580.0
2015-12-03,576.0
2015-12-04,576.1
2015-12-07,575.0
2015-12-08,575.0
2015-12-09,575.0
2015-12-10,575.0
2015-12-11,575.0
2015-12-14,576.0
2015-12-15,575.0
2015-12-16,578.0
2015-12-17,571.0
2015-12-18,588.5
2015-12-21,570.1
2015-12-22,575.0
2015-12-23,585.0
2015-12-28,583.0
2015-12-29,582.0
2015-12-30,572.0
2015-12-31,571.0
2016-01-04,572.1
2016-01-05,574.0
2016-01-06,566.0
2016-01-07,562.5
2016-01-08,570.0
2016-01-12,560.6
2016-01-13,571.0
2016-01-14,565.0
2016-01-15,567.0
2016-01-18,566.1
2016-01-19,562.2
2016-01-20,565.1
2016-01-21,575.1
2016-01-22,580.0
2016-01-25,576.0
2016-01-26,587.0
2016-01-27,600.0
2016-01-28,600.0
2016-01-29,607.0
2016-02-01,600.0
2016-02-02,610.0
2016-02-03,620.0
2016-02-04,620.0
2016-02-05,630.0
2016-02-08,618.0
2016-02-09,618.2
2016-02-10,620.0
2016-02-11,625.9
2016-02-12,619.0
2016-02-15,620.0
