date,WAA
2000-01-03,620.0
2000-01-04,629.0
2000-01-05,635.0
2000-01-06,635.0
2000-01-07,635.0
2000-01-13,629.0
2000-01-14,625.0
2000-01-17,615.0
2000-01-18,627.0
2000-01-19,617.0
2000-01-20,619.0
2000-01-21,611.0
2000-01-24,608.0
2000-01-25,608.0
2000-01-27,610.0
2000-01-28,612.0
2000-01-31,605.0
2000-02-01,602.0
2000-02-02,590.0
2000-02-03,591.0
2000-02-04,592.0
2000-02-07,601.0
2000-02-23,541.0
2000-02-28,570.0
2000-02-29,599.0
2000-03-01,598.0
2000-03-02,596.0
2000-03-03,598.0
2000-03-06,580.0
2000-03-07,581.0
2000-03-08,580.0
2000-03-09,580.0
2000-03-10,583.0
2000-03-13,577.0
2000-03-14,570.0
2000-03-15,570.0
2000-03-16,575.0
2000-03-20,575.0
2000-03-21,564.0
2000-03-22,566.0
2000-03-23,569.0
2000-03-28,555.0
2000-03-29,550.0
2000-03-30,547.0
2000-03-31,565.0
2000-04-04,551.0
2000-04-05,550.0
2000-04-11,555.0
2000-04-12,542.0
2000-04-13,535.0
2000-04-14,532.0
2000-04-17,530.0
2000-04-18,520.0
2000-04-20,535.0
2000-04-21,533.0
2000-04-24,532.0
2000-04-25,521.0
2000-04-26,514.0
2000-04-27,517.0
2000-04-28,530.0
2000-05-02,505.0
2000-05-03,510.0
2000-05-04,539.0
2000-05-05,535.0
2000-05-08,534.0
2000-05-11,570.0
2000-05-12,580.0
2000-05-15,577.0
2000-05-16,577.0
2000-05-17,577.0
2000-05-19,578.0
2000-05-22,570.0
2000-05-23,570.0
2000-05-24,570.0
2000-05-25,572.0
2000-05-26,577.0
2000-05-29,570.0
2000-05-31,570.0
2000-06-01,570.0
2000-06-02,565.0
2000-06-05,562.0
2000-06-06,565.0
2000-06-07,560.0
2000-06-08,559.0
2000-06-09,555.0
2000-06-13,550.0
2000-06-19,555.0
2000-06-20,540.0
2000-06-21,540.0
2000-06-22,540.0
2000-06-23,544.0
2000-06-26,533.0
2000-06-27,533.0
2000-06-28,534.0
2000-06-29,550.0
2000-07-03,550.0
2000-07-04,550.0
2000-07-05,555.0
2000-07-06,550.0
2000-07-07,549.0
2000-07-10,540.0
2000-07-11,540.0
2000-07-12,540.0
2000-07-13,531.0
2000-07-14,527.0
2000-07-17,530.0
2000-07-18,526.0
2000-07-19,507.0
2000-07-20,508.0
2000-07-21,517.0
2000-07-24,520.0
2000-07-25,515.0
2000-07-26,515.0
2000-07-27,514.0
2000-07-31,506.0
2000-08-01,515.0
2000-08-02,527.0
2000-08-03,520.0
2000-08-04,530.0
2000-08-07,510.0
2000-08-08,509.0
2000-08-09,520.0
2000-08-10,529.0
2000-08-11,526.0
2000-08-15,507.0
2000-08-17,510.0
2000-08-18,515.0
2000-08-23,570.0
2000-08-24,585.0
2000-08-25,575.0
2000-08-28,550.0
2000-08-29,529.0
2000-08-30,530.0
2000-08-31,531.0
2000-09-01,531.0
2000-09-04,531.0
2000-09-05,537.0
2000-09-06,538.0
2000-09-07,538.0
2000-09-08,538.0
2000-09-11,538.0
2000-09-12,535.0
2000-09-13,534.0
2000-09-14,534.0
2000-09-15,529.0
2000-09-18,534.0
2000-09-19,530.0
2000-09-20,529.0
2000-09-21,530.0
2000-09-22,521.0
2000-09-25,518.0
2000-09-26,519.0
2000-09-27,523.0
2000-09-28,530.0
2000-09-29,528.0
2000-10-02,522.0
2000-10-03,538.0
2000-10-04,544.0
